         67443 function calls (67411 primitive calls) in 6.575 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1724    4.215    0.002    4.215    0.002 {waitKey}
      174    0.008    0.000    1.593    0.009 ball_track.py:294(process_image_for_ball_tracking)
      174    0.795    0.005    0.795    0.005 {undistort}
      169    0.336    0.002    0.336    0.002 {method 'write' of 'cv2.VideoWriter' objects}
      174    0.166    0.001    0.166    0.001 {split}
        1    0.158    0.158    0.158    0.158 ball_track.py:206(release)
      174    0.108    0.001    0.108    0.001 {equalizeHist}
      174    0.097    0.001    0.097    0.001 {findContours}
      348    0.087    0.000    0.087    0.000 {morphologyEx}
      174    0.085    0.000    0.085    0.000 {merge}
      174    0.067    0.000    0.067    0.000 {putText}
      174    0.067    0.000    0.067    0.000 {cvtColor}
        1    0.065    0.065    0.065    0.065 ball_track.py:169(__init__)
      174    0.061    0.000    0.061    0.000 {imshow}
      174    0.060    0.000    0.060    0.000 {inRange}
      174    0.045    0.000    0.045    0.000 {GaussianBlur}
      169    0.001    0.000    0.031    0.000 /usr/local/lib/python3.8/dist-packages/numpy/ma/core.py:5289(mean)
      169    0.000    0.000    0.029    0.000 {function MaskedArray.mean at 0x7fece4aa2dc0}
      169    0.004    0.000    0.028    0.000 /usr/local/lib/python3.8/dist-packages/numpy/core/_methods.py:164(_mean)
      169    0.001    0.000    0.028    0.000 /usr/local/lib/python3.8/dist-packages/numpy/ma/core.py:2080(masked_equal)
      170    0.023    0.000    0.023    0.000 {built-in method torch.tensor}
      524    0.023    0.000    0.023    0.000 {method 'acquire' of '_thread.lock' objects}
      171    0.000    0.000    0.022    0.000 /usr/lib/python3.8/threading.py:1017(_wait_for_tstate_lock)
        2    0.000    0.000    0.022    0.011 /usr/lib/python3.8/threading.py:979(join)
      338    0.002    0.000    0.019    0.000 /usr/local/lib/python3.8/dist-packages/numpy/ma/core.py:3059(__array_wrap__)
        1    0.000    0.000    0.018    0.018 ball_track.py:21(__init__)
      169    0.005    0.000    0.017    0.000 /usr/local/lib/python3.8/dist-packages/numpy/ma/core.py:1010(__call__)
     1183    0.001    0.000    0.009    0.000 {method 'view' of 'numpy.ndarray' objects}
     1724    0.007    0.000    0.009    0.000 /usr/lib/python3.8/queue.py:96(empty)
      169    0.001    0.000    0.009    0.000 /usr/local/lib/python3.8/dist-packages/numpy/ma/core.py:1828(masked_where)
      507    0.002    0.000    0.008    0.000 /usr/local/lib/python3.8/dist-packages/numpy/ma/core.py:2966(__array_finalize__)
      511    0.004    0.000    0.008    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     1183    0.003    0.000    0.007    0.000 /usr/local/lib/python3.8/dist-packages/numpy/core/_ufunc_config.py:33(seterr)
      676    0.004    0.000    0.006    0.000 /usr/local/lib/python3.8/dist-packages/numpy/ma/core.py:2940(_update_from)
      173    0.005    0.000    0.005    0.000 {built-in method builtins.print}
      169    0.005    0.000    0.005    0.000 {circle}
      507    0.001    0.000    0.005    0.000 /usr/local/lib/python3.8/dist-packages/numpy/core/_ufunc_config.py:430(__enter__)
      169    0.000    0.000    0.004    0.000 /usr/local/lib/python3.8/dist-packages/numpy/ma/core.py:3077(<listcomp>)
      338    0.001    0.000    0.004    0.000 /usr/local/lib/python3.8/dist-packages/numpy/ma/core.py:1424(getmaskarray)
        3    0.000    0.000    0.004    0.001 /usr/local/lib/python3.8/dist-packages/numpy/lib/npyio.py:263(load)
     1700    0.004    0.000    0.004    0.000 {built-in method numpy.array}
      169    0.002    0.000    0.004    0.000 /usr/local/lib/python3.8/dist-packages/numpy/ma/core.py:849(__call__)
        4    0.000    0.000    0.004    0.001 /usr/local/lib/python3.8/dist-packages/numpy/lib/format.py:731(read_array)
      169    0.002    0.000    0.004    0.000 ball_track.py:380(convert_to_world_coordinates)
        4    0.000    0.000    0.003    0.001 /usr/local/lib/python3.8/dist-packages/numpy/lib/format.py:594(_read_array_header)
      174    0.003    0.000    0.003    0.000 {getStructuringElement}
      170    0.003    0.000    0.003    0.000 {minEnclosingCircle}
      338    0.000    0.000    0.003    0.000 {method 'any' of 'numpy.ndarray' objects}
      507    0.001    0.000    0.003    0.000 /usr/local/lib/python3.8/dist-packages/numpy/core/_ufunc_config.py:435(__exit__)
     1183    0.003    0.000    0.003    0.000 /usr/local/lib/python3.8/dist-packages/numpy/core/_ufunc_config.py:132(geterr)
     1898    0.002    0.000    0.003    0.000 /usr/lib/python3.8/queue.py:208(_qsize)
      338    0.000    0.000    0.003    0.000 /usr/local/lib/python3.8/dist-packages/numpy/core/_methods.py:55(_any)
      338    0.001    0.000    0.002    0.000 /usr/local/lib/python3.8/dist-packages/numpy/ma/core.py:1555(make_mask)
      169    0.001    0.000    0.002    0.000 /usr/lib/python3.8/queue.py:121(put)
        4    0.000    0.000    0.002    0.001 /usr/local/lib/python3.8/dist-packages/numpy/lib/format.py:559(_filter_header)
        2    0.000    0.000    0.002    0.001 /usr/local/lib/python3.8/dist-packages/numpy/lib/npyio.py:232(__getitem__)
