torque0,torque1,torque2,torque3,torque4,torque5,torque6,action0,action1,action2,action3,action4,action5,action6,set_target_0,set_target_1,set_target_2,set_target_3,set_target_4,set_target_5,set_target_6,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,tennisball_pos_0,tennisball_pos_1,tennisball_pos_2,tennisball_lin_vel_0,tennisball_lin_vel_1,tennisball_lin_vel_2,end_effector_pos_0,end_effector_pos_1,end_effector_pos_2,end_effector_rot_0,end_effector_rot_1,end_effector_rot_2,end_effector_rot_3,end_effector_lin_vel_0,end_effector_lin_vel_1,end_effector_lin_vel_2,obs_task_0,obs_task_1,obs_task_2,obs_task_3,obs_task_4,obs_task_5,obs_task_6,to_final_target_0,to_final_target_1,to_final_target_2,joint_acc_0,joint_acc_1,joint_acc_2,joint_acc_3,joint_acc_4,joint_acc_5,joint_acc_6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,-0.0056029647,0.0021800636,0.005918809,0.018901419,0.015245622,5.5872202e-05,0.02594102,3.1401794,-0.25424218,0.12611905,-4.2599797,-0.48681238,4.528109,0.5315549,-0.45356864,0.6905754,0.5745483,0.17512383,0.15255436,0.7848268,0.021834962,0.025121737,-0.0119176265,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7817636,-0.14762846,0.42680347,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,-0.018762613,0.00940268,0.012395003,-0.0036469225,0.0216553,0.015045497,0.019648286,3.1334498,-0.2611198,0.113771655,-4.257098,-0.49305928,4.4634027,0.5308566,-0.4593169,0.6954584,0.5745483,0.17512383,0.15255436,0.7848268,-0.02673902,0.009672085,-0.025711933,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7817636,-0.14762846,0.42680347,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,-0.0026454197,-0.0060075363,-0.004407091,-0.018199425,0.025837515,0.017112568,-0.024190156,3.1385505,-0.26164442,0.12743184,-4.3034124,-0.4349789,4.5450788,0.5315072,-0.46027288,0.69843966,0.5745483,0.17512383,0.15255436,0.7848268,-0.0010956323,0.018995686,-0.006794125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7817636,-0.14762846,0.42680347,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70.70648,139.20612,57.32274,-1.2572527,-1.745571,2.6533413,0.30723086,0.30573288,0.39596978,-0.05988585,0.0213399,0.33065373,0.22838682,0.012873588,1.8108091,-1.0250539,-1.821131,-1.1148767,1.9703808,1.1398494,-0.9150105,1.7816817,-1.0627817,-1.8154342,-1.116902,1.9382892,1.1172787,-0.9162616,0.18212786,0.24001293,-0.028801301,0.029033873,0.12492782,0.033667285,0.03096513,3.0970237,-0.25219485,0.17659682,-4.2628508,-0.5986031,4.3670597,0.53589386,-0.45067888,0.69525206,0.5741774,0.17443958,0.1528628,0.78519046,0.08732123,0.15018928,0.11469332,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7385192,-0.14253917,0.38207296,19.278477,24.923199,-3.8919384,1.4570172,13.001965,3.5524049,0.4642319
22.137192,150.72264,57.215946,16.007725,-0.6232495,4.2501287,-0.17567964,-0.0009218365,0.48187572,0.024960348,-0.08540559,0.13696465,0.33707026,0.06876611,1.7815895,-1.0145941,-1.8129382,-1.1254425,1.9519856,1.1509857,-0.909385,1.7836043,-1.0580305,-1.8157041,-1.1171566,1.94,1.1178824,-0.9161634,0.18567707,0.57425755,-0.020896465,-0.030783996,0.1565632,0.085458845,-0.015733536,3.0498066,-0.25869265,0.20286915,-4.3732185,-0.45614403,4.3071585,0.52518845,-0.44985628,0.6903647,0.57369816,0.17269173,0.15380952,0.7857421,0.018126426,0.28639314,0.28925094,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6953187,-0.13744798,0.33835664,-0.08997321,30.125206,1.6241875,-5.322972,5.559924,3.1587138,0.63623244
-35.779144,148.74486,51.29403,34.80647,0.91847235,5.5726566,-0.64794075,-0.27397838,0.59919703,0.12421539,-0.19275998,-0.010705419,0.25523743,0.11384649,1.7562064,-0.9981108,-1.8032826,-1.1364326,1.9389296,1.1434062,-0.9047787,1.7838532,-1.0502065,-1.8152673,-1.1184775,1.9416165,1.1187197,-0.9159679,-0.04591648,0.83276147,0.05548861,-0.1747486,0.14025365,0.07110159,0.0037016552,3.009994,-0.26364636,0.24591158,-4.360095,-0.4300427,4.3399005,0.5243962,-0.45069706,0.7067944,0.57364154,0.16980287,0.15559326,0.7860617,-0.06540553,0.36538568,0.44082052,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6521602,-0.13235465,0.2956531,-22.453552,30.972015,9.084352,-12.473524,-3.039199,1.8100753,1.1028644
-80.062126,123.33342,36.114296,51.028736,2.8512554,5.3086324,-1.1490489,-0.40842292,0.6787691,0.059225556,-0.09977152,0.026793262,0.2679406,0.12450562,1.7430109,-0.9823296,-1.8093448,-1.1284546,1.9442959,1.1455138,-0.9035173,1.7811085,-1.0396723,-1.8142421,-1.1205145,1.9428811,1.1197268,-0.91565794,-0.3356026,1.1100851,0.114699766,-0.20705771,0.10889302,0.11591096,0.042500284,2.9689412,-0.2740727,0.28985018,-4.2457557,-0.45181486,4.097422,0.52604467,-0.44456097,0.7008439,0.57463884,0.16598313,0.15809897,0.78564906,-0.25598332,0.3236296,0.61926347,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6090436,-0.12725917,0.25396094,-32.80891,25.872862,5.14777,-5.492264,-3.655672,1.3527066,1.2558684
-104.65454,89.17409,19.903526,59.769917,4.4041486,4.3465624,-1.4091944,-0.54373556,0.70220417,0.030237,-0.0023766372,0.06822245,0.2812379,0.13306063,1.726735,-0.96945184,-1.8112184,-1.1207522,1.9497033,1.1478505,-0.90235186,1.7749115,-1.0272526,-1.8130453,-1.1223599,1.9439187,1.120874,-0.9152321,-0.7169431,1.2694886,0.12801036,-0.18710852,0.09721931,0.1093469,0.019538771,2.910957,-0.2838765,0.34217167,-4.276018,-0.560017,4.035424,0.5280189,-0.43451267,0.7065506,0.57716954,0.16158843,0.16095299,0.78412914,-0.3927233,0.15474036,0.71772236,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.565969,-0.122161776,0.21327883,-35.570538,16.517471,0.9809315,4.211399,-1.8352792,1.0156035,1.2334108
-101.78742,66.8818,11.528198,59.213093,4.8803477,3.367786,-1.4054084,-0.6346322,0.73416245,0.020915428,0.09393008,0.08704512,0.27328196,0.16526067,1.7114483,-0.9538363,-1.8109537,-1.1129669,1.9526232,1.1482023,-0.8987061,1.765555,-1.0137457,-1.811981,-1.1231323,1.9449048,1.1221262,-0.914679,-1.017582,1.3440076,0.12155578,-0.066155024,0.08031526,0.118632175,0.056501545,2.8698072,-0.28998864,0.38389054,-4.3548455,-0.60109365,3.8517408,0.5266622,-0.43824893,0.7189558,0.58138335,0.15687968,0.16380177,0.7813776,-0.5942527,0.028108235,0.74640155,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5229354,-0.117062956,0.17360538,-30.706669,8.95617,-1.755403,12.734405,-0.1316756,0.57331324,1.3723336
-70.20319,58.658173,11.918732,47.33205,4.0296497,2.4542155,-1.0694418,-0.64400804,0.7640956,0.016525127,0.1602086,0.11556319,0.2804015,0.1909089,1.7011542,-0.9373361,-1.8103285,-1.1071115,1.9564611,1.1501664,-0.8955881,1.754028,-0.9996952,-1.8111904,-1.122356,1.9460177,1.1234661,-0.91398853,-1.2246437,1.430363,0.100491814,0.120662846,0.093025826,0.10872415,0.09205191,2.8269799,-0.295148,0.40850756,-4.3406816,-0.4587676,3.8919637,0.5108258,-0.44702443,0.72781825,0.5870013,0.15197031,0.1664417,0.77758056,-0.70491916,-0.13527015,0.8452508,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4799418,-0.11196223,0.13493931,-18.984055,4.2197943,-2.8734565,16.236856,1.7339021,0.5036026,1.3735547
