torque0,torque1,torque2,torque3,torque4,torque5,torque6,action0,action1,action2,action3,action4,action5,action6,set_target_0,set_target_1,set_target_2,set_target_3,set_target_4,set_target_5,set_target_6,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,tennisball_pos_0,tennisball_pos_1,tennisball_pos_2,tennisball_lin_vel_0,tennisball_lin_vel_1,tennisball_lin_vel_2,end_effector_pos_0,end_effector_pos_1,end_effector_pos_2,end_effector_rot_0,end_effector_rot_1,end_effector_rot_2,end_effector_rot_3,end_effector_lin_vel_0,end_effector_lin_vel_1,end_effector_lin_vel_2,obs_task_0,obs_task_1,obs_task_2,obs_task_3,obs_task_4,obs_task_5,obs_task_6,to_final_target_0,to_final_target_1,to_final_target_2,joint_acc_0,joint_acc_1,joint_acc_2,joint_acc_3,joint_acc_4,joint_acc_5,joint_acc_6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7853982,0,1.3264502,1.2217305,1.6057029,-0.9075712,1.5707964,0.7853982,0,1.3264502,1.2217305,1.6057029,-0.9075712,1.5707964,0,0,0,0,0,0,0,3.0116863,-0.44871545,0.42810175,-3.0279498,-0.00026048522,5.3680773,0.33081388,-0.32899427,0.9088952,0.7746776,-0.054232508,0.61539066,-0.1350104,0,0,0,1,0,0,0,0,0,0,-3.6616864,0.048715442,0.12189826,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7853982,0,1.3264502,1.2217305,1.6057029,-0.9075712,1.5707964,0.7853982,0,1.3264502,1.2217305,1.6057029,-0.9075712,1.5707964,0,0,0,0,0,0,0,3.0116863,-0.44871545,0.42810175,-3.0279498,-0.00026048522,5.3680773,0.33081388,-0.32899427,0.9088952,0.7746776,-0.054232508,0.61539066,-0.1350104,0,0,0,1,0,0,0,0,0,0,-3.6616864,0.048715442,0.12189826,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7853982,0,1.3264502,1.2217305,1.6057029,-0.9075712,1.5707964,0.7853982,0,1.3264502,1.2217305,1.6057029,-0.9075712,1.5707964,0,0,0,0,0,0,0,3.0116863,-0.44871545,0.42810175,-3.0279498,-0.00026048522,5.3680773,0.33081388,-0.32899427,0.9088952,0.7746776,-0.054232508,0.61539066,-0.1350104,0,0,0,1,0,0,0,0,0,0,-3.6616864,0.048715442,0.12189826,0,0,0,0,0,0,0
-13.547169,-23.359915,-12.704536,-56.004295,5.2535434,1.1674716,-0.33780402,-0.5848848,-0.23405075,0.65073,-0.59455174,0.06460488,-0.6901882,0.20079598,0.7269097,-0.023405075,1.3915232,1.1622753,1.6121633,-0.97659004,1.590876,0.78284425,-0.001068979,1.3293399,1.2191517,1.6061988,-0.9080223,1.5706133,-0.33902103,-0.14242788,0.38364854,-0.3435628,0.066204496,-0.06014468,-0.024233976,2.9814072,-0.44871783,0.48103565,-3.0279498,-0.00026048522,5.2684956,0.33026218,-0.3288617,0.91009974,0.77541816,-0.054922216,0.6143567,-0.13518897,-0.073519655,0.017601764,0.16048124,1,0,0,0,0,0,0,-3.6314073,0.048717827,0.06896436,-33.42587,-14.211994,37.864197,-34.321003,6.641648,-5.9867043,-2.411503
-10.290832,-43.462185,-10.237311,-47.979855,5.9732766,0.26836953,0.6224007,-0.091183454,-0.5271083,0.6305829,-0.48899907,0.12922896,-0.65505004,0.3058406,0.7737259,-0.05377981,1.3923981,1.1702518,1.6191217,-0.9735273,1.6011974,0.77911156,-0.0049610767,1.3360537,1.2134316,1.6072421,-0.90910184,1.5706037,-0.37926623,-0.47127283,0.7621758,-0.6476522,0.1168542,-0.12310552,0.0068348106,2.951128,-0.44872022,0.53297377,-3.0279498,-0.00026048522,5.168914,0.32913303,-0.32842302,0.9127748,0.7775798,-0.05656859,0.61167204,-0.13426459,-0.1264543,0.05281565,0.3030825,1,0,0,0,0,0,0,-3.601128,0.04872021,0.017026246,-2.3637354,-32.82529,36.308624,-30.255688,4.9685793,-6.0424953,3.143047
-17.819414,-55.269558,-18.136383,-39.16326,4.302801,1.0952436,0.24089731,0.093625344,-0.5857411,0.34072453,-0.5164244,-0.41548586,-0.6284118,0.3308539,0.7884741,-0.06353518,1.3701261,1.1617892,1.5656935,-0.971943,1.6036891,0.7765729,-0.012133564,1.3443736,1.2052128,1.6070514,-0.9107536,1.570949,-0.20261653,-0.7988998,0.84606266,-0.8795506,-0.06475026,-0.17898853,0.044260133,2.9208488,-0.4487226,0.583916,-3.0279498,-0.00026048522,5.069332,0.32732487,-0.3279674,0.9164539,0.7807006,-0.05903823,0.60787,-0.13234414,-0.20076717,0.043568477,0.38981897,1,0,0,0,0,0,0,-3.570849,0.048722595,-0.033915997,20.520582,-32.66034,5.6191087,-23.128628,-18.292492,-5.527997,3.90478
-22.339611,-52.55893,-22.110193,-30.968235,3.0553794,1.8345745,0.061906856,-0.13827403,-0.6006203,0.46751586,-0.53104675,-0.4051196,-0.61308473,0.2608401,0.7627455,-0.0721956,1.3911252,1.1521082,1.5665394,-0.9720621,1.597033,0.7750451,-0.021910287,1.353094,1.1954281,1.6049647,-0.9128984,1.5716013,-0.12506472,-1.0368819,0.8694265,-1.0116723,-0.2567103,-0.22693534,0.07288373,2.8905697,-0.448725,0.6338625,-3.0279498,-0.00026048522,4.9697504,0.3246975,-0.32786536,0.920645,0.78421193,-0.061903685,0.60353696,-0.13008735,-0.2868369,-0.00066784053,0.42944607,1,0,0,0,0,0,0,-3.5405698,0.04872498,-0.08386248,11.070815,-23.683823,-1.0241032,-13.254309,-19.240612,-4.975596,3.0848272
-16.404068,-29.66135,-15.74843,-19.636044,1.5832957,1.6836131,0.12130998,-0.26253933,-0.55195487,0.5452483,-0.43045846,-0.2960409,-0.6177067,0.32365975,0.74879116,-0.077105775,1.4076188,1.1523823,1.5753607,-0.9746691,1.6039672,0.77334946,-0.03298074,1.3620337,1.1854489,1.6015506,-0.9154695,1.5725435,-0.176631,-1.1302643,0.89381534,-0.99339586,-0.36944196,-0.26788923,0.10175525,2.8602905,-0.44872737,0.6828131,-3.0279498,-0.00026048522,4.8701687,0.3214326,-0.328238,0.9247832,0.7876923,-0.064662464,0.5991889,-0.12779738,-0.3443507,-0.049783044,0.4089233,1,0,0,0,0,0,0,-3.5102906,0.048727363,-0.1328131,-2.8070836,-9.287715,-0.054895878,1.7934918,-11.212063,-4.331651,3.0008838
-22.178802,-30.922863,-20.958,-16.497622,0.95384365,2.467609,-0.045116078,-0.4103713,-0.6015788,0.5394958,-0.44259578,-0.41444924,-0.6052833,0.3589504,0.7323123,-0.09313862,1.4159833,1.1411893,1.5601057,-0.97599787,1.6084385,0.7701823,-0.044534028,1.3710784,1.1760094,1.5970607,-0.9183868,1.5737623,-0.3554226,-1.1635228,0.8989831,-0.92748183,-0.4746754,-0.30039418,0.12872775,2.8300114,-0.44872975,0.73076797,-3.0279498,-0.00026048522,4.770587,0.3174653,-0.32932067,0.928563,0.7908391,-0.06687933,0.5951768,-0.12595735,-0.41908458,-0.12838298,0.36789155,1,0,0,0,0,0,0,-3.4800115,0.048729748,-0.18076795,-15.476686,-3.276515,-2.1351457,6.5992,-10.285801,-3.4551382,2.6996717
-24.730936,-33.766983,-23.134052,-14.9155855,1.0095658,2.7380185,0.07297525,-0.50819254,-0.65995556,0.5732137,-0.40920037,-0.36930126,-0.61387014,0.42167684,0.71936303,-0.11052959,1.4283998,1.1350894,1.5601306,-0.9797738,1.61593,0.76481694,-0.056354403,1.3802699,1.1674359,1.5919356,-0.92158735,1.5752672,-0.58860767,-1.1880726,0.91649413,-0.8337408,-0.52416897,-0.32709134,0.1573576,2.7997322,-0.44873214,0.77772695,-3.0279498,-0.00026048522,4.6710052,0.31268883,-0.33126307,0.93189037,0.7936488,-0.06825622,0.59153533,-0.124694295,-0.50212395,-0.21648541,0.3210273,1,0,0,0,0,0,0,-3.4497323,0.04873213,-0.22772694,-20.83372,-2.4139643,-1.0020852,9.397054,-4.664099,-2.801323,2.810979
-21.878868,-28.520184,-20.117771,-13.111667,1.0255567,2.4593544,0.23819995,-0.5991779,-0.66731495,0.6044388,-0.32811895,-0.29923585,-0.6157613,0.45182785,0.70489913,-0.1230859,1.4407138,1.134624,1.5620121,-0.9831635,1.62045,0.75707215,-0.06832945,1.3897628,1.1600392,1.5867496,-0.9250177,1.5770506,-0.82874846,-1.2006128,0.95168614,-0.708282,-0.5159997,-0.34860578,0.18498679,2.769453,-0.44873452,0.8236902,-3.0279498,-0.00026048522,4.5714235,0.30715656,-0.3340206,0.9346981,0.796221,-0.068664886,0.58820486,-0.12382307,-0.575062,-0.29496157,0.26747838,1,0,0,0,0,0,0,-3.4194531,0.048734516,-0.27369016,-21.694136,-1.2416363,0.95449686,12.563229,1.0517001,-2.2263527,2.6986778
-16.282959,-16.142931,-13.450691,-23.89783,1.8642985,1.7975615,0.049378633,-0.6193547,-0.66841906,0.59199023,-0.43977895,-0.2827264,-0.6557017,0.4570831,0.69513667,-0.13517135,1.4489617,1.1160613,1.5584769,-0.9905879,1.6227589,0.7474658,-0.080363154,1.3994521,1.1531346,1.5818248,-0.92867696,1.5790895,-0.9930437,-1.2041409,0.9620281,-0.68504286,-0.48400047,-0.37281463,0.21055801,2.739174,-0.4487369,0.8686575,-3.0279498,-0.00026048522,4.471842,0.30094814,-0.3372805,0.937325,0.79873633,-0.06843604,0.58491766,-0.12332049,-0.64101154,-0.33485055,0.26136094,1,0,0,0,0,0,0,-3.389174,0.0487369,-0.31865752,-12.962521,-0.30462742,-2.7194023,2.1300673,3.3780873,-2.758205,2.6387362
-11.169215,-6.661951,-7.5649714,-29.099976,2.3323743,1.2113857,0.0037781298,-0.64763075,-0.67574036,0.5984604,-0.45389757,-0.23651442,-0.657494,0.4592392,0.6827027,-0.1479372,1.4592981,1.1077448,1.5581733,-0.99442637,1.6250135,0.73671883,-0.09242523,1.4091834,1.1460812,1.5773673,-0.9325651,1.5813631,-1.08965,-1.2066729,0.96359277,-0.7132794,-0.43242413,-0.39596835,0.2336109,2.7088947,-0.4487393,0.9126291,-3.0279498,-0.00026048522,4.37226,0.29416704,-0.34073544,0.94007045,0.80135506,-0.06791598,0.5814303,-0.12311061,-0.69550294,-0.3465498,0.27935746,1,0,0,0,0,0,0,-3.3588948,0.048739284,-0.36262912,-5.987048,-0.18880367,-3.823638,-3.1627893,5.274749,-2.8482199,2.5031657
-5.9790435,3.1372664,-1.828357,-31.492208,2.3481574,0.6651598,-0.100024804,-0.6490602,-0.66996264,0.5911466,-0.4717003,-0.28339046,-0.6690545,0.4566311,0.67181283,-0.1594215,1.4682981,1.0989112,1.5490283,-0.99947053,1.6270262,0.725475,-0.104470015,1.4188575,1.1385262,1.5732284,-0.9366764,1.5838426,-1.1245474,-1.2035451,0.95634526,-0.77086055,-0.4075293,-0.4185132,0.25351,2.6786156,-0.44874167,0.95560485,-3.0279498,-0.00026048522,4.2726784,0.2869668,-0.34414458,0.94306546,0.80409527,-0.06740558,0.5776869,-0.123146,-0.733701,-0.33615673,0.30645603,1,0,0,0,0,0,0,-3.3286157,0.04874167,-0.40560484,-0.07061958,0.37703514,-4.4427276,-6.1960936,2.546811,-2.9296756,2.2545843
-3.1198273,6.9942746,1.0518018,-28.975357,2.205826,0.38260633,-0.0016289279,-0.66727483,-0.6750441,0.6036017,-0.44348022,-0.23164639,-0.67573917,0.46053255,0.65874755,-0.17197442,1.4792176,1.0941782,1.5500637,-1.0042503,1.6298959,0.7140643,-0.11650109,1.4285411,1.1305668,1.5693927,-0.94099367,1.5864996,-1.1372962,-1.2028153,0.9622224,-0.8054991,-0.3756581,-0.4383749,0.27066067,2.6483364,-0.44874406,0.99758476,-3.0279498,-0.00026048522,4.1730967,0.27947998,-0.34739947,0.94626325,0.80696005,-0.06700085,0.57369995,-0.12326696,-0.7592971,-0.31870645,0.3242677,1,0,0,0,0,0,0,-3.2983365,0.048744053,-0.44758475,1.5079498,0.11589527,-2.4523258,-3.8918614,3.1818748,-2.6462615,1.9914985
-2.4865701,7.5727005,1.7700957,-27.036665,2.0480037,0.32581753,0.032603182,-0.6700734,-0.6805934,0.5953082,-0.4459484,-0.22768556,-0.67837435,0.4629429,0.64705694,-0.18456043,1.4880719,1.085972,1.5466242,-1.0088311,1.6327939,0.7026202,-0.12855609,1.4382838,1.1223843,1.5658183,-0.9454874,1.5893091,-1.1389943,-1.2062887,0.9697878,-0.8240182,-0.35144234,-0.45513183,0.28516182,2.6180573,-0.44874644,1.0385689,-3.0279498,-0.00026048522,4.073515,0.27177286,-0.35048532,0.94957864,0.809931,-0.06669879,0.56951,-0.123375125,-0.78034776,-0.30171996,0.33401087,1,0,0,0,0,0,0,-3.2680573,0.048746437,-0.48856884,2.1568775,-0.31728745,-1.7997146,-2.269268,2.3854911,-2.3115396,1.7243564
-2.4400215,7.324352,1.8907745,-25.109293,1.93808,0.33170158,0.0851735,-0.67291445,-0.6846072,0.5952992,-0.43949097,-0.19384284,-0.68067867,0.45775816,0.63532877,-0.1970168,1.4978137,1.0784352,1.546434,-1.0135553,1.6350849,0.6911723,-0.14066894,1.4481181,1.1141541,1.5625243,-0.95012605,1.5922407,-1.1402444,-1.2128663,0.98084897,-0.82414365,-0.32240096,-0.4688571,0.29660437,2.587778,-0.44874883,1.0785571,-3.0279498,-0.00026048522,3.9739332,0.26387167,-0.35341978,0.9529363,0.81300056,-0.06645856,0.56514066,-0.12340673,-0.7993086,-0.2870633,0.33624506,1,0,0,0,0,0,0,-3.2377782,0.04874882,-0.5285571,1.842618,-0.6392479,-1.0694146,-0.4093051,2.8472006,-1.9708574,1.4119089
-2.3284562,8.646836,2.4646683,-25.624237,1.8283184,0.31655747,-0.010580733,-0.6572318,-0.68505645,0.5849991,-0.46799994,-0.2525176,-0.6824073,0.45887724,0.6254491,-0.20917459,1.506618,1.0673541,1.5372726,-1.0183668,1.6381284,0.6797864,-0.15284331,1.4580077,1.1058438,1.5592875,-0.95488584,1.5952696,-1.1320403,-1.2189002,0.98502916,-0.83450806,-0.324235,-0.4804683,0.3060403,2.557499,-0.4487512,1.1175495,-3.0279498,-0.00026048522,3.8743515,0.25578737,-0.35620213,0.95632166,0.81611115,-0.06632023,0.56064904,-0.12343764,-0.81731606,-0.27151808,0.3389681,1,0,0,0,0,0,0,-3.207499,0.048751205,-0.5675495,2.6388884,-0.5861044,-1.597476,-1.4562368,-0.2479732,-1.7780304,1.2128174
