torque0,torque1,torque2,torque3,torque4,torque5,torque6,action0,action1,action2,action3,action4,action5,action6,set_target_0,set_target_1,set_target_2,set_target_3,set_target_4,set_target_5,set_target_6,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_disc_0,joint_vel_disc_1,joint_vel_disc_2,joint_vel_disc_3,joint_vel_disc_4,joint_vel_disc_5,joint_vel_disc_6,tennisball_pos_0,tennisball_pos_1,tennisball_pos_2,tennisball_lin_vel_0,tennisball_lin_vel_1,tennisball_lin_vel_2,end_effector_pos_0,end_effector_pos_1,end_effector_pos_2,end_effector_rot_0,end_effector_rot_1,end_effector_rot_2,end_effector_rot_3,end_effector_lin_vel_0,end_effector_lin_vel_1,end_effector_lin_vel_2,obs_task_0,obs_task_1,obs_task_2,obs_task_3,obs_task_4,obs_task_5,obs_task_6,to_final_target_0,to_final_target_1,to_final_target_2,joint_acc_0,joint_acc_1,joint_acc_2,joint_acc_3,joint_acc_4,joint_acc_5,joint_acc_6,joint_acc_disc_0,joint_acc_disc_1,joint_acc_disc_2,joint_acc_disc_3,joint_acc_disc_4,joint_acc_disc_5,joint_acc_disc_6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7853982,0,1.3264502,1.2217305,1.6057029,-0.9075712,1.5707964,0.7853982,0,1.3264502,1.2217305,1.6057029,-0.9075712,1.5707964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9512472,-0.43829584,0.46755284,-3.0511858,0.17827632,5.2164598,0.33081388,-0.32899427,0.9088952,0.7746776,-0.054232508,0.61539066,-0.1350104,0,0,0,1,0,0,0,0,0,0,-3.6012473,0.038295835,0.08244717,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.6843683,0.4736538,1.7547289,-42.629265,3.7756133,0.16193429,-0.129788,-0.13689557,-0.27941445,0.5802014,-0.6794304,0.25716954,0.5950745,-0.22397321,0.7717086,-0.027941445,1.3844703,1.1537874,1.6314198,-0.84806377,1.5483991,0.7852871,-0.00022632546,1.3269204,1.2211802,1.6057668,-0.90749824,1.5707687,-0.022176629,-0.045265093,0.093992,-0.11006781,0.012858556,0.014579247,-0.005487349,-0.022220612,-0.04526509,0.09403229,-0.110054016,0.012779236,0.014591217,-0.005531311,2.9359913,-0.4374044,0.4933899,-3.0511858,0.17827632,5.16741,0.33078957,-0.32889485,0.90915394,0.774848,-0.054405224,0.61516386,-0.13499582,-0.004675048,0.019904513,0.051734116,1,0,0,0,0,0,0,-3.5859914,0.03740439,0.056610107,-4.4353256,-9.053019,18.7984,-22.013561,2.571711,2.9158494,-1.0974698,-4.4441223,-9.053018,18.806458,-22.010803,2.5558472,2.9182434,-1.1062622
-1.1483705,-19.874138,-1.4632088,-40.57052,4.624923,0.08665367,0.3603863,0.28146523,-0.6953341,0.63336134,-0.7006355,0.5549907,0.62388307,-0.37242365,0.8134336,-0.069759734,1.3902565,1.1511166,1.6612659,-0.84510994,1.5335263,0.7854044,-0.0010158638,1.3279036,1.2200625,1.6059699,-0.907349,1.5706953,0.023426818,-0.1579077,0.19658734,-0.22357035,0.04059584,0.029865954,-0.014594069,0.023460388,-0.15790768,0.19664764,-0.22354126,0.040626526,0.029850006,-0.0146865845,2.9207354,-0.43651295,0.5189817,-3.0511858,0.17827632,5.11836,0.33072948,-0.32869983,0.9096877,0.7753171,-0.054758925,0.6145963,-0.13474484,-0.012170024,0.03886934,0.10673865,1,0,0,0,0,0,0,-3.5707355,0.03651294,0.031018317,9.120689,-22.52852,20.519068,-22.700508,5.547457,3.0573416,-1.821344,9.1362,-22.528517,20.523071,-22.697449,5.569458,3.0517578,-1.8310547
-5.0375347,-26.142447,-5.295427,-36.828197,4.3698835,0.49402872,0.42141214,0.23161994,-0.7315417,0.6113353,-0.6689953,0.62287426,0.6273376,-0.44829375,0.8085664,-0.07417004,1.3890371,1.153163,1.6682574,-0.8446152,1.5258659,0.7857234,-0.0023694101,1.3293227,1.2184718,1.6063237,-0.9071263,1.5705684,0.06375574,-0.2707093,0.28375924,-0.31808078,0.07080856,0.044526093,-0.025278326,0.06380081,-0.27070925,0.28381348,-0.31814575,0.070762634,0.04453659,-0.025367737,2.9054794,-0.4356215,0.5443283,-3.0511858,0.17827632,5.06931,0.33060074,-0.3284583,0.91045517,0.7760674,-0.055233832,0.6137099,-0.13427106,-0.025550082,0.048283305,0.15347719,1,0,0,0,0,0,0,-3.5554795,0.035621494,0.0056717396,8.065785,-22.560322,17.43438,-18.902088,6.042544,2.9320278,-2.1368515,8.068085,-22.560314,17.433167,-18.920898,6.0272217,2.937317,-2.1362305
-3.979296,-22.20879,-4.175349,-34.113415,3.985341,0.44955754,0.42153296,0.26191315,-0.7373984,0.62749135,-0.6520787,0.6314744,0.6220718,-0.42536104,0.8119147,-0.07610925,1.3920718,1.1532639,1.6694711,-0.84491915,1.5280323,0.7862398,-0.0042207288,1.3311261,1.2164938,1.6068215,-0.90683496,1.5703939,0.10323663,-0.3702638,0.3606126,-0.39555207,0.09947791,0.05831162,-0.03494464,0.10328293,-0.37026373,0.36067963,-0.3955841,0.0995636,0.0582695,-0.03490448,2.8902235,-0.43473005,0.5694296,-3.0511858,0.17827632,5.0202603,0.33041906,-0.32817435,0.91141707,0.7770655,-0.055808317,0.6125439,-0.13358311,-0.036438335,0.056793038,0.19237149,1,0,0,0,0,0,0,-3.5402236,0.034730047,-0.019429564,7.8961773,-19.910896,15.370673,-15.494257,5.73387,2.7571054,-1.9332625,7.8964233,-19.910896,15.37323,-15.487671,5.760193,2.746582,-1.9073486
-1.13544,-15.239185,-1.2948397,-32.296917,3.6408155,0.22563407,0.4041486,0.33348414,-0.7336141,0.63419336,-0.6459092,0.6339562,0.61889905,-0.41016772,0.81958824,-0.07758214,1.3945454,1.1519029,1.6702172,-0.8449451,1.5293771,0.78698605,-0.006495678,1.3332642,1.2141936,1.6074519,-0.9064783,1.5701755,0.14922807,-0.45498952,0.4275644,-0.4601046,0.12614019,0.07130162,-0.04370996,0.14925003,-0.45498982,0.42762756,-0.4600525,0.12607574,0.07133484,-0.043678284,2.8749676,-0.4338386,0.5942856,-3.0511858,0.17827632,4.9712105,0.33021116,-0.32783365,0.9125429,0.77828026,-0.05648233,0.61113364,-0.13268492,-0.041987445,0.068156965,0.22523005,1,0,0,0,0,0,0,-3.5249677,0.0338386,-0.044285595,9.198287,-16.945148,13.390362,-12.910509,5.3324566,2.5979996,-1.7530643,9.19342,-16.945219,13.389587,-12.893677,5.302429,2.6130676,-1.7547607
0.78456205,-9.944166,0.67863166,-30.900757,3.3589225,0.08628449,0.379942,0.3901384,-0.7336543,0.63433826,-0.6442186,0.63415915,0.6170699,-0.40092462,0.8259999,-0.07986111,1.396698,1.1497717,1.6708678,-0.84477127,1.5300831,0.7879831,-0.009131554,1.3356885,1.2116206,1.6082063,-0.9060606,1.5699171,0.19942008,-0.5271754,0.48485202,-0.51462674,0.15077774,0.08357623,-0.05177784,0.1994133,-0.5271751,0.48484802,-0.51460266,0.15087128,0.08354187,-0.051689148,2.8597116,-0.43294716,0.6188964,-3.0511858,0.17827632,4.9221606,0.32999516,-0.3274274,0.9138091,0.7796847,-0.05725201,0.6095074,-0.13158494,-0.044025805,0.08116312,0.2533517,1,0,0,0,0,0,0,-3.5097117,0.032947153,-0.06889641,10.038403,-14.4371805,11.4575205,-10.904426,4.9275103,2.4549232,-1.6135759,10.032654,-14.437061,11.444092,-10.910034,4.9591064,2.4414062,-1.6021729
1.6832678,-6.400999,1.6575172,-29.698606,3.1181593,0.043850116,0.35201013,0.42329508,-0.7334828,0.6353894,-0.6422971,0.63413286,0.6158185,-0.395064,0.8303126,-0.08247983,1.3992274,1.1473908,1.6716195,-0.8444787,1.5304106,0.7892291,-0.012074831,1.3383578,1.2088168,1.6090741,-0.9055847,1.5696205,0.24918802,-0.58865595,0.53387344,-0.5607152,0.17354171,0.095182665,-0.05926969,0.2491951,-0.5886555,0.5338669,-0.5607605,0.17356873,0.0951767,-0.059318542,2.8444557,-0.4320557,0.64326197,-3.0511858,0.17827632,4.873111,0.3297758,-0.32695532,0.91519624,0.7812539,-0.058109652,0.60769033,-0.13029967,-0.04444788,0.094229706,0.27746275,1,0,0,0,0,0,0,-3.4944558,0.032055706,-0.09326196,9.9535885,-12.296104,9.804285,-9.217691,4.5527935,2.3212864,-1.4983699,9.95636,-12.296068,9.803772,-9.231567,4.5394897,2.3269653,-1.5258789
1.8850996,-4.108198,1.9580483,-28.659557,2.9109852,0.06617886,0.3223635,0.4405485,-0.7329276,0.63640314,-0.64065135,0.6339909,0.6147736,-0.39021683,0.83328396,-0.08536759,1.4019982,1.1447517,1.6724732,-0.84410733,1.5305988,0.79070634,-0.015279579,1.341237,1.2058184,1.6100469,-0.905054,1.5692896,0.2954264,-0.64094913,0.57584924,-0.59966415,0.19454823,0.10616777,-0.06624819,0.2954483,-0.6409496,0.57582855,-0.5996704,0.19454956,0.10614395,-0.066185,2.8291998,-0.43116426,0.6673823,-3.0511858,0.17827632,4.824061,0.32955885,-0.32642293,0.9166865,0.7829648,-0.05904202,0.60570484,-0.12884803,-0.04453596,0.106311105,0.2981487,1,0,0,0,0,0,0,-3.4792,0.031164259,-0.11738229,9.247676,-10.458636,8.395159,-7.7897906,4.201305,2.1970212,-1.3957009,9.250641,-10.458827,8.392334,-7.7819824,4.196167,2.193451,-1.373291
1.6165655,-2.7414503,1.8003441,-27.77932,2.7353332,0.12993184,0.29258007,0.4462085,-0.7327948,0.63751924,-0.6398084,0.6337599,0.6139958,-0.38778955,0.8353272,-0.08855906,1.4049889,1.1418376,1.6734228,-0.8436544,1.5305107,0.79238766,-0.018706936,1.3442963,1.2026551,1.6111169,-0.9044713,1.5689253,0.3363046,-0.6854726,0.6118303,-0.6326612,0.21394141,0.11656603,-0.07279179,0.33626556,-0.6854715,0.61187744,-0.63266754,0.21400452,0.116539,-0.07286072,2.8139439,-0.43027282,0.69125736,-3.0511858,0.17827632,4.775011,0.32934046,-0.3258381,0.9182657,0.78479713,-0.06003624,0.6035695,-0.12725173,-0.04515313,0.11676386,0.31595448,1,0,0,0,0,0,0,-3.463944,0.030272812,-0.14125735,8.175641,-8.9046955,7.196212,-6.5994143,3.8786352,2.0796523,-1.3087199,8.163452,-8.904373,7.209778,-6.5994263,3.8909912,2.07901,-1.335144
