pure_target_joint_0,pure_target_joint_1,pure_target_joint_2,pure_target_joint_3,pure_target_joint_4,pure_target_joint_5,pure_target_joint_6,target_joint_0,target_joint_1,target_joint_2,target_joint_3,target_joint_4,target_joint_5,target_joint_6,pos_joint_0,pos_joint_1,pos_joint_2,pos_joint_3,pos_joint_4,pos_joint_5,pos_joint_6,vel_joint_0,vel_joint_1,vel_joint_2,vel_joint_3,vel_joint_4,vel_joint_5,vel_joint_6,vel_smooth_joint_0,vel_smooth_joint_1,vel_smooth_joint_2,vel_smooth_joint_3,vel_smooth_joint_4,vel_smooth_joint_5,vel_smooth_joint_6,ee_pos_x,ee_pos_y,ee_pos_z,ee_or_w,ee_or_x,ee_or_y,ee_or_z,ee_vel_x,ee_vel_y,ee_vel_z,ball_pos_x,ball_pos_y,ball_pos_z,ball_raw_vx,ball_raw_vy,ball_raw_vz,ball_ema_vx,ball_ema_vy,ball_ema_vz,action_0,action_1,action_2,action_3,action_4,action_5,action_6,command_published
2.65931,-1.67985,1.69869,1.07184,1.3633,-1.34626,-2.79785,-66.252,-18.7948,-6.10898,1.18275,-22.4377,16.2591,0.805112,2.65011,-1.60871,1.77353,1.0033,1.42838,-1.42068,-2.85376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700039,9.83407e-05,0.564303,-0.382535,0.000123184,0.000128282,0.923941,0,0,0,2.9891,-0.539341,0.963948,-3.97307,-0.334269,3.76468,-3.9792,-0.330135,3.81427,0.0919997,-0.711414,-0.748364,0.685414,-0.65085,0.744192,0.559052,1
2.65885,-1.68017,1.69866,1.07188,1.36343,-1.34619,-2.79791,-66.2654,-18.8035,-6.11277,1.18271,-22.4323,16.2608,0.801674,2.65011,-1.60871,1.77353,1.0033,1.42838,-1.42068,-2.85376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700039,9.83407e-05,0.564303,-0.382535,0.000123184,0.000128282,0.923941,0,0,0,2.9493,-0.542561,1.00071,-3.91118,-0.316505,3.61276,-3.93158,-0.320594,3.67321,0.0873701,-0.714585,-0.748679,0.685816,-0.64956,0.74482,0.558512,1
2.64599,-1.68018,1.69844,1.07264,1.36349,-1.34597,-2.79782,-66.3124,-18.796,-6.11643,1.17686,-22.5514,16.3481,0.877388,2.65011,-1.60871,1.77353,1.0033,1.42838,-1.42068,-2.85376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700039,9.83407e-05,0.564303,-0.382535,0.000123184,0.000128282,0.923941,0,0,0,2.90928,-0.545753,1.03642,-4.0961,-0.326705,3.65551,-4.04675,-0.324871,3.66082,-0.0412867,-0.714703,-0.750902,0.693395,-0.648968,0.747043,0.559376,1
2.64694,-1.68048,1.69842,1.07261,1.36358,-1.34591,-2.79781,-66.3121,-18.8052,-6.11974,1.17745,-22.5316,16.3379,0.865372,2.65011,-1.60871,1.77353,1.0033,1.42838,-1.42068,-2.85376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700039,9.83407e-05,0.564303,-0.382535,0.000123184,0.000128282,0.923941,0,0,0,2.86955,-0.548898,1.07108,-3.95812,-0.313392,3.45266,-3.98471,-0.316836,3.5151,-0.0316937,-0.717656,-0.751041,0.693104,-0.647996,0.747619,0.559446,1
2.66702,-1.68132,1.69883,1.07121,1.36417,-1.34626,-2.79896,-66.3478,-18.8456,-6.12434,1.18705,-22.3319,16.2189,0.732827,2.65011,-1.60871,1.77353,1.0033,1.42838,-1.42068,-2.85376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700039,9.83407e-05,0.564303,-0.382535,0.000123184,0.000128282,0.923941,0,0,0,2.82986,-0.552103,1.10486,-3.4198,-0.276143,2.91055,-3.58927,-0.288351,3.09192,0.169052,-0.72614,-0.746991,0.67909,-0.64218,0.744167,0.548006,1
2.61331,-1.68001,1.69788,1.07532,1.36355,-1.3457,-2.79805,-66.3263,-18.825,-6.15397,1.16295,-22.7639,16.499,1.0267,2.65011,-1.60871,1.77353,1.0033,1.42838,-1.42068,-2.85376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700039,9.83407e-05,0.564303,-0.382535,0.000123184,0.000128282,0.923941,0,0,0,2.79001,-0.555307,1.13769,-4.77175,-0.383504,3.93125,-4.417,-0.354958,3.67945,-0.368073,-0.712965,-0.756455,0.720168,-0.648353,0.749791,0.557127,1
2.64916,-1.68125,1.69839,1.07261,1.36401,-1.34572,-2.79806,-66.3387,-18.8293,-6.12637,1.17892,-22.4939,16.324,0.840632,2.65011,-1.60871,1.77353,1.0033,1.42838,-1.42068,-2.85376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700039,9.83407e-05,0.564303,-0.382535,0.000123184,0.000128282,0.923941,0,0,0,2.75024,-0.558536,1.16964,-3.54915,-0.288188,2.85057,-3.80951,-0.308219,3.09923,-0.00957074,-0.725432,-0.751349,0.693035,-0.643704,0.749568,0.557002,1
2.61393,-1.6804,1.69787,1.07549,1.36375,-1.34559,-2.79808,-66.3381,-18.8356,-6.15691,1.16354,-22.7517,16.4961,1.01938,2.65011,-1.60871,1.77353,1.0033,1.42838,-1.42068,-2.85376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700039,9.83407e-05,0.564303,-0.382535,0.000123184,0.000128282,0.923941,0,0,0,2.7105,-0.561981,1.20066,-4.55009,-0.394432,3.55244,-4.32792,-0.368568,3.41648,-0.361881,-0.7169,-0.756544,0.721878,-0.646336,0.75082,0.556757,1
2.64067,-1.68133,1.6983,1.07335,1.36406,-1.34552,-2.79788,-66.3514,-18.8303,-6.13119,1.17526,-22.5643,16.3749,0.888075,2.65011,-1.60871,1.77353,1.0033,1.42838,-1.42068,-2.85376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700039,9.83407e-05,0.564303,-0.382535,0.000123184,0.000128282,0.923941,0,0,0,2.67075,-0.565465,1.23065,-3.62693,-0.317986,2.73635,-3.83723,-0.333161,2.94039,-0.0944824,-0.726163,-0.752313,0.700438,-0.643201,0.751579,0.558748,1
2.62908,-1.68127,1.6981,1.0742,1.36397,-1.34547,-2.79787,-66.3581,-18.8363,-6.14423,1.17023,-22.6404,16.429,0.941341,2.65011,-1.60871,1.77353,1.0033,1.42838,-1.42068,-2.85376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700039,9.83407e-05,0.564303,-0.382535,0.000123184,0.000128282,0.923941,0,0,0,2.6311,-0.568942,1.2595,-4.03005,-0.353318,2.93269,-3.9722,-0.347271,2.935,-0.210379,-0.7256,-0.754302,0.708925,-0.644106,0.752066,0.558922,1
