pure_target_joint_0,pure_target_joint_1,pure_target_joint_2,pure_target_joint_3,pure_target_joint_4,pure_target_joint_5,pure_target_joint_6,target_joint_0,target_joint_1,target_joint_2,target_joint_3,target_joint_4,target_joint_5,target_joint_6,pos_joint_0,pos_joint_1,pos_joint_2,pos_joint_3,pos_joint_4,pos_joint_5,pos_joint_6,vel_joint_0,vel_joint_1,vel_joint_2,vel_joint_3,vel_joint_4,vel_joint_5,vel_joint_6,vel_smooth_joint_0,vel_smooth_joint_1,vel_smooth_joint_2,vel_smooth_joint_3,vel_smooth_joint_4,vel_smooth_joint_5,vel_smooth_joint_6,ee_pos_x,ee_pos_y,ee_pos_z,ee_or_w,ee_or_x,ee_or_y,ee_or_z,ee_vel_x,ee_vel_y,ee_vel_z,ball_pos_x,ball_pos_y,ball_pos_z,ball_raw_vx,ball_raw_vy,ball_raw_vz,ball_ema_vx,ball_ema_vy,ball_ema_vz,action_0,action_1,action_2,action_3,action_4,action_5,action_6,command_published
2.67993,-1.68275,1.69967,1.06778,1.36661,-1.34711,-2.80189,-66.5693,-18.9231,-6.14696,1.19222,-22.1579,16.1715,0.602352,2.65011,-1.60863,1.77353,1.00331,1.42838,-1.42069,-2.85376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700016,0.000107426,0.564358,-0.382538,8.56916e-05,0.000159774,0.92394,0,0,0,2.97146,-0.553957,1.07573,-2.96673,0.0552693,3.44011,-2.98008,0.0545464,3.50765,0.298182,-0.741206,-0.738674,0.644602,-0.617713,0.735821,0.518687,1
2.6736,-1.68279,1.6994,1.06858,1.36637,-1.34682,-2.80133,-66.559,-18.9112,-6.14493,1.18954,-22.2233,16.2101,0.646533,2.65011,-1.60863,1.77353,1.00331,1.42838,-1.42069,-2.85376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700016,0.000107426,0.564358,-0.382538,8.56916e-05,0.000159774,0.92394,0,0,0,2.94121,-0.553442,1.11009,-3.12645,0.0532108,3.55034,-3.08254,0.0536115,3.53753,0.234901,-0.741672,-0.741372,0.652635,-0.620177,0.738694,0.524342,1
2.6729,-1.68301,1.69933,1.06857,1.36649,-1.34677,-2.8014,-66.5705,-18.9172,-6.14765,1.18929,-22.2226,16.2135,0.645606,2.65011,-1.60863,1.77353,1.00331,1.42838,-1.42069,-2.85376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700016,0.000107426,0.564358,-0.382538,8.56916e-05,0.000159774,0.92394,0,0,0,2.91084,-0.552873,1.14348,-3.06175,0.0573899,3.36692,-3.06798,0.0562564,3.4181,0.227866,-0.743844,-0.742022,0.652597,-0.618929,0.739253,0.523624,1
2.67493,-1.6832,1.69938,1.0684,1.36676,-1.3468,-2.8017,-66.5871,-18.9275,-6.14976,1.19031,-22.1993,16.2032,0.629366,2.65011,-1.60863,1.77353,1.00331,1.42838,-1.42069,-2.85376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700016,0.000107426,0.564358,-0.382538,8.56916e-05,0.000159774,0.92394,0,0,0,2.88051,-0.552392,1.17582,-2.96905,0.0470911,3.16541,-2.99873,0.0498407,3.24121,0.248213,-0.745703,-0.741551,0.650892,-0.616277,0.738938,0.520593,1
2.67439,-1.68338,1.69932,1.06836,1.36687,-1.34676,-2.8018,-66.5996,-18.9329,-6.15222,1.1901,-22.1978,16.206,0.627733,2.65011,-1.60863,1.77353,1.00331,1.42838,-1.42069,-2.85376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700016,0.000107426,0.564358,-0.382538,8.56916e-05,0.000159774,0.92394,0,0,0,2.85023,-0.551785,1.20722,-2.9683,0.0594629,3.0782,-2.97743,0.0565762,3.1271,0.242813,-0.747533,-0.742145,0.650403,-0.615098,0.739296,0.519585,1
2.66941,-1.68349,1.69909,1.06878,1.36676,-1.34657,-2.80146,-66.5933,-18.9289,-6.15387,1.1879,-22.2386,16.2314,0.655281,2.65011,-1.60863,1.77353,1.00331,1.42838,-1.42069,-2.85376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700016,0.000107426,0.564358,-0.382538,8.56916e-05,0.000159774,0.92394,0,0,0,2.81977,-0.551219,1.23763,-3.08136,0.0573132,3.07751,-3.05018,0.0570921,3.09239,0.192957,-0.748653,-0.744463,0.654628,-0.616267,0.741253,0.52296,1
2.66878,-1.68364,1.69902,1.06875,1.36689,-1.34652,-2.80155,-66.6017,-18.9341,-6.15614,1.18764,-22.238,16.2338,0.654364,2.65011,-1.60863,1.77353,1.00331,1.42838,-1.42069,-2.85376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700016,0.000107426,0.564358,-0.382538,8.56916e-05,0.000159774,0.92394,0,0,0,2.78936,-0.55063,1.26699,-3.02587,0.0585548,2.92028,-3.03316,0.058116,2.97191,0.186663,-0.750166,-0.745161,0.654378,-0.614973,0.741725,0.522083,1
2.66353,-1.68375,1.6988,1.06909,1.36685,-1.34634,-2.80129,-66.5972,-18.9326,-6.15913,1.18525,-22.277,16.2592,0.680599,2.65011,-1.60863,1.77353,1.00331,1.42838,-1.42069,-2.85376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700016,0.000107426,0.564358,-0.382538,8.56916e-05,0.000159774,0.92394,0,0,0,2.75903,-0.550023,1.29531,-3.11906,0.0623993,2.91292,-3.09329,0.0611143,2.93062,0.13416,-0.751225,-0.747347,0.657709,-0.615378,0.743509,0.524657,1
2.66803,-1.68391,1.69892,1.06873,1.36718,-1.34644,-2.80174,-66.6186,-18.944,-6.15957,1.18738,-22.2359,16.2378,0.651887,2.65011,-1.60863,1.77353,1.00331,1.42838,-1.42069,-2.85376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700016,0.000107426,0.564358,-0.382538,8.56916e-05,0.000159774,0.92394,0,0,0,2.72873,-0.549484,1.32261,-2.94686,0.052473,2.65529,-2.99079,0.0550654,2.73789,0.179186,-0.752838,-0.746101,0.65416,-0.612048,0.742545,0.520152,1
2.66507,-1.68402,1.69878,1.06889,1.36718,-1.34633,-2.80163,-66.6172,-18.9452,-6.1622,1.18604,-22.2549,16.2508,0.664648,2.65011,-1.60863,1.77353,1.00331,1.42838,-1.42069,-2.85376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700016,0.000107426,0.564358,-0.382538,8.56916e-05,0.000159774,0.92394,0,0,0,2.69841,-0.548944,1.34881,-3.03296,0.0540421,2.6207,-3.02031,0.0543491,2.65585,0.149578,-0.753941,-0.747588,0.655765,-0.612005,0.74365,0.521328,1
