torque0,torque1,torque2,torque3,torque4,torque5,torque6,action0,action1,action2,action3,action4,action5,action6,set_target_0,set_target_1,set_target_2,set_target_3,set_target_4,set_target_5,set_target_6,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_disc_0,joint_vel_disc_1,joint_vel_disc_2,joint_vel_disc_3,joint_vel_disc_4,joint_vel_disc_5,joint_vel_disc_6,tennisball_pos_0,tennisball_pos_1,tennisball_pos_2,tennisball_lin_vel_0,tennisball_lin_vel_1,tennisball_lin_vel_2,end_effector_pos_0,end_effector_pos_1,end_effector_pos_2,end_effector_rot_0,end_effector_rot_1,end_effector_rot_2,end_effector_rot_3,end_effector_lin_vel_0,end_effector_lin_vel_1,end_effector_lin_vel_2,obs_task_0,obs_task_1,obs_task_2,obs_task_3,obs_task_4,obs_task_5,obs_task_6,to_final_target_0,to_final_target_1,to_final_target_2,joint_acc_0,joint_acc_1,joint_acc_2,joint_acc_3,joint_acc_4,joint_acc_5,joint_acc_6,joint_acc_disc_0,joint_acc_disc_1,joint_acc_disc_2,joint_acc_disc_3,joint_acc_disc_4,joint_acc_disc_5,joint_acc_disc_6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8150244,-0.37417388,0.4825902,-2.9405832,-0.384225,5.1431,0.530416,-0.4544952,0.693097,0.5745483,0.17512383,0.15255436,0.7848268,0,0,0,1,0,0,0,0,0,0,-3.4650245,-0.025826126,0.06740981,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8150244,-0.37417388,0.4825902,-2.9405832,-0.384225,5.1431,0.530416,-0.4544952,0.693097,0.5745483,0.17512383,0.15255436,0.7848268,0,0,0,1,0,0,0,0,0,0,-3.4650245,-0.025826126,0.06740981,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8150244,-0.37417388,0.4825902,-2.9405832,-0.384225,5.1431,0.530416,-0.4544952,0.693097,0.5745483,0.17512383,0.15255436,0.7848268,0,0,0,1,0,0,0,0,0,0,-3.4650245,-0.025826126,0.06740981,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-117.85848,170.85986,48.305813,96.98376,6.1970205,7.0962706,-3.0499842,-0.3399079,0.6904069,-0.31007499,0.81159395,-0.08025066,0.5427898,0.26767024,1.7462451,-0.9956102,-1.8461499,-1.0358514,1.9292904,1.1712897,-0.88953084,1.7785536,-1.0611738,-1.816735,-1.1130682,1.9368634,1.1170107,-0.91608137,-0.22441776,0.46305463,-0.21155934,0.5258151,-0.06072678,-0.0005830849,0.028744549,-0.16822815,0.34770966,-0.15926361,0.39424896,-0.045204163,0,0.021648407,2.7856188,-0.37801623,0.5332847,-2.9405832,-0.384225,5.0449,0.5288458,-0.45586514,0.695409,0.57724285,0.173753,0.1535025,0.7829672,-0.20952404,-0.1828125,0.30821714,1,0,0,0,0,0,0,-3.4356189,-0.021983773,0.016715288,-22.484205,46.183666,-20.97996,52.563007,-6.215285,-0.30718696,2.8348782,-16.822815,34.770966,-15.926361,39.424896,-4.5204163,0,2.1648407
-176,137.7875,23.057009,110,10.660648,7.5481296,-3.795291,-0.8340437,0.71146834,-0.5141749,0.8268704,0.18748239,0.33520123,0.39524674,1.6951492,-0.99002695,-1.8681525,-1.0303812,1.9556117,1.1505308,-0.8765567,1.7735373,-1.0524973,-1.8234565,-1.1051413,1.9428868,1.1206995,-0.91879743,-0.59423757,1.0010532,-0.8243785,0.8815886,0.8225594,0.48726118,-0.37195572,-0.5016327,0.8676529,-0.67214966,0.7926941,0.6023407,0.36888123,-0.27160645,2.7562132,-0.3818586,0.5829972,-2.9405832,-0.384225,4.9467,0.5242052,-0.46026707,0.7001895,0.584771,0.17069556,0.15337893,0.7780622,-0.5493934,-0.52488095,0.53490967,1,0,0,0,0,0,0,-3.4062133,-0.018141419,-0.03299719,-37.05529,53.347267,-60.857727,35.585415,88.03711,47.329052,-40.120636,-33.340454,51.994324,-51.288605,39.844513,64.754486,36.888123,-29.325485
-157.0941,176,61.51424,110,9.833172,11.151937,-2.0674844,-0.8294686,0.78385794,0.30794966,0.8130638,0.47105172,0.49283624,0.41350278,1.6905904,-0.9741115,-1.7926615,-1.023835,1.989992,1.1699831,-0.8774471,1.7638708,-1.0405554,-1.8282077,-1.0937945,1.9518876,1.1250502,-0.9230394,-1.0920447,1.2559608,-0.35297826,1.2197771,0.92286325,0.40920162,-0.4430579,-0.9666443,1.194191,-0.47512054,1.1346817,0.9000778,0.43506622,-0.42419434,2.7268076,-0.38570094,0.6317277,-2.9405832,-0.384225,4.8485003,0.51601934,-0.46696877,0.7085826,0.59576863,0.16546598,0.15148161,0.77119,-0.911955,-0.713429,0.94309163,1,0,0,0,0,0,0,-3.3768077,-0.014299065,-0.08172768,-50.20957,24.689674,48.866505,34.089806,9.129465,-10.294426,-7.5625477,-46.50116,32.65381,19.702911,34.19876,29.773712,6.6184998,-15.258789
-89.67634,176,70.746475,78.87976,6.74674,10.839976,-0.70716417,-0.8239873,0.7983789,0.5334377,0.82089025,0.5077431,0.44495612,0.29755595,1.6814721,-0.96071744,-1.774864,-1.0117054,2.002662,1.1695458,-0.8932838,1.7503687,-1.0267252,-1.8271072,-1.0797678,1.9611058,1.1288382,-0.9270362,-1.437318,1.4232258,0.26957798,1.4653026,0.9193154,0.3613833,-0.38691294,-1.3502121,1.3830185,0.110054016,1.4026642,0.9218216,0.37879944,-0.3996849,2.697402,-0.3895433,0.6794762,-2.9405832,-0.384225,4.7503004,0.5047779,-0.47440386,0.7208412,0.6082812,0.15764485,0.14779435,0.76373994,-1.2019596,-0.7422624,1.322411,1,0,0,0,0,0,0,-3.347402,-0.010456711,-0.12947619,-34.869576,16.057133,63.845993,25.025702,-0.9662032,-6.977999,5.0988436,-38.35678,18.882751,58.517456,26.798248,2.1743774,-5.6266785,2.450943
-24.634201,152.51971,66.20456,42.333164,2.8629665,8.702972,0.13050859,-0.8183636,0.80061346,0.6628147,0.8301865,0.34756595,0.4864286,0.15980533,1.6685324,-0.94666386,-1.7608258,-0.99674916,1.9958624,1.177481,-0.9110557,1.7346865,-1.0118994,-1.819987,-1.064181,1.9694276,1.1322867,-0.93035597,-1.6125367,1.5006064,0.8641681,1.5911676,0.80137783,0.3346903,-0.31547657,-1.568222,1.4825821,0.71201324,1.5586853,0.8321762,0.34484863,-0.33197403,2.6679964,-0.39338565,0.72624266,-2.9405832,-0.384225,4.6521006,0.49146318,-0.48119545,0.7361037,0.6209225,0.14735144,0.14279434,0.7565399,-1.3836682,-0.64026904,1.5941472,1,0,0,0,0,0,0,-3.3179965,-0.0066143572,-0.17624265,-17.727613,7.2361946,60.85807,13.006568,-12.282526,-4.084134,6.606597,-21.800995,9.95636,60.195923,15.602112,-8.964539,-3.3950806,6.7710876
17.512669,114.88562,51.115063,13.210171,0.061370254,5.7044425,0.5967947,-0.8136116,0.79238886,0.7145773,0.83178264,0.29595974,0.5446429,0.18162625,1.6533253,-0.93266046,-1.7485293,-0.9810027,1.9990236,1.186751,-0.91219336,1.7182871,-0.9968275,-1.8082263,-1.0480448,1.9763703,1.1356112,-0.93296903,-1.6495987,1.5082519,1.2839204,1.6218175,0.65696865,0.32950535,-0.2449615,-1.6399384,1.5071869,1.1760712,1.613617,0.6942749,0.33245087,-0.26130676,2.6385908,-0.397228,0.7720272,-2.9405832,-0.384225,4.5539007,0.4770999,-0.48660302,0.7530741,0.6328406,0.13524014,0.13713226,0.74994504,-1.4638951,-0.48518983,1.7282127,1,0,0,0,0,0,0,-3.288591,-0.0027720034,-0.22202718,-3.8182259,0.4105091,43.14058,3.2437086,-14.903259,-1.1461973,6.547159,-7.171631,2.4604797,46.405792,5.493164,-13.790131,-1.2397766,7.0667267
35.886284,81.644226,35.03876,-3.9681025,-1.5628359,3.1213312,0.6965416,-0.81162804,0.79125863,0.73102957,0.8216575,0.22794165,0.5735889,0.19718342,1.6371243,-0.9177016,-1.7351234,-0.9658791,1.9991645,1.19297,-0.9132507,1.7020975,-0.9819397,-1.793782,-1.0320727,1.9818559,1.1389681,-0.93493456,-1.6090381,1.4814569,1.5009403,1.5889261,0.51101565,0.3376663,-0.18188879,-1.6189575,1.488781,1.4444351,1.5972137,0.54855347,0.33569336,-0.19655228,2.6091852,-0.40107036,0.8168297,-2.9405832,-0.384225,4.455701,0.46246624,-0.490458,0.77056354,0.64369005,0.12210438,0.13143802,0.74396074,-1.4727424,-0.3281314,1.7499384,1,0,0,0,0,0,0,-3.2591853,0.0010703504,-0.26682967,3.9519787,-2.923417,22.63751,-3.3706903,-15.0020485,0.76238513,5.858958,2.0980835,-1.8405914,26.836395,-1.6403198,-14.572144,0.32424927,6.4754486
