ball_pos_x,ball_pos_y,ball_pos_z,ball_raw_vx,ball_raw_vy,ball_raw_vz,ball_ema_vx,ball_ema_vy,ball_ema_vz
2.99362,-0.470224,0.334507,-3.29111,0.260469,4.80685,-3.25287,0.130292,4.63864
2.96304,-0.468714,0.381138,-3.05765,0.150922,4.66312,-3.21225,0.159737,4.63261
2.9314,-0.466796,0.427345,-3.16443,0.191808,4.6207,-3.18799,0.182458,4.59388
2.89909,-0.464729,0.472423,-3.23133,0.206712,4.50774,-3.17842,0.196553,4.53001
2.86699,-0.462621,0.516239,-3.21009,0.210807,4.38159,-3.18047,0.200308,4.44401
2.83439,-0.460251,0.558879,-3.25968,0.237015,4.26407,-3.19163,0.203294,4.3431
2.80312,-0.458315,0.600642,-3.12707,0.193617,4.17622,-3.19012,0.202958,4.23849
2.77147,-0.456293,0.641292,-3.16505,0.202182,4.06508,-3.19997,0.209662,4.13397
2.73953,-0.454256,0.680986,-3.19359,0.203687,3.96935,-3.19539,0.209996,4.02523
2.70774,-0.452354,0.719532,-3.17907,0.190246,3.85463,-3.18523,0.206481,3.9187
2.67572,-0.450392,0.757234,-3.20187,0.196171,3.77021,-3.18097,0.201931,3.81656
2.64381,-0.448628,0.793632,-3.19142,0.176433,3.63974,-3.17951,0.195196,3.71315
2.61196,-0.446899,0.829032,-3.1852,0.172871,3.54,-3.18792,0.190866,3.60749
2.5802,-0.444964,0.863641,-3.17521,0.193536,3.46096,-3.18884,0.187245,3.50442
2.54859,-0.443101,0.8971,-3.16145,0.1863,3.34591,-3.18452,0.184786,3.40128
2.51708,-0.441249,0.929766,-3.15101,0.185165,3.2666,-3.17805,0.184148,3.30159
2.48556,-0.439315,0.96153,-3.15228,0.193363,3.17637,-3.16901,0.18495,3.20438
2.4537,-0.437414,0.992305,-3.18568,0.190091,3.07748,-3.16517,0.187578,3.11122
2.42285,-0.435268,1.02212,-3.08466,0.214621,2.98178,-3.15482,0.192057,3.01796
2.39159,-0.433289,1.05073,-3.12588,0.197929,2.86115,-3.14529,0.194727,2.92094
2.36005,-0.431565,1.07837,-3.15461,0.172347,2.76316,-3.14034,0.194903,2.82259
2.32857,-0.429844,1.10492,-3.14834,0.17215,2.65551,-3.13809,0.192288,2.71987
