set_target_0,set_target_1,set_target_2,set_target_3,set_target_4,set_target_5,set_target_6,predicted_0,predicted_1,predicted_2,predicted_3,predicted_4,predicted_5,predicted_6,actual_0,actual_1,actual_2,actual_3,actual_4,actual_5,actual_6,abs_error_0,abs_error_1,abs_error_2,abs_error_3,abs_error_4,abs_error_5,abs_error_6,sq_error_0,sq_error_1,sq_error_2,sq_error_3,sq_error_4,sq_error_5,sq_error_6
1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,1.7802331938835767,-1.0646059516713626,-1.815490321118481,-1.1170068461289442,1.9372942830940585,1.1169888765313107,-0.9162978134447475,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,2.706116423389915e-06,4.494832863732867e-05,0.00034792111848092055,3.853871055836677e-06,2.121690594147907e-05,2.1823468689285974e-05,3.6555252491687895e-08,7.323066096940625e-12,2.020352247289301e-09,1.2104910468501476e-07,1.4852322115015705e-11,4.5015709772956983e-10,4.762637856322452e-10,1.3362864847310542e-15
1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,1.7802331938835767,-1.0646059516713626,-1.815490321118481,-1.1170068461289442,1.9372942830940585,1.1169888765313107,-0.9162978134447475,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,2.706116423389915e-06,4.494832863732867e-05,0.00034792111848092055,3.853871055836677e-06,2.121690594147907e-05,2.1823468689285974e-05,3.6555252491687895e-08,7.323066096940625e-12,2.020352247289301e-09,1.2104910468501476e-07,1.4852322115015705e-11,4.5015709772956983e-10,4.762637856322452e-10,1.3362864847310542e-15
1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,1.7802331938835767,-1.0646059516713626,-1.815490321118481,-1.1170068461289442,1.9372942830940585,1.1169888765313107,-0.9162978134447475,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,2.706116423389915e-06,4.494832863732867e-05,0.00034792111848092055,3.853871055836677e-06,2.121690594147907e-05,2.1823468689285974e-05,3.6555252491687895e-08,7.323066096940625e-12,2.020352247289301e-09,1.2104910468501476e-07,1.4852322115015705e-11,4.5015709772956983e-10,4.762637856322452e-10,1.3362864847310542e-15
1.8456672,-1.0918553,-1.7569301,-1.1064653,1.8843291,1.1806284,-0.9111755,1.7987916436369618,-1.0896089386002452,-1.783246236255031,-1.1061397954889092,1.9081756333944782,1.1432498571122658,-0.9197307663604123,1.7833391,-1.0659059,-1.812556,-1.1163718,1.935183,1.1175982,-0.91593164,0.01545254363696169,0.023703038600245252,0.029309763744969075,0.010232004511090853,0.027007366605521943,0.025651657112265802,0.0037991263604122416,0.00023878110485220524,0.0005618340388847164,0.0008590622507859036,0.00010469391631498356,0.0007293978509650619,0.0006580075126052567,1.4433361102379166e-05
1.8529733,-1.0794082,-1.7889186,-1.1454782,1.8703319,1.1842108,-0.8966408,1.7898837990489262,-1.0667638644185728,-1.801045411349444,-1.1184368050296793,1.9287605883981904,1.1178671559072688,-0.9157308332928186,1.7899386,-1.0683397,-1.8070781,-1.117827,1.9300828,1.1176916,-0.9157323,5.4800951073685766e-05,0.001575835581427043,0.006032688650555951,0.0006098050296794444,0.0013222116018096752,0.00017555590726892056,1.4667071814855603e-06,3.0031442385805013e-09,2.483257779691507e-06,3.6393332354546576e-05,3.7186217422234805e-07,1.7482435199601072e-06,3.081987657701383e-08,2.1512299562213166e-12
1.8626664,-1.0913167,-1.7916437,-1.1559297,1.8725157,1.174161,-0.89665586,1.8014279609137067,-1.063710221895712,-1.8037026146458894,-1.1234969789066738,1.9246606942730746,1.1144583974302127,-0.9163203224302688,1.7999617,-1.0717939,-1.8008602,-1.1219736,1.9229093,1.1178538,-0.915513,0.0014662609137066074,0.008083678104288117,0.002842414645889413,0.0015233789066737558,0.0017513942730746912,0.0033954025697873202,0.0008073224302688198,2.1499210670637352e-06,6.534585169374712e-05,8.079321019166636e-06,2.3206832932985274e-06,3.067381899758826e-06,1.1528758610918338e-05,6.517695064151534e-07
1.8757209,-1.0935125,-1.7617772,-1.1496987,1.8708078,1.1716193,-0.90553147,1.812892344288621,-1.0776509214166743,-1.794483789939052,-1.1279682149571217,1.9135168219923688,1.1199373344828634,-0.9151824200688191,1.8126856,-1.0758985,-1.7942245,-1.1276442,1.9147744,1.1184527,-0.91518587,0.0002067442886208859,0.0017524214166741992,0.0002592899390518877,0.0003240149571217543,0.001257578007631155,0.0014846344828634006,3.4499311808433575e-06,4.274320087735617e-08,3.070980821618407e-06,6.723127249353163e-08,1.0498569243861229e-07,1.581502445277545e-06,2.204139547707077e-06,1.1902025152555243e-11
1.8904077,-1.0981257,-1.7543724,-1.1532273,1.8603617,1.1749339,-0.9115006,1.8275911857404306,-1.080884334359878,-1.7880151521225824,-1.133757035849095,1.9068507226105562,1.1200932890313329,-0.9148306092673413,1.827046,-1.0802721,-1.7872283,-1.1336924,1.9063153,1.1195494,-0.9148149,0.0005451857404306093,0.0006122343598780056,0.0007868521225824487,6.463584909499609e-05,0.0005354226105562798,0.0005438890313329559,1.5709267341290634e-05,2.972274915688717e-07,3.748309114152312e-07,6.19136262812505e-07,4.177792988231107e-09,2.866773718949017e-07,2.9581527840430104e-07,2.467810804001405e-10
1.9040536,-1.105093,-1.7529877,-1.1544099,1.8543009,1.1767101,-0.9099117,1.841442809375005,-1.0830342391505179,-1.784202276985573,-1.1381695615149972,1.9000519396582862,1.1213918359393011,-0.9144201019292503,1.8420225,-1.0847753,-1.7803066,-1.1392409,1.8979459,1.1211535,-0.91442484,0.0005796906249948552,0.0017410608494821123,0.0038956769855729156,0.0010713384850027374,0.002106039658286152,0.00023833593930122632,4.738070749743528e-06,3.360412207069259e-07,3.0312928815993745e-06,1.5176299175922478e-05,1.1477661494479608e-06,4.435403042274051e-06,5.6804019962597834e-08,2.24493144295752e-11
1.9187006,-1.1132988,-1.7536162,-1.1519073,1.8436289,1.1788746,-0.90244323,1.856361998859426,-1.087692800813636,-1.776232365788367,-1.1420844079495915,1.8909919132085145,1.1235832377883002,-0.9134132374687776,1.8569132,-1.0894865,-1.7740314,-1.1436201,1.889771,1.1232344,-0.9139785,0.0005512011405739425,0.0017936991863640728,0.0022009657883670375,0.001535692050408377,0.0012209132085143626,0.0003488377883000826,0.0005652625312224657,3.0382269737001514e-07,3.2173567711631367e-06,4.844250401562135e-06,2.358350073687485e-06,1.4906290627248355e-06,1.2168780254609325e-07,3.19521729204029e-07
