torque0,torque1,torque2,torque3,torque4,torque5,torque6,action0,action1,action2,action3,action4,action5,action6,set_target_0,set_target_1,set_target_2,set_target_3,set_target_4,set_target_5,set_target_6,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,tennisball_pos_0,tennisball_pos_1,tennisball_pos_2,tennisball_lin_vel_0,tennisball_lin_vel_1,tennisball_lin_vel_2,end_effector_pos_0,end_effector_pos_1,end_effector_pos_2,end_effector_rot_0,end_effector_rot_1,end_effector_rot_2,end_effector_rot_3,end_effector_lin_vel_0,end_effector_lin_vel_1,end_effector_lin_vel_2,obs_task_0,obs_task_1,obs_task_2,obs_task_3,obs_task_4,obs_task_5,obs_task_6,to_final_target_0,to_final_target_1,to_final_target_2,joint_acc_0,joint_acc_1,joint_acc_2,joint_acc_3,joint_acc_4,joint_acc_5,joint_acc_6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,0,0,0,0,0,0,0,2.9237423,-0.42115402,0.44090545,-3.462351,0.2853029,5.07381,0.530416,-0.4544952,0.693097,0.5745483,0.17512383,0.15255436,0.7848268,0,0,0,1,0,0,0,0,0,0,-3.5737424,0.021154016,0.10909456,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,0,0,0,0,0,0,0,2.9237423,-0.42115402,0.44090545,-3.462351,0.2853029,5.07381,0.530416,-0.4544952,0.693097,0.5745483,0.17512383,0.15255436,0.7848268,0,0,0,1,0,0,0,0,0,0,-3.5737424,0.021154016,0.10909456,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,0,0,0,0,0,0,0,2.9237423,-0.42115402,0.44090545,-3.462351,0.2853029,5.07381,0.530416,-0.4544952,0.693097,0.5745483,0.17512383,0.15255436,0.7848268,0,0,0,1,0,0,0,0,0,0,-3.5737424,0.021154016,0.10909456,0,0,0,0,0,0,0
-37.98457,78.792145,21.451048,28.400572,1.8082931,2.2613397,-0.5708552,-0.22716253,0.1883333,-0.09459633,-0.083462894,0.0921598,0.03858534,-0.18463933,1.7575196,-1.0458176,-1.824602,-1.125357,1.9465314,1.1208693,-0.93476176,1.7791659,-1.0637583,-1.8155763,-1.1173922,1.9376521,1.1170689,-0.91646236,-0.14266318,0.11901311,-0.057702407,-0.050953407,0.04491556,0.0076484825,-0.021930939,2.88912,-0.41829872,0.49088013,-3.4621637,0.28560495,4.9720206,0.5299444,-0.4547422,0.69334996,0.5750158,0.17510065,0.15278496,0.78444463,-0.06296341,-0.03292106,0.033713117,1,0,0,0,0,0,0,-3.5391202,0.018298715,0.05911988,-14.275278,11.89987,-5.7537603,-5.1048527,4.4875407,0.7466118,-2.1966317
-79.449135,89.21488,19.527842,46.841328,3.3648536,3.1948545,-1.1579807,-0.41579652,0.31625637,-0.20501013,-0.039294608,0.22225308,0.20958376,-0.17973961,1.7375863,-1.0321326,-1.8360773,-1.1213217,1.9598774,1.1380273,-0.9344363,1.775788,-1.061088,-1.8171079,-1.1180874,1.9387641,1.1172949,-0.9168162,-0.4030147,0.3163212,-0.18454921,-0.07569586,0.13298751,0.027085852,-0.03982583,2.8544998,-0.41544032,0.539837,-3.4619763,0.28590697,4.8702464,0.52837753,-0.4557929,0.69413525,0.57662624,0.17504649,0.15338162,0.78315693,-0.18796046,-0.12905627,0.09358531,1,0,0,0,0,0,0,-3.5045,0.015440315,0.010163009,-26.08313,19.696108,-12.557263,-2.4924085,8.72293,1.7914776,-1.7884582
-81.94197,93.945755,21.190144,49.000885,3.6881645,3.4998572,-1.1459011,-0.48733842,0.39234146,-0.23047936,-0.051226184,0.35426092,0.365576,-0.16148919,1.7270541,-1.0218538,-1.8401558,-1.1232101,1.9741902,1.1538525,-0.9329651,1.7697493,-1.0563244,-1.819906,-1.1189858,1.9410768,1.1178166,-0.9173164,-0.6711135,0.5294407,-0.3107059,-0.09459307,0.2634452,0.059338044,-0.053371646,2.8198814,-0.41257906,0.5877763,-3.461789,0.28620893,4.7684875,0.52548265,-0.4578371,0.69561243,0.57956964,0.1749222,0.15422633,0.7808427,-0.32345006,-0.22922572,0.16574137,1,0,0,0,0,0,0,-3.4698815,0.012579054,-0.03777629,-26.906406,21.228235,-12.348211,-1.9123807,12.860405,2.8758392,-1.345779
-55.34569,94.21006,28.279345,43.098804,3.5811327,3.7322617,-0.69967383,-0.46537864,0.36622864,-0.061415184,0.04878875,0.3851697,0.41556847,-0.1010135,1.7232114,-1.0197015,-1.8260475,-1.1141069,1.9795938,1.1593734,-0.92741776,1.7617375,-1.0500187,-1.8228862,-1.1195227,1.9446292,1.1186787,-0.9178876,-0.8449636,0.664035,-0.2929001,-0.040184185,0.38551253,0.093762055,-0.05850689,2.785265,-0.4097147,0.6346981,-3.4616015,0.28651083,4.6667438,0.52140665,-0.46067095,0.6980217,0.5835462,0.1744183,0.1547822,0.7778782,-0.43610498,-0.3006152,0.26594386,1,0,0,0,0,0,0,-3.435265,0.009714693,-0.08469808,-17.506863,13.377941,2.0339072,5.400096,12.115842,3.0454874,-0.5480245
-13.814473,105.36496,41.301468,32.98793,2.740861,4.1164823,-0.19435948,-0.401166,0.39724475,0.11086747,0.15203889,0.39725664,0.45021665,-0.07597143,1.7216209,-1.0102942,-1.8117995,-1.1043189,1.9843549,1.1637003,-0.9254848,1.7529866,-1.0427688,-1.8245533,-1.1189791,1.9491973,1.1198841,-0.91848034,-0.8854904,0.74519646,-0.12421379,0.08557101,0.48103797,0.12862943,-0.05997661,2.7506504,-0.40684724,0.68060255,-3.461414,0.2868127,4.5650153,0.5165119,-0.4637444,0.7017601,0.58806187,0.17300318,0.15454584,0.77483463,-0.50789803,-0.307926,0.40962723,1,0,0,0,0,0,0,-3.4006505,0.0068472326,-0.13060254,-4.1681886,8.079743,17.00916,12.505558,9.68718,3.2034264,-0.28050318
13.138626,112.1578,48.716614,26.96948,2.0482774,4.1805286,0.0064814566,-0.3558964,0.44218415,0.19878083,0.27921757,0.39480168,0.4724773,-0.08206138,1.7173969,-0.9985504,-1.8046752,-1.0910573,1.9886775,1.1671319,-0.92668647,1.7445627,-1.034901,-1.8240764,-1.116676,1.9544568,1.1214224,-0.9190888,-0.82817805,0.8005734,0.105300166,0.27840757,0.5417052,0.16157174,-0.061870817,2.7160378,-0.40397692,0.72548985,-3.4612267,0.28711453,4.463302,0.5111351,-0.4665997,0.70711285,0.5928106,0.17025715,0.15333444,0.77206,-0.54832786,-0.27537405,0.57692426,1,0,0,0,0,0,0,-3.3660378,0.0039769113,-0.17548984,5.664432,5.5110097,23.043562,19.238419,6.287825,3.0763865,-0.40851384
8.559927,104.602806,42.973034,28.13925,1.9242741,3.5793998,-0.22788446,-0.38279012,0.50709224,0.122777574,0.38826287,0.40233183,0.49068698,-0.035811312,1.7062837,-0.9841918,-1.8117987,-1.0778496,1.99469,1.1704911,-0.9226699,1.7367827,-1.0264238,-1.822005,-1.1122137,1.9601283,1.1232659,-0.91967815,-0.7613263,0.86324126,0.24138185,0.5021602,0.5760634,0.19102216,-0.058633607,2.681427,-0.4011035,0.7693601,-3.4610393,0.2874163,4.361604,0.5053897,-0.46924686,0.713961,0.5978764,0.1662137,0.15139088,0.7694137,-0.5841472,-0.25730476,0.72031814,1,0,0,0,0,0,0,-3.331427,0.0011034906,-0.21936011,6.666565,6.2161565,13.705176,22.388517,3.571415,2.6817381,0.12323856
-0.3152418,89.57498,32.22246,25.929665,1.4879224,2.5443215,-0.43304056,-0.40223983,0.56536645,0.015370627,0.41217017,0.4077538,0.51421165,-0.013644412,1.6965587,-0.96988714,-1.820468,-1.0709968,2.0009036,1.174687,-0.9210426,1.7294937,-1.0172094,-1.8196399,-1.1058642,1.9660115,1.1253868,-0.92021364,-0.71809876,0.9406425,0.23516648,0.67916495,0.59266627,0.21839917,-0.05235939,2.6468182,-0.39822698,0.81221354,-3.460852,0.28771803,4.2599216,0.4993353,-0.4718213,0.72182137,0.6033899,0.16127607,0.14922686,0.76657814,-0.61407965,-0.25261885,0.8073335,1,0,0,0,0,0,0,-3.2968183,-0.0017730296,-0.26221353,4.3025255,7.683182,-0.53705275,17.703856,1.7406583,2.502352,0.4828669
-4.586858,78.94541,25.110973,21.66446,0.96377856,1.8624492,-0.44786322,-0.41551405,0.61249524,-0.022984467,0.40572128,0.41504407,0.5454568,0.0074777887,1.6879424,-0.9559599,-1.8219384,-1.065292,2.007516,1.1799325,-0.91946584,1.7224041,-1.0071605,-1.8179348,-1.0983454,1.9719958,1.1277767,-0.9206714,-0.706071,1.0261738,0.14930524,0.77598417,0.60060674,0.24521694,-0.04396809,2.6122112,-0.3953476,0.8540503,-3.460665,0.28801972,4.158254,0.49302673,-0.47433424,0.730216,0.60932463,0.15584888,0.14726816,0.7633784,-0.63833684,-0.24512663,0.8497342,1,0,0,0,0,0,0,-3.2622113,-0.0046524107,-0.30405027,1.1455655,8.4966545,-8.488551,9.627426,0.86934566,2.5081575,0.7163808
-8.468515,77.067604,23.023964,19.727333,0.66118586,1.7857437,-0.42250764,-0.4492565,0.67128015,-0.03059673,0.402219,0.40828604,0.57515013,0.018698724,1.6774784,-0.94003254,-1.8209944,-1.0581235,2.0128245,1.1852918,-0.91880155,1.7151457,-0.9961748,-1.8171976,-1.0903727,1.9779944,1.130428,-0.9210424,-0.7328301,1.1225575,0.04905748,0.8040344,0.5998589,0.27121913,-0.03524899,2.5776062,-0.3924651,0.8948704,-3.460478,0.28832138,4.056602,0.48645353,-0.4767089,0.73890865,0.6156043,0.15014048,0.14576122,0.75976497,-0.6659048,-0.2283676,0.8753805,1,0,0,0,0,0,0,-3.2276063,-0.0075348914,-0.3448704,-2.7835727,9.5736265,-9.86332,2.698791,-0.0071287155,2.4381697,0.74051845
