torque0,torque1,torque2,torque3,torque4,torque5,torque6,action0,action1,action2,action3,action4,action5,action6,set_target_0,set_target_1,set_target_2,set_target_3,set_target_4,set_target_5,set_target_6,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_disc_0,joint_vel_disc_1,joint_vel_disc_2,joint_vel_disc_3,joint_vel_disc_4,joint_vel_disc_5,joint_vel_disc_6,tennisball_pos_0,tennisball_pos_1,tennisball_pos_2,tennisball_lin_vel_0,tennisball_lin_vel_1,tennisball_lin_vel_2,end_effector_pos_0,end_effector_pos_1,end_effector_pos_2,end_effector_rot_0,end_effector_rot_1,end_effector_rot_2,end_effector_rot_3,end_effector_lin_vel_0,end_effector_lin_vel_1,end_effector_lin_vel_2,obs_task_0,obs_task_1,obs_task_2,obs_task_3,obs_task_4,obs_task_5,obs_task_6,to_final_target_0,to_final_target_1,to_final_target_2,joint_acc_0,joint_acc_1,joint_acc_2,joint_acc_3,joint_acc_4,joint_acc_5,joint_acc_6,joint_acc_disc_0,joint_acc_disc_1,joint_acc_disc_2,joint_acc_disc_3,joint_acc_disc_4,joint_acc_disc_5,joint_acc_disc_6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7853982,0,1.3264502,1.2217305,1.6057029,-0.9075712,1.5707964,0.7853982,0,1.3264502,1.2217305,1.6057029,-0.9075712,1.5707964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8164282,-0.4505477,0.28472835,-2.975023,0.1365772,5.4054074,0.33434677,-0.33252597,0.9089085,0.77467585,-0.054232832,0.61539257,-0.13501088,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.615577,21.96801,3.6275613,-25.453629,0.20146132,1.590431,-0.4046017,-0.05739136,0.23195629,-0.18185431,0.14764872,-0.44695038,0.9233149,0.59169114,0.7785112,0.027834754,1.3046277,1.2394483,1.5520688,-0.79677343,1.6417993,0.78534144,0.00022625586,1.3262728,1.2218707,1.6052537,-0.9074415,1.5709003,-0.011365368,0.045251172,-0.03547846,0.02812122,-0.08977224,0.025944926,0.020821039,-0.011348724,0.045251172,-0.035476685,0.028038025,-0.08983612,0.025939941,0.0207901,2.8015528,-0.44986486,0.31150782,-2.975023,0.1365772,5.355893,0.3343811,-0.3325646,0.908802,0.77447045,-0.054171167,0.6156099,-0.13522388,0.0068947505,-0.007709615,-0.021365922,1,0,0,0,0,0,0,0,0,0,-2.2730737,9.050235,-7.095692,5.624244,-17.954449,5.1889853,4.164208,-2.2697449,9.050235,-7.095337,5.607605,-17.967224,5.1879883,4.15802
-7.1133647,3.0579267,-6.9107656,-35.0157,1.6989719,2.865371,-0.7016248,-0.08099909,0.096522726,-0.17303453,-0.054416627,-0.62131184,0.9179539,0.33397996,0.77562153,0.011808982,1.3055087,1.2153406,1.5306963,-0.79728705,1.6109779,0.785206,0.0005462369,1.3259276,1.2219574,1.6042037,-0.90717494,1.5710529,-0.027113857,0.063996226,-0.06903226,0.017285226,-0.20992999,0.053313516,0.030526834,-0.02708435,0.0639962,-0.06904602,0.017356873,-0.20999908,0.053310394,0.030517578,2.7866774,-0.44918203,0.33803973,-2.975023,0.1365772,5.306379,0.33438015,-0.33267665,0.90865993,0.77406925,-0.05409348,0.6160065,-0.13574499,-0.0004369773,-0.022447474,-0.028322442,1,0,0,0,0,0,0,0,0,0,-3.149698,3.7490108,-6.7107596,-2.167199,-24.03155,5.473718,1.941159,-3.1471252,3.7490063,-6.713867,-2.1362305,-24.032593,5.4740906,1.9454956
3.5029848,6.8996477,3.6063213,-50.601685,5.788477,0.9103015,0.0602333,-0.08892458,-0.076585844,0.27520877,-0.23863068,-0.039937012,0.92348504,0.38797572,0.77453506,-0.008644065,1.3589526,1.1933217,1.5994112,-0.79635674,1.61761,0.78499097,0.0007631526,1.3258733,1.2217934,1.6031756,-0.90677774,1.571257,-0.042971246,0.043383155,-0.010907545,-0.032895457,-0.20556068,0.07945672,0.040884893,-0.04301071,0.043383148,-0.010871887,-0.032806396,-0.20561218,0.07944107,0.04081726,2.771802,-0.4484992,0.36432403,-2.975023,0.1365772,5.2568645,0.3343792,-0.33274174,0.90863913,0.77375376,-0.054052554,0.6162952,-0.13624837,0.00017429351,-0.012969367,-0.004098776,1,0,0,0,0,0,0,0,0,0,-3.1714778,-4.122614,11.624943,-10.036137,0.8738607,5.22864,2.071612,-3.1852722,-4.122611,11.634827,-10.032654,0.8773804,5.2261353,2.0599365
9.534496,16.906582,9.958678,-31.262703,2.867615,0.15140238,0.14375055,-0.29872823,0.023927229,0.4619954,0.08239609,-0.13140857,0.92289525,-0.30798838,0.7491436,0.0036344198,1.3813127,1.231681,1.5874066,-0.7960303,1.5342984,0.7845027,0.000962919,1.326312,1.2216971,1.6021552,-0.90625656,1.5714096,-0.097627684,0.0399533,0.08769934,-0.019235685,-0.20408896,0.10418897,0.030423379,-0.09765625,0.039953273,0.08773804,-0.019264221,-0.2040863,0.1042366,0.030517578,2.7569265,-0.44781637,0.39036077,-2.975023,0.1365772,5.2073503,0.33444977,-0.3327682,0.90859276,0.77344966,-0.054020844,0.61657953,-0.13670026,0.013877762,-0.005340935,-0.009284066,1,0,0,0,0,0,0,0,0,0,-10.931288,-0.68597126,19.721376,2.7319543,0.29434562,4.9464507,-2.092303,-10.929108,-0.68597496,19.721985,2.708435,0.30517578,4.9591064,-2.0599365
-14.086997,-24.449839,-13.186891,-9.937698,0.6017777,3.1228502,0.057647794,-0.37307835,-0.15078464,0.37225053,0.29597455,-0.5704205,0.9042054,-0.49883568,0.7397333,-0.017131237,1.370982,1.2572141,1.5337048,-0.7977519,1.5115494,0.7836792,0.0009887331,1.3271188,1.2219079,1.6007123,-0.90562093,1.5714792,-0.16471788,0.00516279,0.16143005,0.04223162,-0.2885369,0.12712835,0.01387756,-0.16469955,0.0051628333,0.1613617,0.042152405,-0.28858185,0.12712479,0.013923645,2.7420511,-0.44713354,0.41614994,-2.975023,0.1365772,5.157836,0.33449268,-0.33292913,0.90836614,0.7730244,-0.05389101,0.61701375,-0.13719717,0.00876437,-0.0321328,-0.04537972,1,0,0,0,0,0,0,0,0,0,-13.418039,-6.9581017,14.746141,12.293461,-16.88959,4.5878754,-3.3091636,-13.408661,-6.9580884,14.724731,12.283325,-16.899109,4.5776367,-3.3187866
-22.395348,-41.43238,-21.318123,-32.880497,4.8222356,3.8998954,0.044300113,-0.44781414,-0.32627612,0.557021,-0.06865341,-0.33702868,0.91520363,-0.73721105,0.7299415,-0.0381644,1.3939613,1.2136694,1.5602689,-0.7957965,1.4830139,0.78248185,0.00067215983,1.3284129,1.2220623,1.5990758,-0.90487564,1.5714325,-0.23944005,-0.06331463,0.25875545,0.030973956,-0.32736713,0.14908266,-0.009396949,-0.23946762,-0.06331466,0.2588272,0.030899048,-0.32730103,0.1490593,-0.009346008,2.7271757,-0.4464507,0.44169155,-2.975023,0.1365772,5.1083217,0.33443308,-0.33320355,0.90814817,0.7726353,-0.053723108,0.61739767,-0.1377262,-0.01209893,-0.055021144,-0.04363963,1,0,0,0,0,0,0,0,0,0,-14.944434,-13.695484,19.46508,-2.2515326,-7.766044,4.3908625,-4.654902,-14.953613,-13.695499,19.493103,-2.2506714,-7.7438354,4.386902,-4.6539307
-34.26204,-66.05753,-33.039696,-13.385308,3.0486197,5.290763,0.29772505,-0.45875502,-0.46952972,0.5353464,0.23771636,-0.54933095,0.90022284,-0.7576033,0.72743124,-0.055671405,1.3926544,1.2505883,1.533156,-0.7968489,1.4805201,0.7809426,-0.000104141975,1.3301266,1.22242,1.5970922,-0.90402925,1.5712694,-0.30782625,-0.15526037,0.34271795,0.07154558,-0.39671487,0.16928005,-0.032569453,-0.30784607,-0.15526037,0.34275055,0.071525574,-0.39672852,0.16927719,-0.03261566,2.7123003,-0.44576788,0.46698558,-2.975023,0.1365772,5.0588074,0.33423424,-0.33369112,0.90780604,0.7722285,-0.05341702,0.61781716,-0.13824461,-0.03961916,-0.09763378,-0.06848375,1,0,0,0,0,0,0,0,0,0,-13.677239,-18.389147,16.7925,8.114325,-13.869548,4.0394783,-4.634501,-13.67569,-18.389141,16.784668,8.125305,-13.885498,4.043579,-4.6539307
-35.65365,-69.17906,-34.42366,-10.167986,3.7229884,5.380094,0.7273932,-0.49686265,-0.4985102,0.55556196,0.32861558,-0.20377144,0.8914925,-0.7328647,0.7213191,-0.059925366,1.3967941,1.2618538,1.5726396,-0.7970502,1.4833256,0.7790715,-0.0013252418,1.332219,1.2230752,1.5951247,-0.9030899,1.5709985,-0.37418854,-0.24421994,0.41856274,0.131115,-0.39357793,0.18791068,-0.05422916,-0.3742218,-0.24421994,0.4184723,0.13103485,-0.39348602,0.18787384,-0.0541687,2.697425,-0.44508505,0.49203205,-2.975023,0.1365772,5.009293,0.33389378,-0.3343959,0.90733534,0.77189004,-0.05289172,0.6181966,-0.13864037,-0.06814913,-0.14082485,-0.09409083,1,0,0,0,0,0,0,0,0,0,-13.272458,-17.791916,15.168959,11.913885,0.62738657,3.7261248,-4.331941,-13.2751465,-17.791916,15.144348,11.901855,0.64849854,3.7193298,-4.310608
-38.68058,-70.906586,-37.24541,-16.042536,4.8456907,5.7653317,0.7983719,-0.6212159,-0.5221879,0.5910563,0.2876489,-0.08104146,0.89150554,-0.4935845,0.7045256,-0.063987784,1.4031458,1.257593,1.5853997,-0.7961092,1.5117685,0.7767908,-0.002956274,1.3346738,1.223963,1.5933375,-0.90206325,1.5706581,-0.45609736,-0.32620645,0.49097097,0.17749663,-0.3574229,0.20531411,-0.068178535,-0.45614243,-0.32620645,0.49095154,0.17757416,-0.35743713,0.20532608,-0.068092346,2.6825495,-0.44440222,0.5168309,-2.975023,0.1365772,4.959779,0.33338356,-0.33531547,0.90678424,0.77166367,-0.052117586,0.6184831,-0.13891517,-0.10222785,-0.183855,-0.11012522,1,0,0,0,0,0,0,0,0,0,-16.381763,-16.3973,14.481646,9.276324,7.231009,3.4806876,-2.789875,-16.384125,-16.3973,14.49585,9.307861,7.209778,3.490448,-2.784729
