torque0,torque1,torque2,torque3,torque4,torque5,torque6,action0,action1,action2,action3,action4,action5,action6,set_target_0,set_target_1,set_target_2,set_target_3,set_target_4,set_target_5,set_target_6,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_disc_0,joint_vel_disc_1,joint_vel_disc_2,joint_vel_disc_3,joint_vel_disc_4,joint_vel_disc_5,joint_vel_disc_6,tennisball_pos_0,tennisball_pos_1,tennisball_pos_2,tennisball_lin_vel_0,tennisball_lin_vel_1,tennisball_lin_vel_2,end_effector_pos_0,end_effector_pos_1,end_effector_pos_2,end_effector_rot_0,end_effector_rot_1,end_effector_rot_2,end_effector_rot_3,end_effector_lin_vel_0,end_effector_lin_vel_1,end_effector_lin_vel_2,obs_task_0,obs_task_1,obs_task_2,obs_task_3,obs_task_4,obs_task_5,obs_task_6,to_final_target_0,to_final_target_1,to_final_target_2,joint_acc_0,joint_acc_1,joint_acc_2,joint_acc_3,joint_acc_4,joint_acc_5,joint_acc_6,joint_acc_disc_0,joint_acc_disc_1,joint_acc_disc_2,joint_acc_disc_3,joint_acc_disc_4,joint_acc_disc_5,joint_acc_disc_6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7853982,0,1.3264502,1.2217305,1.6057029,-0.9075712,1.5707964,0.7853982,0,1.3264502,1.2217305,1.6057029,-0.9075712,1.5707964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0878067,-0.41205263,0.5204358,-3.7483087,0.13417733,4.5165577,0.33081388,-0.32899427,0.9088952,0.7746776,-0.054232508,0.61539066,-0.1350104,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.563046,39.941822,23.50497,-13.582814,1.008891,-1.6451094,0.7327043,0.10060295,0.16049594,0.52699876,0.37732252,0.8726645,0.8516736,0.9555559,0.7954585,0.016049594,1.3791502,1.2594627,1.6929693,-0.82240385,1.6663519,0.7854802,0.00012536906,1.3268555,1.2220538,1.6059985,-0.90754116,1.5708326,0.016364925,0.025073811,0.081013285,0.06470525,0.05908017,0.005990492,0.007339745,0.016403198,0.025073811,0.08106232,0.06465912,0.059127808,0.006008148,0.007247925,3.069065,-0.41138172,0.5427708,-3.7483087,0.13417733,4.466996,0.33104515,-0.3288238,0.9087817,0.7747242,-0.0542637,0.61540264,-0.13467534,0.046263687,0.033986792,-0.022716269,1,0,0,0,0,0,0,0,0,0,3.272985,5.0147624,16.202658,12.941051,11.816033,1.1980984,1.4679489,3.2806396,5.0147624,16.212463,12.931824,11.825562,1.2016296,1.449585
35.063595,60.554214,34.935116,-11.414413,0.48386857,-2.5489812,0.8142552,0.21357565,0.28381196,0.6083639,0.49642414,0.88668835,0.8922712,0.9572188,0.80683774,0.028506566,1.387692,1.2716962,1.6946673,-0.818314,1.6665545,0.78573483,0.00048063134,1.327753,1.2227795,1.6065154,-0.9074019,1.5709862,0.050960273,0.07105245,0.17956951,0.14512509,0.10340973,0.027858641,0.030772042,0.05092621,0.071052454,0.1794815,0.14514923,0.103378296,0.02784729,0.030708313,3.0503235,-0.4107108,0.56485796,-3.7483087,0.13417733,4.4174347,0.33161497,-0.3284068,0.90851367,0.77477986,-0.05434452,0.61548436,-0.13394724,0.11410216,0.08342028,-0.0535453,1,0,0,0,0,0,0,0,0,0,6.91907,9.195727,19.711246,16.083967,8.865912,4.3736296,4.686459,6.904602,9.195728,19.683838,16.098022,8.850098,4.3678284,4.6920776
34.45558,59.030914,34.321217,-12.704265,0.5857587,-2.5231645,0.776933,0.22906804,0.27737144,0.6824053,0.49850976,0.88513017,0.8861243,0.9505117,0.8086416,0.028217776,1.3959935,1.2726305,1.6950284,-0.8187895,1.6660373,0.78616494,0.00104478,1.329153,1.2238686,1.6072326,-0.9071554,1.5712541,0.085989624,0.112829775,0.27991208,0.217735,0.1435228,0.04929117,0.053659037,0.08602142,0.11282973,0.27999878,0.21781921,0.14343262,0.049304962,0.053596497,3.0315819,-0.4100399,0.58669734,-3.7483087,0.13417733,4.367873,0.33251667,-0.3277409,0.908106,0.774848,-0.05448857,0.6156271,-0.13283364,0.18020229,0.13320068,-0.08148838,1,0,0,0,0,0,0,0,0,0,7.0058703,8.355466,20.068514,14.521983,8.022614,4.286506,4.5773993,7.019043,8.355455,20.103455,14.533997,8.010864,4.2915344,4.5776367
31.64985,55.32291,31.538857,-15.449589,0.77152115,-2.27044,0.66613036,0.21817107,0.30178803,0.7141698,0.47019294,0.89276457,0.8918711,0.94833094,0.807982,0.031223584,1.4005699,1.2708879,1.696509,-0.8179683,1.6660873,0.7867395,0.001808634,1.3310183,1.2252467,1.6081376,-0.90680635,1.5716308,0.11489482,0.15277073,0.37300512,0.27561525,0.18092048,0.069803715,0.07531868,0.114917755,0.1527708,0.3730774,0.27561188,0.18100739,0.06980896,0.07534027,3.0128403,-0.409369,0.6082889,-3.7483087,0.13417733,4.3183117,0.33371544,-0.32683897,0.90758926,0.7749302,-0.054698568,0.61581606,-0.1313842,0.23967333,0.18033344,-0.103343844,1,0,0,0,0,0,0,0,0,0,5.7810397,7.9881907,18.618607,11.576048,7.4795365,4.1025085,4.3319283,5.7792664,7.9882145,18.615723,11.558533,7.5149536,4.1007996,4.348755
28.193651,49.471424,28.060299,-17.387575,0.9587869,-1.9771339,0.59737885,0.2547034,0.2976335,0.71298414,0.45418105,0.8952082,0.88911635,0.9515516,0.81220984,0.031571984,1.4023167,1.2706648,1.6976584,-0.8178947,1.666786,0.78746575,0.0027425138,1.3332843,1.2268555,1.6092162,-0.9063605,1.5721105,0.14528942,0.18677591,0.4532446,0.32174477,0.2156364,0.08920585,0.09591539,0.1452446,0.18677595,0.45318604,0.3217697,0.21572113,0.08916855,0.095939636,2.9940987,-0.40869808,0.62963265,-3.7483087,0.13417733,4.26875,0.33517456,-0.32572246,0.9069873,0.77503073,-0.05496996,0.6160358,-0.12963553,0.2917625,0.2234433,-0.12047803,1,0,0,0,0,0,0,0,0,0,6.07892,6.801036,16.047895,9.225904,6.943184,3.8804278,4.119343,6.0653687,6.80103,16.021729,9.231567,6.942749,3.8719177,4.119873
24.433386,43.146214,24.296059,-19.40822,1.1572427,-1.65763,0.5257514,0.25231934,0.2898141,0.73375463,0.4234886,0.8950997,0.89564,0.9481131,0.8126977,0.031723924,1.4066597,1.2692044,1.6987262,-0.8167965,1.6669219,0.78832406,0.003814928,1.3359097,1.2286332,1.610455,-0.9058217,1.5726875,0.1716499,0.21448293,0.52512527,0.35561982,0.24771641,0.10777053,0.115344524,0.17166138,0.21448284,0.5250931,0.3555298,0.24776459,0.1077652,0.11539459,2.975357,-0.40802717,0.6507286,-3.7483087,0.13417733,4.2191887,0.33685493,-0.3244133,0.9063256,0.77515525,-0.055297002,0.6162696,-0.12762617,0.33593625,0.2620836,-0.13262409,1,0,0,0,0,0,0,0,0,0,5.2720966,5.541405,14.376134,6.7750096,6.416002,3.7129357,3.8858266,5.2833557,5.541378,14.381409,6.752014,6.4086914,3.7193298,3.8909912
21.454792,36.206863,21.231417,-21.062937,1.4164134,-1.4555874,0.5150008,0.34058052,0.23824258,0.73383266,0.38792527,0.8951252,0.88659406,0.94843906,0.8223821,0.027639186,1.4092929,1.2674257,1.6999675,-0.8171623,1.6675314,0.7893664,0.0049626864,1.3388442,1.2305224,1.6118417,-0.9051956,1.573356,0.20848253,0.22955182,0.586927,0.37791732,0.277367,0.12517123,0.1337572,0.2084732,0.22955169,0.5868912,0.37784576,0.2773285,0.12521744,0.13370514,2.9566154,-0.40735626,0.67157674,-3.7483087,0.13417733,4.169627,0.33872652,-0.32292557,0.9056272,0.7753194,-0.05568172,0.616493,-0.12536238,0.3739005,0.29792798,-0.13998857,1,0,0,0,0,0,0,0,0,0,7.366526,3.0137777,12.360346,4.4595003,5.9301167,3.4801393,3.682536,7.3623657,3.0137687,12.359619,4.463196,5.912781,3.490448,3.6621094
16.874874,27.010107,16.593168,-22.654964,1.6847051,-1.0943893,0.49523434,0.37818572,0.1806239,0.72331077,0.34446672,0.9013689,0.89070386,0.9495385,0.827185,0.023025077,1.4111753,1.2649691,1.7019786,-0.8161252,1.6683099,0.7906067,0.006121669,1.3420342,1.2324669,1.6133676,-0.90448654,1.5741123,0.24807234,0.2317966,0.63796747,0.3889205,0.30508387,0.14176711,0.15123059,0.24805069,0.2317965,0.6380081,0.3889084,0.30517578,0.14181137,0.15125275,2.9378738,-0.40668535,0.69217706,-3.7483087,0.13417733,4.1200657,0.3407426,-0.32128763,0.9049168,0.77553904,-0.056111757,0.6166805,-0.12286444,0.40284014,0.32807624,-0.14249197,1,0,0,0,0,0,0,0,0,0,7.9179616,0.4489571,10.208094,2.2006333,5.543375,3.3191772,3.494677,7.915497,0.44896305,10.223389,2.2125244,5.569458,3.3187866,3.5095215
11.700722,17.941574,11.361894,-26.749397,2.1048067,-0.66701186,0.39340347,0.38673392,0.12466036,0.70369554,0.21833274,0.9039919,0.88858676,0.94972634,0.8292801,0.018587705,1.4124038,1.2543002,1.7037667,-0.8156279,1.6690849,0.7920286,0.007237058,1.3454245,1.2343504,1.6150222,-0.9036993,1.5749515,0.28440055,0.22307776,0.6780493,0.3766775,0.33085793,0.1574608,0.16780016,0.28438568,0.22307783,0.67806244,0.37670135,0.330925,0.15745163,0.16784668,2.9191322,-0.40601444,0.7125296,-3.7483087,0.13417733,4.070504,0.3428483,-0.3195274,0.9042464,0.77583313,-0.0565869,0.61679536,-0.120184,0.42054012,0.35280523,-0.13458802,1,0,0,0,0,0,0,0,0,0,7.265642,-1.7437696,8.016372,-2.4485946,5.1548123,3.1387358,3.3139138,7.2669983,-1.7437339,8.010864,-2.4414062,5.1498413,3.1280518,3.3187866
