torque0,torque1,torque2,torque3,torque4,torque5,torque6,action0,action1,action2,action3,action4,action5,action6,set_target_0,set_target_1,set_target_2,set_target_3,set_target_4,set_target_5,set_target_6,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,tennisball_pos_0,tennisball_pos_1,tennisball_pos_2,tennisball_lin_vel_0,tennisball_lin_vel_1,tennisball_lin_vel_2,end_effector_pos_0,end_effector_pos_1,end_effector_pos_2,end_effector_rot_0,end_effector_rot_1,end_effector_rot_2,end_effector_rot_3,end_effector_lin_vel_0,end_effector_lin_vel_1,end_effector_lin_vel_2,obs_task_0,obs_task_1,obs_task_2,obs_task_3,obs_task_4,obs_task_5,obs_task_6,to_final_target_0,to_final_target_1,to_final_target_2,joint_acc_0,joint_acc_1,joint_acc_2,joint_acc_3,joint_acc_4,joint_acc_5,joint_acc_6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,0.0044346834,-0.00041933416,-0.0077570486,-0.004947461,0.009319792,0.004602363,0.007666665,2.8404684,-0.6291059,0.29878637,-3.1118379,0.21768779,5.1566305,0.5292778,-0.4546737,0.69467735,0.5745483,0.17512383,0.15255436,0.7848268,0.0004694855,-0.004381186,0.0016369879,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4916291,0.23377237,0.2531888,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,-0.009593118,-0.005871514,0.007696328,0.002969918,-0.0035292576,-0.0007650661,0.005621412,2.8378737,-0.6356041,0.29312742,-3.1179655,0.21721964,5.156217,0.53103954,-0.44992453,0.6922311,0.5745483,0.17512383,0.15255436,0.7848268,0.0048708003,-0.000296185,0.0043382123,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4916291,0.23377237,0.2531888,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,-0.0029010288,0.007638292,0.008975759,0.0026170646,-0.003930757,-0.0061805174,0.0010333073,2.8432274,-0.62919194,0.29206803,-3.118122,0.21308562,5.148099,0.53402865,-0.45428014,0.697857,0.5745483,0.17512383,0.15255436,0.7848268,-0.0023650744,0.0038012695,-9.712577e-07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4916291,0.23377237,0.2531888,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-41.52821,79.3542,28.788258,35.237442,3.442372,3.529752,-0.21387665,-0.23811103,0.041104577,0.31015784,0.04656899,0.19287983,-0.189413,-0.2084895,1.7564248,-1.0605404,-1.7841266,-1.1123538,1.9566034,1.0980694,-0.9371468,1.7791258,-1.0645355,-1.8135717,-1.1167494,1.9375119,1.1165682,-0.916346,-0.14348069,0.025190031,0.21883453,0.033614438,0.021199767,-0.06687558,-0.0047262684,2.8065715,-0.6275603,0.3518965,-3.1254058,0.21294701,5.0538845,0.5293135,-0.45749545,0.6959131,0.5748693,0.1748507,0.15199438,0.7847613,-0.08227358,-0.054602627,0.09176113,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.460446,0.2316719,0.20243976,-14.782394,1.5641689,20.89468,3.4920156,2.6592505,-5.8713374,-0.62987
-82.61404,89.02448,29.22486,54.352394,5.712369,5.0360427,-0.58264285,-0.4218565,0.09542698,0.34588754,0.10261305,0.32337072,-0.14109494,-0.14559479,1.7369401,-1.0549928,-1.7789829,-1.1064881,1.969849,1.1024587,-0.9309055,1.7756706,-1.0639299,-1.8098648,-1.1159168,1.9387517,1.1158739,-0.9165167,-0.40415448,0.072400056,0.4204999,0.10884452,0.15193695,-0.0807119,-0.021203505,2.7803562,-0.6310809,0.39426348,-3.120643,0.20377801,4.949307,0.5284706,-0.4582289,0.6993333,0.57604456,0.17406157,0.15027551,0.7844057,-0.2412463,-0.17176025,0.22281381,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4293027,0.22956714,0.15270829,-26.279057,6.0602202,21.309984,6.538516,13.213059,-1.369463,-1.373153
-97.62345,101.3498,30.222515,61.4911,5.926463,5.514073,-0.9387205,-0.5478288,0.2287543,0.28923103,0.13090497,0.3477005,-0.01121517,0.0055635334,1.7208878,-1.0410545,-1.7809416,-1.1028264,1.9735217,1.1147524,-0.9159604,1.7692858,-1.0621275,-1.8046949,-1.1143681,1.9413352,1.1151816,-0.916706,-0.7131061,0.21100768,0.5406507,0.18083644,0.28955758,-0.06780562,-0.01952047,2.7500587,-0.62772787,0.4425905,-3.1141825,0.21647109,4.843201,0.52458924,-0.45662606,0.6982361,0.5784581,0.17266163,0.14756224,0.7834536,-0.42661408,-0.29964483,0.36825046,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3981977,0.22745857,0.10399225,-30.242264,14.02834,12.083006,7.5839577,13.826841,0.3963396,0.34822708
-61.523453,109.096855,34.442074,45.040745,3.5023644,4.7857265,-0.73753905,-0.535589,0.318296,0.29717314,0.07792196,0.26128906,-0.00028569132,0.10219889,1.7157269,-1.0302979,-1.7749776,-1.1065758,1.9674641,1.115153,-0.90648615,1.7605416,-1.0586399,-1.7988117,-1.1124731,1.944798,1.1145674,-0.9167842,-0.9186651,0.3925531,0.6042686,0.20214604,0.36827764,-0.050585702,0.0021817898,2.7175856,-0.62531096,0.49248263,-3.1115513,0.20618479,4.7353415,0.51510704,-0.46200556,0.7033965,0.5818649,0.1706261,0.14453585,0.7819394,-0.5531493,-0.34850776,0.49009612,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3671327,0.22534618,0.056289494,-21.354103,17.84578,5.245805,2.324781,7.395494,0.8117333,1.5194618
-34.082504,98.16463,33.586617,32.991352,2.1213045,4.003163,-0.51403,-0.5591149,0.28506598,0.4190279,0.1442578,0.12335924,0.07063442,0.095485054,1.70463,-1.0301332,-1.7569089,-1.0980474,1.9571339,1.1216308,-0.90723574,1.7503182,-1.053842,-1.792196,-1.1102444,1.9482818,1.1140953,-0.91672605,-1.0636904,0.50493985,0.67676,0.23492034,0.3500174,-0.04557335,-0.00053945277,2.681325,-0.62047976,0.5446567,-3.1016617,0.2180468,4.64721,0.50924134,-0.4627943,0.7134965,0.5859132,0.16785471,0.14154573,0.78006107,-0.6407348,-0.35637295,0.5950864,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3361058,0.22322997,0.0095978975,-12.593913,11.552125,7.8833222,3.8766594,-1.9568145,1.560738,1.4055876
-17.194332,98.93161,36.517494,28.395277,1.4667711,3.9416888,-0.44885656,-0.58987474,0.3392506,0.50444704,0.23966253,0.048182476,0.22994544,0.10707825,1.6913307,-1.0199169,-1.7417513,-1.0862782,1.9531,1.1370898,-0.90601826,1.7393118,-1.0480798,-1.7845666,-1.1072861,1.9511409,1.113897,-0.91653866,-1.123504,0.6086818,0.7831835,0.32429644,0.2741953,-0.01954007,0.01824357,2.65797,-0.6176452,0.58776927,-3.0972607,0.20711628,4.5513563,0.5103093,-0.47285685,0.7204998,0.59044486,0.16409898,0.13869008,0.7779534,-0.7098767,-0.33649915,0.70524216,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3051152,0.22111043,-0.036084533,-6.228137,9.02685,10.786116,8.626688,-7.4810686,3.069449,1.325818
-9.079916,93.06028,35.227993,24.843567,1.0876184,3.6357927,-0.39618024,-0.62046677,0.3687467,0.5501018,0.28773174,-0.027930113,0.34952798,0.13096863,1.6772652,-1.0112052,-1.7295564,-1.0785129,1.9483479,1.1488497,-0.9034418,1.7279259,-1.0416225,-1.7758281,-1.1033417,1.9530025,1.1140858,-0.9162192,-1.1466821,0.66125685,0.907868,0.42586297,0.1534749,0.021598779,0.043083664,2.6279323,-0.6140243,0.6295057,-3.1036572,0.2219755,4.4421244,0.50282687,-0.47548753,0.7272821,0.5953742,0.15924151,0.13601457,0.77567494,-0.7587947,-0.31355053,0.7913331,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2741618,0.21898755,-0.08075976,-2.9342651,6.27228,11.125362,10.453343,-10.685679,4.0998545,1.3768196
