torque0,torque1,torque2,torque3,torque4,torque5,torque6,action0,action1,action2,action3,action4,action5,action6,set_target_0,set_target_1,set_target_2,set_target_3,set_target_4,set_target_5,set_target_6,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,tennisball_pos_0,tennisball_pos_1,tennisball_pos_2,tennisball_lin_vel_0,tennisball_lin_vel_1,tennisball_lin_vel_2,end_effector_pos_0,end_effector_pos_1,end_effector_pos_2,end_effector_rot_0,end_effector_rot_1,end_effector_rot_2,end_effector_rot_3,end_effector_lin_vel_0,end_effector_lin_vel_1,end_effector_lin_vel_2,obs_task_0,obs_task_1,obs_task_2,obs_task_3,obs_task_4,obs_task_5,obs_task_6,to_final_target_0,to_final_target_1,to_final_target_2,joint_acc_0,joint_acc_1,joint_acc_2,joint_acc_3,joint_acc_4,joint_acc_5,joint_acc_6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2394028,-0.46359706,0.05903642,-3.6055245,0.1748132,5.5932717,0.530416,-0.4544952,0.693097,0.5745483,0.17512383,0.15255436,0.7848268,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8894029,0.06359705,0.49096358,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2394028,-0.46359706,0.05903642,-3.6055245,0.1748132,5.5932717,0.530416,-0.4544952,0.693097,0.5745483,0.17512383,0.15255436,0.7848268,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8894029,0.06359705,0.49096358,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2394028,-0.46359706,0.05903642,-3.6055245,0.1748132,5.5932717,0.530416,-0.4544952,0.693097,0.5745483,0.17512383,0.15255436,0.7848268,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8894029,0.06359705,0.49096358,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-28.556353,93.549484,30.47789,27.926178,2.0443752,2.9267657,-0.3449713,-0.19791202,0.22432967,0.031778704,-0.07053137,0.29464093,-0.23351958,-0.25598237,1.7604446,-1.042218,-1.8119645,-1.1240638,1.9667796,1.0936588,-0.9418961,1.7793051,-1.0637106,-1.8147247,-1.1172577,1.9380975,1.1167504,-0.916563,-0.12421919,0.12540685,0.05561298,-0.033011172,0.104351714,-0.0346403,-0.035355713,3.203354,-0.46184993,0.11424212,-3.6047263,0.17467274,5.4963384,0.5299363,-0.45461822,0.6937166,0.57489836,0.17498673,0.15240487,0.78463,-0.06412744,-0.016497798,0.08255795,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.853354,0.061849922,0.43575788,-12.4283495,12.545837,5.5591173,-3.3058417,10.455837,-3.4696221,-3.5403893
-63.95387,113.228966,32.792667,43.904102,3.4296317,4.090725,-0.7589584,-0.3823698,0.37036583,-0.0057629687,-0.06256714,0.49563113,-0.23218144,-0.25906864,1.7410681,-1.026674,-1.815301,-1.1235144,1.9876606,1.0935322,-0.94246984,1.7762676,-1.0607208,-1.8141935,-1.1178814,1.9406304,1.1162249,-0.9171104,-0.36368242,0.35694093,0.05238657,-0.0721248,0.3030783,-0.058866803,-0.061207637,3.1673126,-0.46010423,0.1684786,-3.603928,0.1745323,5.3994193,0.52836466,-0.45524716,0.6954499,0.5761029,0.17467308,0.15202795,0.7838892,-0.18819255,-0.0782126,0.20364757,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8173127,0.06010422,0.3815214,-23.994694,23.159134,-0.2851136,-3.9124117,19.92107,-2.5231571,-2.5851526
-74.47091,118.98886,30.920818,49.175095,3.499456,3.988942,-1.1455938,-0.45952335,0.52479506,-0.1660722,-0.03144331,0.5548591,-0.265043,-0.23736772,1.7303153,-1.0082413,-1.8308007,-1.1210258,1.9961164,1.0897206,-0.94084716,1.7707154,-1.0549396,-1.8145502,-1.1186854,1.9451604,1.1154486,-0.91787046,-0.61950326,0.6517767,-0.06440027,-0.083207846,0.50303423,-0.08493311,-0.08082521,3.131279,-0.45835996,0.221746,-3.6031303,0.17439187,5.3025146,0.5254941,-0.45661592,0.6983874,0.57856405,0.17426917,0.15175314,0.78221786,-0.32000443,-0.15599479,0.32369483,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.781279,0.05835995,0.328254,-25.702042,29.459358,-11.516903,-1.115936,19.988573,-2.9264345,-1.9372165
-56.767773,113.68376,30.009909,42.29546,2.6145217,3.406759,-1.0939244,-0.47345054,0.6076212,-0.20291343,-0.013481709,0.5305046,-0.24976385,-0.19600631,1.7233703,-0.9941775,-1.8348415,-1.1200335,1.9982109,1.0904722,-0.9374711,1.7630898,-1.0463613,-1.8162715,-1.1194197,1.9512477,1.1144425,-0.9187655,-0.8107707,0.9263419,-0.20717514,-0.07036396,0.6437459,-0.10728867,-0.092370614,3.095253,-0.45661712,0.27404445,-3.6023326,0.17425147,5.2056246,0.521533,-0.4585731,0.70239884,0.58226746,0.17377755,0.15190126,0.779546,-0.4217049,-0.20768693,0.42666164,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.745253,0.05661711,0.27595556,-19.294334,27.402782,-14.016926,1.228705,14.015781,-2.7080789,-1.146251
-29.695356,111.72806,35.452827,32.227627,1.6902016,3.5542707,-0.67348504,-0.51112455,0.64923084,-0.032483768,-0.027267184,0.46589696,-0.20701079,-0.20006831,1.7119774,-0.9814382,-1.8195199,-1.1221464,1.9978374,1.0937414,-0.9387723,1.7540337,-1.0355743,-1.8183887,-1.1200453,1.9581342,1.1132742,-0.9197597,-0.9378619,1.1293001,-0.21223117,-0.060226027,0.7037231,-0.12159003,-0.10205609,3.0592356,-0.4548757,0.32537413,-3.6015348,0.17411108,5.1087494,0.51675177,-0.4606545,0.70750064,0.5868109,0.17289986,0.1524029,0.77622926,-0.4971609,-0.20607069,0.5374944,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7092357,0.0548757,0.22462589,-12.906384,20.251799,-0.23503304,0.91880333,6.042576,-1.8756837,-1.0444492
-11.714557,111.24272,43.229546,29.939066,1.9203774,4.328713,-0.26225492,-0.5406954,0.64334714,0.23889905,0.08839449,0.47329313,-0.1546887,-0.2605956,1.6999642,-0.9712396,-1.7944988,-1.1112058,2.0054636,1.0978054,-0.94581926,1.7441126,-1.0235189,-1.8189294,-1.1200444,1.9653258,1.1120278,-0.92088836,-1.0108167,1.2308989,-0.0006944866,0.020009853,0.725196,-0.12698194,-0.11716694,3.0232267,-0.45313573,0.37573513,-3.600737,0.17397073,5.0118885,0.5112419,-0.4625523,0.7140094,0.5918216,0.17108403,0.15261681,0.77277774,-0.5691993,-0.1809785,0.6878886,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6732268,0.053135723,0.17426488,-7.4873805,10.138154,21.344522,7.953653,2.4044394,-0.93746483,-1.7210557
-7.6500998,100.08259,42.26207,30.589436,2.3421364,4.3770165,-0.12959474,-0.57104105,0.6351773,0.35830143,0.21335302,0.45683783,-0.1083294,-0.27222374,1.6870085,-0.9600012,-1.7830993,-1.0987091,2.0110097,1.1011949,-0.94811076,1.7336994,-1.0110649,-1.8166959,-1.1186806,1.9725194,1.1107804,-0.92216915,-1.0519722,1.2502,0.29839405,0.17500532,0.71852213,-0.12524515,-0.13268787,2.9872255,-0.45139718,0.42512766,-3.5999398,0.17383039,4.915042,0.5050068,-0.46427822,0.7220587,0.59716594,0.16799614,0.1520025,0.76945776,-0.6417457,-0.16487987,0.8426487,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6372256,0.051397175,0.12487236,-4.2376995,1.9192934,30.008188,15.476572,-0.32844543,-0.19914508,-1.8301353
-6.6632705,88.306946,37.04132,27.788748,2.1682794,3.8218338,-0.08168958,-0.6067798,0.6655805,0.38982132,0.23999408,0.46638897,-0.10343778,-0.2406899,1.6730214,-0.9445068,-1.7777138,-1.0946811,2.0191584,1.1004366,-0.94623816,1.7229372,-0.998608,-1.8117387,-1.1158053,1.979608,1.1095654,-0.92356676,-1.084589,1.2442,0.5616759,0.32492998,0.7066038,-0.12136259,-0.14292206,2.951232,-0.44965982,0.4735518,-3.5991426,0.17369008,4.81821,0.49810028,-0.4658792,0.7314353,0.6027676,0.16371144,0.1504936,0.7663037,-0.7072058,-0.15179753,0.9676662,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.601232,0.04965982,0.0764482,-3.323722,-0.60272217,26.39662,14.990627,-0.90287924,0.075529516,-1.2803108
0.81025743,78.585495,31.280361,18.477604,1.1954899,2.8766391,0.050935294,-0.62744147,0.7060865,0.39805332,0.17028175,0.49414662,-0.10206811,-0.24366032,1.6601931,-0.9279993,-1.7719334,-1.098777,2.0290227,1.0993586,-0.9479328,1.7118803,-0.9861249,-1.804838,-1.1121174,1.9866567,1.1083971,-0.9250497,-1.1128551,1.2496549,0.7331726,0.38332927,0.7050027,-0.11569282,-0.15073964,2.915246,-0.4479239,0.5210078,-3.5983453,0.17354979,4.721393,0.49072123,-0.46720266,0.7416698,0.6084178,0.15860039,0.148406,0.76331466,-0.7485578,-0.11773598,1.0399265,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.565246,0.047923893,0.028992236,-2.8845549,0.5510092,17.237019,5.8127403,0.05762577,0.42137206,-0.9833753
4.2608376,67.79233,24.206333,11.610685,0.42876935,1.8421059,0.047474682,-0.63912743,0.73119265,0.3646076,0.1508095,0.50740683,-0.08430854,-0.24911505,1.6479676,-0.9130056,-1.7683772,-1.0970365,2.0373974,1.0999663,-0.94996125,1.7005774,-0.9734696,-1.7970951,-1.1083361,1.9937491,1.1073042,-0.92659944,-1.1364264,1.2708418,0.78834605,0.37611708,0.71121055,-0.107131496,-0.15683632,2.8792677,-0.4461894,0.5674957,-3.597548,0.1734095,4.6245904,0.48310423,-0.46814704,0.75224274,0.6139873,0.15310256,0.14616632,0.7604041,-0.7667854,-0.07772144,1.060521,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5292678,0.046189398,-0.017495692,-2.4369001,2.1377802,5.5969,-0.80190897,0.7963896,0.86963177,-0.74866414
1.1444407,55.081173,16.319176,8.885719,0.12173337,0.93634355,-0.06661861,-0.6618377,0.737514,0.30961987,0.15136185,0.49868667,-0.06136392,-0.24248745,1.6343936,-0.8997182,-1.7661331,-1.0931998,2.0436177,1.1011678,-0.95084816,1.6890084,-0.9605788,-1.7895696,-1.1048409,2.0008845,1.1063143,-0.9281935,-1.1641296,1.2952433,0.7408777,0.3401521,0.7148309,-0.09593782,-0.16053857,2.843299,-0.44445634,0.6130157,-3.5967512,0.17326926,4.527802,0.47540236,-0.4687953,0.7627055,0.61950755,0.14760524,0.14413083,0.75739634,-0.7717452,-0.051075168,1.0386832,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.493299,0.044456333,-0.0630157,-2.8752565,2.477336,-4.692006,-3.7431955,0.5155921,1.2329831,-0.45493245
