torque0,torque1,torque2,torque3,torque4,torque5,torque6,action0,action1,action2,action3,action4,action5,action6,set_target_0,set_target_1,set_target_2,set_target_3,set_target_4,set_target_5,set_target_6,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,tennisball_pos_0,tennisball_pos_1,tennisball_pos_2,tennisball_lin_vel_0,tennisball_lin_vel_1,tennisball_lin_vel_2,end_effector_pos_0,end_effector_pos_1,end_effector_pos_2,end_effector_rot_0,end_effector_rot_1,end_effector_rot_2,end_effector_rot_3,end_effector_lin_vel_0,end_effector_lin_vel_1,end_effector_lin_vel_2,obs_task_0,obs_task_1,obs_task_2,obs_task_3,obs_task_4,obs_task_5,obs_task_6,to_final_target_0,to_final_target_1,to_final_target_2,joint_acc_0,joint_acc_1,joint_acc_2,joint_acc_3,joint_acc_4,joint_acc_5,joint_acc_6
-15.017529,-13.0714035,-17.667336,-7.9468336,0.07593751,-2.7256002,0.5332461,-0.1652608,-0.11594918,-0.4101548,-0.5326776,0.43834853,-0.20348571,-0.21469961,1.7637098,-1.0762458,-1.8561579,-1.1702784,1.9811503,1.0966622,-0.9377678,1.7794625,-1.0651954,-1.817064,-1.1195055,1.9386268,1.1168562,-0.9164576,-0.117783666,-0.06482441,-0.25123906,-0.35818678,0.1868204,-0.0034912694,-0.03420507,2.8578324,-0.3468767,0.4665413,-4.138142,-0.2729043,3.9554076,0.52144265,-0.45728862,0.69846326,0.5740762,0.1766993,0.15268603,0.7847935,0.027812941,-0.04376887,-0.18748768,1,0,0,0,0,0,0,-3.5045505,-0.051179796,0.07824522,-10.284539,-7.2791314,-25.581657,-33.20043,17.372883,-2.1304278,-2.085225
-28.503239,50.412945,8.140284,9.146875,0.7151595,0.46108878,0.08723733,-0.27496937,0.13287124,-0.20099404,-0.45322123,0.37564075,-0.18456261,-0.27613205,1.7519655,-1.0519084,-1.8371634,-1.1648277,1.9761908,1.0984,-0.9440708,1.777145,-1.0652994,-1.8205631,-1.124952,1.9414916,1.1165043,-0.9168739,-0.24733552,0.018900495,-0.354636,-0.59308076,0.3188732,-0.04842908,-0.02148072,2.809574,-0.34702712,0.50484866,-4.137435,-0.30034578,3.931539,0.54054594,-0.45795003,0.69534004,0.57333,0.17957948,0.15307617,0.7846092,-0.0072412062,-0.029421192,-0.30103505,1,0,0,0,0,0,0,-3.463736,-0.04842201,0.03958106,-17.106575,8.275013,-12.419963,-28.201412,14.716336,-2.0985677,-2.6510842
-43.066093,94.73091,27.191624,30.111635,2.0327625,3.0197833,-0.49797028,-0.33385396,0.23256624,-0.12610416,-0.29333586,0.33098274,-0.0768076,-0.24176468,1.7437596,-1.0420427,-1.8331735,-1.1542856,1.9745898,1.1088235,-0.94105035,1.7730366,-1.0639633,-1.8244541,-1.1318251,1.9454389,1.1160504,-0.9175214,-0.45660043,0.18720129,-0.41029388,-0.69236624,0.40576977,-0.018482912,-0.081292585,2.7780445,-0.35577908,0.5437579,-4.0600843,-0.19927527,3.684154,0.5269182,-0.46493837,0.68957406,0.57295644,0.18266976,0.15363747,0.78405875,-0.09600598,-0.061350018,-0.23333962,1,0,0,0,0,0,0,-3.422976,-0.04568425,0.0019259453,-18.229395,16.464293,-0.9387255,-9.682107,9.474897,-0.84148943,-2.1976948
-56.634335,115.19131,35.996353,47.17762,3.3558924,4.4265523,-0.9897846,-0.40520015,0.29858348,-0.12228761,-0.15938075,0.3414809,-0.0017062811,-0.17129081,1.7325165,-1.034105,-1.8366828,-1.1477631,1.979587,1.1158798,-0.9346505,1.7671753,-1.0607885,-1.8280151,-1.1382633,1.950048,1.1156012,-0.91831154,-0.6420222,0.36341453,-0.32666177,-0.61828023,0.44858477,-0.031126674,-0.11128585,2.7281642,-0.36054173,0.5807085,-3.979127,-0.17393813,3.6414895,0.53539217,-0.4584105,0.68106705,0.57360053,0.18516217,0.15416859,0.782898,-0.20287189,-0.10520129,-0.050408456,1,0,0,0,0,0,0,-3.3822694,-0.042966276,-0.03472191,-17.45516,19.047129,4.900408,8.872068,5.7567596,0.021398813,-1.2480408
-60.745804,110.38903,34.6429,55.402378,4.21105,4.4689116,-1.2350401,-0.4335991,0.32367772,-0.14837006,0.012912759,0.34288666,0.100360416,0.0064900448,1.7238154,-1.0284207,-1.8428521,-1.1369721,1.9843366,1.1256372,-0.91766256,1.7599169,-1.0559715,-1.8311203,-1.1426207,1.9550061,1.1152579,-0.91906446,-0.7642407,0.49631193,-0.28022715,-0.3594967,0.5075782,-0.032737188,-0.052215144,2.6946232,-0.3552396,0.6247969,-4.1044946,-0.28630164,3.4625144,0.51581264,-0.45941105,0.6815593,0.5756709,0.18668106,0.15445404,0.780959,-0.28402606,-0.21371858,0.115609124,1,0,0,0,0,0,0,-3.3416142,-0.040267378,-0.07036406,-13.004255,15.507423,4.656929,24.631573,2.8502107,0.92216283,0.78207403
-67.80959,99.08219,30.879358,64.028595,5.2473316,4.4382777,-1.4590032,-0.46987566,0.32832116,-0.11620015,0.29656094,0.3024056,0.25546283,0.1781892,1.7129294,-1.0231394,-1.8427403,-1.1129646,1.9852467,1.1408042,-0.90124553,1.7516638,-1.0500654,-1.8337114,-1.1432844,1.9599786,1.1151491,-0.91958565,-0.8383927,0.6365956,-0.23444223,0.025794458,0.5144535,0.0061741257,-0.06384985,2.6442301,-0.35708505,0.64903384,-4.1000834,-0.16798285,3.4015677,0.51554763,-0.45874453,0.6894358,0.57950217,0.18696398,0.15419887,0.77810305,-0.4583846,-0.3492531,0.2835721,1,0,0,0,0,0,0,-3.3010106,-0.037587076,-0.105002284,-9.053909,9.248245,5.4650455,40.962772,-0.61174035,2.1226366,2.646082
-63.257603,93.39061,30.127092,66.20122,5.3793917,4.3696613,-1.5860512,-0.4668989,0.34982237,-0.07320382,0.58032835,0.18108141,0.32488388,0.22288601,1.7049739,-1.0150832,-1.8410318,-1.0852516,1.9780867,1.1476375,-0.897297,1.7429005,-1.0435594,-1.8356903,-1.1390568,1.9644427,1.1153408,-0.91979784,-0.9044665,0.6687816,-0.16875105,0.55446875,0.45319378,0.042173386,-0.0333115,2.6048875,-0.35550526,0.6834779,-3.9745257,-0.18802062,3.4351668,0.5148839,-0.4574474,0.68438506,0.58527553,0.18575206,0.15330221,0.7742396,-0.5728288,-0.521688,0.44260722,1,0,0,0,0,0,0,-3.2604585,-0.034925133,-0.13863814,-3.7739277,4.740858,6.467104,51.6597,-6.4781547,2.4204001,3.0607228
-55.771255,89.23279,29.164944,58.536926,4.387602,4.2356405,-1.4297575,-0.5359659,0.38337547,-0.016118035,0.6594057,0.016206022,0.3392945,0.2121247,1.6893039,-1.0052218,-1.8373021,-1.0731162,1.9660634,1.1492703,-0.8985854,1.7337004,-1.0366977,-1.8368948,-1.1302639,1.9677482,1.1158262,-0.9197187,-0.959085,0.7183335,-0.07063785,0.9641644,0.3226958,0.043705683,0.0081394855,2.5769484,-0.3601978,0.7211178,-4.0162206,-0.32909015,3.2608256,0.5111577,-0.47054943,0.7033321,0.5927984,0.18299909,0.15201344,0.7694109,-0.65561426,-0.6528393,0.63091505,1,0,0,0,0,0,0,-3.2199569,-0.03228107,-0.17127323,-4.4852138,2.940476,8.346386,43.88517,-13.342899,2.2334502,2.7458644
-43.565968,80.88032,26.63374,43.92446,2.9116185,3.8116353,-1.0060896,-0.605154,0.3869352,0.049090814,0.6507947,-0.109217525,0.3952963,0.17971359,1.673185,-0.9980042,-1.8319857,-1.0651845,1.9568264,1.1553559,-0.90174735,1.7238537,-1.0296654,-1.8371284,-1.118425,1.9694476,1.1166188,-0.91941065,-1.0284678,0.7323775,0.010889543,1.2677104,0.14962058,0.10191431,0.03394451,2.5288951,-0.37570295,0.76028174,-3.9666774,-0.20574178,3.2002783,0.50794935,-0.47432032,0.70230484,0.6015405,0.17891535,0.15067141,0.76383,-0.7815696,-0.6829739,0.74585116,1,0,0,0,0,0,0,-3.1795049,-0.029654652,-0.20290911,-7.072246,1.062429,10.494105,26.188803,-17.134453,2.7020812,2.0616968
-30.489712,76.71008,24.646595,29.370453,1.4376143,3.2682977,-0.61173564,-0.6642269,0.4264483,0.059975676,0.613856,-0.17584498,0.4367867,0.1486881,1.657431,-0.9870205,-1.8311309,-1.0570394,1.9518632,1.1602974,-0.90454185,1.7131296,-1.0224165,-1.8364856,-1.1053606,1.9694896,1.1177403,-0.9189438,-1.1179048,0.719233,0.08532816,1.3379145,-0.03281216,0.10848102,0.07413038,2.481504,-0.367143,0.77588207,-4.1358495,-0.16141921,3.025317,0.49618396,-0.4902107,0.71808857,0.6109254,0.17386703,0.14963417,0.7577268,-0.8945465,-0.6667686,0.7816305,1,0,0,0,0,0,0,-3.1391015,-0.027045399,-0.23354727,-9.40938,2.3239374,8.639335,7.6856136,-16.62987,3.1135707,1.3400264
