pure_actions_0,pure_actions_1,pure_actions_2,pure_actions_3,pure_actions_4,pure_actions_5,pure_actions_6,action_history_actor_0,action_history_actor_1,action_history_actor_2,action_history_actor_3,action_history_actor_4,action_history_actor_5,action_history_actor_6,action_history_actor_7,action_history_actor_8,action_history_actor_9,action_history_actor_10,action_history_actor_11,action_history_actor_12,action_history_actor_13,dof_pos_scaled_0,dof_pos_scaled_1,dof_pos_scaled_2,dof_pos_scaled_3,dof_pos_scaled_4,dof_pos_scaled_5,dof_pos_scaled_6,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,tennisball_pos_0,tennisball_pos_1,tennisball_pos_2,end_effector_pos_0,end_effector_pos_1,end_effector_pos_2,tennisball_lin_vel_0,tennisball_lin_vel_1,tennisball_lin_vel_2,end_effector_rot_0,end_effector_rot_1,end_effector_rot_2,end_effector_rot_3,end_effector_lin_vel_0,end_effector_lin_vel_1,end_effector_lin_vel_2,to_final_target_0,to_final_target_1,to_final_target_2,to_throwing_pos_0,to_throwing_pos_1,to_throwing_pos_2,to_throwing_vel_0,to_throwing_vel_1,to_throwing_vel_2,obs_task_0,obs_task_1,obs_task_2,obs_task_3,obs_task_4,obs_task_5,obs_task_6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26847267,-0.0039408803,0.4443121,0.5907686,0.53886926,-0.4381805,0.5097121,0,0,0,0,0,0,0,0.7344585,-0.12809241,0.11633858,0.33378643,-0.33584118,0.9006442,-0.4716394,0.015329431,0.7583891,0,0,0,0.77157634,-0.05709668,0.6197013,-0.13183326,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.252463,-0.42103487,-0.4017168,-0.2601791,-0.5020459,0.9096016,0.7477488,0,0,0,0,0,0,0,0.252463,-0.42103487,-0.4017168,-0.2601791,-0.5020459,0.9096016,0.7477488,0.26855433,-0.004136145,0.44418037,0.590646,0.538705,-0.43811858,0.50974894,0.015018463,-0.025350124,-0.024242401,-0.01590538,-0.03021431,0.008041382,0.0069770813,0.7305282,-0.12796468,0.12259728,0.33356607,-0.33605194,0.9007085,-0.4716394,0.015329431,0.7510436,-0.006612868,-0.0063293236,0.0019360894,0.7715684,-0.056977164,0.61968666,-0.13200034,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.39323875,-0.56700605,-0.2702807,-0.5113597,0.15683377,0.9129986,0.7223067,0.252463,-0.42103487,-0.4017168,-0.2601791,-0.5020459,0.9096016,0.7477488,0.39323875,-0.56700605,-0.2702807,-0.5113597,0.15683377,0.9129986,0.7223067,0.26876485,-0.0045945644,0.44396055,0.5902859,0.5385932,-0.43799245,0.5098202,0.038728714,-0.059528768,-0.04044342,-0.046770096,-0.020576477,0.016378403,0.01348114,0.72659785,-0.12783694,0.12879476,0.33312392,-0.33639026,0.90101534,-0.4716394,0.015329431,0.74369806,-0.013262888,-0.010144848,0.009215701,0.77182055,-0.05675634,0.6193692,-0.1321116,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.29380262,-0.5573165,-0.31612864,-0.34391236,0.5989027,0.9131778,0.7654678,0.39323875,-0.56700605,-0.2702807,-0.5113597,0.15683377,0.9129986,0.7223067,0.29380262,-0.5573165,-0.31612864,-0.34391236,0.5989027,0.9131778,0.7654678,0.2690612,-0.005287111,0.44365478,0.58978176,0.53869855,-0.43780625,0.5099257,0.05451584,-0.089930624,-0.056230545,-0.06545448,0.01939392,0.024183273,0.019985199,0.7226675,-0.12770921,0.13493103,0.33244875,-0.33688378,0.9015271,-0.4716394,0.015329431,0.7363525,-0.020255499,-0.014803488,0.015361632,0.7724227,-0.05629275,0.61867505,-0.13204367,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.03476285,-0.56008744,-0.4836885,0.102720946,0.55139476,0.90902257,0.79195774,0.29380262,-0.5573165,-0.31612864,-0.34391236,0.5989027,0.9131778,0.7654678,0.03476285,-0.56008744,-0.4836885,0.102720946,0.55139476,0.90902257,0.79195774,0.2693423,-0.0061818957,0.44321966,0.5893711,0.53899884,-0.4375642,0.5100646,0.051707268,-0.11619584,-0.08005905,-0.053333282,0.055225372,0.03142643,0.026311874,0.7187372,-0.12758148,0.14100608,0.33146742,-0.3377173,0.9020079,-0.4716394,0.015329431,0.729007,-0.029436426,-0.025017558,0.01441214,0.7732418,-0.055342477,0.6177784,-0.13184886,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-0.14581876,-0.58232194,-0.5301497,0.24170232,0.49031353,0.90741,0.80515647,0.03476285,-0.56008744,-0.4836885,0.102720946,0.55139476,0.90902257,0.79195774,-0.14581876,-0.58232194,-0.5301497,0.24170232,0.49031353,0.90741,0.80515647,0.26953816,-0.0072599053,0.44265163,0.5891366,0.5394472,-0.43727076,0.51023483,0.0360384,-0.13997631,-0.104478836,-0.03045082,0.08248329,0.038107872,0.032224655,0.71480685,-0.12745374,0.14701992,0.33014083,-0.33897328,0.9023604,-0.4716394,0.015329431,0.72166145,-0.039795976,-0.03771254,0.010550227,0.7741883,-0.053825658,0.61677843,-0.13160425,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-0.29214454,-0.587764,-0.36998567,0.34069654,0.256582,0.9046497,0.76790357,-0.14581876,-0.58232194,-0.5301497,0.24170232,0.49031353,0.90741,0.80515647,-0.29214454,-0.587764,-0.36998567,0.34069654,0.256582,0.9046497,0.76790357,0.2696029,-0.008498132,0.44202042,0.58911204,0.53994346,-0.43693012,0.5104315,0.011914253,-0.16078427,-0.116127014,-0.0031929016,0.091293335,0.0442276,0.03725052,0.7108765,-0.12732601,0.15297255,0.32852212,-0.34062433,0.9025192,-0.4716394,0.015329431,0.7143159,-0.048565656,-0.04958107,0.0046842,0.7751591,-0.051809087,0.61578494,-0.13135092,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-0.43992537,-0.6153027,0.1534122,0.39178798,-0.029985612,0.8948217,0.7461926,-0.29214454,-0.587764,-0.36998567,0.34069654,0.256582,0.9046497,0.76790357,-0.43992537,-0.6153027,0.1534122,0.39178798,-0.029985612,0.8948217,0.7461926,0.26949894,-0.009886265,0.44151485,0.5892987,0.5403764,-0.43654674,0.51065075,-0.019127846,-0.18026313,-0.09300804,0.024242401,0.07964516,0.049785614,0.04150772,0.7069462,-0.12719828,0.15886396,0.32677314,-0.3425188,0.9024489,-0.4716394,0.015329431,0.7069704,-0.052480273,-0.056874488,-0.0022408485,0.77608407,-0.049492758,0.6148831,-0.13100654,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-0.5183329,-0.6383306,0.51031244,0.27969286,-0.40863982,0.8653378,0.73076296,-0.43992537,-0.6153027,0.1534122,0.39178798,-0.029985612,0.8948217,0.7461926,-0.5183329,-0.6383306,0.51031244,0.27969286,-0.40863982,0.8653378,0.73076296,0.2692169,-0.011415064,0.44126022,0.58961785,0.54061687,-0.43612534,0.51088953,-0.05188465,-0.19851145,-0.046829224,0.041448593,0.0442276,0.054722786,0.045232773,0.70301586,-0.12707055,0.16469418,0.3250094,-0.34451938,0.90218586,-0.4716394,0.015329431,0.69962484,-0.052943867,-0.06002554,-0.008045535,0.7768955,-0.047099907,0.61413515,-0.13058683,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-0.57560974,-0.6624886,0.66607916,-0.14941606,-0.58930105,0.8147727,0.27318862,-0.5183329,-0.6383306,0.51031244,0.27969286,-0.40863982,0.8653378,0.73076296,-0.57560974,-0.6624886,0.66607916,-0.14941606,-0.58930105,0.8147727,0.27318862,0.2687595,-0.013076603,0.4412917,0.58984375,0.54061425,-0.4356718,0.51112473,-0.08413887,-0.21576291,0.005794525,0.029327393,-0.00047302246,0.058891296,0.04452324,0.69908553,-0.12694281,0.17046317,0.32323402,-0.3465197,0.9019315,-0.4716394,0.015329431,0.69227934,-0.053287473,-0.059974853,-0.007783875,0.77761555,-0.04485804,0.6134629,-0.1302493,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-0.59299487,-0.6897891,0.71157163,-0.38316163,-0.6295935,0.7676093,-0.38839364,-0.57560974,-0.6624886,0.66607916,-0.14941606,-0.58930105,0.8147727,0.27318862,-0.59299487,-0.6897891,0.71157163,-0.38316163,-0.6295935,0.7676093,-0.38839364,0.26814353,-0.014865994,0.44159293,0.58985054,0.54038,-0.4351914,0.51132333,-0.11331844,-0.23235843,0.055402756,0.0008869171,-0.04310417,0.062379837,0.037605286,0.6951552,-0.12681508,0.17617096,0.32142538,-0.34847736,0.9018104,-0.4716394,0.015329431,0.6849338,-0.05429786,-0.058666475,-0.00377085,0.7782823,-0.04287953,0.61279047,-0.13009973,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-0.55686384,-0.7184582,0.6927332,-0.2611984,-0.6071617,0.64313287,-0.5982617,-0.59299487,-0.6897891,0.71157163,-0.38316163,-0.6295935,0.7676093,-0.38839364,-0.55686384,-0.7184582,0.6927332,-0.2611984,-0.6071617,0.64313287,-0.5982617,0.26740277,-0.01677984,0.4421214,0.58970714,0.5399512,-0.4346944,0.5114759,-0.13626003,-0.24850678,0.097206116,-0.01862526,-0.078876495,0.064538,0.028913498,0.6912249,-0.12668735,0.18181753,0.31958687,-0.35041022,0.90177,-0.4716394,0.015329431,0.6775882,-0.05520821,-0.057899196,-0.0013333873,0.778903,-0.04111844,0.61212504,-0.13008583,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-0.576718,-0.72782296,0.6841127,-0.19287284,-0.556525,0.5554544,0.27424985,-0.55686384,-0.7184582,0.6927332,-0.2611984,-0.6071617,0.64313287,-0.5982617,-0.576718,-0.72782296,0.6841127,-0.19287284,-0.556525,0.5554544,0.27424985,0.2665509,-0.0188061,0.44283998,0.5894735,0.53937364,-0.4341883,0.5116267,-0.15671825,-0.26312613,0.13220978,-0.030332565,-0.10625267,0.06572056,0.028558731,0.68729454,-0.12655962,0.18740289,0.31771243,-0.35233903,0.90176827,-0.4716394,0.015329431,0.6702427,-0.056326848,-0.057783935,-0.00011675959,0.7794983,-0.03947091,0.61146957,-0.1301132,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-0.6359706,-0.7499043,0.70553607,-0.17187056,-0.5771775,0.60392743,0.40758792,-0.576718,-0.72782296,0.6841127,-0.19287284,-0.556525,0.5554544,0.27424985,-0.6359706,-0.7499043,0.70553607,-0.17187056,-0.5771775,0.60392743,0.40758792,0.2655841,-0.020939648,0.44372785,0.58917797,0.5386652,-0.43367058,0.5117848,-0.17785645,-0.27704334,0.163311,-0.038373947,-0.13031769,0.06722832,0.02991867,0.6833642,-0.12643188,0.19292703,0.31578243,-0.35429,0.90178674,-0.4716394,0.015329431,0.66289717,-0.058015283,-0.058418903,0.0004947334,0.7800709,-0.037883323,0.61082613,-0.13017522,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-0.6556168,-0.76234204,0.7027343,-0.07176256,-0.64725816,-0.6664698,0.5439366,-0.6359706,-0.7499043,0.70553607,-0.17187056,-0.5771775,0.60392743,0.40758792,-0.6556168,-0.76234204,0.7027343,-0.07176256,-0.64725816,-0.6664698,0.5439366,0.26451004,-0.023171961,0.4447596,0.5888784,0.5378214,-0.43323094,0.51195645,-0.19757557,-0.28986853,0.18980026,-0.038906097,-0.1552105,0.0570879,0.032520294,0.6794339,-0.12630415,0.19838996,0.3137999,-0.35625958,0.9017635,-0.4716394,0.015329431,0.6555517,-0.05962308,-0.05898157,-0.0007288307,0.78059226,-0.03638012,0.61024594,-0.13019985,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
