torque0,torque1,torque2,torque3,torque4,torque5,torque6,action0,action1,action2,action3,action4,action5,action6,set_target_0,set_target_1,set_target_2,set_target_3,set_target_4,set_target_5,set_target_6,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,tennisball_pos_0,tennisball_pos_1,tennisball_pos_2,tennisball_lin_vel_0,tennisball_lin_vel_1,tennisball_lin_vel_2,to_target_0,to_target_1,to_target_2,end_effector_pos_0,end_effector_pos_1,end_effector_pos_2,end_effector_rot_0,end_effector_rot_1,end_effector_rot_2,end_effector_rot_3,end_effector_lin_vel_0,end_effector_lin_vel_1,end_effector_lin_vel_2,obs_task_0,obs_task_1,obs_task_2,obs_task_3,obs_task_4,to_final_target_0,to_final_target_1,to_final_target_2,joint_acc_0,joint_acc_1,joint_acc_2,joint_acc_3,joint_acc_4,joint_acc_5,joint_acc_6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8350445,0.08041639,1.3512754,1.3086969,1.5421777,-0.9483458,1.5926027,0.8350445,0.08041639,1.3512754,1.3086969,1.5421777,-0.9483458,1.5926027,0,0,0,0,0,0,0,3.6897287,-0.5207224,0.98961097,-3.4277043,0,4.874415,3.2949705,-0.23840022,0.13164324,0.39475822,-0.28232217,0.85796773,0.7269387,-0.094775364,0.6735191,-0.09460279,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89.43559,-61.014053,38.74913,-44.15736,21.680923,-28.601128,-12.070251,0.97790694,-0.9919115,0.98251283,-0.48537615,0.97541654,-0.98218805,0.92968374,0.8685476,0.0464335,1.3855652,1.2866802,1.5898365,-1.0100665,1.6510241,0.8365418,0.07964224,1.3508034,1.3091174,1.5464244,-0.9526092,1.596468,1.0706302,-0.2707202,-0.69397026,0.21652946,1.4102074,-1.2179847,0.30722442,3.6760187,-0.5207224,1.0089895,-3.4277043,0,4.8346934,3.281291,-0.23919177,0.15082985,0.3947277,-0.28153062,0.8581596,0.7283466,-0.094372846,0.6726806,-0.09003162,-0.014427837,0.25223264,0.053441852,1,0,0,0,0,0,0,0,696.3251,-77.18483,-575.82324,111.44917,348.43628,-152.172,-659.1824
130.406,-29.865852,-41.300285,-58.55464,83.88139,15.347343,-40,0.98372066,-0.99207866,0.9868009,-0.9153712,0.9788945,-0.98493606,0.9487817,0.870244,0.045653626,1.3852427,1.2675962,1.5942532,-1.0145025,1.6560894,0.83793765,0.07748861,1.3525027,1.3089181,1.5500836,-0.95765126,1.6000767,1.6249022,-0.49572563,-0.8061092,0.28091273,2.321289,-0.749222,-1.1800349,3.6623087,-0.5207224,1.028209,-3.4277043,0,4.794972,3.2674828,-0.24036264,0.16967261,0.39482594,-0.28035975,0.85853636,0.7300104,-0.094863236,0.671523,-0.08451379,0.021548914,0.3010688,0.15724829,1,0,0,0,0,0,0,0,1275.9805,42.67451,-1231.0934,330.81094,1406.4268,511.36313,-2082.274
111.84923,-12.541008,-41.330357,-45.943005,110,40,-40,0.9853874,-0.9919827,0.9871915,-0.94677556,0.9783085,-0.98472244,0.94553006,0.871697,0.043503277,1.3869557,1.2659724,1.5978838,-1.0195312,1.6594938,0.8398905,0.07443298,1.35486,1.3080398,1.5517783,-0.9632383,1.602418,1.6249025,-0.6884505,-0.4784282,0.17243728,2.3212883,-0.50403005,-1.8139209,3.6485987,-0.5207224,1.0472697,-3.4277043,0,4.7552505,3.2536602,-0.24173522,0.18826395,0.39493847,-0.27898717,0.85900575,0.7313581,-0.0966089,0.6704412,-0.07931324,0.047409993,0.32386672,0.21305333,1,0,0,0,0,0,0,0,1136.7379,75.45658,-1067.6813,392.1266,1897.5552,892.69977,-2399.2173
97.521515,-3.5798225,-41.399326,-39.944473,110,34.842606,-40,0.9853941,-0.9919611,0.98727816,-0.94968635,0.97795147,-0.9845712,0.94732684,0.8736501,0.040448386,1.389316,1.264962,1.599561,-1.0251088,1.661948,0.84227055,0.07091791,1.3574986,1.3067847,1.5532069,-0.96873,1.6046818,1.6249022,-0.78453636,-0.33844593,0.077602446,2.3212886,-0.59547263,-1.8526762,3.6348886,-0.5207224,1.0661715,-3.4277043,0,4.715529,3.2398262,-0.24322581,0.20652932,0.39506245,-0.27749658,0.8596422,0.7328039,-0.09860029,0.6691808,-0.07398302,0.048166674,0.36013895,0.25384864,1,0,0,0,0,0,0,0,1029.8883,94.22692,-998.2547,391.43527,1964.1222,777.4245,-2418.5952
91.908585,0.44052124,-41.399555,-36.02315,110,40,-40,0.9852029,-0.9919247,0.98728,-0.9498721,0.9778781,-0.98455864,0.9486846,0.8760236,0.03693457,1.3919547,1.2636986,1.600986,-1.0305996,1.6642972,0.84481746,0.06716443,1.3603225,1.305255,1.5547805,-0.9744525,1.6068524,1.6249019,-0.84383166,-0.2459204,-0.0009650042,2.321289,-0.5958911,-1.8438638,3.6211786,-0.5207224,1.0849144,-3.4277043,0,4.6758075,3.2260098,-0.24482346,0.22448975,0.39516878,-0.27589893,0.8604247,0.7343604,-0.10081817,0.6677293,-0.068468064,0.047272112,0.37874988,0.2907776,1,0,0,0,0,0,0,0,988.1287,94.54029,-951.9919,381.52206,1927.778,834.7559,-2386.485
87.86653,2.8681412,-41.409172,-32.841442,110,40,-40,0.98501396,-0.9918999,0.9871417,-0.94946045,0.9778881,-0.98451036,0.9494563,0.87856406,0.033181936,1.3947737,1.2621875,1.60256,-1.0363191,1.6665163,0.84748447,0.06327487,1.363235,1.3034985,1.5564961,-0.98027134,1.6089877,1.6249015,-0.87569356,-0.20187844,-0.06699834,2.321288,-0.6420408,-1.8180609,3.6074686,-0.5207224,1.1034986,-3.4277043,0,4.636086,3.2122211,-0.24649096,0.24216437,0.39524746,-0.27423143,0.8613342,0.7359962,-0.10316455,0.6661199,-0.06285633,0.040871195,0.3946135,0.3203964,1,0,0,0,0,0,0,0,958.0833,96.69953,-929.9706,371.94077,1892.4663,812.6386,-2352.0383
85.58159,4.2727356,-41.42111,-30.06657,110,40,-40,0.98481137,-0.9918627,0.9869744,-0.94865435,0.977921,-0.9844653,0.9499263,0.8812241,0.029293649,1.3976804,1.2604675,1.6042774,-1.0421351,1.668681,0.8502192,0.059307408,1.3661895,1.3015501,1.5583262,-0.98627853,1.6111344,1.6249019,-0.8937259,-0.18094476,-0.12303928,2.3212879,-0.7080926,-1.7862539,3.5937586,-0.5207224,1.1219237,-3.4277043,0,4.5963645,3.1984677,-0.2482171,0.25957668,0.39529085,-0.27250528,0.862347,0.7376735,-0.1056364,0.6643889,-0.05714922,0.031889543,0.40853712,0.3446253,1,0,0,0,0,0,0,0,941.1493,98.138504,-919.5046,364.06747,1863.7058,793.6852,-2322.9573
84.12724,5.1504974,-41.43406,-27.723267,110,40,-40,0.9845968,-0.9918187,0.98679024,-0.9476333,0.9779589,-0.98442,0.9502707,0.8839515,0.025327697,1.4006284,1.2585655,1.6061094,-1.0481395,1.6708494,0.85299677,0.055292107,1.3691641,1.2994397,1.5602574,-0.9925113,1.6133069,1.6248231,-0.90460795,-0.17082013,-0.17094602,2.3212888,-0.78194505,-1.7533268,3.5800486,-0.5207224,1.14019,-3.4277043,0,4.556643,3.1847553,-0.24999714,0.27674532,0.39529324,-0.27072525,0.8634447,0.73937,-0.108229786,0.6625568,-0.051348843,0.021802822,0.42102188,0.36472932,1,0,0,0,0,0,0,0,930.37506,99.22042,-914.4416,356.89365,1838.574,776.1675,-2296.56
82.211555,5.8992767,-41.447887,-25.918232,110,40,-40,0.98437077,-0.99177086,0.9865943,-0.94648004,0.977993,-0.98437214,0.9505681,0.8867213,0.021314036,1.4035963,1.2565073,1.6080421,-1.0543692,1.6730406,0.8558311,0.05123595,1.3721731,1.2971947,1.5622926,-0.9986663,1.6154841,1.6247234,-0.913912,-0.153618,-0.21206488,2.3212888,-0.7806354,-1.7251371,3.5663385,-0.5207224,1.1582974,-3.4277043,0,4.5169215,3.1710706,-0.2517984,0.2936715,0.39526796,-0.268924,0.86462593,0.7410988,-0.11084325,0.66061467,-0.045546833,0.015268913,0.42556316,0.38434112,1,0,0,0,0,0,0,0,916.15784,100.127426,-905.84106,348.99307,1812.4404,758.11285,-2269.4248
