torque0,torque1,torque2,torque3,torque4,torque5,torque6,action0,action1,action2,action3,action4,action5,action6,set_target_0,set_target_1,set_target_2,set_target_3,set_target_4,set_target_5,set_target_6,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,tennisball_pos_0,tennisball_pos_1,tennisball_pos_2,tennisball_lin_vel_0,tennisball_lin_vel_1,tennisball_lin_vel_2,end_effector_pos_0,end_effector_pos_1,end_effector_pos_2,end_effector_rot_0,end_effector_rot_1,end_effector_rot_2,end_effector_rot_3,end_effector_lin_vel_0,end_effector_lin_vel_1,end_effector_lin_vel_2,obs_task_0,obs_task_1,obs_task_2,obs_task_3,obs_task_4,obs_task_5,obs_task_6,to_final_target_0,to_final_target_1,to_final_target_2,joint_acc_0,joint_acc_1,joint_acc_2,joint_acc_3,joint_acc_4,joint_acc_5,joint_acc_6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,0,0,0,0,0,0,0,2.9125443,-0.5512123,0.43906718,-2.887864,0.011722549,4.7041903,0.5304184,-0.45449448,0.693097,0.5745483,0.17512383,0.15255436,0.7848268,0,0,0,1,0,0,0,0,0,0,-3.5625443,0.1512123,0.11093283,0,0,0,0,0,0,0
-65.81183,176,85.55612,88.11651,6.6208043,9.881307,-1.7183441,-0.18889658,0.688032,0.3421184,0.78358144,0.5382452,0.29638982,0.10655456,1.7613462,-0.9958477,-1.7809305,-1.0386525,1.99114,1.1466497,-0.9056424,1.7788988,-1.0650533,-1.8070171,-1.112454,1.9335542,1.1141955,-0.9173984,-0.177215,-0.053372543,1.0827172,0.608302,-0.50221163,-0.37489623,-0.14569815,2.8836594,-0.55109787,0.48537183,-2.887864,0.011722549,4.6058884,0.52892303,-0.45508575,0.6967172,0.57627064,0.1726188,0.15150952,0.7843212,-0.1991427,-0.07813942,0.48279622,1,0,0,0,0,0,0,-3.5336595,0.15109786,0.064628184,-17.467653,-5.28514,108.08447,61.07201,-50.446392,-37.402725,-14.273503
-176,117.54276,13.366464,110,10.988999,5.846442,-4.007335,-0.82450324,0.63840204,-0.5843258,0.8253353,0.553612,-0.523111,0.100682355,1.6964486,-1.0012132,-1.8654497,-1.0299206,1.9889153,1.0618844,-0.90733016,1.7749163,-1.0617288,-1.8018787,-1.1031576,1.9366097,1.1144301,-0.92185396,-0.47165272,0.46198863,0.32037583,1.0382158,0.5779546,0.15763721,-0.5449164,2.8547745,-0.5509834,0.5306935,-2.887864,0.011722549,4.5075865,0.5245514,-0.45883942,0.7028578,0.5825107,0.16848268,0.14820144,0.7812368,-0.5176622,-0.4755688,0.6566971,1,0,0,0,0,0,0,-3.5047746,0.15098342,0.01930654,-29.317999,51.8052,-77.344505,43.483627,108.95987,53.643272,-39.76364
-174.76569,176,55.401615,110,9.626816,9.472201,-2.6672802,-0.8400886,0.7709342,0.41882482,0.82514054,0.59042716,-0.26645747,0.23298973,1.6909075,-0.9846354,-1.7599962,-1.0206436,1.9956524,1.0877843,-0.898555,1.7659994,-1.0543817,-1.7966449,-1.0912272,1.9448953,1.1148974,-0.92888635,-1.031314,0.8248413,0.5913367,1.2465353,0.91257054,0.005606967,-0.75619024,2.8258896,-0.550869,0.5750321,-2.887864,0.011722549,4.4092846,0.51670074,-0.46527863,0.7120618,0.5925802,0.16322938,0.1430671,0.77571684,-0.87718505,-0.6974468,1.0075103,1,0,0,0,0,0,0,-3.4758897,0.15086898,-0.025032103,-55.87473,36.048973,27.15717,21.405363,33.559547,-16.456928,-21.186197
-116.63217,176,58.27901,83.48651,6.2961864,8.688264,-1.5987351,-0.8261389,0.7895456,0.5001526,0.8292319,0.60179985,-0.08061229,-0.055491738,1.6833855,-0.97542715,-1.7466297,-1.008304,2.0050752,1.1068362,-0.93443555,1.7528521,-1.043382,-1.7896183,-1.0772673,1.9551015,1.1147333,-0.936037,-1.4092816,1.1906607,0.7403538,1.448002,1.0570393,-0.028991219,-0.70147663,2.7970047,-0.55075455,0.61838764,-2.887864,0.011722549,4.3109827,0.50582886,-0.47294617,0.7244335,0.6048189,0.15650906,0.13710465,0.7687011,-1.1652926,-0.78154886,1.3126473,1,0,0,0,0,0,0,-3.4470048,0.15075454,-0.06838763,-37.80968,36.24885,15.093088,20.84639,14.593554,-5.0178456,5.436766
-47.27539,156.71028,58.677002,47.458633,2.9322748,7.3867183,-0.46325547,-0.82697946,0.78965753,0.67183834,0.8246361,0.5867673,0.14279836,-0.10998131,1.6701541,-0.96441627,-1.7224344,-0.99480367,2.0137782,1.1290132,-0.94703513,1.7372175,-1.0297216,-1.7804077,-1.0620276,1.9656873,1.1144358,-0.94239706,-1.6152892,1.4232078,0.9835202,1.551007,1.0588335,-0.034165192,-0.61489964,2.7681198,-0.5506401,0.66076016,-2.887864,0.011722549,4.212681,0.49280548,-0.48044586,0.73932403,0.6177718,0.1481174,0.13074489,0.76113397,-1.3571898,-0.7244125,1.5461375,1,0,0,0,0,0,0,-3.41812,0.1506401,-0.11076015,-20.724033,22.870613,24.962246,10.822678,0.105428696,-1.784829,8.423638
3.4401453,122.11995,48.6514,17.255299,0.47549075,5.1946545,0.36634654,-0.82853615,0.7942404,0.72104,0.81669676,0.59464276,0.3112621,0.021086985,1.6543639,-0.9502976,-1.7083037,-0.9803579,2.0251515,1.145562,-0.94028836,1.7206236,-1.0146707,-1.768996,-1.0463434,1.9759068,1.114308,-0.9477872,-1.6744839,1.5313771,1.1964434,1.5749592,1.0088816,-0.007827612,-0.5149638,2.739235,-0.55052567,0.7021497,-2.887864,0.011722549,4.114379,0.47859955,-0.48687744,0.7557592,0.63034564,0.13830532,0.124162614,0.7537371,-1.4526873,-0.59586054,1.6728555,1,0,0,0,0,0,0,-3.389235,0.15052566,-0.15214968,-6.0707808,10.492492,22.114325,2.61209,-5.1826477,1.9543148,9.613848
32.00563,92.48805,37.89641,-1.8449278,-0.93158305,3.2723527,0.82946515,-0.8226288,0.80753756,0.75046957,0.8052819,0.59934574,0.34424946,0.1213512,1.6383607,-0.933917,-1.693949,-0.96581525,2.0358415,1.1487329,-0.9356521,1.7041193,-0.9991715,-1.7558868,-1.0308233,1.9855561,1.1145083,-0.9521913,-1.6428521,1.5553705,1.3518219,1.5443377,0.94955426,0.028468857,-0.41710082,2.71035,-0.5504112,0.7425562,-2.887864,0.011722549,4.016077,0.46395874,-0.49188232,0.7728248,0.6419024,0.12752767,0.117485866,0.7469237,-1.4774241,-0.4448995,1.7130883,1,0,0,0,0,0,0,-3.3603501,0.15041122,-0.1925562,3.0202866,2.1385193,16.41059,-3.1093597,-6.1846375,3.4337242,9.309077
39.4719,69.509735,27.712185,-9.62037,-1.392134,1.8588107,0.92544746,-0.8183298,0.810644,0.7569828,0.797704,0.5949239,0.35399175,0.16911285,1.6222863,-0.9181071,-1.6801885,-0.95105296,2.0450485,1.1499075,-0.93528,1.6882044,-0.98377824,-1.7417781,-1.0157686,1.9946771,1.1150748,-0.9556827,-1.5747818,1.5333338,1.4332451,1.49178,0.89893013,0.066240914,-0.32810396,2.6814651,-0.5502968,0.78197974,-2.887864,0.011722549,3.9177747,0.4493637,-0.49549484,0.7898564,0.65224165,0.11623186,0.110823356,0.740803,-1.4642503,-0.30907756,1.6936458,1,0,0,0,0,0,0,-3.3314652,0.15029678,-0.23197973,6.681609,-2.3954153,8.9172125,-5.4674864,-5.293417,3.8720682,8.427668
35.362667,56.8348,21.029238,-9.947964,-1.3253369,1.114369,0.82035154,-0.81515074,0.8128901,0.7634077,0.78398025,0.5809173,0.37154463,0.19433054,1.6066893,-0.90248924,-1.6654373,-0.9373706,2.0527687,1.1522292,-0.9362496,1.6729609,-0.9687102,-1.7272766,-1.0012633,2.0033731,1.1160017,-0.95836633,-1.5077763,1.4975543,1.4578302,1.4358158,0.85934347,0.10239487,-0.24988613,2.6525803,-0.55018234,0.82042027,-2.887864,0.011722549,3.8194723,0.43495178,-0.49793243,0.80648595,0.66143763,0.10472437,0.10426912,0.7352965,-1.4395918,-0.1983662,1.6454631,1,0,0,0,0,0,0,-3.3025804,0.15018234,-0.27042025,6.5838814,-3.715372,3.090024,-5.8653355,-4.1230917,3.8338885,7.413024
