torque0,torque1,torque2,torque3,torque4,torque5,torque6,action0,action1,action2,action3,action4,action5,action6,set_target_0,set_target_1,set_target_2,set_target_3,set_target_4,set_target_5,set_target_6,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,tennisball_pos_0,tennisball_pos_1,tennisball_pos_2,tennisball_lin_vel_0,tennisball_lin_vel_1,tennisball_lin_vel_2,to_target_0,to_target_1,to_target_2,end_effector_pos_0,end_effector_pos_1,end_effector_pos_2,end_effector_rot_0,end_effector_rot_1,end_effector_rot_2,end_effector_rot_3,end_effector_lin_vel_0,end_effector_lin_vel_1,end_effector_lin_vel_2,obs_task_0,obs_task_1,obs_task_2,obs_task_3,obs_task_4,to_final_target_0,to_final_target_1,to_final_target_2,joint_acc_0,joint_acc_1,joint_acc_2,joint_acc_3,joint_acc_4,joint_acc_5,joint_acc_6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7938839,-0.0044294633,1.3062956,1.2011867,1.6342576,-0.8947507,1.6029093,0.7938839,-0.0044294633,1.3062956,1.2011867,1.6342576,-0.8947507,1.6029093,0,0,0,0,0,0,0,3.5508745,-0.46061373,1.0515621,-3.5620396,0,4.990221,3.2249622,-0.12476206,0.12978959,0.3259122,-0.33585167,0.9217725,0.7881307,-0.036891516,0.6008946,-0.12811959,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.48825,-6.379549,9.1002655,-77.85536,12.580739,-1.6892585,1.2134818,0.5392618,-0.7767745,0.702344,-0.9713642,0.9773128,-0.9876431,0.9803416,0.83271074,-0.06035723,1.3568645,1.1312485,1.704624,-0.965861,1.673494,0.79407084,-0.004697919,1.3065379,1.200851,1.6345952,-0.8948356,1.6029942,0.062438007,-0.089483395,0.08061212,-0.11192222,0.11256278,-0.02826472,0.02819829,3.536626,-0.46061373,1.0714042,-3.5620396,0,4.9506226,3.2107196,-0.1248641,0.14945054,0.3259064,-0.33574963,0.9219537,0.78835946,-0.037000652,0.60064775,-0.12783806,-0.0019308229,0.034123637,0.060434517,1,0,0,0,0,0,0,0,15.68801,-22.369043,20.071646,-27.970768,28.104443,-7.0543256,7.0525074
8.498947,-7.0644503,8.279874,-72.5027,11.693377,-1.486586,1.1709254,0.91930556,-0.83238065,0.83672595,-0.97011954,0.9814521,-0.99253184,0.98857456,0.86026084,-0.06462933,1.3667822,1.1310023,1.7052597,-0.96629786,1.6741716,0.7944695,-0.0053134374,1.3071215,1.2001052,1.6353447,-0.89502776,1.6031878,0.112250276,-0.17533931,0.16726582,-0.21100879,0.2123124,-0.054683607,0.05509049,3.5223777,-0.46061373,1.0910878,-3.5620396,0,4.911024,3.1964831,-0.1250937,0.16873163,0.32589447,-0.33552003,0.9223562,0.7888734,-0.037244875,0.6000944,-0.12719421,-0.0033977095,0.0649146,0.11387165,1,0,0,0,0,0,0,0,12.668028,-21.460487,21.461586,-24.762472,24.899124,-6.564952,6.7199464
-5.7035375,-23.247124,-5.1684756,-67.69388,11.193085,0.52041537,0.97295696,0.93728673,-0.8332849,0.8623259,-0.9682665,0.98138946,-0.99242926,0.98870796,0.8619541,-0.06530996,1.3692089,1.13039,1.7060047,-0.96648264,1.6743748,0.7949382,-0.0062438212,1.3080313,1.1989989,1.6364567,-0.8953196,1.6034844,0.11918843,-0.2516688,0.24705209,-0.29861593,0.30012053,-0.0788772,0.08050148,3.5081294,-0.46061373,1.1106131,-3.5620396,0,4.8714256,3.182288,-0.12540102,0.18766034,0.32584137,-0.3352127,0.9229528,0.7896335,-0.03757744,0.59927046,-0.12625997,-0.016737567,0.08094881,0.16107972,1,0,0,0,0,0,0,0,2.0715108,-19.073366,19.627048,-21.889193,21.91837,-5.99797,6.3542237
-6.7908835,-21.998352,-6.1270432,-63.983658,10.377569,0.79265416,0.86445343,0.9365923,-0.8269658,0.86376846,-0.96689504,0.9808683,-0.9923178,0.988493,0.8623729,-0.06578536,1.3702227,1.1293825,1.7070793,-0.9667665,1.6746559,0.795416,-0.007451728,1.3092358,1.1975713,1.6378882,-0.89570105,1.6038783,0.12008563,-0.3187311,0.31830087,-0.3760853,0.3772863,-0.10080056,0.10448505,3.493881,-0.46061373,1.1299801,-3.5620396,0,4.831827,3.1681468,-0.12576437,0.20625734,0.32573417,-0.33484936,0.92372274,0.7906077,-0.037974853,0.59820646,-0.12508576,-0.030465847,0.09382374,0.20280127,1,0,0,0,0,0,0,0,0.64935905,-16.753956,17.405867,-19.354164,19.260658,-5.4214296,5.999978
-6.2201085,-18.840267,-5.5010686,-60.769745,9.608217,0.83032453,0.77801895,0.9338241,-0.8208502,0.8616001,-0.96580565,0.9802989,-0.99219793,0.98823357,0.86265135,-0.066552944,1.371271,1.1280333,1.7084697,-0.9671393,1.6750311,0.79589474,-0.00890331,1.3107016,1.1958613,1.6396,-0.8961631,1.6043646,0.12013494,-0.37759942,0.38173875,-0.44458762,0.44499692,-0.120430686,0.1271204,3.4796326,-0.46061373,1.1491885,-3.5620396,0,4.7922287,3.1540575,-0.12617397,0.22454393,0.32557517,-0.33443975,0.9246446,0.7917675,-0.038425583,0.5969306,-0.12369889,-0.043217167,0.10523886,0.23968014,1,0,0,0,0,0,0,0,0.5020685,-14.704003,15.387833,-17.113283,16.90036,-4.8444266,5.6642365
-5.5408344,-15.792652,-4.7659116,-57.93178,8.920664,0.83940643,0.7020861,0.9306384,-0.8148035,0.8587789,-0.96476877,0.9796935,-0.9920774,0.9879844,0.86290073,-0.06756917,1.3725337,1.126398,1.710138,-0.96759266,1.6754996,0.79637253,-0.0105685815,1.3124001,1.1939015,1.6415589,-0.89669716,1.6049368,0.12001164,-0.42920524,0.4382679,-0.5051389,0.50432116,-0.1378095,0.14848477,3.4653842,-0.46061373,1.1682386,-3.5620396,0,4.75263,3.1400158,-0.12662554,0.24253798,0.3253685,-0.3339882,0.92570066,0.7930896,-0.038924098,0.59546614,-0.12212211,-0.05497404,0.11551871,0.2722754,1,0,0,0,0,0,0,0,0.5068853,-12.887477,13.610303,-15.127345,14.807372,-4.282586,5.347803
-4.9479537,-13.079457,-4.109441,-55.41767,8.31051,0.84771526,0.63405496,0.9270989,-0.8086435,0.85541886,-0.96373284,0.9790522,-0.9919486,0.9877557,0.86312366,-0.06879092,1.3739903,1.1245128,1.7120507,-0.9681175,1.6760552,0.79684937,-0.0124209,1.3143065,1.1917205,1.6437314,-0.89729416,1.605592,0.11980073,-0.4743509,0.48864773,-0.5586367,0.55622447,-0.15302882,0.16864698,3.4511359,-0.46061373,1.1871305,-3.5620396,0,4.713032,3.1260183,-0.12711573,0.26025432,0.32511765,-0.333498,0.9268761,0.7945518,-0.039464455,0.5938347,-0.12037557,-0.06587478,0.12478863,0.30107853,1,0,0,0,0,0,0,0,0.51998717,-11.271833,12.034282,-13.366401,12.95629,-3.747247,5.048327
-4.4484715,-10.686008,-3.5399265,-53.18859,7.7693186,0.85779446,0.57294047,0.92323214,-0.80237687,0.8516464,-0.96269375,0.97837764,-0.9918131,0.9875384,0.8633221,-0.07019204,1.375625,1.1224065,1.7141745,-0.9687047,1.6766948,0.79732525,-0.01443655,1.3163979,1.1893439,1.6460927,-0.897946,1.6063244,0.119524136,-0.513748,0.53353137,-0.60587996,0.60157126,-0.16621314,0.18767114,3.4368875,-0.46061373,1.2058637,-3.5620396,0,4.6734333,3.112062,-0.12764049,0.2777068,0.3248256,-0.33297324,0.9281569,0.7961357,-0.040041097,0.5920539,-0.118476905,-0.07605328,0.13314249,0.32652435,1,0,0,0,0,0,0,0,0.52854043,-9.834333,10.630726,-11.805682,11.3211565,-3.2455099,4.765026
-4.02258,-8.564573,-3.039403,-51.211113,7.288865,0.8683167,0.51806235,0.91913354,-0.796023,0.8477019,-0.9616513,0.9776822,-0.9916732,0.98732245,0.86350286,-0.07175021,1.3774325,1.120105,1.7164857,-0.96934646,1.6774117,0.7977997,-0.01659444,1.3186543,1.1867957,1.648618,-0.89864504,1.6071284,0.11920613,-0.5480287,0.57349753,-0.64757836,0.641139,-0.17750743,0.20561497,3.4226391,-0.46061373,1.2244387,-3.5620396,0,4.633835,3.0981436,-0.12819576,0.29490858,0.32449546,-0.33241796,0.9295301,0.79782367,-0.040650018,0.5901405,-0.1164432,-0.08561153,0.14067052,0.34899732,1,0,0,0,0,0,0,0,0.5352422,-8.555054,9.379267,-10.422736,9.880542,-2.7816293,4.495993
