torque0,torque1,torque2,torque3,torque4,torque5,torque6,action0,action1,action2,action3,action4,action5,action6,set_target_0,set_target_1,set_target_2,set_target_3,set_target_4,set_target_5,set_target_6,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,tennisball_pos_0,tennisball_pos_1,tennisball_pos_2,tennisball_lin_vel_0,tennisball_lin_vel_1,tennisball_lin_vel_2,end_effector_pos_0,end_effector_pos_1,end_effector_pos_2,end_effector_rot_0,end_effector_rot_1,end_effector_rot_2,end_effector_rot_3,end_effector_lin_vel_0,end_effector_lin_vel_1,end_effector_lin_vel_2,obs_task_0,obs_task_1,obs_task_2,obs_task_3,obs_task_4,obs_task_5,to_final_target_0,to_final_target_1,to_final_target_2,joint_acc_0,joint_acc_1,joint_acc_2,joint_acc_3,joint_acc_4,joint_acc_5,joint_acc_6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8032421,-0.010867114,1.3246166,1.2141079,1.6203969,-0.911529,1.5628232,0.8032421,-0.010867114,1.3246166,1.2141079,1.6203969,-0.911529,1.5628232,0,0,0,0,0,0,0,3.5847435,-0.51928806,1.0806701,-3.6188145,0.1414954,4.4705973,0.33430624,-0.32952046,0.91372246,0.7828013,-0.059820306,0.6062703,-0.126807,0,0,0,1,0,0,0,0,0,-4.2847433,0.35928807,-0.5206701,0,0,0,0,0,0,0
-23.83028,-20.440928,-22.452955,-24.215267,4.239682,4.1392617,0.63866127,-0.56474125,0.2705485,-0.35643736,0.3581302,0.8203721,-0.80997235,0.9366288,0.7637102,0.00807128,1.2996659,1.239177,1.677823,-0.9682271,1.6283872,0.8030523,-0.010776239,1.3244964,1.214228,1.6206725,-0.9115967,1.5629014,-0.06327804,0.030290093,-0.03982275,0.040044714,0.0920212,-0.02255279,0.026133664,3.5702686,-0.51872253,1.0984344,-3.6188145,0.1414954,4.4312353,0.33424664,-0.3295865,0.91369545,0.7828239,-0.05968503,0.606258,-0.12678969,-0.019983692,-0.021882026,-0.0088898465,1,0,0,0,0,0,-4.2702684,0.35872254,-0.53843445,-15.827158,7.5710697,-9.937009,10.009615,23.009789,-5.6383944,6.52143
-15.1853285,-2.712379,-13.72291,-30.310184,4.200165,3.0699205,0.4588414,-0.72931135,0.42765906,-0.2573112,0.2939468,0.90110785,-0.9000659,0.9587934,0.7520005,0.019159894,1.3064846,1.2348043,1.68375,-0.9746013,1.6300169,0.802575,-0.010521638,1.3242646,1.2144731,1.6213124,-0.91175836,1.5630807,-0.13799837,0.07476784,-0.06382057,0.06840523,0.18284817,-0.046352547,0.051250607,3.5557938,-0.518157,1.1160413,-3.6188145,0.1414954,4.3918734,0.3341236,-0.3297119,0.91364914,0.78287196,-0.05940027,0.6062295,-0.12676272,-0.034095787,-0.034611896,-0.01253127,1,0,0,0,0,0,-4.2557936,0.358157,-0.5560413,-18.715258,11.117435,-5.9506087,7.089637,22.70159,-5.9389486,6.276309
-6.241507,10.994329,-4.942473,-33.53024,3.9929628,1.9243525,0.37238574,-0.7603082,0.4945643,-0.14162841,0.25372797,0.9072826,-0.9044832,0.9648476,0.7493534,0.02409786,1.3143506,1.2322341,1.6848222,-0.9750722,1.63062,0.8018135,-0.010081622,1.3239843,1.2148088,1.622288,-0.91201156,1.5633563,-0.20796105,0.121750474,-0.07191444,0.08907926,0.26418057,-0.068915784,0.07507404,3.541319,-0.5175915,1.1334907,-3.6188145,0.1414954,4.3525114,0.33396626,-0.3298633,0.9135957,0.7829407,-0.05900853,0.606187,-0.12672423,-0.04104608,-0.03875313,-0.013593924,1,0,0,0,0,0,-4.2413187,0.35759148,-0.5734907,-17.562254,11.745277,-1.9409059,5.1670036,20.32712,-5.6268234,5.9581394
-0.08172804,18.582222,1.0328319,-34.200043,3.7637296,1.108179,0.36192727,-0.7681877,0.515164,-0.02837472,0.25182953,0.9125824,-0.8962981,0.96411806,0.7480403,0.025979858,1.321998,1.2324369,1.6861688,-0.9747524,1.6308446,0.8007926,-0.009462531,1.3237134,1.2152199,1.623563,-0.9123506,1.5637244,-0.27110574,0.16578452,-0.06623685,0.107184075,0.33692855,-0.09002788,0.09759016,3.526844,-0.51702595,1.1507827,-3.6188145,0.1414954,4.3131495,0.3337984,-0.33001447,0.91353863,0.7830291,-0.058541004,0.6061319,-0.12665829,-0.042523973,-0.037352454,-0.014337441,1,0,0,0,0,0,-4.226844,0.35702595,-0.5907827,-15.889778,11.01072,1.5296823,4.5223866,18.18545,-5.265977,5.632851
6.463083,27.098324,7.40684,-35.402996,3.5623946,0.2389409,0.34088805,-0.7827507,0.54147494,0.10966429,0.23803285,0.9140154,-0.8997652,0.9626049,0.74600005,0.028440714,1.3313899,1.2318821,1.6875441,-0.97533417,1.6311067,0.79953516,-0.008673209,1.3235093,1.2156919,1.6251042,-0.91277117,1.5641783,-0.32894817,0.20785427,-0.045622867,0.121621236,0.40159932,-0.11019155,0.11892128,3.5123692,-0.5164604,1.1679171,-3.6188145,0.1414954,4.2737875,0.33364058,-0.3301413,0.91348165,0.78313696,-0.05802875,0.606065,-0.12654792,-0.038333658,-0.029915571,-0.014250014,1,0,0,0,0,0,-4.212369,0.35646042,-0.60791713,-14.594822,10.523066,5.287958,3.6026275,16.17509,-5.0334105,5.3357553
7.26007,26.696722,8.086643,-35.796394,3.5784783,0.11518407,0.3272727,-0.780463,0.54063183,0.1445521,0.22941566,0.9198395,-0.9045988,0.9644203,0.74490273,0.02917102,1.3336279,1.231751,1.689493,-0.97609305,1.6316878,0.798066,-0.007729942,1.323393,1.2162136,1.6268847,-0.9132704,1.5647153,-0.38019356,0.24514744,-0.023364212,0.13332042,0.45954528,-0.12959518,0.13930951,3.4978943,-0.5158949,1.1848942,-3.6188145,0.1414954,4.2344255,0.33350134,-0.33023643,0.91342604,0.7832646,-0.057486955,0.60598564,-0.12638485,-0.033374194,-0.021700986,-0.0137090115,1,0,0,0,0,0,-4.197894,0.3558949,-0.6248942,-12.974157,9.331233,5.7251244,2.9166563,14.499127,-4.84433,5.09955
9.880081,29.333687,10.571783,-35.586037,3.4047885,-0.22975671,0.3201298,-0.78716576,0.5534835,0.2176058,0.2367395,0.91898876,-0.9012514,0.967749,0.7429644,0.0310139,1.3386254,1.2327853,1.691214,-0.976358,1.6324577,0.7964071,-0.006645618,1.3233835,1.2167801,1.628876,-0.91384405,1.5653313,-0.4265446,0.2797397,0.0045550764,0.14434125,0.5107819,-0.1481107,0.15886948,3.4834194,-0.51532936,1.2017138,-3.6188145,0.1414954,4.1950636,0.3333912,-0.330292,0.9133716,0.78341025,-0.056928724,0.6058965,-0.12616186,-0.02587429,-0.011412118,-0.013627727,1,0,0,0,0,0,-4.183419,0.35532936,-0.6417138,-11.769935,8.658855,7.155463,2.745077,12.829928,-4.625529,4.8901734
10.397782,28.946768,10.990231,-35.452698,3.3511138,-0.30062234,0.30840668,-0.7945834,0.55916035,0.25698423,0.2400896,0.92298394,-0.89637434,0.96480024,0.74078625,0.03249561,1.3413724,1.2335863,1.6934849,-0.9765903,1.6328673,0.7945751,-0.0054325256,1.3234884,1.2173876,1.6310561,-0.9144892,1.5660228,-0.46861744,0.31113464,0.033689123,0.15427305,0.5565933,-0.16579519,0.17750303,3.4689445,-0.51476383,1.2183759,-3.6188145,0.1414954,4.1557016,0.33331156,-0.33030558,0.91331714,0.7835727,-0.056361273,0.60579896,-0.12587638,-0.017732305,-0.00084902346,-0.01372279,1,0,0,0,0,0,-4.1689444,0.35476384,-0.6583759,-10.71912,7.8617625,7.4754233,2.4716928,11.479318,-4.418857,4.657089
9.593874,26.677986,10.091816,-35.361343,3.3575761,-0.20037341,0.28945506,-0.7904985,0.5595443,0.25982335,0.23957367,0.921059,-0.9030604,0.96623975,0.73924017,0.03373558,1.341676,1.2341577,1.6955302,-0.97770345,1.6336595,0.7925905,-0.004104154,1.3237001,1.2180303,1.6334031,-0.91520447,1.5667866,-0.5055852,0.3390979,0.059784632,0.16278622,0.5969225,-0.1830361,0.19539432,3.4544697,-0.5141983,1.2348807,-3.6188145,0.1414954,4.1163397,0.33326244,-0.33027983,0.9132617,0.7837498,-0.055789102,0.6056949,-0.12552889,-0.0101717785,0.00885577,-0.013881073,1,0,0,0,0,0,-4.1544695,0.3541983,-0.6748807,-9.461268,7.005438,6.7333555,2.1172462,10.112345,-4.3064427,4.4702587
