torque0,torque1,torque2,torque3,torque4,torque5,torque6,action0,action1,action2,action3,action4,action5,action6,set_target_0,set_target_1,set_target_2,set_target_3,set_target_4,set_target_5,set_target_6,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_disc_0,joint_vel_disc_1,joint_vel_disc_2,joint_vel_disc_3,joint_vel_disc_4,joint_vel_disc_5,joint_vel_disc_6,tennisball_pos_0,tennisball_pos_1,tennisball_pos_2,tennisball_lin_vel_0,tennisball_lin_vel_1,tennisball_lin_vel_2,end_effector_pos_0,end_effector_pos_1,end_effector_pos_2,end_effector_rot_0,end_effector_rot_1,end_effector_rot_2,end_effector_rot_3,end_effector_lin_vel_0,end_effector_lin_vel_1,end_effector_lin_vel_2,obs_task_0,obs_task_1,obs_task_2,obs_task_3,obs_task_4,to_final_target_0,to_final_target_1,to_final_target_2,joint_acc_0,joint_acc_1,joint_acc_2,joint_acc_3,joint_acc_4,joint_acc_5,joint_acc_6,joint_acc_disc_0,joint_acc_disc_1,joint_acc_disc_2,joint_acc_disc_3,joint_acc_disc_4,joint_acc_disc_5,joint_acc_disc_6,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77214473,0.010991931,1.3424469,1.2048558,1.6196736,-0.926038,1.5548704,0.77214473,0.010991931,1.3424469,1.2048558,1.6196736,-0.926038,1.5548704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4678733,-0.50073576,1.1409113,-3.452576,0.20458178,4.4615684,0.33815563,-0.32181358,0.917081,0.77676797,-0.07378622,0.610125,-0.13760279,0,0,0,1,0,0,0,0,0,-4.1678734,0.34073576,-0.58091134,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-5.7857695,-9.078366,-5.716579,-29.249876,3.8685296,1.8276398,0.2984722,-0.1731178,-0.08110048,0.1768186,0.116064094,0.18593334,-0.16063486,-0.1828051,0.7582953,0.0045038927,1.3565924,1.2141409,1.6345483,-0.9388888,1.540246,0.7720408,0.010943241,1.3425528,1.2049245,1.6197861,-0.9260614,1.5548427,-0.02768658,-0.012984486,0.028328342,0.018472543,0.029957037,-0.006213079,-0.0074061463,-0.0207901,-0.009737909,0.02117157,0.01373291,0.022506714,-0.004673004,-0.005531311,3.4506104,-0.4997127,1.1630325,-3.452576,0.20458178,4.4117846,0.33813968,-0.3218367,0.917062,0.7768008,-0.073752806,0.6100996,-0.13754798,-0.004185444,-0.0062767006,-0.0052044005,1,0,0,0,0,0,-4.1506104,0.3397127,-0.6030325,-5.5328226,-2.596974,5.6631465,3.6936972,5.994972,-1.2417831,-1.4871689,-4.15802,-1.9475818,4.234314,2.746582,4.501343,-0.93460083,-1.1062622
-9.756841,-17.674255,-9.335621,-24.739145,4.006125,2.1492443,0.4913499,-0.31048873,-0.1365149,0.3179465,0.20793104,0.33405614,-0.29222012,-0.32858026,0.7472017,0.000022049062,1.3679885,1.2215589,1.6465106,-0.949439,1.5285563,0.77171654,0.010796361,1.3428856,1.205141,1.6201371,-0.9261358,1.5547559,-0.07730728,-0.034842487,0.07924672,0.051625583,0.083677284,-0.017667733,-0.020773454,-0.06484985,-0.02937615,0.06656647,0.043296814,0.07019043,-0.014877319,-0.017356873,3.4333475,-0.4986899,1.1849048,-3.452576,0.20458178,4.362001,0.3380931,-0.321908,0.9170009,0.7769009,-0.07365117,0.61002296,-0.13737705,-0.0110562155,-0.016861137,-0.01458034,1,0,0,0,0,0,-4.1333475,0.3386899,-0.6249048,-9.911099,-4.3725,10.175268,6.6306324,10.748972,-2.2841125,-2.6839972,-8.811951,-3.927648,9.0789795,5.912781,9.536743,-2.040863,-2.3651123
-11.743511,-22.0785,-11.096931,-21.845127,4.051738,2.2821836,0.6089505,-0.4198349,-0.17249289,0.4308009,0.28119078,0.452018,-0.39899737,-0.44484538,0.73812973,-0.0030030701,1.3773497,1.2276362,1.6562985,-0.95805556,1.5191683,0.771089,0.01052364,1.3435293,1.2055606,1.6208161,-0.9262817,1.5545852,-0.1414782,-0.061114185,0.14532354,0.094566636,0.15319754,-0.032979757,-0.03860066,-0.12550354,-0.05454421,0.12874603,0.08392334,0.13580322,-0.029182434,-0.03414154,3.4160845,-0.49766707,1.2065282,-3.452576,0.20458178,4.312217,0.33800748,-0.32204056,0.91688186,0.7770915,-0.07345923,0.6098771,-0.13704877,-0.019060804,-0.029578589,-0.026763268,1,0,0,0,0,0,-4.1160846,0.33766708,-0.6465282,-12.812972,-5.2569985,13.202458,8.590805,13.907472,-3.0448563,-3.5787225,-12.130737,-5.0336123,12.435913,8.125305,13.122559,-2.861023,-3.3569336
-12.18959,-23.180017,-11.429599,-20.419113,4.0333123,2.2735841,0.6593197,-0.5072485,-0.1952795,0.52120596,0.33972776,0.54593027,-0.48509634,-0.5375613,0.73050916,-0.005098719,1.3852258,1.2327387,1.6644906,-0.9650894,1.5115803,0.7701115,0.010116078,1.3445345,1.2062138,1.6218747,-0.9265139,1.5543134,-0.2134514,-0.08831884,0.2196335,0.14275089,0.2311303,-0.050833926,-0.059533987,-0.19550323,-0.08151233,0.20103455,0.13065338,0.2117157,-0.04644394,-0.054359436,3.3988216,-0.49664426,1.2279027,-3.452576,0.20458178,4.2624335,0.337882,-0.32223678,0.9166969,0.7773843,-0.073170505,0.6096528,-0.13654028,-0.027085189,-0.042713784,-0.040462095,1,0,0,0,0,0,-4.0988216,0.33664426,-0.66790265,-14.365637,-5.4456415,14.845067,9.643036,15.586769,-3.5404592,-4.201019,-13.999939,-5.3936243,14.457703,9.346008,15.182495,-3.452301,-4.043579
-11.705598,-22.271786,-10.911798,-20.059391,3.9831421,2.1837525,0.6625952,-0.577381,-0.2101833,0.5937449,0.3864476,0.62067556,-0.5542125,-0.6114706,0.723921,-0.006698584,1.392034,1.2371297,1.6715287,-0.9708509,1.5053958,0.76876396,0.009576589,1.3459231,1.207115,1.6233338,-0.926841,1.55393,-0.2881528,-0.11443631,0.29701215,0.19277729,0.311871,-0.07015338,-0.082476966,-0.26950836,-0.10789782,0.27770996,0.18024445,0.29182434,-0.06542206,-0.076675415,3.3815587,-0.49562144,1.2490282,-3.452576,0.20458178,4.21265,0.33771905,-0.3224976,0.9164412,0.7777813,-0.07278577,0.60934776,-0.13584433,-0.034530386,-0.055212576,-0.05469751,1,0,0,0,0,0,-4.0815587,0.33562145,-0.6890282,-14.902317,-5.229953,15.452921,10.015381,16.145718,-3.8207471,-4.60352,-14.801025,-5.277097,15.335083,9.918213,16.021729,-3.7956238,-4.463196
-10.8247795,-20.45499,-10.046933,-20.403654,3.9270444,2.066346,0.6362789,-0.6337843,-0.22116353,0.6520336,0.4235716,0.6801517,-0.60952085,-0.67034936,0.7180612,-0.008116493,1.3980857,1.2410008,1.6777459,-0.9756027,1.5003021,0.7670459,0.008913845,1.347696,1.2082642,1.6251916,-0.92726684,1.5534275,-0.362085,-0.13859873,0.37379095,0.24229422,0.3915007,-0.090082794,-0.10657172,-0.34360886,-0.13254881,0.3545761,0.22983551,0.3715515,-0.08516312,-0.10051727,3.3642957,-0.49459863,1.2699049,-3.452576,0.20458178,4.162866,0.33752152,-0.3228166,0.9161146,0.7782795,-0.072311334,0.6089634,-0.134965,-0.04123957,-0.06660881,-0.068778574,1,0,0,0,0,0,-4.064296,0.33459863,-0.70990485,-14.737868,-4.8399806,15.324187,9.91717,15.922153,-3.931415,-4.8342047,-14.820099,-4.930198,15.37323,9.918213,15.945435,-3.9482117,-4.7683716
-9.893721,-18.471855,-9.159936,-21.205345,3.8857117,1.9541378,0.5934488,-0.67919666,-0.23131023,0.69893485,0.45281655,0.72746557,-0.6537113,-0.71721834,0.7127102,-0.009590974,1.4036107,1.2444896,1.6833888,-0.9795637,1.49605,0.7649693,0.008137785,1.3498417,1.2096528,1.6274337,-0.9277923,1.5528018,-0.43292245,-0.16076262,0.4475375,0.28967425,0.4674544,-0.10998399,-0.13116568,-0.41532516,-0.15521199,0.42915344,0.27770996,0.44841766,-0.10509491,-0.12512207,3.3470328,-0.4935758,1.2905326,-3.452576,0.20458178,4.1130824,0.3372925,-0.32318807,0.91572076,0.7788734,-0.07175715,0.60850185,-0.1339124,-0.047334578,-0.0768035,-0.08219935,1,0,0,0,0,0,-4.047033,0.33357581,-0.7305326,-14.105999,-4.4405403,14.705383,9.493053,15.187323,-3.9161353,-4.934475,-14.343262,-4.532635,14.915466,9.57489,15.37323,-3.9863586,-4.9209595
-9.118022,-16.771502,-8.440576,-22.265915,3.8688078,1.8653839,0.54389787,-0.71575093,-0.2426662,0.7367202,0.47555745,0.76508576,-0.6890142,-0.75449646,0.7077092,-0.011275511,1.4087794,1.2476974,1.6886405,-0.98291343,1.4924421,0.76255554,0.0072567426,1.3523394,1.2112664,1.6300362,-0.92841506,1.5520542,-0.4992186,-0.18136974,0.51675385,0.33390394,0.53820634,-0.1293979,-0.15573904,-0.48274994,-0.17620847,0.4995346,0.3227234,0.52051544,-0.124549866,-0.14953613,3.3297698,-0.492553,1.3109114,-3.452576,0.20458178,4.0632987,0.33703467,-0.32360697,0.9152629,0.77955556,-0.07113197,0.60796726,-0.13269894,-0.05308208,-0.08592348,-0.09462531,1,0,0,0,0,0,-4.02977,0.332553,-0.7509114,-13.18239,-4.128802,13.783503,8.865845,14.148736,-3.8104267,-4.930961,-13.484955,-4.199296,14.076233,9.002686,14.419556,-3.8909912,-4.8828125
-8.568315,-15.512702,-7.949554,-23.457497,3.8764331,1.8048395,0.492861,-0.7451301,-0.25591716,0.7672057,0.49300689,0.79498005,-0.7172158,-0.7841115,0.7029451,-0.01321663,1.4137158,1.2507069,1.6936346,-0.98579234,1.4893253,0.7598304,0.006276302,1.3551632,1.213087,1.6329697,-0.9291322,1.5511844,-0.56013495,-0.20100482,0.5805667,0.37439853,0.60289836,-0.14799494,-0.17990234,-0.5450249,-0.1960881,0.56476593,0.36411285,0.58670044,-0.14343262,-0.1739502,3.312507,-0.49153018,1.3310413,-3.452576,0.20458178,4.013515,0.33674827,-0.32406735,0.9147475,0.7803193,-0.07044539,0.60736215,-0.13134052,-0.058773834,-0.094184056,-0.10585265,1,0,0,0,0,0,-4.012507,0.33153018,-0.77104133,-12.088943,-3.9335728,12.684107,8.1213,12.939429,-3.6398292,-4.8496065,-12.454987,-3.9759278,13.046265,8.277893,13.2369995,-3.7765503,-4.8828125
