torque0,torque1,torque2,torque3,torque4,torque5,torque6,action0,action1,action2,action3,action4,action5,action6,set_target_0,set_target_1,set_target_2,set_target_3,set_target_4,set_target_5,set_target_6,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_disc_0,joint_vel_disc_1,joint_vel_disc_2,joint_vel_disc_3,joint_vel_disc_4,joint_vel_disc_5,joint_vel_disc_6,tennisball_pos_0,tennisball_pos_1,tennisball_pos_2,tennisball_lin_vel_0,tennisball_lin_vel_1,tennisball_lin_vel_2,end_effector_pos_0,end_effector_pos_1,end_effector_pos_2,end_effector_rot_0,end_effector_rot_1,end_effector_rot_2,end_effector_rot_3,end_effector_lin_vel_0,end_effector_lin_vel_1,end_effector_lin_vel_2,obs_task_0,obs_task_1,obs_task_2,obs_task_3,obs_task_4,obs_task_5,obs_task_6,to_final_target_0,to_final_target_1,to_final_target_2,joint_acc_0,joint_acc_1,joint_acc_2,joint_acc_3,joint_acc_4,joint_acc_5,joint_acc_6,joint_acc_disc_0,joint_acc_disc_1,joint_acc_disc_2,joint_acc_disc_3,joint_acc_disc_4,joint_acc_disc_5,joint_acc_disc_6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7825061,-0.017912965,1.3450148,1.2084128,1.6172338,-0.92117083,1.5578284,0.7825061,-0.017912965,1.3450148,1.2084128,1.6172338,-0.92117083,1.5578284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8343105,-0.47652125,0.42453173,-2.970072,0.14622772,5.11851,0.33081865,-0.3304448,0.91570413,0.78377783,-0.064912766,0.60442287,-0.12708896,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.13294187,2.168565,0.76233685,-36.181892,4.2263136,1.0027516,0.18480262,0.020601979,-0.07019795,0.0792528,-0.019172559,0.10185101,-0.06891699,-0.080944985,0.7843603,-0.02423078,1.3521476,1.2066872,1.6264004,-0.92737335,1.5505434,0.7825247,-0.01797622,1.3450863,1.2083946,1.6173272,-0.9211842,1.5578094,0.0037318822,-0.012651802,0.0143272355,-0.0036369034,0.018716093,-0.0026983581,-0.0037775377,0.0037193298,-0.012651086,0.014305115,-0.0036239624,0.018692017,-0.002670288,-0.0038146973,2.81946,-0.47579002,0.44987717,-2.970072,0.14622772,5.0690904,0.33081722,-0.33043313,0.9157223,0.7838257,-0.06492351,0.60437286,-0.1270259,-0.00018906938,0.0023467573,0.0036748182,1,0,0,0,0,0,0,0,0,0,0.74637645,-2.5303605,2.865447,-0.7273807,3.7432187,-0.53967166,-0.7555075,0.74386597,-2.5302172,2.861023,-0.7247925,3.7384033,-0.5340576,-0.76293945
3.3138816,4.011844,3.8773825,-37.247955,4.6375885,0.44954967,0.31019145,0.050119296,-0.11826975,0.17705254,-0.032865617,0.18649217,-0.12032516,-0.1402643,0.78703547,-0.028620498,1.361021,1.2054367,1.6341115,-0.93201345,1.5451856,0.7825886,-0.018146005,1.3453171,1.208346,1.6175904,-0.9212228,1.5577579,0.01277572,-0.033955596,0.046252474,-0.009729425,0.052613355,-0.0076993373,-0.010236472,0.012779236,-0.033956766,0.046157837,-0.009727478,0.052642822,-0.007724762,-0.010299683,2.8046093,-0.4750588,0.47497553,-2.970072,0.14622772,5.019671,0.33083105,-0.33038354,0.9157733,0.783961,-0.06496781,0.604233,-0.12683322,0.0028357995,0.009950815,0.010154884,1,0,0,0,0,0,0,0,0,0,1.8087676,-4.260759,6.385048,-1.2185044,6.7794523,-1.0001959,-1.2917869,1.8119812,-4.261136,6.3705444,-1.2207031,6.790161,-1.0108948,-1.2969971
4.9921145,3.9278533,5.524394,-37.693707,4.9519196,0.10945511,0.41579777,0.070269406,-0.17436072,0.26684305,-0.04276776,0.25590003,-0.16861019,-0.17327127,0.78891283,-0.03383847,1.369333,1.2044969,1.6406214,-0.93639773,1.5421635,0.78271306,-0.01846392,1.3457787,1.2082602,1.618072,-0.92129576,1.5576682,0.02492439,-0.06358282,0.09231208,-0.017077511,0.09626588,-0.014628772,-0.017926762,0.0248909,-0.063583255,0.092315674,-0.017166138,0.096321106,-0.014591217,-0.017929077,2.7897587,-0.47432756,0.4998268,-2.970072,0.14622772,4.9702516,0.3308692,-0.33028007,0.91586524,0.78421307,-0.06506008,0.6039749,-0.12645699,0.0076095373,0.020671343,0.018317608,1,0,0,0,0,0,0,0,0,0,2.429734,-5.925445,9.211922,-1.4696171,8.730505,-1.3858869,-1.538058,2.4223328,-5.9252977,9.231567,-1.4877319,8.735657,-1.373291,-1.5258789
6.4273553,3.9097116,6.8827395,-35.77766,4.887123,-0.14907134,0.52284867,0.090772845,-0.22238033,0.34966817,-0.014516918,0.31200415,-0.20202093,-0.19373082,0.7908826,-0.03847815,1.3772489,1.2069536,1.6461524,-0.9394776,1.5402324,0.78291047,-0.018958282,1.3465226,1.2081677,1.6187978,-0.9214088,1.5575376,0.039495487,-0.0988709,0.14880158,-0.018447906,0.14509222,-0.02259022,-0.02612114,0.039482117,-0.098872185,0.1487732,-0.018501282,0.14514923,-0.022602081,-0.026130676,2.774908,-0.47359633,0.52443093,-2.970072,0.14622772,4.920832,0.33094263,-0.33011603,0.91598755,0.7845953,-0.0652003,0.6035895,-0.12585191,0.0145946145,0.032833204,0.024443634,1,0,0,0,0,0,0,0,0,0,2.9142194,-7.057616,11.297899,-0.2740789,9.765267,-1.5922897,-1.6388755,2.9182434,-7.057786,11.291504,-0.2670288,9.765625,-1.6021729,-1.6403198
7.4690204,3.9000578,7.843867,-33.064697,4.6615114,-0.3238865,0.61630917,0.108633325,-0.26385826,0.42329758,0.026630787,0.36194557,-0.23055777,-0.20074463,0.7926875,-0.04270553,1.3846194,1.2105645,1.6513729,-0.942159,1.5394706,0.78318846,-0.019645687,1.347583,1.2081114,1.619781,-0.9215647,1.5573668,0.055590633,-0.13748237,0.21207234,-0.0113153495,0.19661367,-0.031165173,-0.03419047,0.055599213,-0.1374811,0.21209717,-0.011253357,0.19664764,-0.03118515,-0.03414154,2.7600574,-0.4728651,0.548788,-2.970072,0.14622772,4.8714128,0.33105946,-0.32988858,0.91612333,0.78511214,-0.06538255,0.60307837,-0.12498163,0.023554016,0.045391317,0.027145531,1,0,0,0,0,0,0,0,0,0,3.2190294,-7.7222943,12.654153,1.4265113,10.30429,-1.7149906,-1.6138659,3.2234192,-7.7217817,12.664795,1.449585,10.299683,-1.7166138,-1.6021729
7.650005,2.5719547,7.91931,-28.62022,4.251534,-0.35671675,0.72388875,0.12464974,-0.3071332,0.4900921,0.102246925,0.41407257,-0.23384146,-0.2220714,0.79440695,-0.047287676,1.3916913,1.2173136,1.6570475,-0.94261044,1.5373805,0.78355134,-0.020540472,1.3489802,1.20816,1.6210332,-0.9217602,1.5571532,0.07253658,-0.1789563,0.2794557,0.009691348,0.25052363,-0.03906427,-0.04281149,0.072574615,-0.17895699,0.27942657,0.009727478,0.25043488,-0.039100647,-0.04272461,2.7452068,-0.47213387,0.572898,-2.970072,0.14622772,4.8219934,0.33123016,-0.32960606,0.91624314,0.78576154,-0.06558738,0.602451,-0.12381338,0.034100916,0.056491874,0.024032345,1,0,0,0,0,0,0,0,0,0,3.3891895,-8.294785,13.476669,4.2013397,10.781992,-1.5798192,-1.7242044,3.3950806,-8.295178,13.465881,4.196167,10.757446,-1.5830994,-1.7166138
8.3897085,2.7869792,8.550184,-25.037739,3.8506403,-0.4403627,0.79986787,0.14773574,-0.34008223,0.5481782,0.17100137,0.46138263,-0.23620309,-0.23697194,0.7968476,-0.051147874,1.3983163,1.2235502,1.6625576,-0.9430185,1.5358257,0.78400815,-0.021645378,1.3507226,1.2083708,1.6225619,-0.921991,1.5568938,0.09140207,-0.2209817,0.34840134,0.042152613,0.30565348,-0.04615702,-0.051806502,0.091362,-0.22098124,0.3484726,0.042152405,0.305748,-0.046157837,-0.051879883,2.7303562,-0.47140265,0.59676087,-2.970072,0.14622772,4.772574,0.3314638,-0.3292718,0.9163233,0.7865388,-0.06579988,0.6017174,-0.12232439,0.046507552,0.06691468,0.016076244,1,0,0,0,0,0,0,0,0,0,3.7730978,-8.405081,13.789129,6.492253,11.025971,-1.4185503,-1.7990023,3.7574768,-8.404851,13.809204,6.4849854,11.062622,-1.411438,-1.8310547
9.419232,4.1606455,9.481811,-22.32669,3.4803715,-0.54698443,0.8480559,0.17250833,-0.36263114,0.5953902,0.23685688,0.5066415,-0.24528185,-0.23843096,0.7995339,-0.05428218,1.4043077,1.2296879,1.6681597,-0.94406635,1.5354351,0.78456986,-0.022951882,1.3528044,1.2087895,1.6243691,-0.9222547,1.5565906,0.11238252,-0.26130143,0.41634744,0.08364561,0.3613941,-0.052732673,-0.06062411,0.112342834,-0.2613008,0.4163742,0.083732605,0.36144257,-0.05273819,-0.060653687,2.7155056,-0.47067142,0.62037665,-2.970072,0.14622772,4.7231545,0.33176756,-0.32888556,0.9163444,0.78743523,-0.06600941,0.6008894,-0.12050043,0.060726285,0.07720948,0.0042886003,1,0,0,0,0,0,0,0,0,0,4.196091,-8.063945,13.589221,8.298599,11.148125,-1.3151302,-1.7635219,4.196167,-8.063912,13.580322,8.31604,11.138916,-1.3160706,-1.7547607
8.853983,3.3307676,8.892097,-20.365452,3.2545567,-0.45718253,0.8727284,0.18321076,-0.39037073,0.6354569,0.2966848,0.54835105,-0.25523713,-0.2445849,0.8010588,-0.058085248,1.4099956,1.2354912,1.6737207,-0.945226,1.534578,0.7852336,-0.024455842,1.3552134,1.2094465,1.6264539,-0.9225489,1.5562425,0.13270871,-0.30079132,0.48170662,0.13150473,0.41698083,-0.058820173,-0.06952355,0.13275146,-0.30079186,0.48179626,0.13141632,0.4169464,-0.058841705,-0.069618225,2.700655,-0.4699402,0.6437453,-2.970072,0.14622772,4.673735,0.33214235,-0.32845616,0.9162927,0.7884428,-0.06620192,0.5999755,-0.11834102,0.07475053,0.08598902,-0.010218809,1,0,0,0,0,0,0,0,0,0,4.065238,-7.897979,13.071835,9.571823,11.117345,-1.2175001,-1.7798878,4.081726,-7.8982115,13.084412,9.536743,11.100769,-1.2207031,-1.7929077
