torque0,torque1,torque2,torque3,torque4,torque5,torque6,action0,action1,action2,action3,action4,action5,action6,set_target_0,set_target_1,set_target_2,set_target_3,set_target_4,set_target_5,set_target_6,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,tennisball_pos_0,tennisball_pos_1,tennisball_pos_2,tennisball_lin_vel_0,tennisball_lin_vel_1,tennisball_lin_vel_2,end_effector_pos_0,end_effector_pos_1,end_effector_pos_2,end_effector_rot_0,end_effector_rot_1,end_effector_rot_2,end_effector_rot_3,end_effector_lin_vel_0,end_effector_lin_vel_1,end_effector_lin_vel_2,obs_task_0,obs_task_1,obs_task_2,obs_task_3,obs_task_4,obs_task_5,obs_task_6,to_final_target_0,to_final_target_1,to_final_target_2,joint_acc_0,joint_acc_1,joint_acc_2,joint_acc_3,joint_acc_4,joint_acc_5,joint_acc_6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1779976,-0.6128726,0.060474366,-3.412852,0.14205705,5.538489,0.530416,-0.4544952,0.693097,0.5745483,0.17512383,0.15255436,0.7848268,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8279977,0.2128726,0.48952565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1779976,-0.6128726,0.060474366,-3.412852,0.14205705,5.538489,0.530416,-0.4544952,0.693097,0.5745483,0.17512383,0.15255436,0.7848268,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8279977,0.2128726,0.48952565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1779976,-0.6128726,0.060474366,-3.412852,0.14205705,5.538489,0.530416,-0.4544952,0.693097,0.5745483,0.17512383,0.15255436,0.7848268,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8279977,0.2128726,0.48952565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5632014,119.60138,43.14852,16.295498,-0.043799102,3.4378824,-0.12428743,-0.100004084,0.34338343,0.028603233,-0.16689436,0.08300874,0.14697844,0.050381444,1.7702354,-1.0303125,-1.8122821,-1.1337001,1.9456164,1.1317085,-0.9112597,1.7797924,-1.063125,-1.8151891,-1.1178356,1.937613,1.1174198,-0.9162783,-0.059125043,0.20358826,-0.006323444,-0.11011118,0.03976476,0.05455317,0.0026144576,3.1438713,-0.6114502,0.11512257,-3.412563,0.14231558,5.4402647,0.53018093,-0.45392776,0.6937569,0.57454765,0.1746213,0.15296653,0.784859,-0.031368677,0.07569288,0.08797353,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7938714,0.21145019,0.43487746,-5.9203873,20.370787,-0.63753486,-11.020968,3.9963207,5.459287,0.2600963
-60.616684,104.85057,29.059092,35.933716,2.0983448,3.75173,-0.6100866,-0.417039,0.3441961,-0.06967052,-0.27423686,0.1857725,0.20712844,0.036368303,1.7380885,-1.0287054,-1.8221562,-1.1452594,1.9561902,1.1381327,-0.91264147,1.7772433,-1.0594753,-1.8155744,-1.1202236,1.9385667,1.118117,-0.91622394,-0.32043642,0.4188587,-0.049005534,-0.28172842,0.113920316,0.07458534,0.006503615,3.109748,-0.6100249,0.16878863,-3.4122741,0.14257409,5.3420553,0.5290699,-0.45330906,0.69511026,0.5749828,0.17386785,0.15389606,0.78452575,-0.13783799,0.057345174,0.15114811,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.759748,0.21002492,0.3812114,-26.197247,21.542358,-4.183077,-17.183495,7.3974967,1.9374683,0.41441125
-103.97311,123.94034,39.370827,67.928085,5.749222,6.467382,-0.9861637,-0.56972516,0.37525332,0.28042355,0.02353715,0.26699096,0.31353214,0.19313054,1.7202708,-1.02195,-1.7875321,-1.11787,1.9652658,1.1494702,-0.8969109,1.7714773,-1.0539278,-1.8147323,-1.1227137,1.9404473,1.119044,-0.91601175,-0.66250473,0.6001071,0.12889203,-0.23805664,0.21281314,0.09811434,0.026428938,3.0756273,-0.6085973,0.22147271,-3.4119852,0.14283255,5.2438607,0.5262122,-0.45355368,0.69796914,0.5765337,0.17235622,0.1543846,0.7836246,-0.33494142,-0.05154087,0.3304635,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7256274,0.20859727,0.3285273,-34.358097,18.138302,17.8869,4.376164,9.927112,2.1456435,2.0751448
-99.73224,133.27205,48.639473,74.08446,6.6606417,7.6141734,-0.8622833,-0.646574,0.41252017,0.52361786,0.111393735,0.27064976,0.3653761,0.28537637,1.7068199,-1.0126758,-1.7623706,-1.1115743,1.9675122,1.1555816,-0.8874741,1.7624842,-1.0469488,-1.8108919,-1.1239392,1.9431996,1.1202112,-0.9155306,-0.9785752,0.7306441,0.4688603,-0.08348777,0.2968134,0.122031964,0.05581999,3.0415096,-0.60716724,0.27317494,-3.4116962,0.14309098,5.145681,0.52125454,-0.45490575,0.70305824,0.5793708,0.16943575,0.1536131,0.7823196,-0.54919696,-0.16183794,0.5676815,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6915097,0.20716724,0.27682507,-31.725681,13.100159,33.916958,15.594171,8.640599,2.1109476,3.0806198
-82.47113,130.5779,48.998146,68.51528,6.0090837,7.1100955,-0.83456564,-0.7201697,0.5001465,0.54243684,0.17931151,0.30006316,0.38313407,0.3183879,1.6904672,-0.9969341,-1.7566482,-1.106008,1.9732059,1.1585246,-0.88369185,1.7508351,-1.03875,-1.8038929,-1.1232668,1.946691,1.1216055,-0.9147448,-1.2271957,0.849834,0.7761019,0.118317,0.36770254,0.14426906,0.08680469,3.0073948,-0.60573435,0.3238955,-3.4114072,0.14334936,5.047516,0.51432896,-0.45721436,0.7104526,0.58342695,0.16494101,0.15151432,0.78067327,-0.740619,-0.25045294,0.79541725,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.657395,0.20573434,0.2261045,-24.89481,11.995638,30.493164,20.439964,7.440442,1.9237995,3.2762601
-50.189514,104.011375,40.449543,50.14448,4.5790324,5.2305684,-0.4554903,-0.7275995,0.46494615,0.6013706,0.23068985,0.36654216,0.37330925,0.31440386,1.6780751,-0.99225545,-1.7437558,-1.1001978,1.9833453,1.1589365,-0.8833044,1.7375151,-1.0299009,-1.7943332,-1.120669,1.9509063,1.1231924,-0.91368383,-1.366753,0.8969305,1.015119,0.3076114,0.44055048,0.16275404,0.11284329,2.9732828,-0.60429907,0.37363455,-3.4111183,0.1436077,4.9493656,0.5059247,-0.46019125,0.7195998,0.5883236,0.15917073,0.14819266,0.77883166,-0.87454295,-0.30733278,0.9525694,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.623283,0.20429906,0.17636546,-13.913155,4.786396,23.660887,19.153425,7.6161623,1.613012,2.6902704
-18.36306,76.66673,29.535603,28.131428,2.5609837,3.044053,-0.07988222,-0.73134625,0.45899367,0.5901591,0.2106749,0.3880318,0.37144965,0.32227972,1.6643804,-0.9840015,-1.7353173,-1.0996015,1.9897095,1.1603374,-0.88145584,1.7234789,-1.0209297,-1.7832592,-1.116778,1.9557538,1.1249472,-0.9123935,-1.4157366,0.8974144,1.1376833,0.4164953,0.5002199,0.17955594,0.13433471,2.9391737,-0.6028609,0.42239216,-3.4108293,0.14386602,4.8512297,0.49668503,-0.46344495,0.7296432,0.59353894,0.152665,0.14400724,0.77696,-0.9424749,-0.32311368,1.0190617,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5891738,0.20286092,0.12760785,-4.860139,0.10429621,12.127638,10.96512,6.1933575,1.6166329,2.1204188
