torque0,torque1,torque2,torque3,torque4,torque5,torque6,action0,action1,action2,action3,action4,action5,action6,set_target_0,set_target_1,set_target_2,set_target_3,set_target_4,set_target_5,set_target_6,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,tennisball_pos_0,tennisball_pos_1,tennisball_pos_2,tennisball_lin_vel_0,tennisball_lin_vel_1,tennisball_lin_vel_2,end_effector_pos_0,end_effector_pos_1,end_effector_pos_2,end_effector_rot_0,end_effector_rot_1,end_effector_rot_2,end_effector_rot_3,end_effector_lin_vel_0,end_effector_lin_vel_1,end_effector_lin_vel_2,obs_task_0,obs_task_1,obs_task_2,obs_task_3,obs_task_4,obs_task_5,obs_task_6,to_final_target_0,to_final_target_1,to_final_target_2,joint_acc_0,joint_acc_1,joint_acc_2,joint_acc_3,joint_acc_4,joint_acc_5,joint_acc_6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0153065,-0.4589901,0.076870665,-3.6844473,0.17127958,4.7681913,0.530416,-0.4544952,0.693097,0.5745483,0.17512383,0.15255436,0.7848268,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6653066,0.05899009,0.47312933,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0153065,-0.4589901,0.076870665,-3.6844473,0.17127958,4.7681913,0.530416,-0.4544952,0.693097,0.5745483,0.17512383,0.15255436,0.7848268,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6653066,0.05899009,0.47312933,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0153065,-0.4589901,0.076870665,-3.6844473,0.17127958,4.7681913,0.530416,-0.4544952,0.693097,0.5745483,0.17512383,0.15255436,0.7848268,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6653066,0.05899009,0.47312933,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.363014,127.423515,43.50685,7.082782,-0.5410208,3.0849774,0.16610235,-0.18530163,0.48160464,-0.109984644,-0.49771172,0.6359821,0.07806532,-0.52745706,1.7617058,-1.0164905,-1.8261409,-1.1667819,2.0009136,1.1248173,-0.96904355,1.7793604,-1.0623544,-1.8156459,-1.1193739,1.9393144,1.1171614,-0.91672224,-0.11692014,0.30632946,-0.0670042,-0.31527382,0.26673177,0.020036265,-0.056590687,2.9784508,-0.457273,0.1238065,-3.6859741,0.17184854,4.6687155,0.5301981,-0.4536724,0.6936606,0.5743191,0.17514515,0.15285534,0.7849312,-0.029239373,0.109705105,0.075232856,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6284509,0.057273,0.4261935,-11.69912,30.6658,-6.7155046,-31.539207,26.731977,2.0239627,-5.6533446
-109.74517,62.42622,6.189935,43.863274,4.4884195,2.6985319,-0.5602725,-0.7207427,0.24554798,-0.10809762,-0.47214547,0.7479955,-0.3370987,-0.46276063,1.7072861,-1.0377996,-1.8264557,-1.1665884,2.014114,1.0834515,-0.9629983,1.7748057,-1.058143,-1.8168056,-1.1247393,1.9442143,1.1170927,-0.9176311,-0.5686246,0.4594007,-0.13137656,-0.61036646,0.5637211,-0.016652727,-0.10213418,2.9415798,-0.4555502,0.16974768,-3.6875005,0.1724174,4.5692544,0.52865696,-0.45359015,0.6943457,0.5746554,0.17602348,0.15288089,0.7844834,-0.19565853,-0.02553493,0.06617252,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.59158,0.055550188,0.38025233,-45.294613,15.268564,-6.12016,-29.510414,29.478724,-3.9661531,-4.478167
-106.91799,157.0248,45.964027,67.23436,4.508503,6.9567156,-1.4739064,-0.7238714,0.76411986,0.017192818,-0.23973827,0.5761586,0.29274306,-0.4713382,1.7024186,-0.98173106,-1.8150864,-1.1487131,2.00183,1.1463671,-0.9647649,1.7659422,-1.0505689,-1.8178871,-1.1313463,1.951159,1.1171023,-0.9189548,-0.99325234,0.85669816,-0.0992147,-0.67747116,0.7381208,0.0048951097,-0.14213265,2.9046936,-0.45382166,0.21469437,-3.6890268,0.17298618,4.469808,0.52504206,-0.4544189,0.6966315,0.5765632,0.17649335,0.1529042,0.782972,-0.4167344,-0.10204133,0.28204602,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5546937,0.053821653,0.33530563,-42.748642,39.741516,3.5925121,-6.7106366,17.435705,1.5899764,-3.8874655
-89.19353,138.46185,43.556,62.375366,4.523792,6.5514627,-1.2485237,-0.7973535,0.685845,0.12218598,-0.2517699,0.67130256,0.51649123,-0.52895784,1.6862068,-0.98198444,-1.8056685,-1.1565233,2.0182893,1.1687514,-0.9718506,1.753451,-1.0398935,-1.8179862,-1.1378905,1.9595323,1.1175123,-0.92067045,-1.3356601,1.1379355,0.021084296,-0.6466148,0.87076616,0.050579615,-0.18097942,2.8677921,-0.4520874,0.2586467,-3.6905527,0.17355488,4.370377,0.51937914,-0.45600438,0.70100415,0.5801493,0.17584537,0.15270063,0.78050476,-0.61570877,-0.17608185,0.4875752,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5177922,0.052087396,0.29135332,-34.58965,28.12506,12.359704,3.1265259,13.40003,3.8751423,-3.7789524
-39.32348,106.17623,33.55973,33.74656,1.7909122,3.9696813,-0.7004045,-0.8023494,0.7326821,-0.019034492,-0.43013272,0.59527624,0.46374103,-0.36883354,1.6732161,-0.9666253,-1.8198897,-1.1809037,2.01906,1.1638864,-0.9575538,1.7386461,-1.0270647,-1.8175704,-1.1446387,1.968575,1.1183459,-0.9226102,-1.5295284,1.3311459,0.049163822,-0.6842695,0.9159245,0.09313131,-0.19806339,2.8308754,-0.45034742,0.30160484,-3.6920786,0.1741235,4.270961,0.51246643,-0.45778632,0.7066445,0.5847356,0.17441626,0.1526067,0.7774153,-0.7154495,-0.17537566,0.5868745,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4808755,0.050347418,0.24839517,-19.650196,19.362045,3.0151718,-3.7733912,4.66851,3.8891778,-1.62628
3.907412,78.97074,27.410288,10.758386,-0.08599833,2.0767603,-0.121775195,-0.78997505,0.7388634,0.018558774,-0.4837807,0.57255244,0.55597526,-0.35169914,1.6596487,-0.95317835,-1.8157146,-1.1930168,2.0258303,1.1739434,-0.9577801,1.7229182,-1.0130876,-1.8169639,-1.1520373,1.9777074,1.1196524,-0.92467207,-1.5874901,1.4202883,0.06453305,-0.7588116,0.9131435,0.1434755,-0.20913419,2.7939434,-0.44860172,0.34356895,-3.6936042,0.17469202,4.1715593,0.5051522,-0.45916986,0.7127236,0.5895463,0.17255865,0.15284482,0.77414274,-0.73503304,-0.120595925,0.6114996,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4439435,0.048601717,0.20643106,-5.9395313,9.017396,1.5605562,-7.577145,-0.012409687,5.087997,-1.1523843
23.166763,46.090717,14.994863,-2.9970293,-0.87096506,0.06281412,0.19220488,-0.7850567,0.717209,-0.07613363,-0.5188149,0.61205995,0.59279054,-0.28792694,1.6444125,-0.94136673,-1.8245773,-1.2039187,2.0389135,1.1789315,-0.95346475,1.7072493,-0.99888533,-1.8167884,-1.160298,1.9867864,1.1214567,-0.9267778,-1.5601547,1.4207368,0.0016550089,-0.84916323,0.9068838,0.19389579,-0.21152264,2.7569962,-0.44685054,0.38453913,-3.6951296,0.17526045,4.072173,0.49804974,-0.4600253,0.7184393,0.59410536,0.17075707,0.15344688,0.7709311,-0.69977677,-0.067916155,0.5542216,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4069963,0.046850532,0.16546088,2.7148485,0.16920567,-6.3687606,-9.26373,-0.41582584,5.3290396,-0.36791563
