torque0,torque1,torque2,torque3,torque4,torque5,torque6,action0,action1,action2,action3,action4,action5,action6,set_target_0,set_target_1,set_target_2,set_target_3,set_target_4,set_target_5,set_target_6,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,tennisball_pos_0,tennisball_pos_1,tennisball_pos_2,tennisball_lin_vel_0,tennisball_lin_vel_1,tennisball_lin_vel_2,end_effector_pos_0,end_effector_pos_1,end_effector_pos_2,end_effector_rot_0,end_effector_rot_1,end_effector_rot_2,end_effector_rot_3,end_effector_lin_vel_0,end_effector_lin_vel_1,end_effector_lin_vel_2,obs_task_0,obs_task_1,obs_task_2,obs_task_3,obs_task_4,obs_task_5,obs_task_6,to_final_target_0,to_final_target_1,to_final_target_2,joint_acc_0,joint_acc_1,joint_acc_2,joint_acc_3,joint_acc_4,joint_acc_5,joint_acc_6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,0.0022763407,-0.024025073,0.01703258,0.02168586,-0.024536053,0.021017887,-0.00903778,2.756833,-0.2640933,0.3699624,-3.17315,-0.144758,4.9329696,0.5284882,-0.45299506,0.6975947,0.5745483,0.17512383,0.15255436,0.7848268,-0.014775438,0.0129919695,0.0042868746,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4025846,-0.13899389,0.17942613,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,-0.011999366,0.014026333,-0.027216667,-0.011399143,0.022082036,0.012651801,0.014962517,2.7443473,-0.25274095,0.3700134,-3.037717,-0.039274115,4.906235,0.5247834,-0.44676718,0.70199883,0.5745483,0.17512383,0.15255436,0.7848268,0.021569828,-0.021849329,0.027565705,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4025846,-0.13899389,0.17942613,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,0.01119245,-0.018595494,0.015532869,-0.023882892,-0.012689942,0.028212257,-0.021494677,2.7518044,-0.26994377,0.37585542,-3.1922433,0.00653214,4.9302588,0.53439575,-0.45729065,0.69909394,0.5745483,0.17512383,0.15255436,0.7848268,0.026142089,0.009201868,-0.013264053,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4025846,-0.13899389,0.17942613,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-4.35528,78.34309,29.949596,14.254417,1.2402143,2.3980014,0.33059764,-0.12230565,0.05501617,0.23058666,-0.16748862,0.19575411,-0.3009726,-0.11585966,1.7680054,-1.0591493,-1.7920837,-1.1337596,1.9568908,1.0869135,-0.9278838,1.7796665,-1.0643781,-1.8141162,-1.1178032,1.937921,1.1167885,-0.9164247,-0.08271795,0.06525256,0.114734665,-0.13122413,0.07677117,-0.005460467,-0.04323677,2.7161746,-0.25832796,0.42520878,-3.1726146,-0.025499262,4.823771,0.52297723,-0.46347535,0.68841875,0.5743525,0.17506708,0.15220746,0.78505003,-0.033545714,0.008871737,0.044511452,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3715186,-0.13808528,0.13066679,-7.5924315,3.649956,13.642831,-10.560991,8.113677,-2.9386175,-1.6831601
-25.7056,93.64895,34.93767,24.531374,2.321403,3.5844574,0.24309316,-0.2578309,0.13234843,0.29611975,-0.19917381,0.33814523,-0.4061266,-0.066876605,1.7538835,-1.0511433,-1.7845043,-1.1377206,1.9717356,1.0761758,-0.92311233,1.7776991,-1.0633911,-1.8113668,-1.1197916,1.9397502,1.1161915,-0.9166426,-0.23414901,0.14598903,0.3174679,-0.2440566,0.24225631,-0.089558706,-0.045767695,2.689237,-0.25638345,0.4604127,-3.0395231,-0.14847082,4.6834207,0.52564496,-0.4589184,0.70416796,0.5740152,0.17487368,0.15119831,0.7855346,-0.08552924,0.04798965,0.112253144,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.34051,-0.13718477,0.08295292,-16.082603,8.362147,18.273548,-12.388682,13.801536,-3.9224646,-0.6375719
-20.44392,90.60804,33.08715,21.081728,1.9957968,3.1348405,0.3005849,-0.2613984,0.16170287,0.27439237,-0.26647288,0.43870565,-0.41816947,-0.036023792,1.7515593,-1.0472208,-1.7839276,-1.146439,1.9836208,1.0743746,-0.920245,1.7742554,-1.0615057,-1.8071525,-1.1231285,1.9431252,1.1152111,-0.91688913,-0.35759127,0.18488827,0.44960245,-0.34828085,0.38802424,-0.12670226,-0.047184523,2.664859,-0.2583212,0.508877,-3.1850042,-0.012423247,4.581187,0.5333219,-0.45943508,0.6875711,0.57351047,0.17465,0.14953463,0.7862713,-0.19110769,0.050086476,0.2167225,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3095555,-0.13629165,0.0362826,-14.309179,9.292614,13.21553,-13.772022,16.295307,-3.6534622,-0.13172738
-21.16711,78.13233,27.692726,22.116285,2.1489284,2.5564406,0.15654944,-0.28846315,0.14551595,0.30845752,-0.22733824,0.4619714,-0.38558722,-0.032366294,1.7454091,-1.046954,-1.7763067,-1.1458623,1.9893224,1.0766524,-0.9201258,1.7696177,-1.0589603,-1.801893,-1.1273514,1.9479213,1.113918,-0.91713995,-0.50170815,0.25491354,0.55878884,-0.44105768,0.49155673,-0.116528675,-0.031056736,2.6276944,-0.26162335,0.5562682,-3.1749563,-0.18241031,4.6044445,0.5181986,-0.4550652,0.69515127,0.57293206,0.1744628,0.14725955,0.7871634,-0.1892651,0.042989254,0.22084743,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2786565,-0.13540593,-0.009346008,-11.120319,5.812016,9.278584,-7.171488,13.869757,-2.8104053,0.004771352
-23.733213,71.95238,24.935812,25.35981,2.3382223,2.3412008,-0.07602697,-0.33121178,0.16294256,0.35132185,-0.17971654,0.46576035,-0.35122102,-0.03997984,1.7364964,-1.0426661,-1.7667608,-1.145323,1.9944973,1.0787958,-0.9211379,1.764054,-1.0559953,-1.7958715,-1.1317183,1.9537663,1.1123978,-0.91739553,-0.57283527,0.3179596,0.6443513,-0.4203406,0.6280393,-0.16985169,-0.04704585,2.5881486,-0.2591692,0.60460263,-3.1744444,-0.03804939,4.4631553,0.516805,-0.46019027,0.70003235,0.5724962,0.17423818,0.1444405,0.788052,-0.23806182,-0.008587623,0.28592646,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2478108,-0.13452688,-0.053934753,-8.635437,3.7804186,6.8135858,0.4826665,9.728706,-1.9796759,-0.066701695
-26.9957,72.600365,24.706959,29.620733,2.4487996,2.4007623,-0.36195296,-0.3716614,0.20523565,0.37161994,-0.11608991,0.4526356,-0.3324615,-0.04995839,1.7268878,-1.0354718,-1.7587095,-1.1433272,1.9990299,1.0791516,-0.92239136,1.7577492,-1.0526375,-1.7893283,-1.1355082,1.960218,1.1107174,-0.91766495,-0.62584984,0.36443678,0.65118444,-0.36008662,0.63417345,-0.16730429,-0.008860964,2.560073,-0.26929554,0.63904023,-3.122915,-0.067066014,4.246817,0.52591836,-0.4482389,0.6992273,0.57246697,0.17381771,0.14122744,0.7887482,-0.31407833,-0.057569835,0.37227452,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2170167,-0.13365427,-0.09748548,-6.9907546,4.1345,4.4139266,7.5480404,5.247605,-1.4226496,-0.17262958
-18.773125,80.470985,28.558304,27.982813,1.8868027,2.532195,-0.42416784,-0.38258585,0.26407838,0.40617615,-0.09936672,0.43254954,-0.3711315,-0.047243588,1.7194906,-1.0262296,-1.7487108,-1.1454449,2.0034728,1.0736042,-0.9223893,1.750938,-1.0487112,-1.7823617,-1.1384274,1.9668841,1.1088854,-0.9179477,-0.69681937,0.42188802,0.68917036,-0.25185338,0.65959466,-0.1612623,-0.05719547,2.5401912,-0.27466837,0.69201285,-3.1314478,-0.10084422,4.1320257,0.50898564,-0.45058346,0.7171048,0.57291836,0.17303267,0.13785797,0.7891891,-0.35271096,-0.100470684,0.3922552,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.186273,-0.13278785,-0.13999993,-4.420662,6.339431,3.9167523,9.13452,1.5272617,-1.4821917,-0.1440987
-12.668592,82.98725,29.9131,24.424263,1.3511639,2.485536,-0.363105,-0.41534653,0.30449006,0.42919797,-0.11224196,0.44093025,-0.3993108,-0.055088073,1.7094034,-1.0182621,-1.739442,-1.1496515,2.0109773,1.0689543,-0.9234565,1.7437245,-1.0440763,-1.7750118,-1.1406475,1.9735703,1.106896,-0.91824716,-0.71107763,0.48612645,0.7695782,-0.23052593,0.6744286,-0.19592309,-0.055773243,2.5052495,-0.26027942,0.728416,-3.1119895,-0.029461168,4.124108,0.511662,-0.46355903,0.71913064,0.57377166,0.17184016,0.13452308,0.7894051,-0.39669248,-0.05040133,0.4744131,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.155581,-0.13192716,-0.18147981,-3.8822412,7.467538,3.5722613,6.33381,0.13648272,-1.5172929,-0.18599331
1.6097689,88.75944,33.05674,15.897862,0.33490005,2.3406801,-0.11858246,-0.42551154,0.37360165,0.45064613,-0.18465142,0.46746957,-0.44512755,-0.05570886,1.7011733,-1.0067161,-1.7299472,-1.1591127,2.0203173,1.0623833,-0.92381805,1.7362076,-1.0385298,-1.7672966,-1.1428057,1.9802756,1.1047331,-0.9185619,-0.7450279,0.5817143,0.75097924,-0.21775492,0.67559046,-0.19074799,-0.032715708,2.4741695,-0.2718753,0.78122175,-3.160475,-0.036128063,3.9571111,0.5003484,-0.46534362,0.71548826,0.57476,0.17029215,0.13142681,0.78954315,-0.379919,-0.023743108,0.5219985,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1249375,-0.13107172,-0.22192693,-2.761662,9.768188,3.4985065,-1.2036741,0.5677223,-1.644671,-0.14756359
11.377127,90.402,34.40119,9.777592,-0.34516004,2.158614,0.060912482,-0.43409112,0.42369816,0.47741672,-0.22449623,0.4691814,-0.47788772,-0.06205259,1.6927985,-0.9961599,-1.7195549,-1.1652553,2.0271938,1.0569444,-0.92476714,1.72848,-1.0319656,-1.7591913,-1.1454598,1.9870114,1.102388,-0.91889423,-0.75388944,0.6933058,0.80375075,-0.2754791,0.7007595,-0.24586,-0.06269663,2.437926,-0.27780604,0.81937593,-3.0590897,-0.12287283,3.8687255,0.4982749,-0.45503077,0.7165705,0.5756364,0.16845009,0.12871534,0.7897466,-0.41990417,-0.0009918418,0.58277905,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0943427,-0.13022128,-0.26134288,-1.899159,10.413408,3.8651586,-6.125993,0.57156086,-1.6619056,-0.16599074
16.318748,93.650826,36.180443,5.858739,-0.7871559,2.1680543,0.20916867,-0.46553746,0.49311832,0.51862913,-0.30046877,0.49277994,-0.5352501,-0.057184525,1.6819263,-0.9826538,-1.7073283,-1.1755066,2.0362895,1.048863,-0.9246127,1.7204949,-1.0242809,-1.7505901,-1.1491047,1.9938445,1.099836,-0.91923755,-0.80865556,0.8089237,0.87410307,-0.40845406,0.663563,-0.28464082,-0.014175352,2.4103832,-0.2630525,0.85218173,-3.1257024,-0.015400246,3.7997794,0.4934047,-0.4589337,0.72381455,0.5762114,0.1663697,0.12647295,0.7901304,-0.4326756,0.11283622,0.61533916,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0637946,-0.1293756,-0.2997293,-2.8119564,11.580145,5.1565766,-11.042917,1.5089035,-1.9142509,-0.045154244
12.656035,88.31037,34.195965,5.367618,-0.6633469,2.115733,0.29659715,-0.515154,0.5219279,0.57259625,-0.369341,0.5185724,-0.56515795,-0.041670877,1.6689794,-0.9720881,-1.6933304,-1.1860389,2.0457017,1.0433202,-0.92340463,1.712053,-1.0155777,-1.7413118,-1.1540552,2.000873,1.0970694,-0.91957515,-0.82894003,0.8953717,0.96637356,-0.55258787,0.69693357,-0.2865136,-0.014456024,2.3833234,-0.27563912,0.89664406,-3.0834842,-0.10345363,3.6871402,0.4869818,-0.44501168,0.7327175,0.5763869,0.16412951,0.12464132,0.79076165,-0.43666896,0.20909606,0.68590325,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0332942,-0.12853423,-0.3370878,-5.1903963,9.85409,7.1286917,-13.613915,2.525723,-1.9323945,0.16499534
19.180101,88.482796,35.802647,1.6344883,-0.8830781,2.106254,0.5108652,-0.5216596,0.5651075,0.660647,-0.46804357,0.57366663,-0.6004942,-0.06570787,1.659887,-0.9590669,-1.6752471,-1.2008595,2.0582397,1.03702,-0.926146,1.7031323,-1.0059904,-1.7310245,-1.1605774,2.0082698,1.0940853,-0.91991895,-0.8941181,0.9766496,1.0593854,-0.6925168,0.77452683,-0.2946375,-0.027564436,2.3517835,-0.2724773,0.91591907,-3.0489936,-0.16227233,3.5102255,0.49634114,-0.44058362,0.7465402,0.5759875,0.16175765,0.1230939,0.7917833,-0.39971873,0.28409094,0.69988424,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0028396,-0.12769714,-0.37341994,-4.652202,8.665049,10.820413,-16.25911,4.5792103,-1.8939495,-0.06688088
28.235607,89.762634,37.03396,-2.5038059,-1.3488553,1.890066,0.60441005,-0.50827676,0.6263227,0.6948183,-0.5528265,0.59758204,-0.6089705,-0.092908755,1.6523046,-0.9433581,-1.6615427,-1.2158601,2.068028,1.0331883,-0.9292098,1.6939303,-0.99552804,-1.7196567,-1.1687895,2.0161166,1.0909048,-0.92029566,-0.94639623,1.0678244,1.175985,-0.88787,0.797544,-0.31413013,-0.03898937,2.3317819,-0.2681869,0.9655961,-2.9508529,-0.108910725,3.424457,0.4945641,-0.44299483,0.75664204,0.574873,0.15925983,0.12185257,0.7932901,-0.39772296,0.4005711,0.7164113,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9724288,-0.1268641,-0.40872723,-2.1483421,8.965182,10.507107,-16.908253,5.0511837,-1.5500069,-0.31624213
30.227602,88.49158,36.547855,-2.5013475,-1.398157,1.7135785,0.54296243,-0.50511193,0.6757192,0.72540134,-0.59346926,0.62713903,-0.61654073,-0.115005516,1.643419,-0.9279561,-1.6471165,-1.2281364,2.0788305,1.0292507,-0.9317962,1.684651,-0.98418313,-1.70734,-1.1784855,2.0244384,1.0875536,-0.9207272,-0.9397254,1.13481,1.2810245,-1.0290266,0.83988017,-0.36382246,-0.020195616,2.2987678,-0.27443013,0.99629146,-3.0127535,-0.02672733,3.3643775,0.4816268,-0.44381008,0.7619578,0.57305855,0.15663421,0.12095859,0.79526013,-0.35781157,0.51146466,0.76371723,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.942062,-0.12603441,-0.44301116,-0.23450851,9.010339,8.809876,-13.918245,5.24379,-1.2717128,-0.5140312
16.591356,79.49043,31.78931,4.889757,-0.65382314,1.7000874,0.2395905,-0.54128003,0.6983931,0.746044,-0.5732633,0.62328845,-0.5702601,-0.1121134,1.630523,-0.91434383,-1.6327356,-1.2358118,2.0867672,1.0305276,-0.9319385,1.6752459,-0.97207576,-1.6943042,-1.189056,2.033136,1.0840918,-0.92121357,-0.9172476,1.2008458,1.3403094,-1.0847176,0.89269006,-0.34780362,-0.068978384,2.2703085,-0.27792436,1.025964,-3.1053462,-0.087408006,3.3216715,0.48359722,-0.4408569,0.7608291,0.5708193,0.15385783,0.12037529,0.79749787,-0.37689084,0.6005383,0.7572714,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9117389,-0.12520829,-0.47627324,-1.5977144,7.4229717,6.2882185,-6.880021,3.8364053,-0.63892007,-0.45743585
15.983599,78.92574,31.531618,5.4816084,-0.6880131,1.6710434,0.16840631,-0.54277396,0.7546329,0.7852083,-0.633355,0.6463181,-0.5606034,-0.13498373,1.6209685,-0.89661247,-1.6157835,-1.2523916,2.0977676,1.0280315,-0.93471193,1.665692,-0.9592131,-1.6806772,-1.2002169,2.0421443,1.0805603,-0.9217643,-0.9352614,1.3343846,1.4042934,-1.1588626,0.8931184,-0.3311889,-0.06562958,2.2242873,-0.28185728,1.0523322,-2.9764674,-0.124807574,3.1629877,0.4861004,-0.43012288,0.7665234,0.5682931,0.15090899,0.12012634,0.7998994,-0.3826388,0.67404276,0.8090459,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8814588,-0.12438527,-0.50851494,-1.4405131,7.87735,5.419159,-5.4409504,3.4279108,-0.30136704,-0.5895108
9.315279,74.80226,29.268162,8.630775,-0.45579687,1.6700964,-0.0023787003,-0.57173693,0.79434484,0.8035703,-0.64219403,0.6397322,-0.54530144,-0.15314423,1.6085182,-0.8797786,-1.6003201,-1.2644362,2.1061175,1.0260302,-0.9370787,1.6558882,-0.945597,-1.6665828,-1.2117459,2.051351,1.0769888,-0.9223904,-0.9736636,1.383748,1.4175041,-1.1854349,0.9135829,-0.37283248,-0.055161636,2.2018309,-0.2775831,1.0910746,-2.9769716,0.0045931786,3.00945,0.46535027,-0.42804527,0.7755536,0.56563324,0.14777702,0.12025894,0.8023458,-0.35525852,0.7574512,0.8152517,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8512206,-0.123565346,-0.5397375,-2.8978348,7.717538,4.0902853,-3.0038595,2.088809,-0.05198121,-0.6725967
4.830497,64.890625,24.918198,9.881756,-0.17980874,1.4428072,-0.057508804,-0.5877702,0.7959791,0.8229687,-0.6492401,0.64304787,-0.47295418,-0.15581805,1.5971112,-0.8659991,-1.584286,-1.2766699,2.115656,1.0296934,-0.9379722,1.6457621,-0.93142253,-1.6521165,-1.2234627,2.0606666,1.073444,-0.92309135,-1.0315471,1.4409322,1.4661375,-1.1864259,0.9082548,-0.36766425,-0.058113612,2.1621377,-0.27695203,1.1175336,-2.9865923,-0.17141005,3.0218997,0.46632347,-0.41517633,0.8012799,0.56294215,0.14449544,0.12073004,0.8047617,-0.40105352,0.76676154,0.8051207,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8210225,-0.122748286,-0.5699424,-3.4359694,5.1566124,3.3012152,-1.5253305,1.2848258,0.7120073,-0.68048537
1.085887,55.669224,20.910784,11.069784,0.08216518,1.2234461,-0.1062504,-0.60569626,0.7989734,0.8373042,-0.6445697,0.6355409,-0.41844508,-0.1635444,1.5851924,-0.8515252,-1.5683861,-1.2879196,2.1242206,1.0315995,-0.9394458,1.6352793,-0.9169381,-1.6373527,-1.2352167,2.0700068,1.0699888,-0.9238667,-1.0384387,1.4589833,1.4675727,-1.1993692,0.94806033,-0.3293225,-0.05592884,2.1409965,-0.28563407,1.1434032,-3.023099,0.018209994,2.8036492,0.46436015,-0.4092037,0.8083249,0.56029016,0.14110827,0.1214684,0.807099,-0.4062081,0.8340398,0.8407148,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7908654,-0.12193361,-0.5991309,-3.726697,2.6832104,2.6183128,-0.08683205,0.3674984,1.2615263,-0.7277772
