torque0,torque1,torque2,torque3,torque4,torque5,torque6,action0,action1,action2,action3,action4,action5,action6,set_target_0,set_target_1,set_target_2,set_target_3,set_target_4,set_target_5,set_target_6,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,tennisball_pos_0,tennisball_pos_1,tennisball_pos_2,tennisball_lin_vel_0,tennisball_lin_vel_1,tennisball_lin_vel_2,end_effector_pos_0,end_effector_pos_1,end_effector_pos_2,end_effector_rot_0,end_effector_rot_1,end_effector_rot_2,end_effector_rot_3,end_effector_lin_vel_0,end_effector_lin_vel_1,end_effector_lin_vel_2,obs_task_0,obs_task_1,obs_task_2,obs_task_3,obs_task_4,obs_task_5,obs_task_6,to_final_target_0,to_final_target_1,to_final_target_2,joint_acc_0,joint_acc_1,joint_acc_2,joint_acc_3,joint_acc_4,joint_acc_5,joint_acc_6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7251751,-1.0482762,-1.8293648,-1.0646858,1.8974441,1.0782547,-0.92421985,1.7251751,-1.0482762,-1.8293648,-1.0646858,1.8974441,1.0782547,-0.92421985,0,0,0,0,0,0,0,3.0070925,-0.45688367,0.3374977,-3.3104374,0.08077278,4.787437,0.50137615,-0.49578452,0.7063465,0.62377936,0.1807582,0.17170578,0.7407717,0,0,0,1,0,0,0,0,0,0,-3.6570926,0.056883663,0.2125023,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7251751,-1.0482762,-1.8293648,-1.0646858,1.8974441,1.0782547,-0.92421985,1.7251751,-1.0482762,-1.8293648,-1.0646858,1.8974441,1.0782547,-0.92421985,0,0,0,0,0,0,0,3.0070925,-0.45688367,0.3374977,-3.3104374,0.08077278,4.787437,0.50137615,-0.49578452,0.7063465,0.62377936,0.1807582,0.17170578,0.7407717,0,0,0,1,0,0,0,0,0,0,-3.6570926,0.056883663,0.2125023,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7251751,-1.0482762,-1.8293648,-1.0646858,1.8974441,1.0782547,-0.92421985,1.7251751,-1.0482762,-1.8293648,-1.0646858,1.8974441,1.0782547,-0.92421985,0,0,0,0,0,0,0,3.0070925,-0.45688367,0.3374977,-3.3104374,0.08077278,4.787437,0.50137615,-0.49578452,0.7063465,0.62377936,0.1807582,0.17170578,0.7407717,0,0,0,1,0,0,0,0,0,0,-3.6570926,0.056883663,0.2125023,0,0,0,0,0,0,0
-74.76824,167.0218,56.48191,53.44313,4.208138,7.598294,-0.41564256,-0.62344825,0.5010092,0.4493407,-0.32032865,0.41595772,-0.30547947,-0.09026604,1.6628304,-0.99817526,-1.7844307,-1.0967187,1.93904,1.0477067,-0.93324643,1.7222168,-1.0458577,-1.8273258,-1.0661831,1.8983196,1.0775337,-0.9239919,-0.39453742,0.32259175,0.27179465,-0.19957742,0.11719803,-0.09625016,0.030444602,2.9739885,-0.4560759,0.3846312,-3.3104374,0.08077278,4.6886477,0.5000038,-0.49563003,0.70805055,0.6241576,0.18022041,0.17156842,0.740616,-0.18296935,0.020428289,0.22726043,1,0,0,0,0,0,0,-3.6239886,0.0560759,0.16536883,-39.477028,32.308422,27.09103,-19.927837,11.846539,-9.601139,3.0933144
-42.92937,172.71288,59.508965,32.433784,1.8591137,7.354838,-0.0040777787,-0.5957887,0.6036381,0.33567005,-0.6541775,0.47293696,-0.2102483,-0.2459042,1.662638,-0.98549384,-1.7937589,-1.1316009,1.9456133,1.0565089,-0.94858235,1.7154744,-1.0397961,-1.8230457,-1.0712337,1.900927,1.0764179,-0.9238584,-0.7677127,0.7011806,0.47958872,-0.6061947,0.30971515,-0.116293386,0.008494337,2.9408846,-0.45526814,0.43077675,-3.3104374,0.08077278,4.5898585,0.49713373,-0.494591,0.7117244,0.62461895,0.17900637,0.17153345,0.7405296,-0.32185185,0.13215114,0.4140203,1,0,0,0,0,0,0,-3.5908847,0.05526814,0.11922327,-37.39885,37.99051,20.580269,-40.437763,19.585932,-1.9053743,-1.9370618
-35.000393,153.8777,53.51448,28.824759,1.8560364,6.3827147,0.0647454,-0.6751955,0.6370544,0.42387494,-0.63086987,0.5609488,-0.33160415,-0.21023355,1.6479548,-0.97609067,-1.7806582,-1.1343207,1.9570218,1.0432575,-0.94488174,1.7054017,-1.0304215,-1.8168125,-1.0798435,1.9055504,1.0750904,-0.9239366,-1.0874488,1.016846,0.67028046,-0.94488144,0.514838,-0.13781305,-0.011973082,2.9077806,-0.45446038,0.4759344,-3.3104374,0.08077278,4.4910693,0.49302483,-0.4925642,0.71704113,0.62500656,0.177254,0.17153639,0.7406235,-0.4397842,0.22783902,0.56956285,1,0,0,0,0,0,0,-3.5577807,0.054460377,0.074065626,-32.102753,31.78265,18.78326,-33.549847,21.037674,-1.9950598,-1.6780604
-12.254556,115.47258,40.975178,17.410563,1.147718,4.2101088,0.22249548,-0.68383855,0.6390021,0.46585613,-0.6599677,0.5918733,-0.34632316,-0.18772805,1.6370178,-0.96652126,-1.770227,-1.1458403,1.9647377,1.0404581,-0.9427094,1.6930859,-1.0188382,-1.8090668,-1.0910492,1.9119552,1.0735817,-0.9241979,-1.2798735,1.2063524,0.808512,-1.1782472,0.6842231,-0.15442522,-0.029883219,2.8746767,-0.45365262,0.52010417,-3.3104374,0.08077278,4.39228,0.48815584,-0.4897244,0.7233949,0.62520415,0.17522752,0.17144509,0.7409599,-0.5008891,0.30637592,0.6544805,1,0,0,0,0,0,0,-3.5246768,0.053652614,0.029895842,-19.345451,19.180202,13.51136,-23.104858,17.503345,-1.4179528,-1.5234553
2.40092,84.365616,31.052856,11.847184,0.886816,2.6080148,0.2300062,-0.6956966,0.64088416,0.53469735,-0.64575005,0.5794716,-0.33226126,-0.1831403,1.6235162,-0.95474976,-1.755597,-1.1556242,1.9699024,1.0403556,-0.9425119,1.6796677,-1.006221,-1.8001289,-1.1035957,1.9195942,1.0719414,-0.9246223,-1.3625932,1.2809659,0.920957,-1.2798653,0.79227734,-0.16620418,-0.0463292,2.8415728,-0.45284486,0.56328607,-3.3104374,0.08077278,4.293491,0.48295736,-0.4863119,0.7302773,0.62519133,0.17305791,0.17114389,0.7415501,-0.5231956,0.35827523,0.69493365,1,0,0,0,0,0,0,-3.4915729,0.052844852,-0.013286054,-8.319426,7.6800346,10.88748,-10.101652,11.379719,-0.88775456,-1.5707083
14.191803,58.572723,21.985468,6.113077,0.50349396,1.1465383,0.2539293,-0.6851205,0.63070595,0.54678255,-0.66238546,0.5873461,-0.3353447,-0.1864846,1.6111556,-0.94315046,-1.7454507,-1.1698343,1.9783288,1.0384068,-0.94327074,1.6660645,-0.99348664,-1.7904072,-1.1165638,1.9279579,1.0702019,-0.92520213,-1.3595864,1.2715434,0.9881874,-1.302599,0.85267484,-0.17551921,-0.062238935,2.8084688,-0.4520371,0.6054801,-3.3104374,0.08077278,4.1947017,0.4777913,-0.48253345,0.73724437,0.6249526,0.17088334,0.17061336,0.74237734,-0.5107052,0.39066237,0.69179523,1,0,0,0,0,0,0,-3.458469,0.05203709,-0.055480063,0.3140211,-0.76055527,6.3834667,-2.3711681,6.52318,-0.6173283,-1.6842842
15.769602,45.63968,16.687504,5.718006,0.46554816,0.42077026,0.16064136,-0.68449235,0.6323518,0.5473838,-0.6495978,0.5896713,-0.32581854,-0.17825411,1.5976152,-0.9302515,-1.7356688,-1.1815236,1.986925,1.0376201,-0.94302756,1.6527836,-0.9811108,-1.7803211,-1.1293507,1.9366688,1.068388,-0.9259212,-1.3174123,1.2267447,1.0144198,-1.2712823,0.87853634,-0.18233189,-0.07576701,2.7753649,-0.45122933,0.6466862,-3.3104374,0.08077278,4.0959125,0.4728403,-0.47857594,0.7440392,0.6245477,0.16879262,0.16991022,0.74335694,-0.4858379,0.4040585,0.6694982,1,0,0,0,0,0,0,-3.425365,0.051229328,-0.096686184,4.2496204,-4.32055,2.3190022,2.9464006,2.9799223,-0.39630532,-1.5161052
