torque0,torque1,torque2,torque3,torque4,torque5,torque6,action0,action1,action2,action3,action4,action5,action6,set_target_0,set_target_1,set_target_2,set_target_3,set_target_4,set_target_5,set_target_6,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_disc_0,joint_vel_disc_1,joint_vel_disc_2,joint_vel_disc_3,joint_vel_disc_4,joint_vel_disc_5,joint_vel_disc_6,tennisball_pos_0,tennisball_pos_1,tennisball_pos_2,tennisball_lin_vel_0,tennisball_lin_vel_1,tennisball_lin_vel_2,end_effector_pos_0,end_effector_pos_1,end_effector_pos_2,end_effector_rot_0,end_effector_rot_1,end_effector_rot_2,end_effector_rot_3,end_effector_lin_vel_0,end_effector_lin_vel_1,end_effector_lin_vel_2,obs_task_0,obs_task_1,obs_task_2,obs_task_3,obs_task_4,obs_task_5,obs_task_6,to_final_target_0,to_final_target_1,to_final_target_2,joint_acc_0,joint_acc_1,joint_acc_2,joint_acc_3,joint_acc_4,joint_acc_5,joint_acc_6,joint_acc_disc_0,joint_acc_disc_1,joint_acc_disc_2,joint_acc_disc_3,joint_acc_disc_4,joint_acc_disc_5,joint_acc_disc_6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7853982,0,1.3264502,1.2217305,1.6057029,-0.9075712,1.5707964,0.7853982,0,1.3264502,1.2217305,1.6057029,-0.9075712,1.5707964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0552902,-0.45614624,0.7994093,-3.5582886,0.08444971,4.2664227,0.33081388,-0.32899427,0.9088952,0.7746776,-0.054232508,0.61539066,-0.1350104,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.731294,27.389631,11.025189,-11.250572,1.281973,-0.0975945,0.9768154,-0.24780549,0.2742109,0.20009996,0.41528907,0.6142513,0.43796334,0.8228464,0.7606176,0.02742109,1.3464602,1.2632594,1.667128,-0.86377484,1.653081,0.7853109,0.0002723042,1.3264884,1.2221429,1.6062874,-0.9074767,1.5710689,-0.0032701453,0.051648952,-0.001925013,0.08002268,0.10222623,0.017972028,0.059758045,-0.01745224,0.05446084,0.0076293945,0.08249283,0.11689663,0.018894672,0.054502487,3.0374985,-0.455724,0.8204935,-3.5582886,0.08444971,4.2168446,0.33092737,-0.3289547,0.9087756,0.77474093,-0.053982146,0.61539197,-0.13474098,0.023289455,0.008330771,-0.024371509,1,0,0,0,0,0,0,0,0,0,-0.6540291,10.32979,-0.3850026,16.004536,20.445246,3.5944057,11.951609,-3.490448,10.892168,1.5258789,16.498566,23.379326,3.7789345,10.900497
14.271945,32.402184,14.588827,-7.2123365,0.90094644,-0.45478866,1.0389266,-0.26603574,0.2932826,0.29614484,0.52955556,0.62224096,0.423605,0.8652525,0.75870734,0.029600564,1.3561028,1.2750984,1.6685115,-0.86511624,1.6575941,0.7852122,0.0008236081,1.3265878,1.2230692,1.607398,-0.90729666,1.5715958,0.0009039964,0.10899847,0.00000876698,0.18318506,0.2090283,0.030491233,0.1112298,-0.019741058,0.11026077,0.01988411,0.18525124,0.22213459,0.036013126,0.10538101,3.0197067,-0.45530176,0.8413299,-3.5582886,0.08444971,4.1672664,0.3312006,-0.328856,0.90848374,0.7748405,-0.05350019,0.6154365,-0.1341562,0.054534618,0.020182503,-0.05900027,1,0,0,0,0,0,0,0,0,0,0.8348283,11.469904,0.386756,20.632475,21.360415,2.503841,10.294351,-0.45776367,11.1599865,2.450943,20.551682,21.047592,3.4236908,10.175705
16.244041,33.027203,16.500212,-7.093555,0.92914003,-0.81393635,1.0598733,-0.22399092,0.28704035,0.35864535,0.58012515,0.6745693,0.19826196,0.8641761,0.76281315,0.029527644,1.3624524,1.2810817,1.674855,-0.8874705,1.6580133,0.78517014,0.0016173864,1.3267721,1.2245041,1.6090117,-0.90711874,1.5723611,0.003235257,0.15839659,0.023584412,0.28506902,0.30988282,0.026812445,0.15951383,-0.008416176,0.15875566,0.036859512,0.28698444,0.3227234,0.035583973,0.15306473,3.001915,-0.45487952,0.86191833,-3.5582886,0.08444971,4.117688,0.33164883,-0.32867026,0.9080155,0.77498096,-0.052845497,0.61552364,-0.13320053,0.08922036,0.037518553,-0.09438349,1,0,0,0,0,0,0,0,0,0,0.46625212,9.879623,4.715129,20.376793,20.170902,-0.73575747,9.656806,2.2649765,9.698978,3.3950806,20.346642,20.11776,-0.08583069,9.536743
14.603503,27.939056,14.794532,-8.254111,1.0870739,-0.91897774,1.029441,-0.17326756,0.2628325,0.34100786,0.60366285,0.705361,-0.31123945,0.8734522,0.76784337,0.027900636,1.3608729,1.2848704,1.6795478,-0.9382427,1.6597064,0.78515714,0.0025947695,1.3270832,1.2264003,1.611088,-0.9070913,1.5733513,0.0030873457,0.19502775,0.05547638,0.3774069,0.40309957,0.0000063825864,0.20391339,-0.0025987625,0.19547662,0.06222725,0.3792286,0.41527748,0.0054836273,0.19803047,2.9841232,-0.45445728,0.8822589,-3.5582886,0.08444971,4.06811,0.33225107,-0.3283913,0.90738267,0.77516574,-0.052084282,0.61564857,-0.13184093,0.120202765,0.05589012,-0.12723882,1,0,0,0,0,0,0,0,0,0,-0.02958225,7.3262334,6.3783927,18.467575,18.643349,-5.3612123,8.879911,1.1634827,7.3441925,5.0735474,18.44883,18.510818,-6.020069,8.993149
10.408026,19.777002,10.582068,-10.0281725,1.2703476,-0.6615639,0.9478881,-0.16767016,0.23766279,0.30992886,0.6088179,0.7240817,-0.6050942,0.8707626,0.7683901,0.026361048,1.3580761,1.287282,1.6834962,-0.96760076,1.6604276,0.7851406,0.0036956074,1.3275151,1.2286924,1.6135805,-0.90724814,1.574544,0.0029128091,0.21952043,0.0803186,0.4567127,0.48753425,-0.028005805,0.24358419,-0.0033140182,0.22016759,0.08637905,0.45843124,0.49848557,-0.031363964,0.23853779,2.9663315,-0.45403504,0.90235156,-3.5582886,0.08444971,4.018532,0.33296633,-0.32804322,0.9066081,0.77539843,-0.051229265,0.61579573,-0.1301088,0.14286844,0.068806745,-0.15528093,1,0,0,0,0,0,0,0,0,0,-0.03490732,4.898536,4.9684443,15.861159,16.886938,-5.6024375,7.9341593,-0.14305115,4.9381943,4.8303604,15.84053,16.641617,-7.3695183,8.101463
5.3045774,10.59815,5.4586277,-11.720158,1.4241587,-0.20205802,0.84950006,-0.16993533,0.20741689,0.26566038,0.6086293,0.7251697,-0.6700069,0.8698332,0.76814705,0.024437297,1.3540812,1.2895553,1.6860974,-0.9742488,1.6615273,0.78511804,0.004863091,1.3280077,1.2313167,1.6164333,-0.9075516,1.5759184,0.0028375213,0.23293026,0.091203034,0.5232834,0.56044626,-0.057915747,0.27971965,-0.004506111,0.23349668,0.09851456,0.52485466,0.5705595,-0.06068945,0.27489662,2.9485397,-0.4536128,0.9221963,-3.5582886,0.08444971,3.9689536,0.33374596,-0.3276677,0.90571505,0.7756784,-0.050260276,0.6159503,-0.12807025,0.15552968,0.07442751,-0.17888762,1,0,0,0,0,0,0,0,0,0,-0.015057577,2.6819646,2.1768868,13.314146,14.582401,-5.9819884,7.2270927,-0.23841858,2.6658177,2.4271011,13.284683,14.414787,-5.865097,7.2717667
5.5794353,12.026537,5.671643,-13.463923,1.4458175,-0.20516218,0.74629295,-0.12607212,0.24010429,0.22395688,0.6204493,0.74883103,-0.693462,0.87316936,0.7725108,0.02887352,1.3504034,1.2933617,1.6913164,-0.9768978,1.6632354,0.7851155,0.0061128275,1.3285202,1.23423,1.6196142,-0.9079967,1.577461,0.0029822006,0.24931887,0.09913156,0.5809251,0.6250652,-0.08587055,0.31381395,-0.00051259995,0.24994732,0.10249615,0.58267117,0.63619614,-0.0890255,0.30851364,2.930748,-0.45319057,0.9417932,-3.5582886,0.08444971,3.9193754,0.33458662,-0.32725835,0.90472066,0.7759961,-0.04919611,0.6161118,-0.12576117,0.16770501,0.08110365,-0.19929574,1,0,0,0,0,0,0,0,0,0,0.028935866,3.277722,1.5857055,11.5283375,12.923789,-5.5909605,6.818861,0.79870224,3.2901287,0.79631805,11.563301,13.127327,-5.6672096,6.723404
2.055314,5.130251,2.0870059,-14.689991,1.5907795,0.109320246,0.690804,-0.101636,0.19934824,0.17624596,0.61916345,0.7581106,-0.71658856,0.87177324,0.7749519,0.02604765,1.3461448,1.2961464,1.6954253,-0.97965556,1.6646383,0.78512055,0.0073943413,1.3290348,1.2373837,1.6230762,-0.90857685,1.579161,0.0030250866,0.2556705,0.10098242,0.6289546,0.6810721,-0.11280001,0.34547883,0.001013279,0.25630277,0.1029253,0.63073635,0.6923914,-0.1160264,0.34000874,2.9129562,-0.45276833,0.9611422,-3.5582886,0.08444971,3.8697972,0.335454,-0.32684135,0.90364176,0.7763523,-0.048031945,0.61626923,-0.12321596,0.1730119,0.08268453,-0.21621433,1,0,0,0,0,0,0,0,0,0,0.0085772015,1.270324,0.37017167,9.605896,11.201382,-5.385892,6.3329754,0.30517578,1.2710899,0.08583069,9.613037,11.239052,-5.400181,6.299019
-0.47461337,0.07221231,-0.51631093,-16.112198,1.7304784,0.3250311,0.6326023,-0.06589861,0.17021163,0.12938179,0.6102447,0.7644239,-0.7472877,0.87346786,0.77853066,0.024415504,1.341973,1.2984082,1.6995186,-0.98330563,1.6665078,0.78513294,0.008666785,1.3295349,1.2407277,1.6267768,-0.90928864,1.5810089,0.003149343,0.2538104,0.09949356,0.6668971,0.72790766,-0.13874745,0.37540027,0.0024795532,0.25448883,0.100016594,0.66878796,0.7401228,-0.14235973,0.36957264,2.8951645,-0.4523461,0.98024327,-3.5582886,0.08444971,3.820219,0.33632278,-0.326432,0.9024968,0.77674884,-0.046771828,0.6164108,-0.12046276,0.17318848,0.08095492,-0.22942442,1,0,0,0,0,0,0,0,0,0,0.024851272,-0.37201643,-0.2977714,7.5885057,9.367108,-5.189489,5.984288,0.29325485,-0.36278963,-0.58174133,7.610321,9.54628,-5.2666664,5.912781
