pure_actions_0,pure_actions_1,pure_actions_2,pure_actions_3,pure_actions_4,pure_actions_5,pure_actions_6,action_history_actor_0,action_history_actor_1,action_history_actor_2,action_history_actor_3,action_history_actor_4,action_history_actor_5,action_history_actor_6,action_history_actor_7,action_history_actor_8,action_history_actor_9,action_history_actor_10,action_history_actor_11,action_history_actor_12,action_history_actor_13,dof_pos_scaled_0,dof_pos_scaled_1,dof_pos_scaled_2,dof_pos_scaled_3,dof_pos_scaled_4,dof_pos_scaled_5,dof_pos_scaled_6,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,tennisball_pos_0,tennisball_pos_1,tennisball_pos_2,end_effector_pos_0,end_effector_pos_1,end_effector_pos_2,tennisball_lin_vel_0,tennisball_lin_vel_1,tennisball_lin_vel_2,end_effector_rot_0,end_effector_rot_1,end_effector_rot_2,end_effector_rot_3,end_effector_lin_vel_0,end_effector_lin_vel_1,end_effector_lin_vel_2,to_final_target_0,to_final_target_1,to_final_target_2,to_throwing_pos_0,to_throwing_pos_1,to_throwing_pos_2,to_throwing_vel_0,to_throwing_vel_1,to_throwing_vel_2,obs_task_0,obs_task_1,obs_task_2,obs_task_3,obs_task_4,obs_task_5,obs_task_6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2647059,0,0.4470588,0.5833334,0.54117656,-0.43333334,0.5142858,0,0,0,0,0,0,0,0.7885392,-0.1477263,0.085865945,0.33081388,-0.32899427,0.9088952,-0.50809926,0.0434162,0.7871043,0,0,0,0.7746776,-0.054232508,0.61539066,-0.1350104,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.3142762,-0.27517733,0.1980138,0.4176386,0.8779181,0.7405659,0.95551354,0,0,0,0,0,0,0,0.3142762,-0.27517733,0.1980138,0.4176386,0.8779181,0.7405659,0.95551354,0.2647915,-0.00010573864,0.44711316,0.5834918,0.5412495,-0.43328822,0.5143279,0.015727997,-0.013731811,0.0099925995,0.020576477,0.013422012,0.005853653,0.007982254,0.7843051,-0.1473645,0.092363425,0.33088398,-0.32900023,0.9087727,-0.50809926,0.0434162,0.7796977,0.0020907403,-0.0001688481,-0.0036792143,0.77478564,-0.05408481,0.6153494,-0.1346367,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.49250165,-0.32709676,0.13652304,0.467972,0.88069177,0.8122502,0.95665234,0.3142762,-0.27517733,0.1980138,0.4176386,0.8779181,0.7405659,0.95551354,0.49250165,-0.32709676,0.13652304,0.467972,0.88069177,0.8122502,0.95665234,0.26501143,-0.00033795834,0.4472047,0.5838314,0.54139674,-0.43319583,0.51440823,0.040472984,-0.030158097,0.016851425,0.044109344,0.027080536,0.012002945,0.015195847,0.780071,-0.1470027,0.098799184,0.33104038,-0.32900453,0.9085063,-0.50809926,0.0434162,0.7722912,0.004711827,-0.00013964658,-0.007983014,0.77501184,-0.053791,0.615265,-0.13383561,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.5411762,-0.44162312,0.0593179,0.4505047,0.878526,0.83084446,0.9551702,0.49250165,-0.32709676,0.13652304,0.467972,0.88069177,0.8122502,0.95665234,0.5411762,-0.44162312,0.0593179,0.4505047,0.878526,0.83084446,0.9551702,0.26536834,-0.0007277727,0.44730568,0.5843251,0.54161274,-0.4330569,0.5145247,0.06566143,-0.05060508,0.018566132,0.06409454,0.039733887,0.018033981,0.022054672,0.77583694,-0.1466409,0.10517322,0.33123064,-0.3290503,0.90811986,-0.50809926,0.0434162,0.76488465,0.0056902408,-0.0013833119,-0.011589905,0.7753678,-0.05332933,0.6151146,-0.132645,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.59588945,-0.4715054,-0.23983225,0.40810263,0.8704596,0.8331377,0.9551965,0.5411762,-0.44162312,0.0593179,0.4505047,0.878526,0.83084446,0.9551702,0.59588945,-0.4715054,-0.23983225,0.40810263,0.8704596,0.8331377,0.9551965,0.2658602,-0.0012705326,0.44732976,0.5849339,0.5418918,-0.43287385,0.5146755,0.090465546,-0.070482425,0.0044345856,0.07905388,0.051322937,0.023769379,0.028558731,0.77160287,-0.1462791,0.11148554,0.33136463,-0.32920933,0.90764743,-0.50809926,0.0434162,0.7574781,0.0040275,-0.0047515407,-0.014169929,0.77583724,-0.05265193,0.61489195,-0.13119507,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.6425605,-0.47257763,-0.4524497,0.34749535,0.8503912,0.82746154,0.955585,0.59588945,-0.4715054,-0.23983225,0.40810263,0.8704596,0.8331377,0.9551965,0.6425605,-0.47257763,-0.4524497,0.34749535,0.8503912,0.82746154,0.955585,0.26648247,-0.0019469261,0.44721758,0.58561456,0.5422274,-0.43264914,0.5148587,0.114471436,-0.08783702,-0.020635605,0.08839607,0.06172943,0.029179573,0.034708023,0.7673688,-0.1459173,0.11773614,0.3313923,-0.32951427,0.907126,-0.50809926,0.0434162,0.7500716,0.00082250946,-0.009136011,-0.015652446,0.7764029,-0.051745903,0.6145937,-0.1295975,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.6769332,-0.44434357,-0.5604951,0.26765722,0.8261464,0.8306869,0.9560571,0.6425605,-0.47257763,-0.4524497,0.34749535,0.8503912,0.82746154,0.955585,0.6769332,-0.44434357,-0.5604951,0.26765722,0.8261464,0.8306869,0.9560571,0.2672273,-0.002726853,0.4469496,0.5863222,0.5426127,-0.43238485,0.5150726,0.1370287,-0.10126884,-0.04931259,0.09188461,0.07089424,0.034323692,0.04050255,0.7631347,-0.1455555,0.123925015,0.33130407,-0.32995462,0.90659404,-0.50809926,0.0434162,0.742665,-0.002607056,-0.013197078,-0.015974479,0.77704966,-0.05064068,0.6142181,-0.12792742,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.70074713,-0.40611732,-0.60283256,0.18650034,0.8026723,0.83149725,0.95608544,0.6769332,-0.44434357,-0.5604951,0.26765722,0.8261464,0.8306869,0.9560571,0.70074713,-0.40611732,-0.60283256,0.18650034,0.8026723,0.83149725,0.95608544,0.268085,-0.0035784245,0.44653106,0.5870161,0.5430422,-0.43208295,0.5153159,0.15778255,-0.11059441,-0.076984406,0.09011078,0.07899475,0.039201736,0.046060562,0.75890064,-0.1451937,0.13005216,0.3311181,-0.3304968,0.90608644,-0.50809926,0.0434162,0.73525846,-0.005538875,-0.016268447,-0.015264265,0.7777663,-0.049383175,0.6137644,-0.1262303,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.7175899,-0.37041256,-0.61570764,0.11098663,0.78347296,0.82644457,0.95581174,0.70074713,-0.40611732,-0.60283256,0.18650034,0.8026723,0.83149725,0.95608544,0.7175899,-0.37041256,-0.61570764,0.11098663,0.78347296,0.82644457,0.95581174,0.26904476,-0.0044751167,0.44597816,0.5876641,0.54351044,-0.43174577,0.5155866,0.17655563,-0.116434634,-0.10169983,0.08413887,0.086149216,0.04378414,0.05126381,0.75466657,-0.1448319,0.13611759,0.3308568,-0.3311057,0.90563095,-0.50809926,0.0434162,0.7278519,-0.0077873007,-0.018254053,-0.013721286,0.778544,-0.048021026,0.61323255,-0.124534726,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.73030496,-0.34778962,-0.6165669,0.037164018,0.7699307,0.8149278,0.95536023,0.7175899,-0.37041256,-0.61570764,0.11098663,0.78347296,0.82644457,0.95581174,0.73030496,-0.34778962,-0.6165669,0.037164018,0.7699307,0.8149278,0.95536023,0.2700957,-0.0053990483,0.44531,0.5882387,0.5440135,-0.43137556,0.51588356,0.19331837,-0.11996339,-0.12292671,0.07461929,0.09253502,0.048070908,0.056230545,0.7504325,-0.1444701,0.1421213,0.33053827,-0.33174992,0.90525067,-0.50809926,0.0434162,0.7204454,-0.009483255,-0.019347593,-0.011485916,0.77937967,-0.04659499,0.6126193,-0.12285623,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
