torque0,torque1,torque2,torque3,torque4,torque5,torque6,action0,action1,action2,action3,action4,action5,action6,set_target_0,set_target_1,set_target_2,set_target_3,set_target_4,set_target_5,set_target_6,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_disc_0,joint_vel_disc_1,joint_vel_disc_2,joint_vel_disc_3,joint_vel_disc_4,joint_vel_disc_5,joint_vel_disc_6,tennisball_pos_0,tennisball_pos_1,tennisball_pos_2,tennisball_lin_vel_0,tennisball_lin_vel_1,tennisball_lin_vel_2,end_effector_pos_0,end_effector_pos_1,end_effector_pos_2,end_effector_rot_0,end_effector_rot_1,end_effector_rot_2,end_effector_rot_3,end_effector_lin_vel_0,end_effector_lin_vel_1,end_effector_lin_vel_2,obs_task_0,obs_task_1,obs_task_2,obs_task_3,obs_task_4,obs_task_5,obs_task_6,to_final_target_0,to_final_target_1,to_final_target_2,joint_acc_0,joint_acc_1,joint_acc_2,joint_acc_3,joint_acc_4,joint_acc_5,joint_acc_6,joint_acc_disc_0,joint_acc_disc_1,joint_acc_disc_2,joint_acc_disc_3,joint_acc_disc_4,joint_acc_disc_5,joint_acc_disc_6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7853982,0,1.3264502,1.2217305,1.6057029,-0.9075712,1.5707964,0.7853982,0,1.3264502,1.2217305,1.6057029,-0.9075712,1.5707964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.121149,-0.57599974,0.58067644,-3.1493757,0.14876764,4.7592316,0.33081388,-0.32899427,0.9088952,0.7746776,-0.054232508,0.61539066,-0.1350104,0,0,0,1,0,0,0,0,0,0,-3.7711492,0.17599973,-0.030676425,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27.48748,40.577637,27.055521,-43.0971,3.461618,-2.4427123,-0.044659685,0.5109174,-0.15052858,0.6443625,-0.64096,0.23808773,0.5567404,-0.37441418,0.8364899,-0.015052858,1.3908864,1.1576345,1.6295116,-0.8518972,1.533355,0.7858121,-0.00012192782,1.3269719,1.2212117,1.605762,-0.907503,1.5707506,0.08276936,-0.024385564,0.10438577,-0.10383545,0.011904453,0.013640029,-0.009173138,0.08277893,-0.024385564,0.10433197,-0.103759766,0.0118255615,0.013637543,-0.009155273,3.105402,-0.5752559,0.60422736,-3.1493757,0.14876764,4.7101817,0.33102512,-0.32866597,0.9091388,0.7748552,-0.05461506,0.61518127,-0.13479109,0.042252913,0.06564959,0.048734087,1,0,0,0,0,0,0,-3.755402,0.17525586,-0.054227352,16.553871,-4.877113,20.877153,-20.76709,2.3808906,2.728006,-1.8346276,16.555786,-4.877113,20.866394,-20.751953,2.3651123,2.7275085,-1.8310547
5.2186685,-10.509584,4.769659,-39.762016,4.5067124,-0.5682682,0.41710556,0.4464263,-0.6716474,0.6558915,-0.6625487,0.5821187,0.59304464,-0.4346707,0.8304547,-0.06728667,1.3925611,1.1549568,1.6639739,-0.84819853,1.5272835,0.7865874,-0.00078787614,1.3280247,1.220156,1.605967,-0.90736234,1.5706514,0.1550781,-0.13318968,0.21064663,-0.21116745,0.04099999,0.028180951,-0.01980785,0.15506744,-0.13318966,0.21057129,-0.2111435,0.041007996,0.028133392,-0.019836426,3.089655,-0.574512,0.627533,-3.1493757,0.14876764,4.661132,0.33125734,-0.32818818,0.90964395,0.77533394,-0.05522439,0.6146367,-0.13427252,0.04670999,0.09552903,0.10105133,1,0,0,0,0,0,0,-3.739655,0.174512,-0.07753301,14.461748,-21.760822,21.252172,-21.466402,5.8191075,2.9081843,-2.1269422,14.457703,-21.76082,21.247864,-21.476746,5.836487,2.89917,-2.1362305
-6.9517527,-30.515108,-7.2261786,-35.822136,4.3949037,0.65767866,0.48669702,0.31457293,-0.754296,0.6051645,-0.6422633,0.6250267,0.60887855,-0.35141584,0.8180447,-0.07621748,1.3885412,1.1559296,1.6684697,-0.84647447,1.5355098,0.7875654,-0.0020494103,1.329502,1.2186453,1.6063237,-0.90715015,1.5705112,0.1955908,-0.25230676,0.29554233,-0.30214015,0.07138859,0.042447846,-0.027945489,0.1955986,-0.25230682,0.2954483,-0.30212402,0.07133484,0.042438507,-0.028038025,3.0739079,-0.57376814,0.6505934,-3.1493757,0.14876764,4.612082,0.3314085,-0.32768178,0.9103753,0.77609915,-0.05593259,0.613771,-0.13351658,0.030289752,0.10133605,0.14624876,1,0,0,0,0,0,0,-3.723908,0.17376813,-0.10059339,8.102539,-23.823416,16.97914,-18.194538,6.0777197,2.853379,-1.627528,8.106232,-23.823431,16.975403,-18.196106,6.0653687,2.861023,-1.6403198
-6.6012955,-27.109852,-6.817212,-33.669994,4.033365,0.7015637,0.4547555,0.36916482,-0.74742025,0.58120114,-0.6369135,0.63510996,0.6089348,-0.33711267,0.8244819,-0.076791435,1.3876221,1.154954,1.6698347,-0.8462567,1.5367999,0.7887446,-0.0038323994,1.3313178,1.2167513,1.6068244,-0.90687025,1.5703348,0.23584011,-0.3565977,0.36316276,-0.3787167,0.100213684,0.056007568,-0.03520368,0.23584366,-0.35659784,0.36315918,-0.37879944,0.1001358,0.055980682,-0.03528595,3.0581608,-0.5730243,0.67340857,-3.1493757,0.14876764,4.563032,0.33148384,-0.32715702,0.91129905,0.77711457,-0.056714844,0.61262244,-0.1325519,0.014725262,0.1050578,0.18480887,1,0,0,0,0,0,0,-3.7081609,0.17302427,-0.123408556,8.049864,-20.858187,13.524085,-15.315312,5.7650194,2.7119443,-1.4516383,8.049011,-20.858204,13.542175,-15.335083,5.760193,2.708435,-1.449585
-6.2967496,-23.657625,-6.417404,-32.099224,3.7145665,0.7444696,0.4059403,0.37024325,-0.7509032,0.57194006,-0.63861436,0.63371,0.6095497,-0.323816,0.82576895,-0.07892272,1.3885118,1.1528898,1.6701953,-0.84591526,1.5379531,0.7901003,-0.006064608,1.3334111,1.2145312,1.6074586,-0.90652597,1.5701259,0.27115786,-0.4464414,0.41858214,-0.44410607,0.12682411,0.068882264,-0.041729983,0.2711296,-0.44644177,0.41866302,-0.44403076,0.12683868,0.068855286,-0.041770935,3.0424137,-0.5722804,0.69597846,-3.1493757,0.14876764,4.5139823,0.33148527,-0.32662153,0.9123892,0.77834576,-0.05755137,0.61122584,-0.13141021,-0.0002648562,0.10710923,0.21806182,1,0,0,0,0,0,0,-3.6924138,0.1722804,-0.14597845,7.06355,-17.968744,11.083878,-13.077873,5.3220854,2.5749393,-1.3052605,7.05719,-17.968786,11.100769,-13.046265,5.340576,2.5749207,-1.2969971
-5.477436,-19.696106,-5.506453,-30.710234,3.4234118,0.7264439,0.36375666,0.38488418,-0.74988395,0.563037,-0.63654315,0.63298464,0.6114761,-0.31686774,0.8285887,-0.081053,1.3897148,1.1508769,1.670757,-0.84537834,1.5384392,0.791619,-0.008679494,1.3357314,1.2120335,1.6082158,-0.9061202,1.5698875,0.30377534,-0.5229772,0.4640246,-0.49949947,0.15136285,0.081141256,-0.04772723,0.30374527,-0.52297723,0.46405792,-0.4995346,0.15144348,0.081157684,-0.047683716,3.0266666,-0.57153654,0.71830314,-3.1493757,0.14876764,4.4649324,0.3314185,-0.32607794,0.9136215,0.7797624,-0.05842874,0.60961175,-0.13011572,-0.013733247,0.10866131,0.24653511,1,0,0,0,0,0,0,-3.6766667,0.17153654,-0.16830313,6.5234957,-15.307152,9.088492,-11.07868,4.907748,2.4517984,-1.1994495,6.5231323,-15.307093,9.0789795,-11.100769,4.9209595,2.4604797,-1.1825562
-5.877218,-18.060112,-5.7857046,-29.080988,3.1506605,0.81990504,0.3306096,0.36059612,-0.75449413,0.56086737,-0.6228118,0.63057786,0.6086824,-0.31914464,0.8276786,-0.08412891,1.3918182,1.1497524,1.6712736,-0.8452519,1.537973,0.79325885,-0.01162418,1.3382424,1.2093117,1.6090856,-0.9056567,1.5696205,0.32801136,-0.5889375,0.5021188,-0.5444498,0.17389548,0.09270119,-0.05345964,0.3279686,-0.5889371,0.5022049,-0.5443573,0.1739502,0.09269714,-0.05340576,3.0109196,-0.5707927,0.74038255,-3.1493757,0.14876764,4.4158826,0.331285,-0.3255396,0.9149709,0.7813354,-0.05932577,0.60780984,-0.12869585,-0.027653277,0.107547015,0.27001366,1,0,0,0,0,0,0,-3.6609197,0.17079267,-0.19038254,4.8472047,-13.19207,7.6188445,-8.9900675,4.5065255,2.3119867,-1.146482,4.8446655,-13.191975,7.6293945,-8.964539,4.501343,2.3078918,-1.1444092
-4.834494,-14.549739,-4.649907,-28.345282,2.9651353,0.7527002,0.299473,0.37808034,-0.75727195,0.5675095,-0.6307552,0.6374367,0.6063146,-0.32530424,0.8310669,-0.087351374,1.3949933,1.1462362,1.6728293,-0.84502524,1.5370901,0.7950136,-0.014852695,1.3409203,1.2063935,1.6100612,-0.90513885,1.5693249,0.3509706,-0.6457029,0.5355657,-0.5836943,0.19503397,0.10359993,-0.059050906,0.35095215,-0.6457031,0.5355835,-0.5836487,0.19512177,0.10356903,-0.059127808,2.9951725,-0.5700488,0.7622167,-3.1493757,0.14876764,4.3668327,0.33109188,-0.32500243,0.916424,0.7830453,-0.060240354,0.60583854,-0.12716474,-0.039744824,0.10717695,0.2907024,1,0,0,0,0,0,0,-3.6451726,0.1700488,-0.21221668,4.5918465,-11.353075,6.6893697,-7.8488946,4.227698,2.1797478,-1.1182532,4.59671,-11.353195,6.67572,-7.8582764,4.234314,2.1743774,-1.1444092
-4.8456383,-12.781436,-4.552316,-27.27636,2.7659209,0.79353815,0.27169994,0.36693585,-0.7579731,0.56217545,-0.62231237,0.63294756,0.60913485,-0.31975502,0.8317072,-0.09065001,1.3971379,1.1441623,1.6733559,-0.84422535,1.5373493,0.79685897,-0.01832404,1.3437375,1.2033141,1.6111331,-0.90456903,1.5690035,0.3690722,-0.69426954,0.56333905,-0.61592376,0.21435952,0.114002004,-0.06422377,0.36907196,-0.69426894,0.5634308,-0.6158829,0.21438599,0.11396408,-0.06427765,2.9794254,-0.56930494,0.7838056,-3.1493757,0.14876764,4.317783,0.33083963,-0.32447362,0.9179632,0.78487045,-0.061159186,0.60371965,-0.12554042,-0.05172709,0.10540579,0.3079585,1,0,0,0,0,0,0,-3.6294255,0.16930494,-0.2338056,3.6203206,-9.713327,5.554676,-6.4458966,3.8651109,2.0804152,-1.034572,3.6239624,-9.713173,5.569458,-6.4468384,3.8528442,2.07901,-1.0299683
