torque0,torque1,torque2,torque3,torque4,torque5,torque6,action0,action1,action2,action3,action4,action5,action6,set_target_0,set_target_1,set_target_2,set_target_3,set_target_4,set_target_5,set_target_6,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_disc_0,joint_vel_disc_1,joint_vel_disc_2,joint_vel_disc_3,joint_vel_disc_4,joint_vel_disc_5,joint_vel_disc_6,tennisball_pos_0,tennisball_pos_1,tennisball_pos_2,tennisball_lin_vel_0,tennisball_lin_vel_1,tennisball_lin_vel_2,end_effector_pos_0,end_effector_pos_1,end_effector_pos_2,end_effector_rot_0,end_effector_rot_1,end_effector_rot_2,end_effector_rot_3,end_effector_lin_vel_0,end_effector_lin_vel_1,end_effector_lin_vel_2,obs_task_0,obs_task_1,obs_task_2,obs_task_3,obs_task_4,obs_task_5,obs_task_6,to_final_target_0,to_final_target_1,to_final_target_2,joint_acc_0,joint_acc_1,joint_acc_2,joint_acc_3,joint_acc_4,joint_acc_5,joint_acc_6,joint_acc_disc_0,joint_acc_disc_1,joint_acc_disc_2,joint_acc_disc_3,joint_acc_disc_4,joint_acc_disc_5,joint_acc_disc_6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7817866,0.012993813,1.3256153,1.2402003,1.632851,-0.93090427,1.5836642,0.7817866,0.012993813,1.3256153,1.2402003,1.632851,-0.93090427,1.5836642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.894248,-0.4135263,0.60407066,-3.3258593,0.12381004,5.0965004,0.3357482,-0.32393503,0.9026574,0.7766346,-0.05279741,0.61710256,-0.115046024,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37.149418,66.30773,36.94563,-20.833748,1.033783,-2.893844,0.4913789,0.14025916,0.35655278,0.6874948,0.20938863,0.88693523,0.7645146,0.91609967,0.79581255,0.04864909,1.3943647,1.2611392,1.7215445,-0.8544528,1.6752741,0.7819063,0.013292015,1.3260854,1.2404034,1.6331037,-0.9308604,1.5837348,0.023894653,0.059641026,0.09406296,0.040661547,0.050525762,0.0087882895,0.014118094,0.023937225,0.059640408,0.09403229,0.040626526,0.05054474,0.008773804,0.01411438,2.8776188,-0.41290736,0.6293046,-3.3258593,0.12381004,5.0467877,0.33606958,-0.32364893,0.9025895,0.7766452,-0.052936364,0.61713403,-0.11474067,0.06436845,0.05721589,-0.013614275,1,0,0,0,0,0,0,0,0,0,4.7789307,11.9282055,18.812592,8.13231,10.105152,1.7576579,2.823619,4.787445,11.9280815,18.806458,8.125305,10.108948,1.7547607,2.822876
42.60031,68.562485,42.40512,-11.987865,0.52901167,-3.4483511,0.9168509,0.338784,0.2754784,0.71114993,0.4981016,0.9058461,0.8318629,0.914275,0.8157847,0.040839855,1.3972005,1.2902136,1.7236884,-0.84767413,1.6751622,0.7823002,0.0138133615,1.3271316,1.24101,1.6335825,-0.9307145,1.5839169,0.07877023,0.10426951,0.2092742,0.12135377,0.09581835,0.029179098,0.03650369,0.0787735,0.104269385,0.20923615,0.12130737,0.0957489,0.029182434,0.03643036,2.8609896,-0.41228843,0.65428996,-3.3258593,0.12381004,4.997075,0.33678293,-0.32305574,0.90236175,0.77666783,-0.05317702,0.6172281,-0.11396752,0.14278556,0.118472,-0.045512836,1,0,0,0,0,0,0,0,0,0,10.975115,8.925697,23.042248,16.138443,9.058517,4.0781617,4.4771194,10.967255,8.925796,23.040771,16.13617,9.0408325,4.081726,4.463196
34.997154,54.379456,34.768375,-11.952928,0.75020325,-2.769256,0.9284238,0.35106966,0.21949877,0.6798162,0.5000663,0.9150276,0.80933964,0.91193056,0.81740713,0.03576324,1.3951132,1.2910166,1.7250853,-0.8497805,1.67511,0.78296345,0.014474943,1.3286699,1.241996,1.6342729,-0.9304713,1.5842078,0.13260859,0.13231641,0.30756846,0.19724445,0.13803148,0.04859997,0.05811277,0.1326561,0.13231635,0.30765533,0.19721985,0.13809204,0.04863739,0.058174133,2.8443604,-0.4116695,0.6790268,-3.3258593,0.12381004,4.9473624,0.3378234,-0.3222146,0.90198386,0.77671456,-0.053477664,0.6173662,-0.11275479,0.20806897,0.1682992,-0.07556099,1,0,0,0,0,0,0,0,0,0,10.767673,5.60938,19.658852,15.178137,8.442627,3.8841743,4.321816,10.77652,5.609393,19.683838,15.182495,8.468628,3.8909912,4.348755
32.02459,53.341503,31.831598,-14.44199,0.76241297,-2.4180362,0.73620534,0.28221047,0.32129467,0.6887102,0.49698937,0.9156659,0.7818481,0.91291374,0.8111845,0.04660441,1.3975409,1.291695,1.7258395,-0.8522865,1.6754992,0.7838051,0.015331104,1.3306335,1.2433083,1.6351589,-0.9301394,1.5846007,0.16837105,0.17123279,0.39279518,0.26246995,0.17711054,0.06635687,0.07862558,0.16832352,0.17123222,0.39272308,0.26245117,0.17719269,0.06637573,0.07858276,2.8277311,-0.41105056,0.70351505,-3.3258593,0.12381004,4.89765,0.33915567,-0.3211434,0.9014771,0.77676326,-0.05383088,0.6175573,-0.11119304,0.2664425,0.21413821,-0.10145627,1,0,0,0,0,0,0,0,0,0,7.1524916,7.7832756,17.045343,13.045099,7.815811,3.5513797,4.1025624,7.133484,7.7831745,17.01355,13.046265,7.8201294,3.5476685,4.081726
23.966356,43.306313,23.836779,-17.851753,1.0050515,-1.6091379,0.5333753,0.11503732,0.34838408,0.69977725,0.44232804,0.91273445,0.72157043,0.913549,0.7953088,0.050169513,1.4006113,1.2875412,1.7264323,-0.8579824,1.6759555,0.7846562,0.016386135,1.332971,1.2448542,1.6362242,-0.9297308,1.5850909,0.17025435,0.21100499,0.46741894,0.30927467,0.21307915,0.08169176,0.09806631,0.17023087,0.21100603,0.46749115,0.3091812,0.21305084,0.08172989,0.09803772,2.811102,-0.41043162,0.7277547,-3.3258593,0.12381004,4.847937,0.34070158,-0.31990242,0.9008793,0.77680606,-0.054205634,0.6177914,-0.109397374,0.30906266,0.24860008,-0.11972218,1,0,0,0,0,0,0,0,0,0,0.37665963,7.9544396,14.924753,9.360945,7.193723,3.066978,3.888145,0.38146973,7.9547615,14.953613,9.346008,7.171631,3.0708313,3.8909912
14.646992,28.363165,14.501618,-20.524239,1.3843508,-0.7287779,0.42634985,0.017591558,0.30417562,0.6849016,0.38442925,0.92164886,0.739146,0.90712404,0.7864154,0.046803698,1.4014611,1.2832972,1.728389,-0.8558162,1.6758033,0.78541535,0.017579703,1.3356155,1.246547,1.6374582,-0.92924774,1.5856726,0.15185434,0.23871264,0.5289155,0.3384802,0.24675712,0.09659324,0.11633327,0.15182495,0.23871362,0.5289078,0.33855438,0.24681091,0.09660721,0.11634827,2.7944727,-0.4098127,0.7517458,-3.3258593,0.12381004,4.7982244,0.34237623,-0.31855607,0.9002286,0.77685475,-0.05456177,0.6180408,-0.107448615,0.33456722,0.26967558,-0.13036785,1,0,0,0,0,0,0,0,0,0,-3.6800027,5.54153,12.299317,5.8411064,6.735593,2.9802964,3.6533923,-3.6811829,5.541518,12.283325,5.874634,6.752014,2.9754639,3.6621094
3.1533685,12.517208,3.0161145,-26.880322,1.9764901,0.4046381,0.15962219,-0.26250213,0.29602554,0.6959575,0.20398997,0.9206341,0.7238166,0.8958013,0.75916517,0.04718226,1.4052112,1.266946,1.7295216,-0.85686606,1.6752528,0.7858545,0.018880142,1.338529,1.2482102,1.6388477,-0.92869604,1.5863392,0.08784067,0.26008877,0.5827796,0.3325661,0.27787355,0.11036915,0.13335754,0.087833405,0.26008785,0.582695,0.3326416,0.2779007,0.11034012,0.13332367,2.7778435,-0.40919375,0.7754884,-3.3258593,0.12381004,4.748512,0.34406805,-0.31718254,0.8996023,0.77692187,-0.054867025,0.61826587,-0.10549593,0.33780113,0.2751719,-0.12552944,1,0,0,0,0,0,0,0,0,0,-12.802733,4.2752266,10.772812,-1.1828184,6.223285,2.755183,3.4048543,-12.798309,4.274845,10.757446,-1.1825562,6.2179565,2.746582,3.3950806
-16.459549,-26.293234,-16.560175,-24.392803,2.5598838,2.0952249,0.34548527,-0.4314892,0.00023284275,0.6924566,0.21285261,0.9201324,0.5843077,0.8810463,0.7427056,0.018903427,1.4077747,1.2694955,1.730861,-0.87026525,1.6744438,0.7858483,0.020030422,1.3416704,1.2498324,1.6403803,-0.9280962,1.587085,-0.0012199742,0.23005502,0.6283288,0.32438692,0.3066,0.119996615,0.1491202,-0.0012397766,0.23005605,0.62828064,0.32444,0.30651093,0.11997223,0.14915466,2.7612143,-0.40857482,0.7989824,-3.3258593,0.12381004,4.698799,0.3456216,-0.3159387,0.89900863,0.7770567,-0.05500388,0.6184122,-0.10355492,0.31023797,0.24933477,-0.11922362,1,0,0,0,0,0,0,0,0,0,-17.812128,-6.0067506,9.109842,-1.6358376,5.7452917,1.9254923,3.1525314,-17.814636,-6.00636,9.117126,-1.6403198,5.722046,1.9264221,3.1661987
-21.9589,-34.31459,-22.533457,-41.871574,4.1000495,2.56827,-0.09015371,-0.5473222,-0.07328961,0.71583825,-0.3376873,0.9243869,0.7129911,0.8820559,0.7311161,0.012701461,1.4132543,1.2160636,1.732819,-0.85679704,1.6752906,0.78534335,0.020957513,1.3450245,1.2509711,1.6420473,-0.92743576,1.5879052,-0.10096584,0.18541737,0.67087233,0.22776493,0.3333553,0.1320982,0.16407086,-0.10099411,0.18541813,0.6708145,0.22773743,0.33340454,0.1320839,0.16403198,2.744585,-0.40795588,0.82222784,-3.3258593,0.12381004,4.6490865,0.34695435,-0.3148167,0.89864945,0.7773342,-0.0550635,0.6183555,-0.10176363,0.26612616,0.22480604,-0.07238411,1,0,0,0,0,0,0,0,0,0,-19.949173,-8.92753,8.508706,-19.324398,5.351061,2.4203167,2.9901326,-19.950867,-8.927584,8.506775,-19.340515,5.378723,2.4223328,2.9754639
