torque0,torque1,torque2,torque3,torque4,torque5,torque6,action0,action1,action2,action3,action4,action5,action6,set_target_0,set_target_1,set_target_2,set_target_3,set_target_4,set_target_5,set_target_6,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,tennisball_pos_0,tennisball_pos_1,tennisball_pos_2,tennisball_lin_vel_0,tennisball_lin_vel_1,tennisball_lin_vel_2,end_effector_pos_0,end_effector_pos_1,end_effector_pos_2,end_effector_rot_0,end_effector_rot_1,end_effector_rot_2,end_effector_rot_3,end_effector_lin_vel_0,end_effector_lin_vel_1,end_effector_lin_vel_2,obs_task_0,obs_task_1,obs_task_2,obs_task_3,obs_task_4,obs_task_5,obs_task_6,to_final_target_0,to_final_target_1,to_final_target_2,joint_acc_0,joint_acc_1,joint_acc_2,joint_acc_3,joint_acc_4,joint_acc_5,joint_acc_6,joint_acc_disc_0,joint_acc_disc_1,joint_acc_disc_2,joint_acc_disc_3,joint_acc_disc_4,joint_acc_disc_5,joint_acc_disc_6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7853982,0,1.3264502,1.2217305,1.6057029,-0.9075712,1.5707964,0.7853982,0,1.3264502,1.2217305,1.6057029,-0.9075712,1.5707964,0,0,0,0,0,0,0,2.8595161,-0.40762067,0.38175377,-3.3585608,0.024613354,4.629668,0.33081388,-0.32899427,0.9088952,0.7746776,-0.054232508,0.61539066,-0.1350104,0,0,0,1,0,0,0,0,0,0,-3.5095162,0.0076206625,0.16824624,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.78786,32.245243,29.001736,-47.580772,4.8480496,-2.98353,0.44226924,0.5975007,-0.30941525,0.50699747,-0.55727625,0.6268095,0.34224078,0.14245625,0.8750233,-0.04641229,1.4024999,1.138139,1.6997243,-0.8562351,1.5921648,0.78612393,-0.00037593907,1.3270663,1.2210534,1.6059375,-0.90750825,1.5708221,0.14519367,-0.07518782,0.12319933,-0.13541819,0.047010615,0.01257717,0.0052354787,2.842723,-0.40749764,0.40465686,-3.3585608,0.024613354,4.5806184,0.331038,-0.32860422,0.9092295,0.77501845,-0.05466157,0.6150236,-0.13455276,0.044971894,0.07792652,0.066880666,1,0,0,0,0,0,0,-3.492723,0.0074976385,0.14534315,29.038733,-15.037563,24.639866,-27.08364,9.402123,2.515434,1.0470958,29.029846,-15.037563,24.642944,-27.08435,9.384155,2.5177002,1.0299683
28.742075,27.292536,27.91763,-45.633568,4.887557,-2.9553134,0.6026152,0.63325244,-0.36434636,0.5245526,-0.5302337,0.5882821,0.33418912,0.33833742,0.8811118,-0.055027895,1.4057492,1.1415184,1.6941798,-0.8573799,1.6215727,0.7876193,-0.0011945373,1.3283194,1.2197316,1.6063933,-0.9073838,1.5709108,0.29905412,-0.16371965,0.25067633,-0.26426482,0.091107085,0.024873476,0.017678604,2.8259296,-0.40737462,0.4273147,-3.3585608,0.024613354,4.5315685,0.33148193,-0.32783413,0.90988284,0.77571416,-0.055497494,0.61428386,-0.13357718,0.08890258,0.15390323,0.13056087,1,0,0,0,0,0,0,-3.4759297,0.0073746145,0.12268531,30.77209,-17.706367,25.495401,-25.769325,8.819294,2.4592614,2.488625,30.784607,-17.706364,25.482178,-25.787354,8.850098,2.4604797,2.5177002
23.325,17.303167,22.584965,-39.011642,4.454215,-2.4130154,0.7429948,0.6571255,-0.42411503,0.55123866,-0.46757483,0.61850446,0.37048542,0.30836058,0.88618815,-0.064811796,1.4110053,1.1495954,1.699169,-0.851811,1.6171649,0.7898213,-0.0024810217,1.3301648,1.2179272,1.6070638,-0.9071945,1.5710548,0.4404078,-0.25729692,0.36912236,-0.36082226,0.13416006,0.03790193,0.02877211,2.8091364,-0.4072516,0.4497273,-3.3585608,0.024613354,4.4825187,0.33210802,-0.3267541,0.9107813,0.77673644,-0.05665096,0.61320955,-0.13208026,0.12527928,0.21615303,0.17967923,1,0,0,0,0,0,0,-3.4591365,0.0072515905,0.100272715,28.270739,-18.715454,23.689205,-19.311487,8.610594,2.6056907,2.2187014,28.266907,-18.71545,23.68927,-19.302368,8.583069,2.5939941,2.2125244
17.52989,9.780574,16.942734,-35.27756,4.1013966,-1.7864594,0.7428332,0.6456798,-0.44946197,0.5532428,-0.4537793,0.6259642,0.37844455,0.3069528,0.8866733,-0.06990032,1.4131513,1.1498603,1.7009584,-0.8504278,1.6170977,0.79261893,-0.0042103925,1.3325251,1.2157385,1.6079373,-0.9069413,1.5712503,0.55956614,-0.34587416,0.4720122,-0.43778208,0.17464943,0.05063342,0.039195508,2.7923431,-0.40712857,0.47189465,-3.3585608,0.024613354,4.433469,0.3328681,-0.32542825,0.9118805,0.7780471,-0.058043603,0.61183625,-0.13011478,0.15167497,0.26521078,0.2198285,1,0,0,0,0,0,0,-3.4423432,0.0071285665,0.07810536,23.831665,-17.715448,20.577967,-15.391964,8.097876,2.5462978,2.0846796,23.822784,-17.715454,20.599365,-15.37323,8.125305,2.5558472,2.0599365
11.39689,1.330651,10.959094,-32.498386,3.8571348,-1.1469471,0.7311698,0.63693833,-0.48893538,0.54859585,-0.44586986,0.63026583,0.36759818,0.2996673,0.8881597,-0.0775507,1.4148145,1.1488581,1.7024772,-0.8518016,1.6162004,0.7959129,-0.0063716383,1.3353194,1.2132351,1.6089997,-0.90662944,1.5714945,0.6587771,-0.4322488,0.5588552,-0.50065976,0.21243422,0.06234124,0.04880521,2.77555,-0.40700555,0.49381673,-3.3585608,0.024613354,4.384419,0.33370733,-0.32392287,0.91314733,0.7796146,-0.05960465,0.61019015,-0.12773477,0.167175,0.30129397,0.25346687,1,0,0,0,0,0,0,-3.42555,0.0070055425,0.05618328,19.842196,-17.27493,17.368597,-12.575537,7.5569572,2.341564,1.9219406,19.8555,-17.275,17.356873,-12.588501,7.5531006,2.3460388,1.9454956
6.3774314,-4.9646926,6.0920124,-30.945196,3.6811025,-0.6157661,0.6897913,0.6269456,-0.5193888,0.5419041,-0.45184734,0.62710273,0.35892227,0.30183935,0.88995475,-0.08427996,1.416605,1.145458,1.7030652,-0.8527911,1.6167704,0.79961556,-0.008945935,1.3384751,1.210459,1.6102357,-0.9062637,1.5717844,0.74054056,-0.51485944,0.6310983,-0.5553056,0.24711606,0.07311198,0.057985052,2.7587566,-0.40688252,0.5154936,-3.3585608,0.024613354,4.335369,0.3345809,-0.32228923,0.91456234,0.7814097,-0.061280288,0.6082923,-0.124996215,0.17335352,0.3269865,0.2831732,1,0,0,0,0,0,0,-3.4087567,0.0068825185,0.03450644,16.35269,-16.522127,14.448619,-10.929167,6.9363685,2.1541483,1.8359684,16.345978,-16.522057,14.457703,-10.910034,6.942749,2.155304,1.8310547
2.0418246,-10.490905,1.899479,-29.093151,3.4918776,-0.15354511,0.6666955,0.61689246,-0.5501977,0.53457916,-0.4441605,0.6320685,0.35763127,0.29846165,0.89214945,-0.0914756,1.418662,1.143835,1.7050459,-0.852619,1.6165537,0.80365247,-0.011916288,1.3419284,1.2074578,1.6116328,-0.90584743,1.5721172,0.80734426,-0.59407055,0.69062835,-0.6001532,0.27950653,0.08326642,0.0665588,2.7419634,-0.4067595,0.5369252,-3.3585608,0.024613354,4.2863193,0.33544827,-0.32057405,0.91610295,0.7834054,-0.06302086,0.606163,-0.12194477,0.17179683,0.3431906,0.30829743,1,0,0,0,0,0,0,-3.3919635,0.0067594945,0.013074815,13.360739,-15.842223,11.906015,-8.9695215,6.478095,2.030888,1.7147496,13.370514,-15.842223,11.901855,-9.002686,6.4468384,2.0217896,1.7166138
-1.1421561,-14.278968,-1.1512982,-28.23312,3.3763192,0.18300647,0.6296854,0.6187822,-0.57996917,0.5254688,-0.45317802,0.6317483,0.34076032,0.2976409,0.89646983,-0.098911665,1.4207487,1.1394811,1.706395,-0.8547334,1.6167634,0.80797404,-0.015266814,1.3456229,1.2042563,1.6131797,-0.90538585,1.5724901,0.86430264,-0.67010474,0.7388377,-0.64031947,0.30942404,0.092276976,0.074647926,2.7251701,-0.40663648,0.55811155,-3.3585608,0.024613354,4.2372694,0.33628082,-0.31881166,0.91775686,0.78558075,-0.06479311,0.60381645,-0.11861837,0.16427454,0.35263968,0.3310595,1,0,0,0,0,0,0,-3.3751702,0.0066364706,-0.0081115365,11.391676,-15.206838,9.641874,-8.033252,5.9835014,1.8021107,1.617825,11.386871,-15.206933,9.651184,-8.010864,5.9890747,1.8119812,1.6021729
-3.6998463,-16.767094,-3.5652294,-27.454018,3.244722,0.46840325,0.5870113,0.61173487,-0.6006207,0.51518786,-0.45740426,0.63303685,0.3330653,0.30202472,0.89973426,-0.10535992,1.422901,1.1356456,1.7081352,-0.8554261,1.6177938,0.81252974,-0.018972687,1.3495082,1.2008774,1.6148658,-0.90488327,1.5729021,0.91112137,-0.74117446,0.7770496,-0.6758416,0.33716395,0.10051224,0.082471944,2.708377,-0.40651345,0.5790526,-3.3585608,0.024613354,4.1882195,0.33705282,-0.31703067,0.91951257,0.7879138,-0.066568494,0.60126746,-0.11505558,0.15197279,0.35625726,0.35145447,1,0,0,0,0,0,0,-3.358377,0.0065134466,-0.029052615,9.363747,-14.2139435,7.6423764,-7.1044326,5.547982,1.6470522,1.5648037,9.365082,-14.213884,7.6293945,-7.095337,5.569458,1.6403198,1.5640259
