pure_target_joint_0,pure_target_joint_1,pure_target_joint_2,pure_target_joint_3,pure_target_joint_4,pure_target_joint_5,pure_target_joint_6,target_joint_0,target_joint_1,target_joint_2,target_joint_3,target_joint_4,target_joint_5,target_joint_6,pos_joint_0,pos_joint_1,pos_joint_2,pos_joint_3,pos_joint_4,pos_joint_5,pos_joint_6,vel_joint_0,vel_joint_1,vel_joint_2,vel_joint_3,vel_joint_4,vel_joint_5,vel_joint_6,vel_smooth_joint_0,vel_smooth_joint_1,vel_smooth_joint_2,vel_smooth_joint_3,vel_smooth_joint_4,vel_smooth_joint_5,vel_smooth_joint_6,ee_pos_x,ee_pos_y,ee_pos_z,ee_or_w,ee_or_x,ee_or_y,ee_or_z,ee_vel_x,ee_vel_y,ee_vel_z,ball_pos_x,ball_pos_y,ball_pos_z,ball_raw_vx,ball_raw_vy,ball_raw_vz,ball_ema_vx,ball_ema_vy,ball_ema_vz,action_0,action_1,action_2,action_3,action_4,action_5,action_6,command_published
2.56605,-1.56772,1.70143,1.08381,1.35967,-1.35848,-2.80652,-67.1007,-15.2225,-3.83125,1.08285,-29.9464,20.1719,5.02763,2.65011,-1.60866,1.77353,1.00332,1.42834,-1.42061,-2.85377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700032,0.000118516,0.564334,-0.38253,0.000136078,0.000171507,0.923943,0,0,0,2.99089,-0.66001,0.735488,-8.74728,0.436499,10.0006,-8.74728,0.436499,10.0006,-0.840627,0.409438,-0.720995,0.804981,-0.686743,0.621302,0.472524,1
2.69141,-1.68247,1.69911,1.06148,1.36444,-1.34858,-2.80163,-66.3246,-18.959,-6.2034,1.19388,-21.8018,15.911,0.381918,2.65011,-1.60866,1.77353,1.00332,1.42834,-1.42061,-2.85377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700032,0.000118516,0.564334,-0.38253,0.000136078,0.000171507,0.923943,0,0,0,2.95899,-0.658442,0.771386,-3.01424,0.147538,3.37615,-3.01424,0.147538,3.37615,0.412965,-0.738047,-0.744186,0.581607,-0.639014,0.720356,0.521461,1
2.70822,-1.6825,1.7014,1.05156,1.36752,-1.35095,-2.80477,-66.4572,-19.037,-6.2358,1.19567,-21.4949,15.7902,0.158446,2.65011,-1.60866,1.77353,1.00332,1.42834,-1.42061,-2.85377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700032,0.000118516,0.564334,-0.38253,0.000136078,0.000171507,0.923943,0,0,0,2.94305,-0.65772,0.789,-1.90748,0.0863413,2.10746,-1.90748,0.0863413,2.10746,0.581082,-0.738421,-0.72124,0.482473,-0.60826,0.696609,0.49005,1
2.56575,-1.56298,1.70219,1.08409,1.35983,-1.36039,-2.80507,-67.0449,-15.0528,-3.73047,1.07959,-30.1966,20.3054,5.17935,2.65011,-1.60866,1.77353,1.00332,1.42834,-1.42061,-2.85377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700032,0.000118516,0.564334,-0.38253,0.000136078,0.000171507,0.923943,0,0,0,2.89605,-0.6558,0.839386,-9.74667,0.332456,10.1201,-9.74667,0.332456,10.1201,-0.84365,0.456828,-0.713381,0.807784,-0.685107,0.602222,0.487083,1
2.70888,-1.6828,1.70165,1.05205,1.3685,-1.35102,-2.80567,-66.5582,-19.0493,-6.23282,1.19654,-21.519,15.8268,0.168525,2.65011,-1.60866,1.77353,1.00332,1.42834,-1.42061,-2.85377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700032,0.000118516,0.564334,-0.38253,0.000136078,0.000171507,0.923943,0,0,0,2.88029,-0.655053,0.85617,-1.7089,0.0810628,1.82061,-1.7089,0.0810628,1.82061,0.587669,-0.741389,-0.71883,0.487287,-0.598407,0.695965,0.481057,1
2.56539,-1.56367,1.70176,1.08394,1.36019,-1.36128,-2.80441,-66.8759,-15.1032,-3.77316,1.07963,-30.0325,20.1933,5.0959,2.65011,-1.60866,1.77353,1.00332,1.42834,-1.42061,-2.85377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700032,0.000118516,0.564334,-0.38253,0.000136078,0.000171507,0.923943,0,0,0,2.84836,-0.653472,0.889059,-9.53128,0.452353,9.73743,-9.53128,0.452353,9.73743,-0.847172,0.449959,-0.717717,0.806194,-0.681554,0.593331,0.49366,1
2.56541,-1.56848,1.70096,1.08359,1.3599,-1.35991,-2.80411,-66.738,-15.2849,-3.89338,1.08236,-29.6833,19.9823,4.9026,2.65011,-1.60866,1.77353,1.00332,1.42834,-1.42061,-2.85377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700032,0.000118516,0.564334,-0.38253,0.000136078,0.000171507,0.923943,0,0,0,2.81639,-0.651868,0.921023,-9.12454,0.455397,9.05231,-9.12454,0.455397,9.05231,-0.847004,0.401838,-0.725685,0.802721,-0.684423,0.607066,0.496625,1
2.56469,-1.54933,1.70596,1.08484,1.36222,-1.38483,-2.80511,-66.5469,-14.7078,-3.726,1.07319,-29.9058,20.1304,5.10402,2.65011,-1.60866,1.77353,1.00332,1.42834,-1.42061,-2.85377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700032,0.000118516,0.564334,-0.38253,0.000136078,0.000171507,0.923943,0,0,0,2.76836,-0.649428,0.966898,-14.2747,0.717986,13.3697,-14.2747,0.717986,13.3697,-0.854192,0.593314,-0.675678,0.815188,-0.661201,0.357812,0.486661,1
2.5646,-1.5437,1.70733,1.08484,1.3587,-1.39433,-2.80947,-66.8363,-14.4901,-3.71376,1.07241,-29.9638,20.1825,5.14185,2.65011,-1.60866,1.77353,1.00332,1.42834,-1.42061,-2.85377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700032,0.000118516,0.564334,-0.38253,0.000136078,0.000171507,0.923943,0,0,0,2.73647,-0.647819,0.996003,-30.586,1.50022,27.5843,-30.586,1.50022,27.5843,-0.855087,0.649579,-0.661971,0.815197,-0.696461,0.262843,0.443045,1
2.58247,-1.6807,1.69495,1.07688,1.36052,-1.34808,-2.79569,-65.6826,-19,-6.3363,1.15049,-22.3994,16.2027,0.876329,2.65011,-1.60866,1.77353,1.00332,1.42834,-1.42061,-2.85377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700032,0.000118516,0.564334,-0.38253,0.000136078,0.000171507,0.923943,0,0,0,2.70463,-0.646268,1.024,-5.08949,0.244649,4.41369,-5.08949,0.244649,4.41369,-0.676439,-0.720422,-0.785786,0.735605,-0.678199,0.725308,0.58083,1
