torque0,torque1,torque2,torque3,torque4,torque5,torque6,action0,action1,action2,action3,action4,action5,action6,set_target_0,set_target_1,set_target_2,set_target_3,set_target_4,set_target_5,set_target_6,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,tennisball_pos_0,tennisball_pos_1,tennisball_pos_2,tennisball_lin_vel_0,tennisball_lin_vel_1,tennisball_lin_vel_2,end_effector_pos_0,end_effector_pos_1,end_effector_pos_2,end_effector_rot_0,end_effector_rot_1,end_effector_rot_2,end_effector_rot_3,end_effector_lin_vel_0,end_effector_lin_vel_1,end_effector_lin_vel_2,obs_task_0,obs_task_1,obs_task_2,obs_task_3,obs_task_4,obs_task_5,obs_task_6,to_final_target_0,to_final_target_1,to_final_target_2,joint_acc_0,joint_acc_1,joint_acc_2,joint_acc_3,joint_acc_4,joint_acc_5,joint_acc_6
-149.89343,131.8912,28.04065,90.13283,6.1517854,6.17861,-2.802646,-0.64712566,0.5813929,-0.31631988,0.33802906,-0.030610755,0.58269507,-0.15545145,1.7155234,-1.0065116,-1.8467743,-1.0832078,1.9342544,1.1752802,-0.931843,1.7773596,-1.0622152,-1.8163688,-1.1154104,1.9377904,1.1180559,-0.91745085,-0.38367707,0.32475019,-0.16312736,0.21338372,0.06293202,0.13904427,-0.15364279,2.96051,-0.501662,0.492666,-3.389,0.0658389,5.11957,0.5285756,-0.45600224,0.69447887,0.5771515,0.17406924,0.15290403,0.78308123,-0.24555041,-0.20095591,0.1843686,1,0,0,0,0,0,0,-3.6105099,0.10166201,0.057334006,-38.404034,32.415207,-16.191399,21.33064,6.213392,13.746922,-15.373209
-176,176,45.561317,107.49584,8.258691,8.196329,-2.4366078,-0.7984273,0.7457762,-0.13416752,0.31036234,0.6846724,0.38022304,-0.20212574,1.6975169,-0.9876376,-1.8297856,-1.0843742,2.0062575,1.1560782,-0.93766344,1.7697474,-1.0557588,-1.8181293,-1.1117502,1.9400582,1.1194464,-0.91922945,-0.88773924,0.75187236,-0.1790936,0.4175105,0.28028885,0.13620655,-0.18573076,2.92464,-0.500644,0.54175,-3.58691,0.0802702,4.90835,0.52380425,-0.45966,0.6984897,0.5829876,0.17178601,0.15313981,0.7792067,-0.5549039,-0.42017323,0.47344878,1,0,0,0,0,0,0,-3.5746398,0.10064402,0.008249998,-50.556885,42.463375,-1.1601895,20.53157,21.412691,-1.1096388,-3.142521
-125.70126,137.1942,29.411715,71.05214,4.9531617,5.131842,-1.7640578,-0.79085714,0.75048655,-0.42671567,0.08080604,0.5976431,0.3881306,-0.36751717,1.6906617,-0.98071015,-1.8608009,-1.1036696,1.9998225,1.1582595,-0.95598114,1.7579046,-1.0453771,-1.8215702,-1.1076132,1.9445348,1.120938,-0.92123026,-1.2838492,1.1327602,-0.39714196,0.41272825,0.5020806,0.14983912,-0.20454066,2.89005,-0.499985,0.589452,-3.45848,0.0802668,4.7702,0.5166787,-0.46483457,0.70426214,0.5911676,0.16910654,0.15367016,0.77350456,-0.7667303,-0.5466091,0.6122908,1,0,0,0,0,0,0,-3.54005,0.099985,-0.039452016,-39.860416,37.799297,-21.237772,-0.4027009,21.776522,0.315848,-1.7735988
-8.844698,115.97674,35.157917,6.71932,-0.38635674,2.856285,0.289859,-0.72983825,0.7749959,-0.23634237,-0.38949177,0.6947837,0.30312565,-0.11944413,1.6849208,-0.96787757,-1.8452044,-1.1465623,2.014013,1.1512505,-0.93317467,1.7436243,-1.0321153,-1.8261535,-1.1062857,1.9511514,1.122502,-0.92317384,-1.4773322,1.390296,-0.4765248,0.038653012,0.7140567,0.15757151,-0.19120078,2.85628,-0.499143,0.636657,-3.37679,0.0788255,4.72055,0.5086626,-0.46957886,0.7105656,0.5994437,0.1667227,0.15472625,0.7674181,-0.81567055,-0.44443846,0.636834,1,0,0,0,0,0,0,-3.50628,0.099143,-0.08665699,-19.72456,25.671148,-7.2758555,-37.657177,20.94531,0.469473,1.2766987
47.26353,111.91767,46.530647,-13.3676405,-1.6151063,2.7949042,1.2282087,-0.7529567,0.7759907,0.107713915,-0.36155164,0.7004559,0.08858066,-0.088941626,1.6683286,-0.9545163,-1.8153821,-1.1424408,2.0211968,1.13136,-0.932068,1.7284151,-1.0172952,-1.8294914,-1.1086947,1.9594655,1.1239992,-0.9249458,-1.5366008,1.5129387,-0.28478277,-0.33480194,0.8711987,0.14795475,-0.17310889,2.82174,-0.498815,0.682823,-3.45404,0.0760598,4.6165,0.5006512,-0.47271174,0.71721375,0.6064163,0.16445793,0.15573993,0.762206,-0.7979295,-0.2627433,0.6737272,1,0,0,0,0,0,0,-3.4717398,0.098814994,-0.13282299,-6.243825,12.37011,19.562387,-37.611546,15.935886,-0.7144183,1.6163796
31.193914,71.93458,28.051834,-3.0629559,-0.47062197,1.23556,0.5495211,-0.781217,0.77124184,-0.14358938,-0.13700111,0.6694278,0.2869278,-0.36989707,1.6502935,-0.94017106,-1.8438504,-1.1223948,2.0264082,1.152692,-0.96193546,1.7131296,-1.0020269,-1.8318069,-1.1130453,1.9688134,1.1255423,-0.9267549,-1.526199,1.5319812,-0.21378118,-0.4693763,0.95711803,0.15705647,-0.18422306,2.78748,-0.49821,0.728028,-3.42658,0.0726109,4.52053,0.49285915,-0.47477877,0.723913,0.6124986,0.16224955,0.15650952,0.7576445,-0.7726092,-0.18114606,0.66642785,1,0,0,0,0,0,0,-3.43748,0.09821001,-0.17802799,0.9245634,2.0271301,7.1230593,-13.704687,8.927441,1.1475891,-1.3187319
3.7554927,51.912857,16.669765,18.051529,1.5086224,0.7562377,-0.29697743,-0.7506812,0.7730059,-0.24736187,0.13914928,0.6542874,0.48844346,-0.37501565,1.6380615,-0.9247263,-1.8565431,-1.0991304,2.0342422,1.1743866,-0.96425647,1.69834,-0.98697054,-1.8342369,-1.116469,1.9786191,1.127318,-0.9287004,-1.4632404,1.4971157,-0.25318047,-0.30090857,0.98947495,0.18419176,-0.19885838,2.75351,-0.497785,0.772028,-3.39653,0.0631082,4.40002,0.48510575,-0.47686377,0.7306513,0.6187172,0.15991123,0.15693906,0.7529857,-0.7749809,-0.21092737,0.6731927,1,0,0,0,0,0,0,-3.40351,0.097784996,-0.22202802,6.27625,-3.4107208,-4.1117373,16.565853,3.57579,2.6458712,-1.7244726
4.0863075,47.57736,14.816158,18.431417,1.5039222,0.5251678,-0.30904007,-0.7287499,0.78287196,-0.23012185,0.06454448,0.6841002,0.4434575,-0.23677623,1.625465,-0.90868336,-1.857249,-1.1100146,2.047029,1.1716638,-0.95237803,1.6843039,-0.9723345,-1.8372486,-1.1180464,1.9886193,1.1293265,-0.93068403,-1.3836191,1.4526143,-0.31768292,-0.1110386,1.0046482,0.20605321,-0.19913933,2.7197,-0.497606,0.814382,-3.38156,0.0515936,4.23545,0.4773526,-0.47928622,0.73742265,0.62533313,0.15740037,0.15705106,0.7480097,-0.77427936,-0.24600777,0.67568535,1,0,0,0,0,0,0,-3.3697,0.097606,-0.264382,7.971382,-4.3857574,-6.6319823,18.713661,1.8424153,2.1062076,-0.2928555
35.870464,52.136555,20.427439,-5.7430744,-0.8648498,0.13035092,0.5103877,-0.72745925,0.7937242,-0.11724116,-0.33697793,0.70517886,0.12888393,-0.20978634,1.611558,-0.8929621,-1.8489727,-1.1517442,2.059137,1.1422149,-0.95166266,1.6709372,-0.95803416,-1.8403385,-1.1198527,1.9987359,1.131312,-0.93263525,-1.3210198,1.4229182,-0.30624542,-0.20466454,1.0152593,0.19740885,-0.19454698,2.68652,-0.497172,0.855803,-3.31774,0.0448002,4.14206,0.4700003,-0.48129562,0.743871,0.6315354,0.15506512,0.15713634,0.7432536,-0.7216372,-0.17928389,0.6326278,1,0,0,0,0,0,0,-3.3365202,0.09717199,-0.305803,6.222272,-2.8448105,1.1000276,-9.645385,1.369381,-0.5224496,0.21630824
42.215878,69.515465,30.413485,-6.4746523,-1.1630411,1.1330966,0.6935119,-0.7275641,0.79764134,0.05256145,-0.31900096,0.66449875,0.20682815,-0.33655417,1.5981808,-0.87827003,-1.8350823,-1.1517527,2.0651858,1.1519948,-0.96629065,1.6579977,-0.94390166,-1.8423622,-1.1229903,2.0087996,1.1332499,-0.9346332,-1.2853444,1.4104744,-0.16788484,-0.3510935,1.0051241,0.1936805,-0.20231575,2.6525,-0.495837,0.897353,-3.40233,0.0493201,4.15503,0.4631419,-0.48233476,0.75014704,0.6369076,0.15273088,0.15722498,0.7391226,-0.6731386,-0.072890766,0.6238484,1,0,0,0,0,0,0,-3.3024998,0.095837,-0.34735298,3.4809113,-1.1103868,13.836056,-14.867985,-0.607419,0.0063568354,-1.0343701
-4.9797034,66.398994,23.056711,25.290108,1.7946129,1.7977749,-0.31544778,-0.7391761,0.7867707,-0.08690066,0.13577609,0.6828712,0.39415166,-0.35685483,1.5840801,-0.8652246,-1.8510523,-1.1094127,2.0770867,1.172665,-0.9703187,1.6451823,-0.9298607,-1.8436363,-1.1253992,2.018794,1.135264,-0.9367265,-1.2805033,1.4021077,-0.1142369,-0.20502202,0.99832827,0.20349447,-0.21247892,2.61795,-0.494991,0.937884,-3.45509,0.060115,4.05308,0.45618314,-0.48320776,0.7567698,0.6423637,0.1499792,0.15706143,0.73498756,-0.7019369,-0.08654189,0.6723855,1,0,0,0,0,0,0,-3.26795,0.094991,-0.38788396,0.3828764,-0.79078674,5.3373737,14.406845,-0.34796,0.80977976,-1.255393
-21.873104,52.861908,13.10426,31.725132,2.2882023,1.2400069,-0.7355606,-0.7283505,0.7817227,-0.23199444,0.15851605,0.64106077,0.53780776,-0.3616061,1.5723472,-0.85168844,-1.8668357,-1.1095476,2.0829,1.1890448,-0.9728871,1.6323553,-0.9158846,-1.8453357,-1.1258932,2.0285978,1.1374823,-0.9389171,-1.2835966,1.3960875,-0.18847539,0.001775861,0.97490925,0.22690956,-0.22187772,2.58455,-0.494501,0.977014,-3.33989,0.0660103,3.913,0.44881862,-0.4845528,0.76371914,0.648551,0.1468216,0.15677051,0.73023826,-0.74642646,-0.14447625,0.6999929,1,0,0,0,0,0,0,-3.23455,0.09450099,-0.427014,-0.3850937,-0.5936861,-7.439536,20.471659,-2.1478653,2.028337,-1.125443
8.241827,51.525578,15.5462475,8.5230255,0.1860598,0.44130015,0.026765915,-0.70773906,0.7925974,-0.16351132,-0.18405208,0.7098767,0.36650878,-0.21068363,1.5615814,-0.83662486,-1.8616868,-1.1442984,2.0995855,1.1741332,-0.95998544,1.6195608,-0.90189135,-1.8476474,-1.1261183,2.0383863,1.1398169,-0.9410772,-1.2782264,1.4005513,-0.24528933,-0.031351976,0.9806581,0.23582374,-0.21458992,2.55153,-0.493974,1.01599,-3.30117,0.0707923,3.89776,0.44144458,-0.4858995,0.77050716,0.65485334,0.14372548,0.1566128,0.7252464,-0.7332266,-0.124788664,0.6697963,1,0,0,0,0,0,0,-3.20153,0.093973994,-0.46599,0.45359135,0.50315857,-5.612156,-3.5520077,0.7385254,0.94917417,0.55913925
26.516094,58.944996,21.58473,-2.153533,-0.8889867,0.39845037,0.4417175,-0.7060798,0.8029722,-0.07234999,-0.26509672,0.703151,0.12263451,-0.2578918,1.5489528,-0.8215941,-1.8548825,-1.152628,2.1087015,1.1520803,-0.9668664,1.6068312,-0.8877865,-1.8499877,-1.1275564,2.048255,1.1420447,-0.94318956,-1.2716273,1.4141458,-0.22984543,-0.1821283,0.9894112,0.21946093,-0.21073547,2.51618,-0.493166,1.05337,-3.53587,0.0751798,3.73806,0.43443802,-0.48667622,0.77691764,0.6606578,0.14094993,0.15670891,0.72049046,-0.6887412,-0.055470772,0.62974304,1,0,0,0,0,0,0,-3.1661801,0.09316599,-0.50337,0.5556345,1.4541626,1.6525418,-15.314071,1.0737419,-1.3822705,0.20944178
-1.4962978,61.97794,19.749409,21.372189,1.2013807,1.2256528,-0.3028163,-0.7096725,0.8029779,-0.14690784,0.1318776,0.6622679,0.29640377,-0.39604238,1.535864,-0.80748874,-1.8646785,-1.1143687,2.1144817,1.171685,-0.9827938,1.5941416,-0.8735529,-1.8523662,-1.1287104,2.058093,1.1442076,-0.9453725,-1.2684454,1.4265645,-0.24018227,-0.093975805,0.98257303,0.21489768,-0.22146893,2.48206,-0.49242,1.0887,-3.41115,0.0736134,3.53272,0.42743635,-0.48729247,0.7834014,0.6665353,0.13809428,0.15687223,0.7155779,-0.70248383,-0.057676405,0.6525591,1,0,0,0,0,0,0,-3.13206,0.09241998,-0.53870004,0.21007061,1.2788296,-0.98670423,8.601536,-0.45218468,-0.5983442,-1.2771249
