torque0,torque1,torque2,torque3,torque4,torque5,torque6,action0,action1,action2,action3,action4,action5,action6,set_target_0,set_target_1,set_target_2,set_target_3,set_target_4,set_target_5,set_target_6,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_disc_0,joint_vel_disc_1,joint_vel_disc_2,joint_vel_disc_3,joint_vel_disc_4,joint_vel_disc_5,joint_vel_disc_6,tennisball_pos_0,tennisball_pos_1,tennisball_pos_2,tennisball_lin_vel_0,tennisball_lin_vel_1,tennisball_lin_vel_2,end_effector_pos_0,end_effector_pos_1,end_effector_pos_2,end_effector_rot_0,end_effector_rot_1,end_effector_rot_2,end_effector_rot_3,end_effector_lin_vel_0,end_effector_lin_vel_1,end_effector_lin_vel_2,obs_task_0,obs_task_1,obs_task_2,obs_task_3,obs_task_4,obs_task_5,obs_task_6,to_final_target_0,to_final_target_1,to_final_target_2,joint_acc_0,joint_acc_1,joint_acc_2,joint_acc_3,joint_acc_4,joint_acc_5,joint_acc_6,joint_acc_disc_0,joint_acc_disc_1,joint_acc_disc_2,joint_acc_disc_3,joint_acc_disc_4,joint_acc_disc_5,joint_acc_disc_6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7129211,-0.5434933,0.39115283,-2.9817815,-0.21755892,5.2345653,0.5304184,-0.45449448,0.693097,0.5745483,0.17512383,0.15255436,0.7848268,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3629212,0.14349326,0.15884718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7129211,-0.5434933,0.39115283,-2.9817815,-0.21755892,5.2345653,0.5304184,-0.45449448,0.693097,0.5745483,0.17512383,0.15255436,0.7848268,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3629212,0.14349326,0.15884718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7129211,-0.5434933,0.39115283,-2.9817815,-0.21755892,5.2345653,0.5304184,-0.45449448,0.693097,0.5745483,0.17512383,0.15255436,0.7848268,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3629212,0.14349326,0.15884718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-134.93095,176.0,51.274254,105.76724,7.487035,8.031045,-3.0321457,-0.434784,0.6865791,-0.18125609,0.8249961,0.08749141,0.513589,0.22610769,1.7367575,-0.99599296,-1.833268,-1.0345111,1.9460646,1.1683697,-0.89368707,1.7780997,-1.0613855,-1.8157375,-1.1127688,1.9368234,1.1167399,-0.9157161,-0.2847684,0.43504974,-0.07901039,0.5655877,-0.065928064,-0.036951292,0.07753173,-0.21362305,0.3265381,-0.059509277,0.42419434,-0.049209595,-0.02708435,0.058174133,2.6831055,-0.54566956,0.4427612,-2.9817815,-0.21755892,5.1362634,0.5285492,-0.45610428,0.69571525,0.5772269,0.17364141,0.15309407,0.7830836,-0.24750537,-0.21468598,0.3489728,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3331056,0.14566955,0.1072388,-28.505634,43.396523,-7.7542944,56.57742,-6.720365,-3.9275587,7.737455,-21.362305,32.65381,-5.9509277,42.419434,-4.9209595,-2.708435,5.8174133
-176.0,142.81987,24.94396,110.0,10.13526,7.711681,-3.990965,-0.82967997,0.7211865,-0.48462006,0.8287578,0.048785273,0.3749351,0.34610826,1.6951317,-0.9892669,-1.8641995,-1.029893,1.9417019,1.1542333,-0.8811053,1.7724444,-1.0530065,-1.8208683,-1.1042601,1.9418302,1.1198794,-0.9176368,-0.6593488,0.97098875,-0.65697175,0.9463268,0.6890547,0.42633635,-0.2819422,-0.56552887,0.83789825,-0.5130768,0.8508682,0.500679,0.31394958,-0.19207,2.6532898,-0.54784584,0.4933866,-2.9817815,-0.21755892,5.0379615,0.5235367,-0.46072865,0.70098865,0.5847149,0.17029518,0.1527584,0.7783141,-0.5877893,-0.54384464,0.58697784,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.30329,0.14784583,0.056613415,-37.506496,53.19711,-57.52659,38.178432,75.319595,45.00864,-35.95172,-35.190582,51.136017,-45.35675,42.66739,54.98886,34.103394,-25.024414
-157.2316,174.57426,53.542553,107.78539,9.173,10.1653595,-2.3380077,-0.83977157,0.767396,0.20891374,0.82096696,0.34390956,0.47588864,0.37456936,1.6884673,-0.9762669,-1.7999768,-1.0221634,1.9762211,1.1674682,-0.8801799,1.7624594,-1.0405973,-1.8262336,-1.0920473,1.9498181,1.1244017,-0.92024416,-1.112684,1.3283851,-0.49164626,1.313605,0.83266705,0.4524941,-0.25456157,-0.998497,1.240921,-0.5365372,1.2212753,0.7987976,0.45223236,-0.26073456,2.6234741,-0.5500221,0.54302895,-2.9817815,-0.21755892,4.9396596,0.5150604,-0.46767998,0.7096133,0.5957256,0.16485007,0.15132318,0.77138615,-0.9372332,-0.74005944,0.95630765,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2734742,0.15002212,0.006971061,-45.65668,34.94947,17.914957,36.997177,13.586103,0.10915995,2.449602,-43.296814,40.302277,-2.3460388,37.04071,29.81186,13.828278,-6.866455
-82.92266,175.63852,68.27696,73.58541,6.035324,10.390543,-0.8092538,-0.8265444,0.7981956,0.5302384,0.8200134,0.39093563,0.52790385,0.23868614,1.6798049,-0.96077776,-1.7732098,-1.010046,1.9889117,1.1771921,-0.89637554,1.7489191,-1.0258077,-1.8272293,-1.0772825,1.9582276,1.1288763,-0.92242426,-1.4356643,1.5266466,0.036879368,1.5320034,0.8411722,0.43834165,-0.20744807,-1.3540268,1.4789581,-0.0995636,1.4764786,0.84095,0.447464,-0.21800995,2.5936584,-0.5521984,0.5916883,-2.9817815,-0.21755892,4.8413577,0.50366974,-0.47525692,0.7218704,0.608284,0.15688944,0.14855222,0.7637464,-1.214311,-0.7511454,1.3181875,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2436585,0.1521984,-0.041688263,-32.728935,19.095158,54.59699,22.21651,0.07984638,-3.69246,4.2186646,-35.55298,23.80371,43.697357,25.520325,4.2152405,-0.47683716,4.272461
-19.151905,147.68674,64.32349,37.79295,2.450893,8.432106,0.14703564,-0.82636565,0.793206,0.6474706,0.8313077,0.22177425,0.53183293,0.10506289,1.6662825,-0.9464871,-1.7624822,-0.9941518,1.9804051,1.1820596,-0.911918,1.7332941,-1.0101064,-1.822335,-1.061257,1.9655938,1.1331106,-0.92416376,-1.6058608,1.582746,0.6458233,1.6271077,0.69958574,0.41370565,-0.1646612,-1.5625,1.5701294,0.48942566,1.6025543,0.73661804,0.4234314,-0.1739502,2.5638428,-0.5543747,0.63936454,-2.9817815,-0.21755892,4.743056,0.49032593,-0.48203564,0.7369868,0.62094533,0.14647695,0.1446344,0.7563413,-1.3849597,-0.63447005,1.5770067,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2138429,0.15437469,-0.08936453,-17.337345,5.0790787,62.53574,9.8171,-14.823413,-3.8856924,3.7146716,-20.84732,9.117126,58.898926,12.607574,-10.433197,-2.4032593,4.4059753
20.31855,108.61972,49.66303,10.294233,-0.07841027,5.585095,0.6516594,-0.8271427,0.7814374,0.6927232,0.82895267,0.16318887,0.56598955,0.07867283,1.6505798,-0.9319627,-1.7530627,-0.9783617,1.9819127,1.1897095,-0.9162965,1.7169043,-0.9945158,-1.8123004,-1.0449721,1.9712834,1.1371695,-0.92553896,-1.650708,1.5499659,1.1272038,1.6291267,0.52349055,0.40113005,-0.1302177,-1.6389847,1.5590668,1.0034561,1.6284943,0.5689621,0.4058838,-0.13751984,2.534027,-0.556551,0.6860578,-2.9817815,-0.21755892,4.644754,0.4759903,-0.4873314,0.7537122,0.6328513,0.13423698,0.14004411,0.74957806,-1.4588329,-0.47136354,1.7020565,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1840272,0.15655097,-0.1360578,-4.662633,-3.631711,49.493454,0.27985573,-18.201303,-1.8762827,2.9080362,-7.648468,-1.1062622,51.403046,2.5939941,-16.765594,-1.7547607,3.643036
38.345974,77.2714,34.639477,-5.6367702,-1.6696746,3.1165004,0.71636915,-0.8152341,0.7789525,0.7152005,0.8246552,0.048380513,0.6104837,0.070118174,1.6353809,-0.91662055,-1.7407804,-0.96250653,1.9761215,1.1982179,-0.9185271,1.7006727,-0.97949827,-1.798909,-1.0290304,1.9750905,1.1411883,-0.92661947,-1.6145437,1.4848717,1.4135321,1.5821033,0.33150306,0.4018879,-0.10224272,-1.6231537,1.501751,1.3391495,1.594162,0.3807068,0.40187836,-0.1080513,2.5042114,-0.55872726,0.7317681,-2.9817815,-0.21755892,4.546452,0.46144104,-0.49100304,0.7709119,0.6436862,0.12090778,0.13539092,0.7434506,-1.4625082,-0.30758402,1.7206591,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1542115,0.15872726,-0.18176806,3.4986496,-6.7497253,29.696774,-4.8472643,-19.709211,0.012660027,2.3244143,1.5830994,-5.7315826,33.569336,-3.4332275,-18.825531,-0.4005432,2.9468536
