torque0,torque1,torque2,torque3,torque4,torque5,torque6,action0,action1,action2,action3,action4,action5,action6,set_target_0,set_target_1,set_target_2,set_target_3,set_target_4,set_target_5,set_target_6,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,tennisball_pos_0,tennisball_pos_1,tennisball_pos_2,tennisball_lin_vel_0,tennisball_lin_vel_1,tennisball_lin_vel_2,end_effector_pos_0,end_effector_pos_1,end_effector_pos_2,end_effector_rot_0,end_effector_rot_1,end_effector_rot_2,end_effector_rot_3,end_effector_lin_vel_0,end_effector_lin_vel_1,end_effector_lin_vel_2,obs_task_0,obs_task_1,obs_task_2,obs_task_3,obs_task_4,obs_task_5,obs_task_6,to_final_target_0,to_final_target_1,to_final_target_2,joint_acc_0,joint_acc_1,joint_acc_2,joint_acc_3,joint_acc_4,joint_acc_5,joint_acc_6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1798916,-0.50504017,0.2905205,-3.8702848,-0.15818918,4.344978,0.530416,-0.4544952,0.693097,0.5745483,0.17512383,0.15255436,0.7848268,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8298917,0.10504016,0.25947952,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1798916,-0.50504017,0.2905205,-3.8702848,-0.15818918,4.344978,0.530416,-0.4544952,0.693097,0.5745483,0.17512383,0.15255436,0.7848268,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8298917,0.10504016,0.25947952,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1798916,-0.50504017,0.2905205,-3.8702848,-0.15818918,4.344978,0.530416,-0.4544952,0.693097,0.5745483,0.17512383,0.15255436,0.7848268,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8298917,0.10504016,0.25947952,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-22.81015,100.50925,28.107864,39.36511,2.2156324,2.1350484,-1.1680396,0.075057186,0.3517909,-0.45666167,0.4481944,0.1559633,0.66841704,0.6134299,1.7877417,-1.0294718,-1.8608086,-1.0721912,1.9529119,1.1838524,-0.85495484,1.7805792,-1.0630335,-1.8170917,-1.114741,1.9375443,1.117272,-0.9155893,0.0457556,0.21546723,-0.2598834,0.302645,0.030391188,0.034547027,0.09446072,3.1412182,-0.5066209,0.3331978,-3.8664153,-0.15803102,4.2419934,0.53016376,-0.45497727,0.69386333,0.575436,0.17470373,0.15306388,0.78417045,-0.033699557,-0.06440803,0.1020714,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7912183,0.10662088,0.21680221,4.5668597,21.507751,-25.938967,30.241045,3.0135763,3.3736792,9.415503
-27.035803,94.72302,24.07675,43.30879,3.0919757,1.7060622,-1.3401061,0.12236358,0.35328555,-0.56175375,0.591552,0.41524962,0.57271403,0.6245759,1.7928156,-1.027705,-1.873267,-1.0555857,1.9790694,1.1745434,-0.85313165,1.7816111,-1.0592302,-1.8223197,-1.1089445,1.9390931,1.118033,-0.91417974,0.12236637,0.4349231,-0.61045843,0.67186666,0.19628648,0.08873453,0.15628615,3.102583,-0.5081997,0.37484607,-3.8625495,-0.15787302,4.139111,0.52955914,-0.4564078,0.6956013,0.57773554,0.17387435,0.1539208,0.78249454,-0.0694258,-0.16910729,0.19778597,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.752583,0.108199686,0.17515394,7.6750474,21.81195,-35.008514,36.87405,16.564398,5.112885,6.1078815
-142.21867,65.78889,3.150361,80.568855,7.4229455,3.3639133,-2.2176063,-0.48313048,0.33300808,-0.51467025,0.6119013,0.37549323,0.65494365,0.52549285,1.7332981,-1.0259295,-1.8737868,-1.0477544,1.9766425,1.1835275,-0.86163044,1.78048,-1.0537599,-1.8303058,-1.0999552,1.9421239,1.1193491,-0.9123029,-0.1914755,0.5833516,-0.8601255,0.9747325,0.33780625,0.14362247,0.19753163,3.0639858,-0.50977755,0.41546628,-3.8586876,-0.15771517,4.0363317,0.52729416,-0.46023846,0.69818836,0.58238435,0.17287087,0.15456238,0.779137,-0.27978796,-0.45358184,0.28019994,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.713986,0.10977754,0.13453373,-31.369722,14.5361185,-24.595917,30.276823,13.91871,4.799284,3.9597929
-97.93135,110.54073,27.272211,62.380974,4.8877153,5.045956,-1.4578873,-0.40665597,0.58333313,-0.40555084,0.48362347,0.3632498,0.6667087,0.50756323,1.7398144,-0.9954266,-1.8708609,-1.0515928,1.9784489,1.18602,-0.8615466,1.7763811,-1.0462126,-1.8393943,-1.0894686,1.9462419,1.1211516,-0.9101066,-0.4833062,0.81042373,-0.92221475,1.0729861,0.43483,0.18869685,0.22599187,3.0254278,-0.5113535,0.45505947,-3.8548295,-0.15755749,3.9336557,0.5230961,-0.46570277,0.70206904,0.58891785,0.17129306,0.15508325,0.7744569,-0.46915814,-0.575158,0.4265221,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.675428,0.11135349,0.09494054,-29.337025,22.270811,-5.378747,9.716606,9.20493,3.419301,2.535212
-48.342987,149.40886,57.650185,45.26046,3.725701,7.84719,-0.037146766,-0.49972233,0.5813278,0.2397113,0.38423723,0.4686224,0.71259177,0.21080264,1.726409,-0.9880798,-1.8154233,-1.0510448,1.9931041,1.1924107,-0.88902634,1.7694803,-1.0368418,-1.8453224,-1.0793062,1.951323,1.1233755,-0.90790457,-0.7606196,0.9777813,-0.4780084,0.99696803,0.5302074,0.22969534,0.21668358,2.986909,-0.51292753,0.49362665,-3.8509755,-0.15739997,3.8310826,0.51705265,-0.47121525,0.70817924,0.5960441,0.16817525,0.15464318,0.76976216,-0.6538092,-0.53909546,0.6759349,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.636909,0.112927526,0.056373358,-28.187227,16.288519,45.896614,-7.750106,8.808983,2.9245644,-1.4145166
-30.727306,158.07198,65.93082,41.401005,3.1833713,8.641852,0.10493269,-0.62296826,0.61819154,0.474588,0.4965208,0.30596754,0.741439,-0.23363289,1.7071835,-0.9750226,-1.7978636,-1.0296541,1.9819198,1.1975194,-0.93126786,1.7600104,-1.0261663,-1.8454235,-1.06976,1.9566503,1.1259867,-0.90615934,-1.0105416,1.0961945,0.15029792,0.94077104,0.53195685,0.2682528,0.15905291,2.9484282,-0.5145006,0.5311689,-3.8471255,-0.1572426,3.728612,0.5092201,-0.4759977,0.717018,0.60330504,0.16279438,0.15281332,0.76561683,-0.83097774,-0.4514596,0.9555634,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5984282,0.11450061,0.018831134,-25.393808,11.464572,64.18105,-5.563462,-0.36275387,2.8342485,-6.1910005
-17.87877,139.52167,59.328808,33.536045,2.6518366,7.5679674,0.19481656,-0.6991892,0.626815,0.61704826,0.5006009,0.3661377,0.75177974,-0.5399679,1.6900915,-0.9634848,-1.7837186,-1.0196999,1.9932641,1.2011647,-0.96015614,1.748429,-1.0147394,-1.8394268,-1.0606638,1.961987,1.1289622,-0.9052133,-1.2081181,1.1574429,0.7526037,0.89995325,0.53341234,0.3048652,0.07217821,2.9099855,-0.5160718,0.56768715,-3.8432794,-0.15708539,3.6262438,0.4998212,-0.47986388,0.72830296,0.6105728,0.15516818,0.14953876,0.7620773,-0.98040116,-0.35590884,1.186302,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5599856,0.11607179,-0.017687142,-19.968033,5.8730125,61.143364,-3.8777351,-0.12792349,2.9387593,-8.971127
