torque0,torque1,torque2,torque3,torque4,torque5,torque6,action0,action1,action2,action3,action4,action5,action6,set_target_0,set_target_1,set_target_2,set_target_3,set_target_4,set_target_5,set_target_6,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,tennisball_pos_0,tennisball_pos_1,tennisball_pos_2,tennisball_lin_vel_0,tennisball_lin_vel_1,tennisball_lin_vel_2,end_effector_pos_0,end_effector_pos_1,end_effector_pos_2,end_effector_rot_0,end_effector_rot_1,end_effector_rot_2,end_effector_rot_3,end_effector_lin_vel_0,end_effector_lin_vel_1,end_effector_lin_vel_2,obs_task_0,obs_task_1,obs_task_2,obs_task_3,obs_task_4,obs_task_5,obs_task_6,to_final_target_0,to_final_target_1,to_final_target_2,joint_acc_0,joint_acc_1,joint_acc_2,joint_acc_3,joint_acc_4,joint_acc_5,joint_acc_6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,0,0,0,0,0,0,0,3.1129017,-0.4081955,0.2297642,-3.6506176,-0.1793012,5.095951,0.530416,-0.4544952,0.693097,0.5745483,0.17512383,0.15255436,0.7848268,0,0,0,1,0,0,0,0,0,0,-3.7629018,0.00819549,0.32023582,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,0,0,0,0,0,0,0,3.1129017,-0.4081955,0.2297642,-3.6506176,-0.1793012,5.095951,0.530416,-0.4544952,0.693097,0.5745483,0.17512383,0.15255436,0.7848268,0,0,0,1,0,0,0,0,0,0,-3.7629018,0.00819549,0.32023582,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,0,0,0,0,0,0,0,3.1129017,-0.4081955,0.2297642,-3.6506176,-0.1793012,5.095951,0.530416,-0.4544952,0.693097,0.5745483,0.17512383,0.15255436,0.7848268,0,0,0,1,0,0,0,0,0,0,-3.7629018,0.00819549,0.32023582,0,0,0,0,0,0,0
-101.95579,128.15424,30.103258,49.36209,2.131184,5.2357116,-1.4895868,-0.71289027,0.5991275,-0.20964213,-0.43403026,-0.006984939,0.43660843,-0.32231894,1.7089468,-1.0047381,-1.8361067,-1.1604137,1.936617,1.1606716,-0.9485297,1.7767988,-1.0615858,-1.8164833,-1.1192881,1.9374967,1.1169249,-0.91617197,-0.45854416,0.40856323,-0.17824113,-0.30348837,0.023714326,-0.01171672,0.016868725,3.0764227,-0.40998697,0.27994764,-3.646968,-0.17912193,4.992487,0.5291467,-0.45471358,0.6937281,0.575458,0.17518577,0.15391168,0.7838809,-0.16952696,-0.029243952,0.08427547,1,0,0,0,0,0,0,-3.7264228,0.009986967,0.27005237,-45.91938,40.84031,-17.668346,-30.367146,2.2611835,-1.3020302,1.7136793
-96.553474,130.85802,31.669565,45.244747,2.1345682,5.528611,-1.3498973,-0.7431909,0.68282783,-0.2918307,-0.5947485,0.3844855,0.5139783,-0.4401323,1.7024797,-0.993303,-1.8456663,-1.1787629,1.9759452,1.1683227,-0.96018517,1.7687193,-1.0543035,-1.8196037,-1.1251093,1.9388642,1.1171709,-0.9163236,-0.9252315,0.83467144,-0.35487282,-0.6749824,0.17297421,0.035025537,-0.02526888,3.039981,-0.41177702,0.32909724,-3.6433215,-0.17894283,4.8891263,0.5261369,-0.4551227,0.69517636,0.577539,0.17530939,0.1567422,0.7817589,-0.34485918,-0.044685412,0.16484185,1,0,0,0,0,0,0,-3.689981,0.011777014,0.22090277,-46.88853,42.546738,-17.090368,-37.126827,14.46453,4.2066574,-4.039395
-61.545586,136.42897,42.433784,41.314953,2.5201612,5.8394694,-0.8457514,-0.6885474,0.7315613,-0.13531274,-0.452326,0.5349743,0.6665596,-0.29907268,1.6998646,-0.9811474,-1.833135,-1.170342,1.9923617,1.1838269,-0.9462309,1.7571245,-1.0433325,-1.8234069,-1.1333815,1.9421449,1.1180044,-0.9168014,-1.238567,1.1845177,-0.38682082,-0.87831247,0.37887812,0.09748875,-0.054556563,3.0035753,-0.41356516,0.377214,-3.639679,-0.17876391,4.785869,0.52160835,-0.4555564,0.69780886,0.58053565,0.17509855,0.1601341,0.77889407,-0.4884133,-0.04222939,0.2945901,1,0,0,0,0,0,0,-3.6535754,0.013565153,0.172786,-31.66356,34.97834,-2.6325405,-20.366419,20.276033,5.703801,-2.716659
-55.686195,118.00315,40.119804,52.69988,4.6103067,5.442593,-1.0522026,-0.7178799,0.73593587,-0.09591531,-0.10537202,0.6016571,0.6694378,-0.33159304,1.6853366,-0.96973884,-1.8329985,-1.1439186,2.0023105,1.1849482,-0.9499607,1.7434775,-1.0299505,-1.8268878,-1.1411387,1.9474549,1.1194254,-0.9175748,-1.4080418,1.3895028,-0.33428946,-0.7419756,0.5817427,0.15476783,-0.08479459,2.967206,-0.4153514,0.42429897,-3.63604,-0.17858517,4.682715,0.5157299,-0.4565184,0.7020117,0.58471495,0.17409304,0.16300043,0.7753907,-0.62016916,-0.112830244,0.45919806,1,0,0,0,0,0,0,-3.617206,0.015351385,0.12570104,-17.307068,20.493816,5.5705843,13.478601,20.32175,5.1044226,-2.9794052
-29.625164,82.35119,27.831059,38.135696,3.6679683,3.1611211,-0.72824794,-0.7311551,0.74899846,-0.20722353,-0.17645936,0.64382064,0.57402825,-0.35794166,1.670362,-0.95505065,-1.8476102,-1.1587846,2.011837,1.1768283,-0.95336896,1.7290026,-1.0154241,-1.8301971,-1.147225,1.9545236,1.1212927,-0.91864294,-1.4613208,1.473709,-0.32958803,-0.5648489,0.7492654,0.19585249,-0.11447077,2.930873,-0.41713572,0.47035316,-3.6324046,-0.17840661,4.5796638,0.5089803,-0.45816064,0.7073182,0.58993626,0.17249753,0.1650412,0.77135026,-0.6917235,-0.17827809,0.5508464,1,0,0,0,0,0,0,-3.580873,0.01713571,0.079646856,-5.54142,8.432817,0.5708635,17.501663,16.926086,3.645709,-3.0746758
4.5023203,63.803066,24.224983,17.635223,1.7050318,1.7270046,-0.122387886,-0.7152936,0.7623692,-0.16592374,-0.2780196,0.6422975,0.53952646,-0.367445,1.6574732,-0.9391872,-1.8467895,-1.175027,2.0187533,1.1752454,-0.9553874,1.7146136,-1.0006231,-1.8333595,-1.1521536,1.9628453,1.1235014,-0.9199886,-1.4316634,1.4825656,-0.31208348,-0.4696343,0.86088645,0.22879045,-0.14186187,2.894576,-0.4189186,0.51537764,-3.628773,-0.17822823,4.4767156,0.5019584,-0.46003842,0.713106,0.5955803,0.17059703,0.16638969,0.7671343,-0.704384,-0.18638165,0.58477366,1,0,0,0,0,0,0,-3.5445762,0.018918604,0.03462237,2.8716564,0.96547604,1.6780019,9.2695,11.492479,3.1863093,-2.9473007
22.952232,61.477905,26.883793,9.029115,0.75456274,1.542323,0.21283978,-0.69534826,0.7671137,-0.06548657,-0.2306624,0.6420432,0.57502943,-0.36565918,1.6450788,-0.92391175,-1.8399081,-1.1752199,2.0270495,1.1810044,-0.9565545,1.7008349,-0.98600906,-1.8359268,-1.156346,1.9719205,1.1260287,-0.92157835,-1.3601251,1.4547383,-0.2386931,-0.40339753,0.9244969,0.26109815,-0.16560489,2.8583155,-0.4206996,0.5593734,-3.625145,-0.17805003,4.3738704,0.49500036,-0.46172214,0.71917397,0.60118634,0.16835877,0.16712779,0.7630848,-0.6916147,-0.15711296,0.6110833,1,0,0,0,0,0,0,-3.5083156,0.02069959,-0.009373367,7.1041346,-2.6624918,7.178733,6.3620386,6.827545,3.3316672,-2.6511817
