torque0,torque1,torque2,torque3,torque4,torque5,torque6,action0,action1,action2,action3,action4,action5,action6,set_target_0,set_target_1,set_target_2,set_target_3,set_target_4,set_target_5,set_target_6,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,tennisball_pos_0,tennisball_pos_1,tennisball_pos_2,tennisball_lin_vel_0,tennisball_lin_vel_1,tennisball_lin_vel_2,end_effector_pos_0,end_effector_pos_1,end_effector_pos_2,end_effector_rot_0,end_effector_rot_1,end_effector_rot_2,end_effector_rot_3,end_effector_lin_vel_0,end_effector_lin_vel_1,end_effector_lin_vel_2,obs_task_0,obs_task_1,obs_task_2,obs_task_3,obs_task_4,obs_task_5,obs_task_6,to_final_target_0,to_final_target_1,to_final_target_2,joint_acc_0,joint_acc_1,joint_acc_2,joint_acc_3,joint_acc_4,joint_acc_5,joint_acc_6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8636093,-0.59719276,0.089678735,-3.636453,0.13976842,5.1342955,0.5304184,-0.45449638,0.693097,0.5745483,0.17512383,0.15255436,0.7848268,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5136094,0.19719276,0.46032128,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8636093,-0.59719276,0.089678735,-3.636453,0.13976842,5.1342955,0.5304184,-0.45449638,0.693097,0.5745483,0.17512383,0.15255436,0.7848268,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5136094,0.19719276,0.46032128,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8636093,-0.59719276,0.089678735,-3.636453,0.13976842,5.1342955,0.5304184,-0.45449638,0.693097,0.5745483,0.17512383,0.15255436,0.7848268,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5136094,0.19719276,0.46032128,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-176.0,58.233757,-11.227959,110.0,11.142849,4.362853,-3.8453016,-0.8216886,0.31449488,-0.58924156,0.74313104,0.28220674,0.64284784,-0.572217,1.6980671,-1.0332015,-1.8740666,-1.0426977,1.9655361,1.1812955,-0.97351956,1.7790781,-1.0625032,-1.8214271,-1.1121718,1.9440694,1.1229731,-0.91853803,-0.15417525,0.2855312,-0.8372422,0.6456193,0.8995523,0.79274625,-0.29784074,2.8272705,-0.5957966,0.14024673,-3.632817,0.13962868,5.0309763,0.52822495,-0.45794678,0.6937778,0.5785126,0.17367736,0.15036477,0.7826555,-0.29207948,-0.46047595,0.09052581,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4772706,0.19579658,0.40975326,-15.332735,28.344124,-83.55089,64.67022,89.64134,78.63019,-29.529306
-176.0,-39.267994,-50.079693,110.0,11.608752,1.1062189,-3.2125614,-0.8112937,-0.21048254,-0.5439359,0.7047496,0.36716998,0.62634295,-0.5597612,1.6979487,-1.0835515,-1.8758206,-1.0416968,1.9807863,1.1856074,-0.9745141,1.7778784,-1.0601629,-1.8367374,-1.097838,1.9562364,1.1370283,-0.92030615,-0.115517564,0.19722854,-1.7104224,1.6946216,1.2941446,1.5553443,-0.14993748,2.7909698,-0.5944004,0.1897823,-3.629185,0.13948908,4.92776,0.52347565,-0.46673203,0.6943885,0.587066,0.17028648,0.14559978,0.7779181,-0.5361473,-1.0143021,0.05659137,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.44097,0.1944004,0.3602177,1.7713368,-14.71053,-71.80972,104.46129,30.985855,59.91974,10.753163
-160.10005,110.385376,27.851448,93.216995,7.4602265,7.143065,-2.0411186,-0.76573116,0.2799812,0.009702286,0.64378417,0.36410594,0.684269,-0.49876967,1.7013053,-1.0321648,-1.8357671,-1.0334597,1.9926469,1.2054552,-0.97018313,1.7734381,-1.0574907,-1.8520477,-1.0791231,1.9687772,1.1523653,-0.92196363,-0.55346805,0.287079,-1.4649734,1.9316297,1.2357739,1.5197781,-0.17283374,2.7547073,-0.59300804,0.2382865,-3.6255565,0.13934962,4.824647,0.5158653,-0.47838402,0.6965087,0.5985093,0.16536117,0.13976473,0.7713029,-0.84318054,-1.2084634,0.26751912,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4047074,0.19300804,0.31171352,-43.780457,7.992503,26.470566,24.107218,-7.306528,-5.5786133,-2.8283238
-103.144806,109.96874,39.757046,57.31563,4.576185,7.2398024,-0.3999341,-0.77411795,0.08632732,0.15027468,0.6359632,0.41153377,0.6432258,-0.5442183,1.6960263,-1.0488579,-1.8370202,-1.0155268,2.0099306,1.2166879,-0.9763855,1.7645746,-1.0548643,-1.8618591,-1.0605799,1.9797273,1.166514,-0.9239387,-0.99835324,0.25213522,-0.81200004,1.8289659,1.0426946,1.376168,-0.20787314,2.7184792,-0.5916157,0.2857603,-3.6219316,0.1392103,4.721637,0.5056801,-0.49073792,0.7004908,0.6108985,0.15907507,0.1331192,0.7640533,-1.0899379,-1.2327474,0.44611323,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3684793,0.19161567,0.2642397,-44.790302,-4.1894855,67.601395,-10.105109,-20.98999,-15.444112,-4.1697264
-50.299213,123.6283,47.281933,32.380478,1.86361,6.329895,0.23325893,-0.79153025,0.20105703,0.088308804,0.65424025,0.46117207,0.6488399,-0.5287316,1.6854216,-1.0347586,-1.8530282,-0.9951559,2.0258446,1.231398,-0.9768118,1.7520281,-1.0521272,-1.8654544,-1.0441424,1.9888425,1.1791273,-0.92626375,-1.3412641,0.27922323,-0.20257618,1.5817232,0.8636861,1.2214411,-0.2429249,2.6822853,-0.5902233,0.33220482,-3.6183105,0.13907112,4.6187296,0.4936447,-0.50250053,0.70604664,0.6230964,0.15169464,0.12599072,0.7568791,-1.2539768,-1.1443871,0.5939991,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3322854,0.1902233,0.2177952,-34.650208,2.2058606,62.769962,-24.82922,-19.114256,-15.928626,-4.180488
-13.879923,111.74595,40.194233,15.379886,-0.05783525,4.12087,0.24468803,-0.80105615,0.26689583,-0.02997206,0.6611049,0.45662138,0.65410095,-0.54062575,1.6719224,-1.0254377,-1.8684516,-0.9780319,2.0345047,1.2445375,-0.9803263,1.7371718,-1.0487894,-1.864991,-1.0301043,1.9965177,1.1903425,-0.9289064,-1.5346144,0.35092,0.13277324,1.3440919,0.7335197,1.0880892,-0.2731024,2.6461296,-0.58883476,0.37762102,-3.6146927,0.13893208,4.5159254,0.48061752,-0.5131588,0.7125779,0.634772,0.1437455,0.11906235,0.7498172,-1.3305036,-1.0257539,0.67243224,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2961297,0.18883476,0.17237899,-19.624687,6.8509045,34.59881,-23.937416,-13.618671,-13.369846,-3.5300195
7.761352,121.11679,38.878563,9.855421,-1.4216213,2.8196774,-0.14573608,-0.8160675,0.45374274,-0.16953231,0.64934003,0.45494452,0.64370984,-0.5417997,1.655565,-1.0034151,-1.8819442,-0.96517026,2.0420122,1.2547135,-0.98308635,1.7212797,-1.0438856,-1.8634822,-1.0179449,2.0032907,1.2003847,-0.9318132,-1.6084005,0.5361096,0.15913521,1.172591,0.65771157,0.976581,-0.2982124,2.610012,-0.5874462,0.42200994,-3.6110787,0.13879317,4.413224,0.4672699,-0.5225067,0.719763,0.64609516,0.13562019,0.1132264,0.742528,-1.3478812,-0.8914177,0.732472,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2600121,0.1874462,0.12799007,-7.665086,18.258017,3.2827048,-17.34655,-7.8202963,-11.047912,-2.9913366
