set_target_0,set_target_1,set_target_2,set_target_3,set_target_4,set_target_5,set_target_6,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6
1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785
1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785
1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785
1.8456672,-1.0918553,-1.7569301,-1.1064653,1.8843291,1.1806284,-0.9111755,1.7833391,-1.0659059,-1.812556,-1.1163718,1.935183,1.1175982,-0.91593164
1.8529733,-1.0794082,-1.7889186,-1.1454782,1.8703319,1.1842108,-0.8966408,1.7899386,-1.0683397,-1.8070781,-1.117827,1.9300828,1.1176916,-0.9157323
1.8626664,-1.0913167,-1.7916437,-1.1559297,1.8725157,1.174161,-0.89665586,1.7999617,-1.0717939,-1.8008602,-1.1219736,1.9229093,1.1178538,-0.915513
1.8757209,-1.0935125,-1.7617772,-1.1496987,1.8708078,1.1716193,-0.90553147,1.8126856,-1.0758985,-1.7942245,-1.1276442,1.9147744,1.1184527,-0.91518587
1.8904077,-1.0981257,-1.7543724,-1.1532273,1.8603617,1.1749339,-0.9115006,1.827046,-1.0802721,-1.7872283,-1.1336924,1.9063153,1.1195494,-0.9148149
1.9040536,-1.105093,-1.7529877,-1.1544099,1.8543009,1.1767101,-0.9099117,1.8420225,-1.0847753,-1.7803066,-1.1392409,1.8979459,1.1211535,-0.91442484
1.9187006,-1.1132988,-1.7536162,-1.1519073,1.8436289,1.1788746,-0.90244323,1.8569132,-1.0894865,-1.7740314,-1.1436201,1.889771,1.1232344,-0.9139785
