pure_target_joint_0,pure_target_joint_1,pure_target_joint_2,pure_target_joint_3,pure_target_joint_4,pure_target_joint_5,pure_target_joint_6,target_joint_0,target_joint_1,target_joint_2,target_joint_3,target_joint_4,target_joint_5,target_joint_6,pos_joint_0,pos_joint_1,pos_joint_2,pos_joint_3,pos_joint_4,pos_joint_5,pos_joint_6,vel_joint_0,vel_joint_1,vel_joint_2,vel_joint_3,vel_joint_4,vel_joint_5,vel_joint_6,vel_smooth_joint_0,vel_smooth_joint_1,vel_smooth_joint_2,vel_smooth_joint_3,vel_smooth_joint_4,vel_smooth_joint_5,vel_smooth_joint_6,ee_pos_x,ee_pos_y,ee_pos_z,ee_or_w,ee_or_x,ee_or_y,ee_or_z,ee_vel_x,ee_vel_y,ee_vel_z,ball_pos_x,ball_pos_y,ball_pos_z,ball_raw_vx,ball_raw_vy,ball_raw_vz,ball_ema_vx,ball_ema_vy,ball_ema_vz,action_0,action_1,action_2,action_3,action_4,action_5,action_6,command_published
1.69921,-0.998862,-1.87595,-1.05919,1.9889,1.18127,-0.970346,1.69921,-0.998862,-1.87595,-1.05919,1.9889,1.18127,-0.970346,1.78025,-1.06476,-1.81516,-1.11695,1.93724,1.11688,-0.916225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.535555,-0.454119,0.703156,0.574533,0.175215,0.152558,0.784817,0,0,0,2.98599,-0.47425,0.445588,-3.53489,0.0830574,4.58664,-3.63291,0.0871835,4.93796,-0.810413,0.659018,-0.607836,0.577531,0.516546,0.643969,-0.541204,1
1.6992,-0.998056,-1.87547,-1.05972,1.9896,1.18137,-0.970276,1.6992,-0.998056,-1.87547,-1.05972,1.9896,1.18137,-0.970276,1.78025,-1.06476,-1.81516,-1.11695,1.93724,1.11688,-0.916225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.535555,-0.454119,0.703156,0.574533,0.175215,0.152558,0.784817,0,0,0,2.94993,-0.473451,0.491104,-3.47199,0.0769371,4.38244,-3.60334,0.0854743,4.80467,-0.810518,0.66708,-0.603035,0.572214,0.523586,0.644887,-0.54051,1
1.68289,-0.994642,-1.85449,-1.04448,1.99127,1.192,-0.981504,1.68289,-0.994642,-1.85449,-1.04448,1.99127,1.192,-0.981504,1.76413,-1.0518,-1.82739,-1.10553,1.94752,1.12968,-0.927089,-1.52449,1.23436,-1.14821,1.08479,0.971106,1.21075,-1.0211,-1.52449,1.23436,-1.14821,1.08479,0.971106,1.21075,-1.0211,0.523674,-0.465258,0.709967,0.592003,0.168346,0.151341,0.77349,-1.08792,-1.01429,0.632301,2.91402,-0.47271,0.535504,-3.6251,0.0747835,4.48166,-3.5949,0.0823805,4.69706,-0.812384,0.571617,-0.270959,0.610474,0.437509,0.623218,-0.544157,1
1.67007,-0.981704,-1.86274,-1.03395,2.00319,1.20281,-0.990615,1.67007,-0.981704,-1.86274,-1.03395,2.00319,1.20281,-0.990615,1.7512,-1.04129,-1.8371,-1.09631,1.95576,1.13995,-0.935726,-1.222,0.99733,-0.913143,0.872496,0.778844,0.971344,-0.813727,-1.222,0.99733,-0.913143,0.872496,0.778844,0.971344,-0.813727,0.513848,-0.473813,0.71565,0.605824,0.16258,0.150411,0.764147,-0.894611,-0.784045,0.523247,2.87815,-0.471907,0.578938,-3.65182,0.0817706,4.42232,-3.61564,0.0809998,4.62595,-0.811305,0.5959,-0.25642,0.623636,0.474308,0.628641,-0.548889,1
1.6597,-0.971707,-1.87096,-1.02828,2.01674,1.21044,-0.999502,1.6597,-0.971707,-1.87096,-1.02828,2.01674,1.21044,-0.999502,1.74084,-1.03272,-1.84476,-1.089,1.96247,1.1482,-0.942614,-0.978712,0.814664,-0.721619,0.688046,0.637679,0.779623,-0.650198,-0.978712,0.814664,-0.721619,0.688046,0.637679,0.779623,-0.650198,0.505798,-0.480354,0.72038,0.616731,0.157783,0.14968,0.756534,-0.729514,-0.601342,0.434346,2.84226,-0.471016,0.621535,-3.5817,0.0889175,4.25069,-3.58807,0.0808354,4.4946,-0.811379,0.610091,-0.261948,0.607165,0.542676,0.622432,-0.56888,1
1.64847,-0.962865,-1.86858,-1.01847,2.02044,1.2185,-1.00616,1.64847,-0.962865,-1.86858,-1.01847,2.02044,1.2185,-1.00616,1.73006,-1.02529,-1.84769,-1.08084,1.96813,1.15642,-0.949835,-1.10864,0.720377,-0.159833,0.854681,0.543927,0.836102,-0.744374,-1.10864,0.720377,-0.159833,0.854681,0.543927,0.836102,-0.744374,0.497017,-0.486481,0.726383,0.627391,0.151535,0.147653,0.74941,-0.851139,-0.603466,0.615937,2.80624,-0.469996,0.663186,-3.58452,0.101521,4.14496,-3.57313,0.0827609,4.37592,-0.815883,0.624255,-0.208945,0.623761,0.523079,0.620763,-0.563248,1
1.6371,-0.953562,-1.86829,-1.00961,2.0269,1.22754,-1.01361,1.6371,-0.953562,-1.86829,-1.00961,2.0269,1.22754,-1.01361,1.71871,-1.01721,-1.8503,-1.072,1.97456,1.16516,-0.957532,-1.14324,0.834633,-0.292359,0.894244,0.673047,0.885021,-0.777585,-1.14324,0.834633,-0.292359,0.894244,0.673047,0.885021,-0.777585,0.487489,-0.492629,0.733111,0.638535,0.144599,0.145248,0.7418,-0.901873,-0.60713,0.652256,2.77017,-0.46891,0.703744,-3.65617,0.110128,4.111,-3.59206,0.0878802,4.29878,-0.816044,0.636514,-0.179919,0.623884,0.523458,0.623796,-0.560813,1
1.62595,-0.943847,-1.86922,-1.00155,2.03554,1.23654,-1.02192,1.62595,-0.943847,-1.86922,-1.00155,2.03554,1.23654,-1.02192,1.70744,-1.00862,-1.85403,-1.06355,1.98233,1.17382,-0.965477,-1.12205,0.867525,-0.397919,0.829015,0.808876,0.860667,-0.799732,-1.12205,0.867525,-0.397919,0.829015,0.808876,0.860667,-0.799732,0.477928,-0.498566,0.739684,0.649574,0.138002,0.142827,0.7339,-0.893415,-0.577951,0.623626,2.73404,-0.467831,0.743297,-3.58038,0.106901,3.91971,-3.61222,0.0945792,4.22192,-0.814874,0.647696,-0.151867,0.62002,0.53211,0.627131,-0.564424,1
1.61464,-0.933511,-1.87026,-0.993591,2.04417,1.24488,-1.02968,1.61464,-0.933511,-1.87026,-0.993591,2.04417,1.24488,-1.02968,1.69622,-0.999916,-1.85704,-1.05503,1.98975,1.18235,-0.97327,-1.12224,0.870866,-0.271293,0.859359,0.721441,0.84979,-0.773046,-1.12224,0.870866,-0.271293,0.859359,0.721441,0.84979,-0.773046,0.468236,-0.503998,0.746571,0.660335,0.131059,0.140431,0.725989,-0.909565,-0.526871,0.673336,2.69823,-0.466725,0.781693,-3.60425,0.111291,3.86493,-3.61191,0.101134,4.12028,-0.815788,0.664044,-0.132137,0.614383,0.544249,0.62531,-0.564144,1
1.60337,-0.923419,-1.87005,-0.985762,2.05253,1.25331,-1.0375,1.60337,-0.923419,-1.87005,-0.985762,2.05253,1.25331,-1.0375,1.68497,-0.991117,-1.8593,-1.0464,1.99685,1.19093,-0.980958,-1.12512,0.882698,-0.211417,0.864693,0.706482,0.860551,-0.767534,-1.12512,0.882698,-0.211417,0.864693,0.706482,0.860551,-0.767534,0.458351,-0.508939,0.75379,0.670859,0.123672,0.138007,0.718058,-0.925114,-0.485096,0.70108,2.66243,-0.465675,0.819124,-3.5709,0.10478,3.7335,-3.59872,0.105184,4.00444,-0.815999,0.676981,-0.107563,0.606335,0.556819,0.623843,-0.565435,1
