current_joint_pos_0,current_joint_pos_1,current_joint_pos_2,current_joint_pos_3,current_joint_pos_4,current_joint_pos_5,current_joint_pos_6,set_target_0,set_target_1,set_target_2,set_target_3,set_target_4,set_target_5,set_target_6,predicted_next_joint_pos_0,predicted_next_joint_pos_1,predicted_next_joint_pos_2,predicted_next_joint_pos_3,predicted_next_joint_pos_4,predicted_next_joint_pos_5,predicted_next_joint_pos_6,actual_next_joint_pos_0,actual_next_joint_pos_1,actual_next_joint_pos_2,actual_next_joint_pos_3,actual_next_joint_pos_4,actual_next_joint_pos_5,actual_next_joint_pos_6,abs_error_0,abs_error_1,abs_error_2,abs_error_3,abs_error_4,abs_error_5,abs_error_6,timestep
1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,1.7788801898885027,-1.0624461525748263,-1.8209567152954507,-1.1120409884022289,1.9420109606940172,1.1220150086049174,-0.9176293878028079,1.7787329,-1.0624632,-1.8204963,-1.1125189,1.9419045,1.1218344,-0.9175901,0.00014728988850265523,1.704742517372182e-05,0.0004604152954506002,0.0004779115977711079,0.0001064606940173185,0.00018060860491742048,3.9287802807930206e-05,0
1.7787329,-1.0624632,-1.8204963,-1.1125189,1.9419045,1.1218344,-0.9175901,1.6996733,-1.0287676,-1.8690464,-1.0425291,1.9434568,1.1840109,-0.97257835,1.773757951923665,-1.058665298534699,-1.8357264648057732,-1.0973790540697252,1.9484267329407376,1.1373636032530494,-0.9164810620005326,1.7772337,-1.0600218,-1.835181,-1.0985667,1.950932,1.1349818,-0.9181127,0.0034757480763349946,0.0013565014653009744,0.0005454648057732214,0.00118764593027465,0.0025052670592624615,0.002381803253049375,0.0016316379994674168,1
1.7772337,-1.0600218,-1.835181,-1.0985667,1.950932,1.1349818,-0.9181127,1.6978374,-1.0859863,-1.8768232,-1.0408367,1.9554032,1.1868868,-0.9767362,1.7736573378598592,-1.0578594811683277,-1.851451150616089,-1.0786196302054218,1.959230087808513,1.1499061201626306,-0.9181631915356994,1.7727095,-1.0578836,-1.8503349,-1.079949,1.9608083,1.1501223,-0.9184894,0.0009478378598593018,2.4118831672303997e-05,0.0011162506160888874,0.0013293697945782057,0.0015782121914871272,0.00021617983736943458,0.000326208464300648,2
1.7727095,-1.0578836,-1.8503349,-1.079949,1.9608083,1.1501223,-0.9184894,1.7005249,-1.0488561,-1.8253479,-1.0316825,1.9832153,1.2021561,-0.96946114,1.7639373908972331,-1.0558818335884632,-1.860160576108947,-1.0636693662508132,1.9701640502683837,1.164196201487778,-0.9197389810724934,1.7639071,-1.0571169,-1.8594558,-1.0611635,1.9698358,1.1642329,-0.9193143,3.0290897233165026e-05,0.0012350664115368115,0.0007047761089469251,0.0025058662508132823,0.00032825026838367855,3.669851222198872e-05,0.0004246810724933825,3
1.7639071,-1.0571169,-1.8594558,-1.0611635,1.9698358,1.1642329,-0.9193143,1.6957676,-1.0715704,-1.8209717,-1.0132658,2.0010636,1.214739,-0.9746121,1.7493452345565714,-1.0564699906822084,-1.8616140087479516,-1.043023744544501,1.976760564858726,1.1786948750402804,-0.9197978960323654,1.7514693,-1.0578226,-1.8613384,-1.0442377,1.9778047,1.1768728,-0.9206428,0.002124065443428469,0.0013526093177915754,0.0002756087479516278,0.0012139554554990717,0.001044135141273994,0.0018220750402804242,0.0008449039676345915,4
1.7514693,-1.0578226,-1.8613384,-1.0442377,1.9778047,1.1768728,-0.9206428,1.6841655,-1.0665513,-1.8308777,-0.9933348,2.0164056,1.228041,-0.9748741,1.7356110588941318,-1.0571524353891382,-1.8591019985211081,-1.0268292449758711,1.9850784321929356,1.1898185253133304,-0.922238716803317,1.7367102,-1.0592798,-1.8576534,-1.0296026,1.9849343,1.1881224,-0.9224557,0.0010991411058682843,0.002127364610861937,0.0014485985211081243,0.0027733550241288984,0.00014413219293563095,0.001696125313330521,0.00021698319668295163,5
1.7367102,-1.0592798,-1.8576534,-1.0296026,1.9849343,1.1881224,-0.9224557,1.6710538,-1.0617493,-1.834085,-0.97576535,2.024041,1.2405555,-0.9784542,1.7189897457833894,-1.058755204004542,-1.8511867506199065,-1.0128088374668742,1.990896911991673,1.199871062751301,-0.9245398045477706,1.7208792,-1.0594877,-1.851506,-1.0168024,1.9913468,1.1982008,-0.9246978,0.0018894542166105754,0.0007324959954579935,0.0003192493800936447,0.003993562533125772,0.00044988800832701514,0.0016702627513009993,0.00015799545222938693,6
1.7208792,-1.0594877,-1.851506,-1.0168024,1.9913468,1.1982008,-0.9246978,1.6549196,-1.0332918,-1.8433979,-0.9616336,2.024198,1.2518362,-0.9794113,1.704981405088434,-1.055773632962293,-1.8465917186861052,-1.0024921571347138,1.996964034337354,1.2077391370396562,-0.9277588281400424,1.7048422,-1.0568765,-1.8458469,-1.0051714,1.9971585,1.2073122,-0.92730707,0.00013920508843390245,0.0011028670377069005,0.0007448186861052086,0.002679242865286202,0.00019446566264602616,0.00042693703965612784,0.0004517581400423909,7
1.7048422,-1.0568765,-1.8458469,-1.0051714,1.9971585,1.2073122,-0.92730707,1.6382529,-1.0168288,-1.8506862,-0.9507757,2.0273817,1.26142,-0.9814713,1.6894829783000498,-1.0500642607455388,-1.843578832453265,-0.9923933672235175,2.0023214061141537,1.2158572700474486,-0.9305666420589063,1.6890551,-1.0509466,-1.8425643,-0.99414504,2.0027642,1.2156168,-0.9302148,0.00042787830004975547,0.0008823392544612396,0.0010145324532648825,0.0017516727764825823,0.00044279388584644863,0.00024047004744853773,0.00035184205890625986,8
1.6890551,-1.0509466,-1.8425643,-0.99414504,2.0027642,1.2156168,-0.9302148,1.6220542,-1.0036358,-1.8562859,-0.9410063,2.0399685,1.2697669,-0.98379195,1.6735880752234165,-1.0411140260805325,-1.842559021278282,-0.9825153617930134,2.0086379484897723,1.2236427122919569,-0.9332658602013832,1.6736895,-1.0420946,-1.8421485,-0.9833046,2.0085511,1.2232329,-0.93336004,0.00010142477658359184,0.0009805739194674867,0.0004105212782821166,0.00078923820698662,8.684848977225101e-05,0.0004098122919569125,9.417979861670034e-05,9
1.6736895,-1.0420946,-1.8421485,-0.9833046,2.0085511,1.2232329,-0.93336004,1.6067992,-0.99156857,-1.8578042,-0.9302354,2.0503147,1.2776519,-0.98684686,1.6581547414487643,-1.0306899194988717,-1.8428269467829494,-0.9720791758297544,2.0148453545365874,1.2308103159974992,-0.9363136627185147,1.6587397,-1.0311311,-1.8440635,-0.97249854,2.0147119,1.2302805,-0.93670076,0.000584958551235637,0.000441180501128402,0.0012365532170506288,0.00041936417024557304,0.00013345453658741846,0.0005298159974991279,0.00038709728148533795,10
1.6587397,-1.0311311,-1.8440635,-0.97249854,2.0147119,1.2302805,-0.93670076,1.5921053,-0.97836363,-1.8585964,-0.9214564,2.058167,1.2869556,-0.99064916,1.6434649682239408,-1.0193233322313193,-1.8455086590078251,-0.961864481049746,2.021229203486516,1.2376333098707013,-0.9397154454284957,1.6441046,-1.0189146,-1.8474395,-0.96173155,2.021296,1.2368609,-0.94020647,0.0006396317760590797,0.0004087322313193198,0.001930840992174776,0.0001329310497459879,6.679651348395765e-05,0.0007724098707013738,0.0004910245715042949,11
1.6441046,-1.0189146,-1.8474395,-0.96173155,2.021296,1.2368609,-0.94020647,1.5775439,-0.9646464,-1.862092,-0.9120971,2.066122,1.2944914,-0.9947163,1.6289452443046084,-1.0066889993986037,-1.849424214336056,-0.9514952115946292,2.027926415627859,1.2439153562842509,-0.9432950204196378,1.6296755,-1.0061163,-1.8515041,-0.95101225,2.0282464,1.2430636,-0.94384664,0.0007302556953916461,0.0005726993986037154,0.0020798856639441254,0.0004829615946292387,0.00031998437214086906,0.0008517562842509374,0.0005516195803622059,12
1.6296755,-1.0061163,-1.8515041,-0.95101225,2.0282464,1.2430636,-0.94384664,1.5635387,-0.9505268,-1.8669916,-0.90151256,2.0732062,1.302062,-0.9978235,1.614447535799135,-0.9934629883630788,-1.854117357522056,-0.9409253318699431,2.0349751560939704,1.249930934477998,-0.9470000888262631,1.6153532,-0.99317294,-1.8556602,-0.94040644,2.035479,1.2489687,-0.9475965,0.0009056642008649085,0.00029004836307877646,0.0015428424779440064,0.0005188918699431389,0.000503843906029644,0.0009622344779980363,0.0005964111737368771,13
1.6153532,-0.99317294,-1.8556602,-0.94040644,2.035479,1.2489687,-0.9475965,1.5493343,-0.9366989,-1.8704071,-0.8924168,2.0810525,1.3084358,-1.0016551,1.6000902478580175,-0.9803260006413022,-1.8583925283480769,-0.9306228616158548,2.0422768296020513,1.25563267857286,-0.9508536581046647,1.6010729,-0.98026305,-1.8596065,-0.929958,2.0429292,1.2546374,-0.95143694,0.000982652141982454,6.295064130212857e-05,0.0012139716519230515,0.0006648616158548837,0.0006523703979488538,0.00099527857285997,0.000583281895335297,14
1.6010729,-0.98026305,-1.8596065,-0.929958,2.0429292,1.2546374,-0.95143694,1.5353184,-0.9223958,-1.8750321,-0.88258564,2.0894568,1.3151472,-1.0052099,1.5855603489369212,-0.9668089614097117,-1.8629266870664956,-0.9204003378360134,2.049942861954472,1.2613256367530568,-0.9546428496298682,1.5868098,-0.96744376,-1.8630397,-0.91968024,2.0505395,1.2601191,-0.9553537,0.0012494510630787214,0.0006347985902882547,0.00011301293350451935,0.0007200978360133448,0.0005966380455282305,0.0012065367530567084,0.0007108503701317437,15
1.5868098,-0.96744376,-1.8630397,-0.91968024,2.0505395,1.2601191,-0.9553537,1.5213622,-0.90922236,-1.8741885,-0.8728783,2.0975034,1.3209261,-1.0092561,1.570969446222243,-0.9540685752398017,-1.8653721783268415,-0.9101928836757767,2.0575404273116904,1.266812844319725,-0.9586099499413951,1.5725542,-0.9546502,-1.8657501,-0.90953124,2.0582147,1.2654558,-0.95932955,0.0015847537777569087,0.000581624760198296,0.0003779216731585322,0.0006616436757767019,0.0006742726883097738,0.0013570443197250537,0.0007196000586048301,16
1.5725542,-0.9546502,-1.8657501,-0.90953124,2.0582147,1.2654558,-0.95932955,1.5072297,-0.89500636,-1.8738277,-0.86260587,2.1041172,1.3273698,-1.0125546,1.555990611131051,-0.940938941400522,-1.867817164448213,-0.9001039126158991,2.065209056508191,1.272494829875979,-0.9626123022785109,1.5582777,-0.9418109,-1.8676269,-0.8995024,2.0659547,1.2706724,-0.9633493,0.0022870888689490165,0.0008719585994779733,0.0001902644482130178,0.0006015126158990247,0.000745643491808945,0.0018224298759790258,0.0007369977214890522,17
1.5582777,-0.9418109,-1.8676269,-0.8995024,2.0659547,1.2706724,-0.9633493,1.4925271,-0.8817107,-1.8722594,-0.8535926,2.1135242,1.332422,-1.0160903,1.5419468984634426,-0.9282498728828728,-1.8688511082401977,-0.8902811557139384,2.0731634031776687,1.277411892966514,-0.9668129952788729,1.5439783,-0.9288667,-1.8686969,-0.8895098,2.073687,1.2757937,-0.96739763,0.0020314015365574534,0.0006168271171272943,0.0001542082401977396,0.000771355713938382,0.0005235968223313847,0.0016181929665139982,0.0005846347211271308,18
1.5439783,-0.9288667,-1.8686969,-0.8895098,2.073687,1.2757937,-0.96739763,1.4784089,-0.8680676,-1.8711259,-0.8424421,2.1194117,1.3380331,-1.0194919,1.5267994636279854,-0.9150630805148647,-1.8696569031031645,-0.8801376058575084,2.080668248540171,1.28292899633529,-0.9707679078898319,1.5296446,-0.9157947,-1.8691623,-0.87952864,2.0814385,1.2808386,-0.97146124,0.002845136372014556,0.0007316194851352265,0.0004946031031645148,0.00060896585750847,0.0007702514598291188,0.002090396335289846,0.0006933321101680878,19
1.5296446,-0.9157947,-1.8691623,-0.87952864,2.0814385,1.2808386,-0.97146124,1.463719,-0.85474527,-1.8714398,-0.8332485,2.1289814,1.3433193,-1.0230461,1.5128176104630269,-0.9019659891354379,-1.8701403924044422,-0.8703572408556298,2.0887842157467422,1.2876603858760198,-0.974907940576627,1.5152785,-0.90260726,-1.8691833,-0.86966,2.0892625,1.2858263,-0.97553056,0.0024608895369730988,0.0006412708645621157,0.0009570924044421947,0.0006972408556298326,0.00047828425325757706,0.001834085876019742,0.0006226194233730498,20
1.5152785,-0.90260726,-1.8691833,-0.86966,2.0892625,1.2858263,-0.97553056,1.4493606,-0.841382,-1.8693901,-0.82557225,2.1380508,1.3482697,-1.0269957,1.4987036187880136,-0.8889429852626198,-1.8696111578925145,-0.8608524798827925,2.0967653244013773,1.2923889315486958,-0.9790668858562201,1.5009257,-0.889314,-1.86884,-0.85998785,2.0971894,1.290774,-0.9795961,0.0022220812119864153,0.0003710147373802153,0.0007711578925144735,0.0008646298827924559,0.0004240755986226752,0.0016149315486957416,0.0005292141437798215,21
1.5009257,-0.889314,-1.86884,-0.85998785,2.0971894,1.290774,-0.9795961,1.4357018,-0.8276213,-1.8670479,-0.8168528,2.146402,1.3533558,-1.0299704,1.484147795431352,-0.8753819692102593,-1.8687777875216838,-0.851343182905816,2.104836965753538,1.2973494687761793,-0.9830315565147572,1.4865957,-0.875933,-1.8682086,-0.85059035,2.1052117,1.295693,-0.98364824,0.002447904568648074,0.0005510307897406141,0.0005691875216837783,0.0007528329058159589,0.0003747342464617276,0.0016564687761793095,0.0006166834852427971,22
1.4865957,-0.875933,-1.8682086,-0.85059035,2.1052117,1.295693,-0.98364824,1.4211248,-0.8140442,-1.8654964,-0.8091092,2.1545067,1.3582652,-1.0334144,1.4698786844627847,-0.8620935906945266,-1.8680115179418029,-0.8422197226974221,2.11292383954575,1.3021774141126925,-0.9871557300255513,1.4722868,-0.8624757,-1.8673732,-0.84158766,2.113337,1.3005968,-0.9876775,0.0024081155372153162,0.00038210930547333266,0.0006383179418028018,0.0006320626974221089,0.00041316045424988346,0.0015806141126923912,0.0005217699744486382,23
1.4722868,-0.8624757,-1.8673732,-0.84158766,2.113337,1.3005968,-0.9876775,1.4067748,-0.80021757,-1.8640956,-0.8029414,2.1635587,1.3633289,-1.036532,1.4557392347549936,-0.848578619074128,-1.867112355670355,-0.8336863299450575,2.1213100510098237,1.3069296506755923,-0.9912411382820026,1.4579798,-0.84894496,-1.8663547,-0.83312285,2.1216073,1.3054892,-0.9916801,0.002240565245006376,0.0003663409258719552,0.0007576556703550175,0.0005634799450575656,0.0002972489901762465,0.0014404506755922863,0.00043896171799739925,24
