current_joint_pos_0,current_joint_pos_1,current_joint_pos_2,current_joint_pos_3,current_joint_pos_4,current_joint_pos_5,current_joint_pos_6,set_target_0,set_target_1,set_target_2,set_target_3,set_target_4,set_target_5,set_target_6,predicted_next_joint_pos_0,predicted_next_joint_pos_1,predicted_next_joint_pos_2,predicted_next_joint_pos_3,predicted_next_joint_pos_4,predicted_next_joint_pos_5,predicted_next_joint_pos_6,actual_next_joint_pos_0,actual_next_joint_pos_1,actual_next_joint_pos_2,actual_next_joint_pos_3,actual_next_joint_pos_4,actual_next_joint_pos_5,actual_next_joint_pos_6,abs_error_0,abs_error_1,abs_error_2,abs_error_3,abs_error_4,abs_error_5,abs_error_6,timestep
1.76413,-1.0518,-1.82739,-1.10553,1.94752,1.12968,-0.927089,1.68289,-0.994642,-1.85449,-1.04448,1.99127,1.192,-0.981504,1.7636672954027297,-1.0443375510421402,-1.8448516809674658,-1.0944504575207183,1.9621319425533998,1.1408738027019782,-0.9308906191575226,1.7512,-1.04129,-1.8371,-1.09631,1.95576,1.13995,-0.935726,0.012467295402729617,0.003047551042140162,0.007751680967465813,0.0018595424792815507,0.006371942553399901,0.0009238027019782269,0.004835380842477366,0
1.7512,-1.04129,-1.8371,-1.09631,1.95576,1.13995,-0.935726,1.67007,-0.981704,-1.86274,-1.03395,2.00319,1.20281,-0.990615,1.7506923374716514,-1.033139281307453,-1.8529090544035105,-1.0853107843962966,1.9706238426306306,1.1493941091437465,-0.9407727987890973,1.74084,-1.03272,-1.84476,-1.089,1.96247,1.1482,-0.942614,0.009852337471651484,0.00041928130745283454,0.008149054403510547,0.0036892156037033885,0.008153842630630681,0.0011941091437464024,0.0018412012109026987,1
1.74084,-1.03272,-1.84476,-1.089,1.96247,1.1482,-0.942614,1.6597,-0.971707,-1.87096,-1.02828,2.01674,1.21044,-0.999502,1.7431646928669897,-1.0252422843244278,-1.858814634033072,-1.0786223705188651,1.97847686329038,1.1536537769627948,-0.9499755129949656,1.73006,-1.02529,-1.84769,-1.08084,1.96813,1.15642,-0.949835,0.013104692866989787,4.771567557226852e-05,0.011124634033071956,0.0022176294811349084,0.010346863290380037,0.0027662230372051955,0.00014051299496564695,2
1.73006,-1.02529,-1.84769,-1.08084,1.96813,1.15642,-0.949835,1.64847,-0.962865,-1.86858,-1.01847,2.02044,1.2185,-1.00616,1.7305319982477263,-1.016491448356575,-1.8609592470193619,-1.070089133048344,1.9836492474466412,1.1625400664797043,-0.9568237370813011,1.71871,-1.01721,-1.8503,-1.072,1.97456,1.16516,-0.957532,0.01182199824772634,0.0007185516434249362,0.010659247019361828,0.0019108669516560983,0.00908924744664108,0.0026199335202956586,0.0007082629186989653,3
1.71871,-1.01721,-1.8503,-1.072,1.97456,1.16516,-0.957532,1.6371,-0.953562,-1.86829,-1.00961,2.0269,1.22754,-1.01361,1.7180090103196006,-1.007501266067665,-1.8627133687326425,-1.0613016708205643,1.9897550764795064,1.171130600329163,-0.964413731379069,1.70744,-1.00862,-1.85403,-1.06355,1.98233,1.17382,-0.965477,0.010569010319600558,0.001118733932335081,0.008683368732642416,0.0022483291794357374,0.0074250764795065205,0.002689399670837034,0.0010632686209309794,4
1.70744,-1.00862,-1.85403,-1.06355,1.98233,1.17382,-0.965477,1.62595,-0.943847,-1.86922,-1.00155,2.03554,1.23654,-1.02192,1.7058795796574557,-0.9982423090184229,-1.8653985062197187,-1.0530004118787137,1.9972840854622722,1.1793477486027566,-0.9723665155863024,1.69622,-0.999916,-1.85704,-1.05503,1.98975,1.18235,-0.97327,0.009659579657455675,0.0016736909815771028,0.008358506219718675,0.0020295881212861744,0.0075340854622723,0.003002251397243416,0.0009034844136975861,5
1.69622,-0.999916,-1.85704,-1.05503,1.98975,1.18235,-0.97327,1.61464,-0.933511,-1.87026,-0.993591,2.04417,1.24488,-1.02968,1.6940582613000776,-0.9887904905691942,-1.8672691646679012,-1.0447091057943398,2.004492571770303,1.1872793308085683,-0.9802267962100559,1.68497,-0.991117,-1.8593,-1.0464,1.99685,1.19093,-0.980958,0.00908826130007756,0.002326509430805812,0.007969164667901207,0.001690894205660154,0.0076425717703030305,0.0036506691914317546,0.0007312037899440682,6
1.68497,-0.991117,-1.8593,-1.0464,1.99685,1.19093,-0.980958,1.60337,-0.923419,-1.87005,-0.985762,2.05253,1.25331,-1.0375,1.682058163897989,-0.9792499661804148,-1.8683384336315023,-1.0362981784220975,2.0113040898738994,1.1954502727722547,-0.9877407894331725,1.67374,-0.982155,-1.86123,-1.03784,2.00415,1.19959,-0.988729,0.008318163897989006,0.002905033819585179,0.0071084336315023755,0.0015418215779026134,0.007154089873899316,0.004139727227745249,0.0009882105668275187,7
1.67374,-0.982155,-1.86123,-1.03784,2.00415,1.19959,-0.988729,1.59215,-0.913382,-1.86902,-0.978017,2.06084,1.26195,-1.04523,1.6697662230610462,-0.9695596173156689,-1.8690761335297092,-1.0279330695427942,2.018197965177859,1.204026795672612,-0.9951221345883703,1.66249,-0.972948,-1.86298,-1.0294,2.01172,1.20822,-0.996525,0.007276223061046139,0.0033883826843311704,0.006096133529709169,0.0014669304572059172,0.006477965177859257,0.0041932043273880115,0.0014028654116297057,8
1.66249,-0.972948,-1.86298,-1.0294,2.01172,1.20822,-0.996525,1.58098,-0.903038,-1.86671,-0.971096,2.06991,1.27053,-1.05294,1.6572853550474278,-0.9595614987833707,-1.8694199532554407,-1.0197842547548426,2.0253173491420355,1.2127755016013575,-1.0023521376335591,1.65124,-0.963554,-1.8644,-1.02107,2.01946,1.21681,-1.00432,0.006045355047427758,0.003992501216629307,0.00501995325544069,0.0012857452451573437,0.005857349142035506,0.00403449839864245,0.0019678623664409756,9
