torque0,torque1,torque2,torque3,torque4,torque5,torque6,action0,action1,action2,action3,action4,action5,action6,set_target_0,set_target_1,set_target_2,set_target_3,set_target_4,set_target_5,set_target_6,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,tennisball_pos_0,tennisball_pos_1,tennisball_pos_2,tennisball_lin_vel_0,tennisball_lin_vel_1,tennisball_lin_vel_2,end_effector_pos_0,end_effector_pos_1,end_effector_pos_2,end_effector_rot_0,end_effector_rot_1,end_effector_rot_2,end_effector_rot_3,end_effector_lin_vel_0,end_effector_lin_vel_1,end_effector_lin_vel_2,obs_task_0,obs_task_1,obs_task_2,obs_task_3,obs_task_4,obs_task_5,obs_task_6,to_final_target_0,to_final_target_1,to_final_target_2,joint_acc_0,joint_acc_1,joint_acc_2,joint_acc_3,joint_acc_4,joint_acc_5,joint_acc_6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8316994,-0.3267212,0.26688004,-2.7669716,-0.21385132,5.721356,0.5304146,-0.45448303,0.693097,0.5745483,0.17512383,0.15255436,0.7848268,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4816995,-0.073278815,0.28311998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8316994,-0.3267212,0.26688004,-2.7669716,-0.21385132,5.721356,0.5304146,-0.45448303,0.693097,0.5745483,0.17512383,0.15255436,0.7848268,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4816995,-0.073278815,0.28311998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8316994,-0.3267212,0.26688004,-2.7669716,-0.21385132,5.721356,0.5304146,-0.45448303,0.693097,0.5745483,0.17512383,0.15255436,0.7848268,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4816995,-0.073278815,0.28311998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-176.0,78.478386,-1.758421,110.0,11.013886,5.2296476,-3.8112276,-0.81892556,0.39011624,-0.51902485,0.73701036,0.32184404,0.65815264,-0.5898187,1.6983433,-1.0256393,-1.8670449,-1.0433097,1.9694998,1.1828259,-0.97527975,1.7786642,-1.0623773,-1.8203342,-1.1126066,1.9429269,1.1219565,-0.9188308,-0.20924662,0.30249095,-0.69159317,0.5872808,0.7473369,0.65765786,-0.33726716,2.8040504,-0.32885742,0.32331425,-2.7642052,-0.21363752,5.6174493,0.5282116,-0.4576416,0.69404006,0.578535,0.17366825,0.1508272,0.78255194,-0.2935044,-0.42085546,0.12551254,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4540505,-0.071142584,0.22668576,-20.875797,30.071938,-68.98256,58.79436,74.50043,65.21033,-33.578316
-176.0,-17.158703,-40.638145,110.0,12.076572,1.8832505,-3.1812036,-0.80385995,-0.099498495,-0.54762304,0.7146102,0.36150694,0.6537746,-0.6097329,1.6982782,-1.0723271,-1.8750966,-1.0411456,1.9790776,1.187334,-0.9798041,1.776631,-1.0591902,-1.8343761,-1.099423,1.9540448,1.1348654,-0.92132944,-0.19921702,0.32272217,-1.643666,1.5648724,1.2333751,1.496158,-0.21731804,2.7764282,-0.33099365,0.37871015,-2.7614417,-0.21342392,5.5136466,0.5233574,-0.46585083,0.6951879,0.58719695,0.17018075,0.14678626,0.77761936,-0.55119383,-0.95207334,0.11153224,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4264283,-0.06900635,0.17128986,1.6603291,1.5965044,-95.7747,98.61336,48.631966,82.11074,13.027295
-160.97574,104.99161,26.589815,93.619995,8.310541,7.3297086,-1.8563291,-0.76819843,0.25618362,0.06314042,0.6567143,0.44912246,0.6750664,-0.55620104,1.6998111,-1.0335718,-1.828062,-1.0337516,1.998957,1.2023721,-0.9769496,1.7714506,-1.0554022,-1.8490665,-1.0818316,1.9664826,1.1497103,-0.92366403,-0.624287,0.39429653,-1.4050468,1.8254675,1.2427198,1.4738572,-0.2400314,2.7488346,-0.33312988,0.4330688,-2.7586808,-0.21321054,5.409948,0.5155945,-0.47701263,0.69783837,0.5987647,0.16512486,0.14138983,0.77085894,-0.85848653,-1.1655707,0.31988332,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3988347,-0.06687012,0.1169312,-42.499043,6.265229,25.590252,26.494312,-0.3677845,-4.2581797,-2.6291668
-104.36844,99.494385,36.767555,58.324486,5.2682676,7.2773767,-0.3286535,-0.7771983,0.07806415,0.19574969,0.6586286,0.48012394,0.6481973,-0.5834948,1.6937308,-1.0475957,-1.8294915,-1.0159687,2.0144951,1.21453,-0.9820135,1.7620856,-1.0519613,-1.8584106,-1.0639368,1.977942,1.1635214,-0.9262542,-1.0412855,0.325382,-0.7706047,1.7782404,1.1088462,1.3465744,-0.26706088,2.7212696,-0.3352661,0.48639125,-2.7559226,-0.21299738,5.306353,0.50525475,-0.48913574,0.70227957,0.61129534,0.15878718,0.13475017,0.7635097,-1.1041445,-1.2163851,0.49000672,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3712697,-0.06473389,0.063608766,-41.937996,-7.5031815,65.49275,-4.4600487,-14.832592,-13.834715,-3.1992435
-47.547985,119.69002,48.386337,32.70123,2.2231467,6.7715607,0.36533022,-0.7962424,0.19613294,0.21432102,0.6641083,0.5200004,0.64209753,-0.57810193,1.6824613,-1.032348,-1.8369784,-0.997526,2.029942,1.2277311,-0.9840644,1.7492853,-1.0488046,-1.8611648,-1.0476633,1.9879231,1.1758848,-0.9291343,-1.3607929,0.31079,-0.104702406,1.5771761,0.9575115,1.198182,-0.2971782,2.6937313,-0.3373947,0.5386785,-2.7531672,-0.21278442,5.2028613,0.49306488,-0.5008087,0.70833665,0.62358224,0.15127905,0.12715432,0.75636727,-1.270426,-1.1371684,0.64611465,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3437314,-0.06260529,0.011321485,-32.26526,-1.9170702,68.35976,-20.142483,-16.221916,-15.28461,-3.6494017
-5.7837296,123.071014,47.81212,15.325853,-0.05564764,5.080457,0.45099404,-0.80372167,0.29125866,0.1736637,0.65963525,0.52073354,0.63757247,-0.5917683,1.6689131,-1.0196788,-1.8437984,-0.9816998,2.0399964,1.2396421,-0.9883112,1.7343546,-1.0452532,-1.8588855,-1.0335051,1.9966226,1.1868922,-0.93229765,-1.5380938,0.36905286,0.34266505,1.361637,0.8388571,1.0681708,-0.32461116,2.6662197,-0.3395157,0.58993167,-2.7504146,-0.21257168,5.0994735,0.4798336,-0.51127625,0.71564907,0.63519377,0.14290418,0.11930044,0.74958295,-1.3523455,-1.0015922,0.75897354,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3162198,-0.06048432,-0.039931655,-18.003963,5.4917336,45.91164,-21.697092,-12.4537945,-13.010001,-3.3314705
17.218271,134.1078,47.117733,8.542873,-1.5799866,3.8130372,0.14901464,-0.8210189,0.45296845,0.10111246,0.6372879,0.5130446,0.63090825,-0.59266764,1.6522527,-0.9999563,-1.8487743,-0.9697763,2.047927,1.249983,-0.9915644,1.7184721,-1.0402807,-1.854224,-1.0211798,2.004441,1.196757,-0.9357032,-1.605883,0.53885615,0.5098748,1.1890359,0.7619804,0.95967084,-0.34762424,2.6387367,-0.34163666,0.64015174,-2.747665,-0.21235916,4.9961886,0.46621704,-0.52017975,0.72396255,0.64621,0.1339673,0.11208593,0.74290115,-1.3756056,-0.84203434,0.85309017,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2887368,-0.05836335,-0.09015173,-7.0441484,16.697174,17.48296,-17.387724,-7.930815,-10.667885,-2.8389454
