torque0,torque1,torque2,torque3,torque4,torque5,torque6,action0,action1,action2,action3,action4,action5,action6,set_target_0,set_target_1,set_target_2,set_target_3,set_target_4,set_target_5,set_target_6,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_disc_0,joint_vel_disc_1,joint_vel_disc_2,joint_vel_disc_3,joint_vel_disc_4,joint_vel_disc_5,joint_vel_disc_6,tennisball_pos_0,tennisball_pos_1,tennisball_pos_2,tennisball_lin_vel_0,tennisball_lin_vel_1,tennisball_lin_vel_2,end_effector_pos_0,end_effector_pos_1,end_effector_pos_2,end_effector_rot_0,end_effector_rot_1,end_effector_rot_2,end_effector_rot_3,end_effector_lin_vel_0,end_effector_lin_vel_1,end_effector_lin_vel_2,obs_task_0,obs_task_1,obs_task_2,obs_task_3,obs_task_4,obs_task_5,obs_task_6,to_final_target_0,to_final_target_1,to_final_target_2,joint_acc_0,joint_acc_1,joint_acc_2,joint_acc_3,joint_acc_4,joint_acc_5,joint_acc_6,joint_acc_disc_0,joint_acc_disc_1,joint_acc_disc_2,joint_acc_disc_3,joint_acc_disc_4,joint_acc_disc_5,joint_acc_disc_6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7853982,0.0,1.3264502,1.2217305,1.6057029,-0.9075712,1.5707964,0.7853982,0.0,1.3264502,1.2217305,1.6057029,-0.9075712,1.5707964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9480915,-0.49345803,0.35958207,-3.0047915,0.15771767,5.5018187,0.33081388,-0.32899427,0.9088952,0.7746776,-0.054232508,0.61539066,-0.1350104,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5980916,0.09345803,0.19041795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7853982,0.0,1.3264502,1.2217305,1.6057029,-0.9075712,1.5707964,0.7853982,0.0,1.3264502,1.2217305,1.6057029,-0.9075712,1.5707964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9480915,-0.49345803,0.35958207,-3.0047915,0.15771767,5.5018187,0.33081388,-0.32899427,0.9088952,0.7746776,-0.054232508,0.61539066,-0.1350104,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5980916,0.09345803,0.19041795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7853982,0.0,1.3264502,1.2217305,1.6057029,-0.9075712,1.5707964,0.7853982,0.0,1.3264502,1.2217305,1.6057029,-0.9075712,1.5707964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9480915,-0.49345803,0.35958207,-3.0047915,0.15771767,5.5018187,0.33081388,-0.32899427,0.9088952,0.7746776,-0.054232508,0.61539066,-0.1350104,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5980916,0.09345803,0.19041795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.623684,104.65716,35.653336,-70.20859,4.1629887,-2.328713,-1.0940562,-0.556813,0.60820854,0.32551956,-0.5911149,0.7741578,-0.5482448,0.5224734,0.7297169,0.060820855,1.3590022,1.162619,1.6831187,-0.96239567,1.6230437,0.7827093,0.0028509912,1.3280514,1.2189553,1.6080279,-0.90798175,1.5711902,-0.36370784,0.3801331,0.21853088,-0.37037325,0.31013313,-0.054763153,0.052567244,-0.26888847,0.28509912,0.16012192,-0.27751923,0.2325058,-0.04105568,0.03938675,2.9180431,-0.49188066,0.41386452,-3.0047915,0.15771767,5.403719,0.33131742,-0.32767367,0.91037744,0.77497774,-0.05536192,0.61472,-0.13588157,0.06707368,0.17605576,0.19779712,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5680432,0.09188065,0.13613549,-37.94066,38.013584,23.36106,-37.129982,31.060278,-5.4702134,5.288733,-26.888847,28.509912,16.012192,-27.751923,23.25058,-4.105568,3.938675
24.669622,95.76729,25.232313,-66.55922,3.4893503,-1.0663947,-1.3258431,-0.38715732,0.70215744,-0.17486806,-0.5264633,0.7715222,-0.67973244,0.48233643,0.7439936,0.07306674,1.3105646,1.166309,1.6851802,-0.975955,1.6194239,0.7770173,0.009942994,1.3296412,1.2127669,1.6134496,-0.9090384,1.5720896,-0.6537853,0.81884986,0.15417929,-0.70279664,0.61996293,-0.12265709,0.10318902,-0.5692005,0.7092003,0.15897751,-0.61883926,0.54216385,-0.105667114,0.08993149,2.8879948,-0.49030328,0.46716595,-3.0047915,0.15771767,5.3056192,0.33222055,-0.32494044,0.913662,0.77540463,-0.05763559,0.61339176,-0.1384787,0.09844879,0.30600742,0.3717103,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5379949,0.09030327,0.082834065,-33.826424,43.859818,-1.9351423,-33.581722,31.106699,-6.7847295,5.2839813,-30.031204,42.410122,-0.11444092,-34.132004,30.965805,-6.4611435,5.054474
16.668983,73.10542,16.389824,-55.077557,2.7327056,-0.3348899,-1.1311694,-0.28883415,0.7453255,-0.3509209,-0.551183,0.7621241,-0.71027887,0.45233166,0.7481339,0.08447555,1.2945491,1.1576486,1.689662,-0.9800663,1.6173227,0.76950806,0.020874687,1.32942,1.2038653,1.6214538,-0.91075027,1.573438,-0.8048608,1.1844838,-0.060565144,-0.95384604,0.8609574,-0.18707697,0.14646667,-0.75092316,1.0931692,-0.022125244,-0.8901596,0.80041885,-0.17118454,0.13484955,2.8579464,-0.4887259,0.51948637,-3.0047915,0.15771767,5.2075195,0.33331108,-0.32121992,0.9183156,0.7757293,-0.060669705,0.61167806,-0.14287446,0.114405565,0.395333,0.49482647,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5079465,0.088725895,0.030513644,-21.587181,36.525772,-15.405281,-25.476133,24.225151,-6.360817,4.6488853,-18.172264,38.39689,-18.110275,-27.132034,25.8255,-6.5517426,4.491806
7.685422,40.704563,6.7638264,-40.334183,2.1155925,0.26024756,-0.6876722,-0.28433532,0.75210994,-0.39561892,-0.57860184,0.7608481,-0.7237667,0.42456746,0.74107456,0.09608568,1.2898581,1.1460052,1.6975386,-0.98312694,1.6158948,0.76133126,0.034382142,1.3268155,1.193227,1.6312127,-0.91304815,1.5751442,-0.8412849,1.4061104,-0.30879843,-1.1012876,1.0146046,-0.24372135,0.17962661,-0.81768036,1.3507456,-0.26044846,-1.0638237,0.9758949,-0.22978783,0.17061234,2.827898,-0.48714852,0.5708258,-3.0047915,0.15771767,5.10942,0.3344326,-0.3169365,0.9237773,0.7758877,-0.064122796,0.60976535,-0.14856866,0.115458116,0.4421102,0.5599544,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4778981,0.08714852,-0.020825803,-9.450889,22.14582,-19.351616,-14.988112,15.475618,-5.576384,3.5964994,-6.67572,25.757635,-23.832321,-17.36641,17.547607,-5.8603287,3.5762787
6.2794857,21.426865,4.9745026,-29.448647,1.7821915,0.029312402,-0.23513557,-0.23545454,0.7561656,-0.39067698,-0.605148,0.75503266,-0.7320447,0.40755895,0.7377858,0.1099987,1.2877477,1.1327122,1.706716,-0.9862526,1.6159,0.7535693,0.04911793,1.3221654,1.1817086,1.6419473,-0.9158486,1.5771154,-0.769078,1.496084,-0.50289124,-1.1690217,1.0932199,-0.29181108,0.2033972,-0.7761955,1.4735788,-0.4650116,-1.1518478,1.0734558,-0.28004646,0.19712448,2.7978497,-0.48557115,0.6211843,-3.0047915,0.15771767,5.01132,0.3356161,-0.31227183,0.92958385,0.7759442,-0.06789075,0.60774,-0.15476902,0.12495043,0.479101,0.5831437,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4478498,0.08557114,-0.07118428,2.8599381,9.002018,-15.173906,-6.8843603,7.9319,-4.7006903,2.509272,4.1484833,12.283325,-20.456314,-8.802414,9.756088,-5.0258636,2.6512146
2.3656447,3.673471,1.0342512,-21.900928,1.6053163,0.16307235,0.07158388,-0.26960734,0.75045073,-0.3831748,-0.6140214,0.75641507,-0.7377074,0.3848519,0.7266086,0.124163,1.2838479,1.1203065,1.7175888,-0.9896194,1.6156006,0.7466094,0.06405295,1.3161753,1.1699297,1.6531034,-0.91908014,1.579266,-0.6817615,1.4928226,-0.6210279,-1.1811247,1.123196,-0.33368677,0.21923554,-0.6959915,1.4935017,-0.59900284,-1.1778831,1.1156082,-0.32315254,0.21505356,2.7678013,-0.48399377,0.67056173,-3.0047915,0.15771767,4.9132204,0.33685207,-0.3073783,0.93541944,0.7759792,-0.07187927,0.60564375,-0.16088861,0.12926117,0.4984844,0.57906467,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4178014,0.08399376,-0.12056172,5.681753,-0.27201176,-8.796239,-1.2820959,3.0619383,-4.223114,1.6474038,8.020401,1.9922853,-13.399124,-2.603531,4.2152405,-4.310608,1.7929077
0.5510993,-4.6704645,-0.9224429,-18.794308,1.5181204,0.24236375,0.18405485,-0.23170093,0.7524226,-0.441618,-0.62391007,0.74771315,-0.7420152,0.37147006,0.7234393,0.1392952,1.2720135,1.1075387,1.7278746,-0.99328166,1.616413,0.7406203,0.07864327,1.3092393,1.1582139,1.6643271,-0.922685,1.5815367,-0.5795317,1.4480249,-0.7094454,-1.1685946,1.1222612,-0.36983973,0.22978157,-0.5989075,1.4590323,-0.69360733,-1.1715889,1.1223793,-0.3604889,0.22706985,2.737753,-0.4824164,0.7189582,-3.0047915,0.15771767,4.8151207,0.3381052,-0.30235648,0.9411292,0.77602714,-0.07603041,0.6035102,-0.16666363,0.1302621,0.5097454,0.56369066,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.387753,0.082416385,-0.16895819,7.7483773,-4.403281,-6.3610315,1.181674,-0.039815903,-3.7406147,1.094234,9.708405,-3.4469366,-9.460449,0.62942505,0.67710876,-3.733635,1.2016296
5.572449,1.5935159,3.8610911,-18.591099,1.4912012,-0.31773168,0.25763273,-0.15107141,0.7546889,-0.4323479,-0.62352794,0.75063425,-0.7446116,0.36891037,0.72551316,0.15411216,1.2660044,1.0958611,1.7393906,-0.9971462,1.6184276,0.7358386,0.09274299,1.3018016,1.1466916,1.6754594,-0.92660797,1.5838894,-0.45142755,1.3974749,-0.74789214,-1.1471679,1.11026,-0.4001267,0.2371719,-0.4781723,1.4099717,-0.7437706,-1.1522293,1.113224,-0.39229393,0.23527145,2.7077045,-0.480839,0.76637363,-3.0047915,0.15771767,4.717021,0.3395214,-0.29708338,0.94664836,0.77611995,-0.080461815,0.6013583,-0.17184804,0.1511991,0.5396658,0.5437411,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3577046,0.08083901,-0.21637362,10.692328,-4.998255,-1.6371965,2.0258904,-1.1888742,-3.1463087,0.7412672,12.073517,-4.9060583,-5.016327,1.9359589,-0.91552734,-3.1805038,0.8201599
