torque0,torque1,torque2,torque3,torque4,torque5,torque6,action0,action1,action2,action3,action4,action5,action6,set_target_0,set_target_1,set_target_2,set_target_3,set_target_4,set_target_5,set_target_6,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_disc_0,joint_vel_disc_1,joint_vel_disc_2,joint_vel_disc_3,joint_vel_disc_4,joint_vel_disc_5,joint_vel_disc_6,tennisball_pos_0,tennisball_pos_1,tennisball_pos_2,tennisball_lin_vel_0,tennisball_lin_vel_1,tennisball_lin_vel_2,end_effector_pos_0,end_effector_pos_1,end_effector_pos_2,end_effector_rot_0,end_effector_rot_1,end_effector_rot_2,end_effector_rot_3,end_effector_lin_vel_0,end_effector_lin_vel_1,end_effector_lin_vel_2,obs_task_0,obs_task_1,obs_task_2,obs_task_3,obs_task_4,to_final_target_0,to_final_target_1,to_final_target_2,joint_acc_0,joint_acc_1,joint_acc_2,joint_acc_3,joint_acc_4,joint_acc_5,joint_acc_6,joint_acc_disc_0,joint_acc_disc_1,joint_acc_disc_2,joint_acc_disc_3,joint_acc_disc_4,joint_acc_disc_5,joint_acc_disc_6,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7564762,0.046511088,1.3465018,1.1799499,1.6450809,-0.8645265,1.5702697,0.7564762,0.046511088,1.3465018,1.1799499,1.6450809,-0.8645265,1.5702697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.166462,-0.5289979,0.65319145,-3.2014983,0.11256949,5.265643,0.3422494,-0.31101894,0.93237597,0.78071755,-0.057259664,0.60101163,-0.16120265,0,0,0,1,0,0,0,0,0,0,-3.816462,0.12899789,-0.103191435,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.4019,51.44623,36.361115,-48.51042,4.2982693,-3.9113812,0.4761525,0.5775674,-0.15257831,0.54545903,-0.5005295,0.6073972,0.36223733,0.28085396,0.84311134,0.02362434,1.4283206,1.1048704,1.7361906,-0.8101909,1.6123978,0.7571991,0.04632384,1.3471818,1.1792938,1.6451734,-0.8643758,1.5704175,0.14458717,-0.037451066,0.13594383,-0.13115373,0.018547624,0.03010297,0.029638825,0.14457703,-0.0374496,0.13599396,-0.13122559,0.018501282,0.030136108,0.029563904,3.1504545,-0.52843523,0.67927337,-3.2014983,0.11256949,5.216382,0.342556,-0.31052637,0.9326763,0.7809975,-0.057699494,0.6007291,-0.16074269,0.06162569,0.09842422,0.06007789,1,0,0,0,0,0,0,-3.8004546,0.12843522,-0.12927336,28.917435,-7.4902134,27.188766,-26.230747,3.7095249,6.020594,5.927765,28.915405,-7.4899197,27.198792,-26.245117,3.7002563,6.0272217,5.912781
42.28166,56.18582,39.274475,-47.4843,4.3099794,-4.351634,0.52555937,0.6445981,-0.13532193,0.55080724,-0.49763483,0.5991838,0.36436737,0.32996133,0.8538888,0.026025549,1.4298029,1.1046485,1.735051,-0.8097207,1.6199117,0.75870496,0.045972202,1.3485312,1.178033,1.645491,-0.8641584,1.5706264,0.30120632,-0.07033017,0.26979846,-0.2520796,0.0634685,0.04350728,0.041770253,0.30117035,-0.07032752,0.26988983,-0.2521515,0.06351471,0.04348755,0.041770935,3.134447,-0.52787256,0.705109,-3.2014983,0.11256949,5.167121,0.3431964,-0.30950713,0.9332635,0.7815761,-0.058625545,0.6001472,-0.15976578,0.128229,0.20370081,0.11742255,1,0,0,0,0,0,0,-3.7844472,0.12787256,-0.15510899,31.32383,-6.5758214,26.770926,-24.185175,8.984176,2.6808624,2.4262857,31.318665,-6.5755844,26.779175,-24.18518,9.002686,2.670288,2.4414062
31.98571,36.22023,29.213545,-43.02448,4.2604237,-3.3381486,0.64473486,0.6623965,-0.23504998,0.54892665,-0.49460608,0.6116467,0.29586512,0.33220613,0.8580644,0.010714702,1.4308703,1.103842,1.737238,-0.8197786,1.6204573,0.76092464,0.045358602,1.3504615,1.1762544,1.6460308,-0.86389375,1.5708886,0.44391394,-0.12272025,0.3860707,-0.35573608,0.1080077,0.05293403,0.052541852,0.4439354,-0.12272,0.38604736,-0.35572052,0.10795593,0.052928925,0.052452087,3.1184397,-0.5273099,0.7306983,-3.2014983,0.11256949,5.11786,0.34407902,-0.30806446,0.93410337,0.78244925,-0.059941575,0.5992695,-0.15829097,0.17643942,0.28861016,0.16798851,1,0,0,0,0,0,0,-3.7684398,0.12730989,-0.18069828,28.541523,-10.478015,23.254448,-20.731295,8.90784,1.8853493,2.1543198,28.553009,-10.478497,23.231506,-20.713806,8.888245,1.8882751,2.1362305
24.456415,24.354456,21.867197,-40.695007,4.1195626,-2.5214362,0.6157107,0.6573304,-0.26517028,0.54501355,-0.51904076,0.61159265,0.27849537,0.33656675,0.8595242,0.005583059,1.4322135,1.0983983,1.7377697,-0.8221194,1.6213737,0.76375276,0.044467185,1.3528838,1.1740037,1.6467775,-0.8635886,1.5712034,0.56564075,-0.17828304,0.484531,-0.45009485,0.14936855,0.061082117,0.06287869,0.56562424,-0.17828345,0.48446655,-0.45013428,0.1493454,0.061035156,0.062942505,3.1024323,-0.5267472,0.7560413,-3.2014983,0.11256949,5.0685987,0.34513187,-0.30627465,0.93517685,0.7835928,-0.061573457,0.59811056,-0.15638012,0.21020803,0.35817677,0.21465115,1,0,0,0,0,0,0,-3.7524323,0.12674722,-0.20604128,24.345362,-11.112557,19.692057,-18.871754,8.272171,1.6296178,2.0673678,24.337769,-11.11269,19.683838,-18.882751,8.277893,1.6212463,2.0980835
17.641348,13.878379,15.2562065,-38.27405,3.950214,-1.7748684,0.58673376,0.6491839,-0.298775,0.53749585,-0.52999634,0.61395246,0.27475947,0.32614166,0.86113036,-0.00034906343,1.4335082,1.0945042,1.7388704,-0.82237464,1.6201246,0.76708966,0.043290142,1.3557162,1.1713334,1.6477159,-0.86324525,1.5715648,0.66738576,-0.23540668,0.5665339,-0.5340674,0.1877738,0.06864115,0.0723114,0.6673813,-0.23540854,0.56648254,-0.5340576,0.1876831,0.06866455,0.07228851,3.0864248,-0.52618456,0.781138,-3.2014983,0.11256949,5.0193377,0.34629154,-0.30420947,0.93646115,0.78498,-0.06345045,0.596687,-0.15409376,0.23108107,0.4133947,0.25689787,1,0,0,0,0,0,0,-3.736425,0.12618455,-0.23113799,20.349003,-11.424729,16.400587,-16.794508,7.681048,1.5118062,1.8865421,20.35141,-11.425018,16.403198,-16.784668,7.6675415,1.5258789,1.8692017
12.806863,7.3351088,10.629068,-36.15889,3.7437768,-1.2224973,0.547456,0.64065725,-0.31580946,0.53347087,-0.5372106,0.6169912,0.292519,0.32071075,0.86318827,-0.004081279,1.4357369,1.0907519,1.7402647,-0.8193674,1.6196715,0.7708481,0.04184181,1.358892,1.1682941,1.6488336,-0.8628628,1.5719701,0.7517128,-0.28966582,0.63516456,-0.607898,0.22348861,0.0764643,0.08103229,0.7516861,-0.28966665,0.6351471,-0.607872,0.22354126,0.07648468,0.08106232,3.0704174,-0.5256219,0.8059884,-3.2014983,0.11256949,4.9700766,0.34751225,-0.30192423,0.9379342,0.7865826,-0.06551569,0.59501916,-0.15148455,0.24286392,0.4576986,0.29467222,1,0,0,0,0,0,0,-3.7204175,0.12562189,-0.25598836,16.865408,-10.851828,13.726128,-14.766121,7.142964,1.5646309,1.7441779,16.860962,-10.851622,13.73291,-14.762878,7.171631,1.5640259,1.7547607
9.199199,2.6381025,7.220184,-34.142647,3.5363877,-0.8211603,0.5198116,0.6406559,-0.332356,0.5297454,-0.5391926,0.61187917,0.2648794,0.32053307,0.86694646,-0.008011594,1.4383538,1.0874152,1.7406155,-0.8231309,1.6200501,0.77496415,0.04013807,1.3623548,1.1649362,1.6501144,-0.86244845,1.5724164,0.82320756,-0.3407454,0.69256014,-0.671637,0.25611722,0.082904376,0.08928995,0.82321167,-0.34074783,0.6925583,-0.67157745,0.25615692,0.0828743,0.089263916,3.05441,-0.5250592,0.83059245,-3.2014983,0.11256949,4.9208155,0.34876108,-0.29945946,0.93957233,0.7883728,-0.06772654,0.5931288,-0.14859219,0.24800739,0.49356338,0.32781512,1,0,0,0,0,0,0,-3.70441,0.12505922,-0.28059244,14.298952,-10.215914,11.4791155,-12.747801,6.525722,1.2880147,1.6515315,14.305115,-10.216236,11.482239,-12.741089,6.5231323,1.2779236,1.6403198
6.0927877,-1.5342122,4.316947,-31.995565,3.3333395,-0.48684493,0.5109971,0.64254546,-0.35037526,0.5245389,-0.5328154,0.6104055,0.21318817,0.32477078,0.871346,-0.012418222,1.4410356,1.0850139,1.7416753,-0.8304702,1.621132,0.7793868,0.038191233,1.366055,1.1613132,1.6515449,-0.8620131,1.5729028,0.8845312,-0.38936496,0.7400417,-0.7245267,0.28610763,0.08706679,0.09727388,0.8845329,-0.38936734,0.74005127,-0.72460175,0.2861023,0.087070465,0.09727478,3.0384026,-0.52449656,0.85495025,-3.2014983,0.11256949,4.8715544,0.35001278,-0.29685307,0.9413519,0.7903258,-0.07004524,0.59103715,-0.14544345,0.24770536,0.5219024,0.35598543,1,0,0,0,0,0,0,-3.6884027,0.12449655,-0.30495024,12.264729,-9.723913,9.496307,-10.577941,5.998081,0.8324832,1.596786,12.264252,-9.723902,9.498596,-10.604858,5.9890747,0.8392334,1.6021729
1.7502074,-8.462956,0.15348661,-30.314684,3.2225099,-0.02859464,0.49891227,0.6290504,-0.38394332,0.5150913,-0.53600544,0.60873824,0.17025737,0.31734496,0.87374437,-0.019400269,1.4433187,1.0809124,1.7428557,-0.8364745,1.6205045,0.7840546,0.035992716,1.369945,1.1574622,1.6531137,-0.8615663,1.5734254,0.93355536,-0.4397034,0.7779969,-0.7701656,0.31367385,0.08934256,0.10458225,0.9335518,-0.43970346,0.7780075,-0.7701874,0.31375885,0.08935928,0.104522705,3.0223951,-0.5239339,0.8790617,-3.2014983,0.11256949,4.8222933,0.35122585,-0.29415298,0.9432558,0.79242426,-0.07242907,0.58875585,-0.14207111,0.23955166,0.54079825,0.38095817,1,0,0,0,0,0,0,-3.6723952,0.12393388,-0.3290617,9.804832,-10.06769,7.591045,-9.127784,5.5132446,0.455153,1.4616742,9.803772,-10.0672245,7.5912476,-9.117126,5.531311,0.45776367,1.449585
