pure_target_joint_0,pure_target_joint_1,pure_target_joint_2,pure_target_joint_3,pure_target_joint_4,pure_target_joint_5,pure_target_joint_6,target_joint_0,target_joint_1,target_joint_2,target_joint_3,target_joint_4,target_joint_5,target_joint_6,pos_joint_0,pos_joint_1,pos_joint_2,pos_joint_3,pos_joint_4,pos_joint_5,pos_joint_6,vel_joint_0,vel_joint_1,vel_joint_2,vel_joint_3,vel_joint_4,vel_joint_5,vel_joint_6,vel_smooth_joint_0,vel_smooth_joint_1,vel_smooth_joint_2,vel_smooth_joint_3,vel_smooth_joint_4,vel_smooth_joint_5,vel_smooth_joint_6,ee_pos_x,ee_pos_y,ee_pos_z,ee_or_w,ee_or_x,ee_or_y,ee_or_z,ee_vel_x,ee_vel_y,ee_vel_z,ball_pos_x,ball_pos_y,ball_pos_z,ball_raw_vx,ball_raw_vy,ball_raw_vz,ball_ema_vx,ball_ema_vy,ball_ema_vz,action_0,action_1,action_2,action_3,action_4,action_5,action_6,command_published
2.6977,-1.683,1.69786,0.954778,1.38271,-1.35558,-2.80626,-63.7653,-19.7134,-6.69609,1.11487,-18.6016,13.9163,-1.74232,2.65011,-1.60871,1.77354,1.00331,1.42838,-1.42066,-2.85375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700037,9.45E-05,0.564308,-0.382538,0.000125166,0.000125089,0.92394,0,0,0,2.25826,-0.495143,0.304788,0.117781,0.018486,-0.10881,0.108095,0.022609,-0.0860059,0.475974,-0.742912,-0.756802,-0.485352,-0.456726,0.650746,0.474907,1
2.69721,-1.68315,1.69774,0.954125,1.38328,-1.3557,-2.80638,-63.7206,-19.735,-6.70742,1.11413,-18.5544,13.8873,-1.7699,2.65011,-1.60871,1.77354,1.00331,1.42838,-1.42066,-2.85375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700037,9.45E-05,0.564308,-0.382538,0.000125166,0.000125089,0.92394,0,0,0,2.25949,-0.494986,0.302782,0.119533,0.0152528,-0.193946,0.116101,0.0174596,-0.161564,0.471018,-0.744398,-0.758066,-0.49188,-0.450987,0.649636,0.473676,1
2.69663,-1.68333,1.69758,0.953424,1.38388,-1.35585,-2.8065,-63.6694,-19.7591,-6.72073,1.11332,-18.5,13.8536,-1.80141,2.65011,-1.60871,1.77354,1.00331,1.42838,-1.42066,-2.85375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700037,9.45E-05,0.564308,-0.382538,0.000125166,0.000125089,0.92394,0,0,0,2.26076,-0.494806,0.299867,0.114009,0.0162589,-0.263335,0.114637,0.0166191,-0.232804,0.465284,-0.746134,-0.759607,-0.498891,-0.444981,0.648098,0.472483,1
2.6956,-1.68362,1.69738,0.9526,1.3851,-1.35605,-2.80693,-63.614,-19.7986,-6.74001,1.11223,-18.4288,13.8138,-1.84335,2.65011,-1.60871,1.77354,1.00331,1.42838,-1.42066,-2.85375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700037,9.45E-05,0.564308,-0.382538,0.000125166,0.000125089,0.92394,0,0,0,2.26246,-0.494734,0.295763,0.185608,0.00785592,-0.447012,0.164316,0.0104849,-0.382749,0.454967,-0.749068,-0.7616,-0.507128,-0.432791,0.646092,0.468242,1
2.69476,-1.6838,1.6972,0.952112,1.38562,-1.35611,-2.80717,-63.5839,-19.819,-6.75166,1.1115,-18.3896,13.7906,-1.86654,2.65011,-1.60871,1.77354,1.00331,1.42838,-1.42066,-2.85375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700037,9.45E-05,0.564308,-0.382538,0.000125166,0.000125089,0.92394,0,0,0,2.26431,-0.494763,0.290521,0.187188,-0.00300299,-0.53139,0.180327,0.00104337,-0.486798,0.446545,-0.750836,-0.763466,-0.512011,-0.427644,0.645447,0.46586,1
2.69369,-1.68398,1.69699,0.951588,1.38618,-1.3562,-2.80739,-63.545,-19.842,-6.76514,1.11062,-18.3449,13.7636,-1.89249,2.65011,-1.60871,1.77354,1.00331,1.42838,-1.42066,-2.85375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700037,9.45E-05,0.564308,-0.382538,0.000125166,0.000125089,0.92394,0,0,0,2.26613,-0.49494,0.284215,0.191094,-0.0184601,-0.659937,0.187864,-0.012609,-0.607995,0.435856,-0.7527,-0.765548,-0.517246,-0.421978,0.644638,0.463642,1
2.69256,-1.68423,1.6969,0.950802,1.38696,-1.35645,-2.80793,-63.5358,-19.8667,-6.77964,1.10961,-18.299,13.7435,-1.92084,2.65011,-1.60871,1.77354,1.00331,1.42838,-1.42066,-2.85375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700037,9.45E-05,0.564308,-0.382538,0.000125166,0.000125089,0.92394,0,0,0,2.26876,-0.494659,0.276865,0.248731,0.0265265,-0.695314,0.230471,0.0147858,-0.669119,0.424565,-0.75514,-0.766408,-0.525107,-0.414223,0.642127,0.45823,1
2.69163,-1.68446,1.69653,0.949561,1.38681,-1.35677,-2.80767,-63.4388,-19.89,-6.8018,1.10831,-18.2063,13.678,-1.97256,2.65011,-1.60871,1.77354,1.00331,1.42838,-1.42066,-2.85375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700037,9.45E-05,0.564308,-0.382538,0.000125166,0.000125089,0.92394,0,0,0,2.26876,-0.494499,0.269153,-0.000321726,0.0154572,-0.743398,0.0689161,0.0152558,-0.721114,0.415245,-0.757515,-0.770164,-0.537523,-0.415727,0.638864,0.460791,1
2.68833,-1.68523,1.69593,0.947439,1.38808,-1.35761,-2.8088,-63.3733,-19.9573,-6.85074,1.10563,-18.048,13.5924,-2.06617,2.65011,-1.60871,1.77354,1.00331,1.42838,-1.42066,-2.85375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700037,9.45E-05,0.564308,-0.382538,0.000125166,0.000125089,0.92394,0,0,0,2.2687,-0.494333,0.260864,-0.00893975,0.0236588,-1.18626,0.014417,0.0211379,-1.04672,0.382249,-0.765213,-0.77617,-0.558738,-0.403002,0.630522,0.449488,1
2.68844,-1.68503,1.69603,0.948213,1.38773,-1.35733,-2.80861,-63.4027,-19.9386,-6.83858,1.10616,-18.1007,13.6228,-2.03482,2.65011,-1.60871,1.77354,1.00331,1.42838,-1.42066,-2.85375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700037,9.45E-05,0.564308,-0.382538,0.000125166,0.000125089,0.92394,0,0,0,2.26964,-0.494416,0.251407,0.09666,-0.00841465,-0.969849,0.0719871,0.000451109,-0.99291,0.383296,-0.7632,-0.775142,-0.551004,-0.406476,0.633269,0.451423,1
2.68748,-1.68519,1.69599,0.947953,1.38805,-1.35759,-2.80908,-63.4241,-19.9488,-6.84707,1.10568,-18.084,13.6206,-2.04553,2.65011,-1.60871,1.77354,1.00331,1.42838,-1.42066,-2.85375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700037,9.45E-05,0.564308,-0.382538,0.000125166,0.000125089,0.92394,0,0,0,2.27101,-0.494116,0.240985,0.132876,0.0289599,-1.00915,0.114609,0.0204073,-1.00428,0.373713,-0.76473,-0.775559,-0.553601,-0.403344,0.630671,0.446725,1
2.68603,-1.68538,1.69578,0.947445,1.38829,-1.35786,-2.80934,-63.3993,-19.9669,-6.86266,1.10475,-18.039,13.595,-2.07098,2.65011,-1.60871,1.77354,1.00331,1.42838,-1.42066,-2.85375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700037,9.45E-05,0.564308,-0.382538,0.000125166,0.000125089,0.92394,0,0,0,2.27184,-0.49398,0.229606,0.0812445,0.013391,-1.12101,0.091254,0.0154959,-1.08599,0.359266,-0.766718,-0.777643,-0.558685,-0.400961,0.628018,0.444133,1
2.68567,-1.68534,1.69579,0.947641,1.38808,-1.35788,-2.80929,-63.4089,-19.9612,-6.86161,1.10474,-18.0502,13.602,-2.06366,2.65011,-1.60871,1.77354,1.00331,1.42838,-1.42066,-2.85375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700037,9.45E-05,0.564308,-0.382538,0.000125166,0.000125089,0.92394,0,0,0,2.27322,-0.493747,0.216958,0.110153,0.0186201,-1.00816,0.104483,0.0176829,-1.03151,0.355607,-0.766309,-0.777583,-0.556716,-0.403025,0.627787,0.444571,1
2.68199,-1.68583,1.69536,0.946594,1.3889,-1.35845,-2.81037,-63.3972,-20.0036,-6.89601,1.10264,-17.965,13.5616,-2.11382,2.65011,-1.60871,1.77354,1.00331,1.42838,-1.42066,-2.85375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700037,9.45E-05,0.564308,-0.382538,0.000125166,0.000125089,0.92394,0,0,0,2.27425,-0.493391,0.203515,0.104426,0.0360231,-1.3592,0.104443,0.030521,-1.26089,0.318861,-0.771181,-0.781832,-0.567186,-0.394802,0.622063,0.433803,1
2.67914,-1.68605,1.69508,0.946209,1.38907,-1.35866,-2.81089,-63.3922,-20.0214,-6.91478,1.10123,-17.9307,13.5451,-2.13289,2.65011,-1.60871,1.77354,1.00331,1.42838,-1.42066,-2.85375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700037,9.45E-05,0.564308,-0.382538,0.000125166,0.000125089,0.92394,0,0,0,2.27515,-0.493259,0.189075,0.0928816,0.0135682,-1.48468,0.0963501,0.0186541,-1.41755,0.290298,-0.773343,-0.784648,-0.57104,-0.393158,0.620013,0.428603,1
2.67679,-1.68619,1.69488,0.94597,1.38912,-1.35885,-2.81122,-63.3842,-20.0339,-6.92944,1.10011,-17.9049,13.5321,-2.14645,2.65011,-1.60871,1.77354,1.00331,1.42838,-1.42066,-2.85375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700037,9.45E-05,0.564308,-0.382538,0.000125166,0.000125089,0.92394,0,0,0,2.27599,-0.49315,0.173646,0.0832313,0.0108855,-1.5389,0.0871669,0.013216,-1.5025,0.266797,-0.774744,-0.786641,-0.573429,-0.392629,0.61811,0.425284,1
2.67482,-1.68626,1.69473,0.945838,1.38906,-1.35898,-2.81135,-63.3683,-20.0422,-6.94072,1.09918,-17.8855,13.5207,-2.15566,2.65011,-1.60871,1.77354,1.00331,1.42838,-1.42066,-2.85375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700037,9.45E-05,0.564308,-0.382538,0.000125166,0.000125089,0.92394,0,0,0,2.2767,-0.493202,0.157404,0.0689143,-0.00508907,-1.58122,0.0743901,0.000402462,-1.5576,0.24718,-0.775503,-0.788137,-0.574747,-0.393195,0.616791,0.423993,1
2.67042,-1.68655,1.69446,0.945453,1.38954,-1.35938,-2.81226,-63.37,-20.071,-6.9684,1.09717,-17.8398,13.5029,-2.18045,2.65011,-1.60871,1.77354,1.00331,1.42838,-1.42066,-2.85375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700037,9.45E-05,0.564308,-0.382538,0.000125166,0.000125089,0.92394,0,0,0,2.27784,-0.492836,0.139786,0.115383,0.0367626,-1.77077,0.103085,0.0258545,-1.70682,0.203105,-0.778331,-0.790875,-0.578601,-0.388421,0.612769,0.414905,1
2.66792,-1.68662,1.69432,0.945337,1.38952,-1.35954,-2.8124,-63.3461,-20.0823,-6.98237,1.09601,-17.816,13.4889,-2.19119,2.65011,-1.60871,1.77354,1.00331,1.42838,-1.42066,-2.85375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700037,9.45E-05,0.564308,-0.382538,0.000125166,0.000125089,0.92394,0,0,0,2.2788,-0.492726,0.121459,0.0930781,0.0107485,-1.78697,0.0960802,0.0152803,-1.76293,0.178182,-0.779077,-0.792256,-0.579762,-0.388568,0.611188,0.413499,1
