pure_target_joint_0,pure_target_joint_1,pure_target_joint_2,pure_target_joint_3,pure_target_joint_4,pure_target_joint_5,pure_target_joint_6,target_joint_0,target_joint_1,target_joint_2,target_joint_3,target_joint_4,target_joint_5,target_joint_6,pos_joint_0,pos_joint_1,pos_joint_2,pos_joint_3,pos_joint_4,pos_joint_5,pos_joint_6,vel_joint_0,vel_joint_1,vel_joint_2,vel_joint_3,vel_joint_4,vel_joint_5,vel_joint_6,vel_smooth_joint_0,vel_smooth_joint_1,vel_smooth_joint_2,vel_smooth_joint_3,vel_smooth_joint_4,vel_smooth_joint_5,vel_smooth_joint_6,ee_pos_x,ee_pos_y,ee_pos_z,ee_or_w,ee_or_x,ee_or_y,ee_or_z,ee_vel_x,ee_vel_y,ee_vel_z,ball_pos_x,ball_pos_y,ball_pos_z,ball_raw_vx,ball_raw_vy,ball_raw_vz,ball_ema_vx,ball_ema_vy,ball_ema_vz,action_0,action_1,action_2,action_3,action_4,action_5,action_6,command_published
1.7027,-1.00701,-1.88402,-1.07933,1.97095,1.18243,-0.973816,1.77541,-1.06107,-1.81948,-1.1147,1.93934,1.12095,-0.919921,1.78025,-1.06467,-1.81517,-1.11705,1.93724,1.11685,-0.916328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53107,-0.454428,0.694256,0.574541,0.175204,0.152626,0.7848,0,0,0,2.99426,-0.500961,0.236905,-3.59274,-0.188096,4.91081,-3.70514,-0.249405,4.63412,-0.775495,0.576579,-0.688524,0.377241,0.337134,0.655723,-0.574873,1
1.70268,-1.00474,-1.88286,-1.07186,1.97426,1.18266,-0.973755,1.75602,-1.04651,-1.83662,-1.1048,1.94798,1.13736,-0.934289,1.78025,-1.06467,-1.81517,-1.11705,1.93724,1.11685,-0.916328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53107,-0.454428,0.694256,0.574541,0.175204,0.152626,0.7848,0,0,0,2.95815,-0.502548,0.286012,-3.56955,-0.156834,4.85434,-3.61421,-0.222026,4.60232,-0.775725,0.599259,-0.676868,0.451923,0.370229,0.658031,-0.574268,1
1.70108,-1.00109,-1.88,-1.06242,1.97784,1.18328,-0.972142,1.72683,-1.02409,-1.86197,-1.0882,1.96167,1.16205,-0.955731,1.77981,-1.06434,-1.81556,-1.11684,1.93743,1.11723,-0.916654,-0.0878563,0.065322,-0.0780031,0.0427371,0.0381958,0.0742893,-0.0651272,-0.0878563,0.065322,-0.0780031,0.0427371,0.0381958,0.0742893,-0.0651272,0.530778,-0.454707,0.694377,0.575007,0.175039,0.152655,0.78449,-0.0565525,-0.0555806,0.0233565,2.92166,-0.504281,0.334084,-3.74083,-0.177659,4.92759,-3.612,-0.202391,4.63173,-0.787297,0.632504,-0.644388,0.544169,0.404119,0.660563,-0.554876,1
1.69769,-1.00067,-1.87233,-1.05546,1.9798,1.18513,-0.97366,1.70682,-1.00789,-1.87755,-1.07317,1.97236,1.1788,-0.969772,1.7766,-1.06194,-1.81841,-1.11524,1.93884,1.11994,-0.919034,-0.482275,0.361121,-0.426843,0.243051,0.2134,0.40803,-0.357421,-0.482275,0.361121,-0.426843,0.243051,0.2134,0.40803,-0.357421,0.528634,-0.456751,0.695285,0.578419,0.173811,0.152858,0.782212,-0.313994,-0.305624,0.132958,2.88544,-0.505255,0.38081,-3.47052,-0.0932774,4.47734,-3.60488,-0.175613,4.57337,-0.789176,0.612738,-0.539248,0.597802,0.40963,0.651842,-0.546263,1
1.68737,-0.99886,-1.86242,-1.04838,1.97854,1.19184,-0.980212,1.69988,-1.00213,-1.87795,-1.06322,1.97705,1.18407,-0.973534,1.76717,-1.05482,-1.82671,-1.11029,1.94309,1.12792,-0.926006,-1.14007,0.864432,-0.999996,0.610776,0.519415,0.964487,-0.841483,-1.14007,0.864432,-0.999996,0.610776,0.519415,0.964487,-0.841483,0.522207,-0.462739,0.698101,0.588462,0.170097,0.153391,0.775404,-0.76259,-0.718394,0.337824,2.84902,-0.508125,0.425876,-3.77441,-0.297563,4.67112,-3.6226,-0.172673,4.51557,-0.797978,0.559628,-0.357167,0.619095,0.354415,0.639196,-0.542059,1
1.67227,-0.987549,-1.86238,-1.03986,1.98022,1.2048,-0.991607,1.69468,-0.999757,-1.87181,-1.05548,1.97868,1.18742,-0.976046,1.75206,-1.04322,-1.83974,-1.10164,1.95019,1.14069,-0.937079,-1.56003,1.20585,-1.32897,0.928202,0.745119,1.31652,-1.13678,-1.56003,1.20585,-1.32897,0.928202,0.745119,1.31652,-1.13678,0.511506,-0.472248,0.703098,0.604568,0.16379,0.154036,0.764162,-1.09152,-0.971479,0.524119,2.81283,-0.50994,0.470967,-3.60425,-0.180672,4.49011,-3.62609,-0.177194,4.42249,-0.797911,0.556734,-0.226412,0.617832,0.30036,0.641089,-0.545283,1
1.65671,-0.975698,-1.87067,-1.02932,1.99034,1.21775,-1.00377,1.68512,-0.995176,-1.8665,-1.04771,1.97997,1.19449,-0.982391,1.73652,-1.03105,-1.85224,-1.09136,1.95792,1.15373,-0.948198,-1.46854,1.15317,-1.1294,1.02552,0.743072,1.22662,-1.03857,-1.46854,1.15317,-1.1294,1.02552,0.743072,1.22662,-1.03857,0.499846,-0.481928,0.709186,0.621164,0.156615,0.154164,0.752237,-1.08817,-0.904046,0.595393,2.77633,-0.511899,0.514436,-3.59351,-0.192912,4.28,-3.62307,-0.183246,4.31064,-0.798039,0.553537,-0.184225,0.620353,0.324201,0.640208,-0.555707,1
1.64474,-0.965541,-1.8808,-1.01882,1.99971,1.22791,-1.01291,1.67202,-0.986858,-1.86624,-1.03902,1.98352,1.20501,-0.992009,1.72448,-1.02173,-1.86013,-1.08212,1.96403,1.16365,-0.956499,-1.20449,0.920379,-0.65302,1.00806,0.612593,0.978508,-0.809904,-1.20449,0.920379,-0.65302,1.00806,0.612593,0.978508,-0.809904,0.490263,-0.489242,0.714883,0.633902,0.150276,0.153538,0.742975,-0.945382,-0.723829,0.61416,2.74015,-0.514047,0.55647,-3.50691,-0.208183,4.07398,-3.61169,-0.193204,4.18142,-0.797368,0.561875,-0.206661,0.632956,0.356822,0.642694,-0.564138,1
1.63527,-0.953317,-1.89087,-1.00976,2.00834,1.23581,-1.01779,1.65819,-0.97617,-1.87188,-1.0293,1.99054,1.21656,-1.00242,1.71466,-1.01449,-1.86398,-1.07334,1.96886,1.17148,-0.962943,-0.884568,0.652187,-0.346583,0.790635,0.434806,0.705675,-0.580209,-0.884568,0.652187,-0.346583,0.790635,0.434806,0.705675,-0.580209,0.481953,-0.494985,0.72058,0.644099,0.144215,0.152118,0.735662,-0.714635,-0.509692,0.496586,2.70446,-0.515948,0.597588,-3.62305,-0.192971,4.17475,-3.59752,-0.199783,4.06159,-0.793833,0.611685,-0.268864,0.635706,0.394861,0.64326,-0.548421,1
1.6233,-0.94575,-1.88889,-0.999604,2.00637,1.2442,-1.02429,1.64575,-0.965163,-1.88014,-1.0193,1.99872,1.22692,-1.01122,1.70373,-1.00737,-1.86479,-1.0641,1.97284,1.18002,-0.970227,-1.11419,0.723921,-0.0700478,0.918272,0.394284,0.873623,-0.751601,-1.11419,0.723921,-0.0700478,0.918272,0.394284,0.873623,-0.751601,0.472668,-0.500408,0.727394,0.654647,0.136659,0.150072,0.728176,-0.891216,-0.537864,0.666802,2.66859,-0.517793,0.63815,-3.67472,-0.189014,4.1544,-3.62904,-0.205647,4.0051,-0.804298,0.616157,-0.241058,0.644944,0.335271,0.641747,-0.540595,1
