X,Y,Z,vx,vy,vz
2.99686,-0.412516,0.550632,-2.24698,-0.230154,1.5803
2.95439,-0.416325,0.581161,-2.05462,-0.188392,1.5299
2.91178,-0.420043,0.611137,-2.1678,-0.176671,1.48324
2.86848,-0.424001,0.640459,-2.12116,-0.226375,1.43912
2.82521,-0.427984,0.66884,-2.1651,-0.196201,1.41049
2.78162,-0.431448,0.696265,-2.18828,-0.159898,1.34843
2.73842,-0.435063,0.722228,-2.16393,-0.185651,1.28697
2.69488,-0.439034,0.747,-2.17476,-0.201795,1.22459
2.65141,-0.442839,0.770569,-2.14472,-0.192389,1.17424
2.60861,-0.446797,0.793439,-2.14033,-0.198513,1.13158
2.58693,-0.44875,0.804448,-2.16784,-0.195333,1.10083
2.52268,-0.454785,0.836008,-2.14517,-0.203934,1.02939
2.47968,-0.458583,0.855968,-2.15015,-0.181606,0.981957
2.43696,-0.462105,0.874424,-2.12767,-0.167707,0.912672
2.39432,-0.465488,0.892114,-2.12479,-0.166374,0.874799
2.35198,-0.469293,0.908738,-2.09823,-0.205341,0.805777
2.30923,-0.473394,0.924666,-2.10233,-0.191161,0.774658
2.26674,-0.477021,0.939177,-2.13375,-0.191438,0.723696
2.22469,-0.480669,0.9529,-2.08986,-0.185823,0.675243
2.18265,-0.484528,0.966015,-2.10626,-0.194421,0.648326
2.14026,-0.488275,0.978043,-2.13058,-0.188464,0.589049
2.0979,-0.491993,0.989102,-2.1214,-0.186038,0.540745
2.05586,-0.495744,0.999168,-2.1044,-0.183731,0.488412
2.014,-0.499612,1.00817,-2.11167,-0.190425,0.43323
1.97161,-0.503247,1.01616,-2.11506,-0.181907,0.384927
1.92951,-0.506888,1.023,-2.09585,-0.179738,0.329387
1.88762,-0.510732,1.02882,-2.08981,-0.195205,0.281632
1.84549,-0.514641,1.03364,-2.1013,-0.192785,0.22682
1.80346,-0.518395,1.03753,-2.10276,-0.189602,0.182641
1.76132,-0.521916,1.04044,-2.10885,-0.176185,0.131941
1.71944,-0.525318,1.04202,-2.08071,-0.168389,0.0661135
1.67812,-0.528674,1.04278,-2.06215,-0.174326,0.038588
1.63676,-0.532256,1.04279,-2.06045,-0.179321,-0.0125051
1.59546,-0.535975,1.04172,-2.06276,-0.188434,-0.0651598
1.55393,-0.539461,1.03949,-2.08571,-0.172472,-0.124168
1.51257,-0.542796,1.03646,-2.06373,-0.173038,-0.162768
1.47114,-0.54645,1.03265,-2.06552,-0.179148,-0.197744
1.42978,-0.55009,1.02793,-2.07717,-0.186902,-0.251687
1.38842,-0.553621,1.02225,-2.06366,-0.172567,-0.298893
1.34753,-0.556918,1.01558,-2.03459,-0.16005,-0.351024
1.3065,-0.560312,1.00778,-2.05421,-0.17013,-0.402558
1.26521,-0.563707,0.998964,-2.06664,-0.166118,-0.458837
1.22425,-0.56711,0.989189,-2.04556,-0.170606,-0.499094
1.18332,-0.570816,0.978353,-2.04773,-0.18335,-0.555009
1.14243,-0.5745,0.966618,-2.03569,-0.17404,-0.598836
1.10151,-0.578135,0.95392,-2.04514,-0.184834,-0.64469
1.06034,-0.581476,0.940033,-2.06661,-0.15927,-0.709397
1.01953,-0.584737,0.925129,-2.03313,-0.157595,-0.755078
0.979112,-0.588017,0.909349,-2.01919,-0.154763,-0.797105
0.938703,-0.591234,0.892516,-2.01799,-0.16169,-0.860006
0.8985,-0.594584,0.874627,-2.01287,-0.167036,-0.901884
0.858136,-0.598,0.85588,-2.0156,-0.169271,-0.945479
0.817936,-0.601256,0.836502,-2.00167,-0.164056,-0.97596
0.77763,-0.60474,0.816279,-2.01908,-0.169533,-1.01563
0.737263,-0.607959,0.795044,-2.01741,-0.154442,-1.07454
0.696872,-0.611096,0.772925,-2.01635,-0.163674,-1.14688
0.656806,-0.614299,0.749569,-2.00376,-0.167918,-1.18753
0.617876,-0.618283,0.726609,-1.91833,-0.225991,-1.11015
0.585847,-0.625718,0.711458,-1.42544,-0.42004,-0.57233
0.564404,-0.638426,0.709151,-0.95945,-0.696272,-0.0274122
0.547907,-0.653568,0.710775,-0.82888,-0.820524,0.0986814
0.53092,-0.668933,0.711562,-0.789869,-0.683719,-0.0727117
0.514935,-0.685418,0.714182,-0.785285,-0.868595,0.0937819
0.498237,-0.701287,0.713645,-0.796375,-0.764918,-0.0469267
0.480283,-0.717501,0.712201,-0.895455,-0.81808,-0.0816584
0.463514,-0.733914,0.709424,-0.888428,-0.822574,-0.190002
0.44683,-0.749671,0.706118,-0.809988,-0.812578,-0.140214
0.422357,-0.772858,0.699555,-0.798675,-0.837702,-0.196254
0.413391,-0.781198,0.697079,-0.896594,-0.83406,-0.247663
0.387426,-0.805076,0.687174,-0.91922,-0.817227,-0.361806
0.379323,-0.813485,0.683528,-0.810325,-0.840855,-0.364655
0.362374,-0.829493,0.674414,-0.867102,-0.796199,-0.471824
0.345629,-0.845172,0.665491,-0.889912,-0.794822,-0.487202
0.329978,-0.860459,0.655651,-0.757641,-0.799578,-0.454921
0.312977,-0.87692,0.644825,-0.859782,-0.815892,-0.585562
0.29619,-0.892805,0.632682,-0.902724,-0.791693,-0.638783
0.279907,-0.909011,0.620166,-0.783175,-0.827265,-0.659776
0.262924,-0.924671,0.605518,-0.82581,-0.773603,-0.706202
0.246221,-0.94009,0.59016,-0.83407,-0.744987,-0.814581
0.23108,-0.95587,0.575336,-0.777903,-0.828737,-0.729042
0.214668,-0.972156,0.558455,-0.759408,-0.817513,-0.857115
0.197474,-0.987563,0.54076,-0.851139,-0.788301,-0.889492
0.17272,-1.0117,0.51148,-0.8596,-0.777602,-1.02531
0.1562,-1.02717,0.491007,-0.849938,-0.765514,-1.07624
0.141596,-1.04213,0.47053,-0.721771,-0.781441,-0.990626
0.132913,-1.05023,0.460077,-0.868392,-0.810444,-1.04527
0.108301,-1.07383,0.425553,-0.861293,-0.761104,-1.17501
0.0927346,-1.09004,0.401531,-0.7599,-0.81898,-1.24079
0.0760157,-1.10567,0.376105,-0.789678,-0.780678,-1.23228
0.0599198,-1.1205,0.349287,-0.78944,-0.702,-1.36254
0.0448458,-1.13568,0.323681,-0.792879,-0.76679,-1.2551
0.0285707,-1.15171,0.296074,-0.774652,-0.780487,-1.39659
0.012315,-1.16704,0.267099,-0.789499,-0.787234,-1.44832
-0.00347524,-1.18246,0.236978,-0.817794,-0.724959,-1.52243
-0.0191143,-1.19797,0.205676,-0.758606,-0.770915,-1.56794
-0.0344907,-1.21248,0.173668,-0.652337,-0.67215,-1.56526
-0.050801,-1.22801,0.142552,-0.836748,-0.803256,-1.59585
-0.0657539,-1.24313,0.10945,-0.717592,-0.722528,-1.66786
