pure_target_joint_0,pure_target_joint_1,pure_target_joint_2,pure_target_joint_3,pure_target_joint_4,pure_target_joint_5,pure_target_joint_6,target_joint_0,target_joint_1,target_joint_2,target_joint_3,target_joint_4,target_joint_5,target_joint_6,pos_joint_0,pos_joint_1,pos_joint_2,pos_joint_3,pos_joint_4,pos_joint_5,pos_joint_6,vel_joint_0,vel_joint_1,vel_joint_2,vel_joint_3,vel_joint_4,vel_joint_5,vel_joint_6,vel_smooth_joint_0,vel_smooth_joint_1,vel_smooth_joint_2,vel_smooth_joint_3,vel_smooth_joint_4,vel_smooth_joint_5,vel_smooth_joint_6,ee_pos_x,ee_pos_y,ee_pos_z,ee_or_w,ee_or_x,ee_or_y,ee_or_z,ee_vel_x,ee_vel_y,ee_vel_z,ball_pos_x,ball_pos_y,ball_pos_z,ball_raw_vx,ball_raw_vy,ball_raw_vz,ball_ema_vx,ball_ema_vy,ball_ema_vz,action_0,action_1,action_2,action_3,action_4,action_5,action_6,command_published
2.59288,-1.681,1.69986,1.07106,1.45205,-1.36212,-2.84025,-10.6356,-15.0659,6.48905,1.07742,-12.4529,10.7372,-7.00735,2.6501,-1.60871,1.77358,1.00334,1.42833,-1.42078,-2.85378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700002,9.43706e-05,0.564326,-0.382533,4.36279e-05,0.000136785,0.923942,0,0,0,2.99636,-0.654635,0.974765,-2.99483,0.0441643,3.71572,-3.0426,0.0382703,4.10948,-0.572287,-0.7229,-0.737281,0.677128,0.237236,0.586544,0.13531,1
2.59257,-1.68074,1.69987,1.07083,1.45327,-1.36226,-2.83961,-10.649,-15.039,6.47751,1.07743,-12.4349,10.7602,-6.98807,2.6501,-1.60871,1.77358,1.00334,1.42833,-1.42078,-2.85378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700002,9.43706e-05,0.564326,-0.382533,4.36279e-05,0.000136785,0.923942,0,0,0,2.96599,-0.654194,1.01145,-3.11436,0.0452799,3.76206,-3.05695,0.0396722,4.04,-0.575353,-0.720293,-0.737156,0.674832,0.249431,0.585175,0.141766,1
2.59241,-1.68055,1.69987,1.07062,1.45433,-1.36246,-2.83881,-10.5864,-15.0437,6.47724,1.07762,-12.4055,10.7259,-7.00091,2.6501,-1.60871,1.77358,1.00334,1.42833,-1.42078,-2.85378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700002,9.43706e-05,0.564326,-0.382533,4.36279e-05,0.000136785,0.923942,0,0,0,2.93556,-0.65374,1.04711,-3.06835,0.0457414,3.59545,-3.05923,0.0408861,3.95109,-0.576948,-0.718445,-0.737132,0.67278,0.260014,0.583219,0.149746,1
2.59234,-1.68041,1.69986,1.07044,1.4552,-1.36272,-2.83771,-10.4626,-15.0724,6.4849,1.07794,-12.3661,10.6466,-7.03762,2.6501,-1.60871,1.77358,1.00334,1.42833,-1.42078,-2.85378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700002,9.43706e-05,0.564326,-0.382533,4.36279e-05,0.000136785,0.923942,0,0,0,2.90512,-0.65331,1.08174,-3.02311,0.0427324,3.43959,-3.05201,0.0412553,3.84879,-0.577658,-0.717077,-0.737291,0.671011,0.268732,0.580551,0.160728,1
2.59252,-1.68041,1.69987,1.07029,1.45615,-1.36304,-2.8366,-10.2115,-15.1527,6.51233,1.07861,-12.3057,10.4713,-7.12984,2.6501,-1.60871,1.77358,1.00334,1.42833,-1.42078,-2.85378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700002,9.43706e-05,0.564326,-0.382533,4.36279e-05,0.000136785,0.923942,0,0,0,2.87475,-0.652999,1.11529,-2.89515,0.0296294,3.19844,-3.02064,0.0389302,3.71872,-0.575855,-0.716985,-0.737096,0.669442,0.278248,0.577377,0.171861,1
2.59233,-1.68019,1.69985,1.07012,1.45671,-1.36326,-2.83553,-10.1793,-15.1483,6.50712,1.07865,-12.2853,10.4594,-7.1281,2.6501,-1.60871,1.77358,1.00334,1.42833,-1.42078,-2.85378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700002,9.43706e-05,0.564326,-0.382533,4.36279e-05,0.000136785,0.923942,0,0,0,2.84443,-0.652786,1.14782,-3.11338,0.0218888,3.33997,-3.03919,0.0355219,3.64297,-0.577744,-0.714791,-0.737335,0.667742,0.283778,0.57513,0.182468,1
2.5923,-1.68005,1.69985,1.06996,1.45733,-1.36352,-2.83451,-10.0682,-15.176,6.51435,1.07891,-12.2519,10.3877,-7.16123,2.6501,-1.60871,1.77358,1.00334,1.42833,-1.42078,-2.85378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700002,9.43706e-05,0.564326,-0.382533,4.36279e-05,0.000136785,0.923942,0,0,0,2.81427,-0.652649,1.17928,-3.04584,0.0138122,3.17682,-3.04052,0.03118,3.54974,-0.578059,-0.713464,-0.737354,0.666165,0.289983,0.572544,0.192728,1
2.59234,-1.67994,1.69986,1.06982,1.45808,-1.36383,-2.83334,-9.90378,-15.2227,6.52875,1.07932,-12.2075,10.2777,-7.21549,2.6501,-1.60871,1.77358,1.00334,1.42833,-1.42078,-2.85378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700002,9.43706e-05,0.564326,-0.382533,4.36279e-05,0.000136785,0.923942,0,0,0,2.78412,-0.652511,1.2097,-3.03085,0.013892,3.05866,-3.03858,0.0277224,3.45152,-0.577661,-0.712295,-0.73724,0.66473,0.297505,0.569473,0.204377,1
2.59242,-1.67984,1.69989,1.06969,1.45885,-1.36408,-2.83239,-9.74165,-15.2707,6.5446,1.07974,-12.1652,10.1679,-7.2713,2.6501,-1.60871,1.77358,1.00334,1.42833,-1.42078,-2.85378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700002,9.43706e-05,0.564326,-0.382533,4.36279e-05,0.000136785,0.923942,0,0,0,2.75403,-0.652378,1.23912,-3.01368,0.0133397,2.94614,-3.0336,0.0248458,3.35045,-0.576869,-0.711341,-0.736958,0.663441,0.305237,0.566939,0.21392,1
2.59261,-1.67985,1.69994,1.06956,1.45969,-1.36434,-2.83166,-9.52913,-15.3406,6.56943,1.08032,-12.1154,10.0179,-7.35206,2.6501,-1.60871,1.77358,1.00334,1.42833,-1.42078,-2.85378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700002,9.43706e-05,0.564326,-0.382533,4.36279e-05,0.000136785,0.923942,0,0,0,2.7239,-0.652209,1.26755,-2.90045,0.016264,2.73713,-3.00697,0.0231294,3.22778,-0.574914,-0.711472,-0.736483,0.662172,0.313634,0.564351,0.221192,1
