action0,action1,action2,action3,action4,action5,action6,set_target_0,set_target_1,set_target_2,set_target_3,set_target_4,set_target_5,set_target_6,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,to_target_pos0,to_target_pos1,to_target_pos2,to_target_vel0,to_target_vel1,to_target_vel2,ee_orien0,ee_orien1,ee_orien2,ee_orien3,tennisball_pos_0,tennisball_pos_1,tennisball_pos_2,tennisball_lin_vel_0,tennisball_lin_vel_1,tennisball_lin_vel_2,end_effector_pos_0,end_effector_pos_1,end_effector_pos_2,end_effector_lin_vel_0,end_effector_lin_vel_1,end_effector_lin_vel_2,obs_task_0,obs_task_1,obs_task_2,obs_task_3,obs_task_4,to_final_target_0,to_final_target_1,to_final_target_2
-0.036518943,0.90843093,0.17349002,0.31391972,0.20052521,0.1564623,-0.65797126,0.2617994,-1.5707964,1.5707964,1.5707964,1.5707964,-1.5707964,1.3089969,0.2617994,-1.5707964,1.5707964,1.5707964,1.5707964,-1.5707964,1.3089969,0,0,0,0,0,0,0,3.6380033,0.051945686,1.2248726,-4.5589275,-0.058468513,2.8105586,0.3275441,0.051021814,0.02656564,-0.9430831,3.4665356,-0.5287533,1.4586676,-4.470119,-0.048752014,2.799173,-0.17146778,-0.58069897,0.23379506,0.08880835,0.009716501,-0.01138535,1,0,0,0,0,0,0,0
0.95447445,0.9825541,-0.18165259,0.65984005,-0.89811915,0.6296248,-0.41667628,0.2944505,-1.5371847,1.5644555,1.600739,1.526906,-1.5312359,1.2828164,0.26097563,-1.570424,1.5647311,1.5761615,1.553132,-1.5525948,1.294099,0.0034835488,0.23709705,-0.6420597,0.5143745,-1.0830789,1.049775,-0.70657563,3.6699972,-0.034124136,1.0845711,-4.8473806,0.029843334,2.802826,0.99987215,0.009275184,0.011926412,-0.0052335607,3.3920345,-0.5295658,1.5032561,-4.470119,-0.048752014,2.634013,-0.27796268,-0.49544168,0.4186849,0.37726188,-0.07859535,-0.16881295,1,0,0,0,0,0,0,0
0.9653362,0.9799924,0.24237594,0.61690336,-0.90251446,0.6690232,-0.4638652,0.2939983,-1.5368999,1.5731916,1.6041557,1.5090269,-1.5105588,1.2649535,0.26270676,-1.5702392,1.5575095,1.5867386,1.5306402,-1.5288894,1.2770265,0.24747597,0.053277314,-0.3176102,0.65271,-1.0505648,1.0682377,-0.72494084,3.588121,-0.03373933,1.1293763,-4.993247,0.04782412,2.5898955,0.99938345,0.020753255,0.027213339,-0.00784847,3.3175335,-0.53037834,1.5450917,-4.470119,-0.048752014,2.4688528,-0.27058744,-0.496639,0.41571546,0.523128,-0.09657613,-0.12104266,1,0,0,0,0,0,0,0
0.9643833,0.9825246,0.5256423,0.567773,-0.8999303,0.6312071,-0.49287325,0.29569682,-1.5366285,1.5758579,1.6125033,1.4866613,-1.4892294,1.2460583,0.26853195,-1.5727394,1.5557528,1.5983821,1.5079601,-1.5061756,1.2591344,0.47680146,-0.05701249,-0.031245312,0.674898,-1.0694456,0.9945489,-0.7660246,3.504095,-0.032966852,1.1703502,-5.0998774,0.06094901,2.354005,0.9987153,0.028906591,0.040743113,-0.00849659,3.2430325,-0.5311909,1.5841749,-4.470119,-0.048752014,2.3036926,-0.26106262,-0.49822402,0.4138247,0.6297584,-0.10970102,-0.05031243,1,0,0,0,0,0,0,0
0.9638909,0.9831173,0.64107287,0.51183957,-0.90115035,0.6290038,-0.4861811,0.30150518,-1.5391084,1.5781304,1.6216086,1.4639215,-1.4666542,1.2285868,0.27789313,-1.576246,1.5576153,1.6098962,1.4849147,-1.4837482,1.2415464,0.6639631,-0.06524033,0.11163365,0.65682083,-1.0867465,0.99554867,-0.75150937,3.4184637,-0.0317626,1.2075305,-5.1846952,0.0802117,2.1358535,0.9979253,0.03467954,0.05371568,-0.007558341,3.1685314,-0.5320034,1.6205052,-4.470119,-0.048752014,2.1385324,-0.24993229,-0.5002408,0.41297466,0.714576,-0.12896371,0.0026788935,1,0,0,0,0,0,0,0
0.96177465,0.9834572,0.7315377,0.38766786,-0.9009137,0.61457455,-0.51464766,0.31079394,-1.5426035,1.5831507,1.627488,1.4408877,-1.4451333,1.2092102,0.29048222,-1.5797458,1.5617176,1.6199082,1.4611958,-1.4617299,1.2231605,0.8441895,-0.049507536,0.22723664,0.53760463,-1.1130532,0.9786425,-0.79958916,3.3317943,-0.030052185,1.2410784,-5.230181,0.10688788,1.9202318,0.9969981,0.03845066,0.06689029,-0.006482954,3.0940304,-0.53281593,1.6540829,-4.470119,-0.048752014,1.9733721,-0.23776388,-0.50276375,0.41300446,0.7600624,-0.15563989,0.053140335,1,0,0,0,0,0,0,0
0.96039116,0.9832867,0.7688929,0.19248831,-0.8988545,0.58996487,-0.5183749,0.3233357,-1.5461091,1.588557,1.628643,1.4172695,-1.4246613,1.19059,0.30623809,-1.5827222,1.5672958,1.6264396,1.4366409,-1.4406505,1.2047573,1.0188272,-0.005700169,0.29440653,0.30329403,-1.1309602,0.9499734,-0.8074808,3.2448096,-0.027614117,1.2711235,-5.2325425,0.1513751,1.7152044,0.99592286,0.040303975,0.080486156,-0.005931105,3.0195293,-0.53362846,1.6849079,-4.470119,-0.048752014,1.8082117,-0.22528028,-0.50601435,0.41378438,0.76242334,-0.20012711,0.09300732,1,0,0,0,0,0,0,0
0.9564646,0.98414505,0.791092,-0.011218805,-0.89388186,0.564804,-0.543719,0.33895725,-1.549056,1.5949101,1.6259304,1.3929576,-1.4051628,1.1705945,0.32485574,-1.5849147,1.5738262,1.6282305,1.4115775,-1.4204022,1.1855747,1.16686,0.042485617,0.3427507,0.022463858,-1.1329663,0.9302525,-0.8553831,3.158102,-0.024263859,1.2978059,-5.206065,0.20285425,1.517372,0.9946761,0.040616706,0.09444427,-0.0070737135,2.9450283,-0.534441,1.7129803,-4.470119,-0.048752014,1.6430513,-0.21307373,-0.51017714,0.4151744,0.73594636,-0.25160626,0.12567921,1,0,0,0,0,0,0,0
0.9565866,0.98438734,0.7714557,-0.33047062,-0.8897711,0.54051,-0.53660893,0.35757908,-1.5512403,1.6007551,1.6132342,1.368095,-1.3864409,1.1518586,0.34628364,-1.5860845,1.5806928,1.6232244,1.385526,-1.4013249,1.166765,1.3229711,0.10695,0.34936932,-0.4143388,-1.1421285,0.9107637,-0.8518733,3.0723538,-0.019618988,1.3213272,-5.1322002,0.29066205,1.3329741,0.9932042,0.03961667,0.1089414,-0.010379124,2.8705273,-0.5352535,1.7383083,-4.470119,-0.048752014,1.4785649,-0.20182657,-0.51563454,0.41698116,0.6620814,-0.33941406,0.14559075,1,0,0,0,0,0,0,0
0.9528639,0.98457354,0.76937145,-0.5645831,-0.8822462,0.53550977,-0.5113509,0.37887964,-1.5524037,1.607549,1.5976044,1.3424113,-1.3676778,1.1346358,0.36998945,-1.5863402,1.5877792,1.6109407,1.3593785,-1.3822454,1.1488001,1.4250782,0.15163581,0.36305732,-0.79968184,-1.108956,0.9410559,-0.8241189,2.98798,-0.013496399,1.3417891,-5.050283,0.37087604,1.1518266,0.99146104,0.03828342,0.123611666,-0.016106993,2.7960262,-0.53606606,1.760895,-4.470119,-0.048752014,1.3140785,-0.19195366,-0.52256966,0.41910592,0.5801639,-0.41962805,0.16225182,1,0,0,0,0,0,0,0
0.9475126,0.9841263,0.775458,-0.63314426,-0.87983334,0.5576759,-0.53566337,0.4024024,-1.5526748,1.6148478,1.5822095,1.3163817,-1.3472056,1.1151434,0.3946603,-1.5860766,1.5952297,1.5939192,1.333925,-1.361881,1.1298804,1.442342,0.17295784,0.37882078,-0.98910934,-1.0734099,1.0112946,-0.8759913,2.9047093,-0.006415367,1.3592584,-4.9985347,0.4067241,0.9766351,0.9894077,0.037275046,0.1381309,-0.024551054,2.7215252,-0.5368786,1.7807403,-4.470119,-0.048752014,1.149592,-0.18318415,-0.5304632,0.42148182,0.5284156,-0.4554761,0.17295693,1,0,0,0,0,0,0,0
0.9428629,0.9845576,0.77759814,-0.6677671,-0.8719688,0.5061997,-0.5522355,0.4269142,-1.5523964,1.6223731,1.5636169,1.2913126,-1.3300755,1.0951824,0.4194456,-1.5854747,1.6028003,1.5743605,1.30897,-1.3428077,1.1102518,1.4304352,0.18373045,0.3866318,-1.0914065,-1.0458118,0.932574,-0.90731096,2.822215,0.00092601776,1.3738545,-4.9585333,0.40919408,0.8054259,0.9871273,0.035504837,0.15202458,-0.03475049,2.6470242,-0.5376911,1.7978537,-4.470119,-0.048752014,0.9858783,-0.17519093,-0.53861713,0.4239992,0.48841426,-0.4579461,0.1804524,1,0,0,0,0,0,0,0
0.9386614,0.9846339,0.78786534,-0.6989228,-0.869536,0.49517956,-0.55799764,0.45155576,-1.5517919,1.630302,1.5426444,1.2664764,-1.3116946,1.0751917,0.4439571,-1.5848418,1.6107347,1.5533425,1.2841598,-1.3241826,1.0903614,1.4080502,0.18249321,0.40493724,-1.1610003,-1.0374935,0.92589873,-0.92020315,2.7402935,0.008320332,1.385599,-4.9269376,0.41028622,0.63558644,0.9845827,0.033269737,0.16540016,-0.046180345,2.572523,-0.53850365,1.8122386,-4.470119,-0.048752014,0.8221645,-0.16777039,-0.546824,0.42663956,0.4568185,-0.45903823,0.18657805,1,0,0,0,0,0,0,0
0.9329945,0.9843724,0.78933734,-0.7050035,-0.8682975,0.47442174,-0.57806456,0.47587338,-1.551168,1.6382878,1.5213504,1.2417268,-1.2943739,1.0540404,0.46804842,-1.5842209,1.6189182,1.5314825,1.2594953,-1.3061974,1.0697263,1.3773601,0.18063794,0.41211793,-1.1930329,-1.031092,0.8941431,-0.9559814,2.6588097,0.015638828,1.3945472,-4.903731,0.4021708,0.46984679,0.98175895,0.030514793,0.178217,-0.058796912,2.498022,-0.5393162,1.8238949,-4.470119,-0.048752014,0.65845066,-0.16078758,-0.554955,0.4293477,0.43361178,-0.45092282,0.1886039,1,0,0,0,0,0,0,0
0.9267783,0.9845966,0.80874544,-0.7072156,-0.86905646,0.33151987,-0.5994927,0.49975207,-1.5505394,1.6471487,1.49939,1.2170252,-1.2853674,1.0320591,0.49180838,-1.5836796,1.6272124,1.5090122,1.2348031,-1.2927928,1.0482866,1.3525845,0.16404465,0.43411493,-1.2107118,-1.0279883,0.6517517,-0.99273765,2.577736,0.022576332,1.4007201,-4.879546,0.371773,0.29897022,0.9788547,0.025538994,0.18970235,-0.07214097,2.423521,-0.5401287,1.8328227,-4.470119,-0.048752014,0.49473685,-0.15421486,-0.56270504,0.43210253,0.40942714,-0.420525,0.19576664,1,0,0,0,0,0,0,0
0.9291269,0.98418194,0.81213385,-0.72332144,-0.86661524,0.37396634,-0.57944244,0.52359235,-1.5500122,1.6555612,1.4761889,1.1924523,-1.2692958,1.0118791,0.5150747,-1.583447,1.6361804,1.4863489,1.2100831,-1.2786868,1.02749,1.3265353,0.15776418,0.45080036,-1.2318,-1.0232928,0.7379034,-0.9598809,2.496924,0.029392242,1.4040637,-4.864258,0.37393066,0.13376273,0.9756735,0.020676617,0.20069714,-0.08575797,2.34902,-0.54094124,1.8390218,-4.470119,-0.048752014,0.33102304,-0.14790392,-0.5703335,0.43495813,0.39413884,-0.42268267,0.1972603,1,0,0,0,0,0,0,0
