ball_x,ball_y,ball_z
-0.178131,-0.606482,0.11788
-0.178134,-0.606476,0.117877
-0.178136,-0.606477,0.11788
-0.178133,-0.606477,0.117879
-0.178149,-0.606486,0.117889
-0.178144,-0.606484,0.117897
-0.178138,-0.606488,0.117874
-0.17815,-0.606506,0.117869
-0.178147,-0.606488,0.117887
-0.178149,-0.606464,0.117928
-0.178144,-0.606431,0.117959
-0.178094,-0.606428,0.117949
-0.178028,-0.606459,0.117861
-0.177964,-0.606454,0.117777
-0.177902,-0.6064,0.117715
-0.17791,-0.606355,0.117676
-0.17792,-0.606376,0.117652
-0.177931,-0.606453,0.117678
-0.177953,-0.60652,0.117715
-0.178002,-0.606529,0.117772
-0.178031,-0.606513,0.117801
-0.178007,-0.606513,0.117733
-0.178012,-0.606455,0.117691
-0.178068,-0.606351,0.117744
-0.178241,-0.606222,0.117838
-0.178474,-0.606223,0.117897
-0.178655,-0.606383,0.117943
-0.178823,-0.606583,0.117988
-0.178878,-0.606587,0.117981
-0.17885,-0.606435,0.117915
-0.178771,-0.606125,0.117812
-0.178672,-0.605841,0.117716
-0.178533,-0.605586,0.117671
-0.178367,-0.605364,0.117638
-0.178208,-0.605445,0.117834
-0.17808,-0.605428,0.117751
-0.17798,-0.60561,0.117656
-0.177934,-0.605861,0.117583
-0.177968,-0.606007,0.117432
-0.177998,-0.606178,0.117311
-0.178064,-0.606453,0.117191
-0.17812,-0.606774,0.117064
-0.17818,-0.607153,0.116984
-0.178202,-0.607377,0.116857
-0.178237,-0.607455,0.116749
-0.178237,-0.60737,0.116702
-0.178222,-0.607226,0.116694
-0.17816,-0.607056,0.116694
-0.178083,-0.606891,0.116681
-0.178005,-0.606705,0.116661
-0.177863,-0.606447,0.116637
-0.17779,-0.606211,0.116599
-0.177728,-0.606021,0.11658
-0.177704,-0.605913,0.11654
-0.17772,-0.605956,0.116508
-0.177789,-0.606108,0.116471
-0.177866,-0.60633,0.116455
-0.178,-0.606572,0.116432
-0.178126,-0.606817,0.116385
-0.17823,-0.606992,0.116364
-0.17838,-0.607116,0.116356
-0.178465,-0.607165,0.116368
-0.178562,-0.607213,0.116394
-0.178636,-0.607252,0.116441
-0.178681,-0.607235,0.116479
-0.178698,-0.607077,0.116537
-0.178701,-0.606829,0.116577
-0.178674,-0.606588,0.116599
-0.178631,-0.606433,0.116635
-0.178567,-0.606339,0.116663
-0.178528,-0.606259,0.116669
-0.178502,-0.606158,0.116667
-0.178482,-0.606103,0.11667
-0.178485,-0.606172,0.116653
-0.178493,-0.606344,0.116633
-0.178491,-0.606531,0.116627
-0.178511,-0.606709,0.116594
-0.178505,-0.606808,0.116553
-0.178481,-0.606854,0.116506
-0.178433,-0.606881,0.116463
-0.178389,-0.606946,0.116405
-0.178321,-0.607001,0.116375
-0.178243,-0.606966,0.116342
-0.178185,-0.606891,0.116318
-0.178104,-0.606757,0.11629
-0.178021,-0.606619,0.116284
-0.177917,-0.606537,0.11629
-0.177833,-0.606493,0.116292
-0.17777,-0.606481,0.116286
-0.177704,-0.606449,0.116276
-0.177682,-0.606425,0.116268
-0.17764,-0.606444,0.116269
-0.177638,-0.606512,0.116284
-0.177656,-0.606612,0.116318
-0.177688,-0.606699,0.116358
-0.177723,-0.606738,0.11641
-0.177769,-0.60675,0.116483
-0.177818,-0.606752,0.116531
-0.177855,-0.606752,0.116592
-0.177908,-0.606758,0.116625
-0.177949,-0.606753,0.116654
-0.17798,-0.606725,0.116687
-0.178034,-0.606648,0.116681
-0.178056,-0.606593,0.11669
-0.178048,-0.606555,0.116664
-0.178069,-0.606558,0.116637
-0.178097,-0.606579,0.116591
-0.178112,-0.606588,0.116543
-0.178142,-0.606599,0.116506
-0.178154,-0.606614,0.116436
-0.17816,-0.606642,0.11639
-0.178159,-0.606664,0.116347
-0.178159,-0.606678,0.116295
-0.17816,-0.6067,0.116285
-0.17816,-0.606675,0.116275
-0.17815,-0.606659,0.116261
-0.17815,-0.606649,0.116262
