joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
0.785398,0,1.32645,1.22173,1.6057,-0.907571,1.5708
0.785398,0,1.32645,1.22173,1.6057,-0.907571,1.5708
0.785398,0,1.32645,1.22173,1.6057,-0.907571,1.5708
0.770387,0.0163971,1.33523,1.20579,1.62657,-0.922352,1.58488
0.763271,0.0316751,1.32858,1.19515,1.64237,-0.936803,1.59419
0.75919,0.04591,1.3194,1.18504,1.65512,-0.948467,1.60043
0.754306,0.0594372,1.31144,1.17452,1.66656,-0.957811,1.6046
0.749852,0.0730684,1.30505,1.16325,1.67738,-0.965479,1.60765
0.743586,0.0868434,1.29933,1.15167,1.68822,-0.971987,1.60979
0.738154,0.100984,1.29197,1.13977,1.69891,-0.977728,1.61158
0.734746,0.115307,1.28497,1.12793,1.70983,-0.982963,1.61342
0.730301,0.129414,1.27533,1.11557,1.72053,-0.987985,1.61377
0.7291,0.1434,1.26599,1.10356,1.7312,-0.992767,1.61465
0.726568,0.157123,1.25566,1.09139,1.74182,-0.997696,1.61414
0.726807,0.170545,1.24557,1.07947,1.75234,-1.00257,1.61435
0.724893,0.183759,1.23469,1.06716,1.76281,-1.0076,1.61241
0.724749,0.196857,1.22438,1.05519,1.77345,-1.01259,1.6126
0.723432,0.209835,1.21353,1.04316,1.78385,-1.01756,1.61208
0.722756,0.222613,1.20247,1.03107,1.79429,-1.02275,1.61131
0.7209,0.235062,1.19114,1.01914,1.80464,-1.02801,1.61001
0.718894,0.247389,1.17989,1.00741,1.81507,-1.0332,1.61047
0.716052,0.259387,1.16823,0.995796,1.82561,-1.03855,1.6102
0.711813,0.27101,1.15612,0.984164,1.83602,-1.044,1.60837
0.708281,0.282576,1.14442,0.973002,1.8467,-1.04932,1.60958
0.703271,0.293889,1.13265,0.962079,1.85724,-1.05465,1.61157
0.697477,0.305045,1.12062,0.950951,1.86779,-1.06017,1.61242
0.690793,0.315259,1.10848,0.941198,1.87853,-1.06567,1.61533
0.683257,0.325177,1.09608,0.931315,1.88916,-1.07127,1.61704
0.673814,0.333634,1.08352,0.922622,1.90001,-1.07682,1.61865
0.66356,0.342031,1.07093,0.913987,1.91095,-1.08227,1.62047
0.652038,0.348426,1.05796,0.906072,1.92172,-1.08784,1.62044
0.640877,0.354103,1.04497,0.898937,1.93266,-1.09324,1.62141
0.629452,0.359017,1.03217,0.892122,1.94377,-1.09875,1.62118
0.617854,0.363781,1.01973,0.885513,1.955,-1.104,1.62151
0.606178,0.36783,1.00715,0.878692,1.96613,-1.10936,1.62091
0.594574,0.372222,0.994839,0.872121,1.97739,-1.11466,1.62129
0.58305,0.375002,0.982318,0.865734,1.98859,-1.12005,1.61986
0.571853,0.377762,0.969879,0.859237,1.99985,-1.12538,1.61819
0.561465,0.378392,0.957679,0.853981,2.01099,-1.13095,1.61659
0.551596,0.379341,0.945594,0.849099,2.02211,-1.13658,1.61459
0.54164,0.379978,0.933556,0.844559,2.03333,-1.14196,1.6131
0.532599,0.379896,0.921325,0.840714,2.04427,-1.14756,1.61103
0.524394,0.376646,0.909327,0.837874,2.05528,-1.15322,1.60874
0.51793,0.36983,0.897439,0.837765,2.06632,-1.15867,1.60616
0.515438,0.36019,0.885512,0.836522,2.07744,-1.16419,1.60428
0.522477,0.347776,0.874127,0.83569,2.08848,-1.16998,1.60365
0.531321,0.334558,0.862695,0.837297,2.0997,-1.17531,1.60533
0.543964,0.321498,0.852121,0.839214,2.11058,-1.18056,1.60816
0.556182,0.308375,0.841673,0.839534,2.12145,-1.1859,1.61026
0.569056,0.295171,0.833175,0.842283,2.13236,-1.19143,1.61427
0.582209,0.281661,0.826321,0.847221,2.14303,-1.19722,1.61718
0.596241,0.268261,0.821852,0.855814,2.15378,-1.20296,1.62202
0.61032,0.255108,0.816452,0.865326,2.16448,-1.20864,1.62673
0.624371,0.24227,0.810571,0.875943,2.17552,-1.2138,1.63382
0.638248,0.230045,0.805146,0.886935,2.18656,-1.21867,1.64032
