joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
0.785398,0,1.32645,1.22173,1.6057,-0.907571,1.5708
0.785398,0,1.32645,1.22173,1.6057,-0.907571,1.5708
0.785398,0,1.32645,1.22173,1.6057,-0.907571,1.5708
0.729717,0.0608209,1.359,1.16262,1.68312,-0.962396,1.62304
0.743994,0.0730667,1.31056,1.16631,1.68518,-0.975955,1.61942
0.748134,0.0844755,1.29455,1.15765,1.68966,-0.980066,1.61732
0.741075,0.0960857,1.28986,1.14601,1.69754,-0.983127,1.61589
0.737786,0.109999,1.28775,1.13271,1.70672,-0.986253,1.6159
0.726609,0.124163,1.28385,1.12031,1.71759,-0.989619,1.6156
0.723439,0.139295,1.27201,1.10754,1.72787,-0.993282,1.61641
0.725513,0.154112,1.266,1.09586,1.73939,-0.997146,1.61843
0.718258,0.167632,1.24923,1.08207,1.74953,-1.00159,1.6147
0.725844,0.18129,1.24068,1.07103,1.76012,-1.00572,1.61704
0.71971,0.194302,1.22765,1.0584,1.77059,-1.01105,1.61275
0.727456,0.206907,1.21825,1.04717,1.78085,-1.01579,1.61491
0.719706,0.21956,1.20523,1.03381,1.79116,-1.0212,1.60715
0.72436,0.232343,1.19643,1.02278,1.80227,-1.02613,1.61314
0.719864,0.244994,1.18414,1.01058,1.81205,-1.03103,1.61066
0.720926,0.257231,1.17252,0.998308,1.82257,-1.03679,1.60922
0.715869,0.26879,1.16044,0.986831,1.83266,-1.04227,1.60649
0.713459,0.280785,1.14942,0.975622,1.84333,-1.04724,1.61172
0.708354,0.291893,1.13663,0.964328,1.85418,-1.05305,1.60946
0.700329,0.302499,1.12331,0.952652,1.86421,-1.05879,1.6034
0.698711,0.31391,1.11272,0.942759,1.87563,-1.06373,1.61288
0.689697,0.324539,1.10076,0.932488,1.8858,-1.06907,1.61695
0.681779,0.335269,1.08803,0.920804,1.89638,-1.07512,1.61472
0.672686,0.342932,1.0756,0.914774,1.90763,-1.0806,1.6232
0.662838,0.352047,1.06247,0.90454,1.91794,-1.08643,1.62168
0.648232,0.356546,1.0495,0.899069,1.92941,-1.09185,1.62303
0.635779,0.36478,1.03683,0.890592,1.94059,-1.09705,1.62541
0.620824,0.365752,1.02282,0.884631,1.95092,-1.10292,1.62035
0.610637,0.369483,1.00979,0.879605,1.9623,-1.10786,1.62404
0.5985,0.372332,0.997475,0.873659,1.97387,-1.11367,1.62054
0.586433,0.376687,0.986034,0.867609,1.98543,-1.11824,1.62242
0.574544,0.378798,0.973066,0.860209,1.99627,-1.12388,1.61927
0.563136,0.384122,0.961484,0.854319,2.0079,-1.129,1.62232
0.551828,0.382532,0.948394,0.848432,2.01892,-1.13465,1.61599
0.541519,0.385242,0.936181,0.841635,2.03038,-1.13984,1.61366
0.533319,0.380097,0.924627,0.839741,2.04116,-1.14602,1.61226
0.524858,0.381913,0.912852,0.835874,2.05222,-1.15185,1.60917
0.514667,0.381703,0.900941,0.832259,2.06374,-1.15652,1.60907
0.508106,0.379675,0.88819,0.830295,2.07391,-1.16272,1.60541
0.502164,0.36784,0.876821,0.83018,2.08508,-1.16857,1.60253
0.500418,0.351365,0.865232,0.837468,2.09623,-1.17342,1.59919
0.508688,0.334073,0.853198,0.833155,2.10758,-1.17917,1.59919
0.541547,0.314143,0.843281,0.833436,2.11837,-1.18567,1.60192
0.555279,0.298747,0.831724,0.841652,2.13011,-1.18973,1.60991
0.578218,0.286115,0.823473,0.844407,2.14006,-1.19479,1.61583
0.589285,0.272823,0.813366,0.840401,2.15091,-1.20035,1.61594
0.603933,0.259399,0.810153,0.849732,2.16192,-1.20641,1.62514
0.617844,0.245059,0.807751,0.860599,2.17192,-1.21291,1.62507
0.634257,0.231957,0.809745,0.879093,2.1829,-1.21852,1.63512
0.648464,0.219474,0.801822,0.891098,2.19348,-1.22401,1.63948
0.662439,0.207491,0.794637,0.904707,2.20542,-1.2278,1.65305
0.675843,0.196923,0.79045,0.916716,2.21647,-1.23187,1.65793
