joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
1.78024,-1.06465,-1.81514,-1.11701,1.93732,1.11701,-0.916298
1.78024,-1.06465,-1.81514,-1.11701,1.93732,1.11701,-0.916298
1.78024,-1.06465,-1.81514,-1.11701,1.93732,1.11701,-0.916298
1.78334,-1.06591,-1.81256,-1.11637,1.93518,1.1176,-0.915932
1.78994,-1.06834,-1.80708,-1.11783,1.93008,1.11769,-0.915732
1.79996,-1.07179,-1.80086,-1.12197,1.92291,1.11785,-0.915513
1.81269,-1.0759,-1.79422,-1.12764,1.91477,1.11845,-0.915186
1.82705,-1.08027,-1.78723,-1.13369,1.90632,1.11955,-0.914815
1.84202,-1.08478,-1.78031,-1.13924,1.89795,1.12115,-0.914425
1.85691,-1.08949,-1.77403,-1.14362,1.88977,1.12323,-0.913979
1.87136,-1.09453,-1.76846,-1.14677,1.88178,1.12572,-0.913427
1.88531,-1.10014,-1.76355,-1.14914,1.87386,1.12854,-0.912745
1.89887,-1.10638,-1.75905,-1.15148,1.86588,1.1316,-0.911933
1.91223,-1.11332,-1.75447,-1.15446,1.85782,1.13483,-0.911031
1.92558,-1.12106,-1.74984,-1.15809,1.84965,1.13821,-0.910089
1.939,-1.12942,-1.74513,-1.16219,1.84139,1.14173,-0.909135
1.95248,-1.13843,-1.74059,-1.16601,1.83314,1.14536,-0.908151
1.96596,-1.14792,-1.73654,-1.16898,1.82488,1.14911,-0.907095
1.97936,-1.15788,-1.73326,-1.17022,1.81658,1.15298,-0.905948
1.99259,-1.16838,-1.73162,-1.1687,1.80821,1.15698,-0.90471
2.00535,-1.17952,-1.73255,-1.16327,1.79973,1.16114,-0.903327
2.01707,-1.19139,-1.73681,-1.15367,1.79121,1.16546,-0.901721
2.02742,-1.2039,-1.7441,-1.14077,1.78282,1.16991,-0.899857
2.03627,-1.21697,-1.75329,-1.12594,1.77493,1.17447,-0.897764
2.04337,-1.23048,-1.76322,-1.11045,1.76784,1.17911,-0.895466
2.04805,-1.24433,-1.7732,-1.09515,1.76185,1.18381,-0.892992
2.04886,-1.25833,-1.78257,-1.08055,1.75743,1.18855,-0.890366
2.0455,-1.27192,-1.78893,-1.06518,1.75643,1.19532,-0.886904
2.03753,-1.28495,-1.78859,-1.04921,1.75741,1.20273,-0.88303
2.02527,-1.29763,-1.78001,-1.0336,1.75658,1.2085,-0.879524
2.0102,-1.30942,-1.76489,-1.0189,1.75119,1.21189,-0.876582
1.99437,-1.31889,-1.74778,-1.00485,1.74275,1.21597,-0.87356
1.97891,-1.32546,-1.73068,-0.991307,1.73301,1.22102,-0.870339
1.9642,-1.32927,-1.71357,-0.977404,1.72235,1.22728,-0.866855
1.95012,-1.33036,-1.69647,-0.962475,1.71157,1.23492,-0.86312
1.93643,-1.32876,-1.67936,-0.946482,1.70207,1.24415,-0.859255
1.92278,-1.32443,-1.66226,-0.929939,1.69496,1.25419,-0.855521
1.90887,-1.31736,-1.64515,-0.913567,1.69085,1.26386,-0.852252
1.89449,-1.30755,-1.62805,-0.89809,1.69002,1.27191,-0.849711
1.87972,-1.2952,-1.61168,-0.88387,1.69288,1.27846,-0.84788
1.86478,-1.28103,-1.59625,-0.871001,1.69885,1.28395,-0.846596
1.84987,-1.26592,-1.5816,-0.859489,1.70699,1.28875,-0.845652
1.83517,-1.25052,-1.56739,-0.849308,1.71635,1.29314,-0.844877
1.82079,-1.2352,-1.55339,-0.840304,1.72624,1.29729,-0.844171
1.80673,-1.22014,-1.53941,-0.832263,1.73622,1.30128,-0.843506
1.79292,-1.20535,-1.5254,-0.824998,1.74607,1.30519,-0.842853
1.77925,-1.19081,-1.51134,-0.818493,1.75571,1.30903,-0.842183
1.76566,-1.17648,-1.49728,-0.813071,1.76514,1.31287,-0.841504
1.75211,-1.16228,-1.48325,-0.808743,1.77441,1.31674,-0.840842
1.73854,-1.14817,-1.46928,-0.805789,1.78358,1.32064,-0.840282
1.72497,-1.13416,-1.45541,-0.804907,1.79271,1.32462,-0.839878
1.71145,-1.12024,-1.44164,-0.80666,1.8018,1.32869,-0.839679
1.69802,-1.10636,-1.42802,-0.810732,1.81086,1.33288,-0.839667
1.68478,-1.09252,-1.4146,-0.816462,1.81985,1.33719,-0.839757
1.67165,-1.07868,-1.40143,-0.823257,1.82873,1.3416,-0.839852
1.65856,-1.06488,-1.38852,-0.830689,1.83746,1.34611,-0.839891
1.64552,-1.05119,-1.37586,-0.838494,1.84599,1.3507,-0.839845
1.63247,-1.03762,-1.36342,-0.846566,1.85432,1.35535,-0.839704
1.6194,-1.0242,-1.35119,-0.854846,1.86248,1.36007,-0.839477
1.60628,-1.01094,-1.33919,-0.863331,1.87048,1.36483,-0.839171
1.59316,-0.99788,-1.32742,-0.871951,1.87824,1.36964,-0.838804
1.58005,-0.985055,-1.31589,-0.880691,1.88579,1.37449,-0.838395
1.56701,-0.972527,-1.30467,-0.889422,1.893,1.37937,-0.837966
1.5541,-0.960418,-1.29386,-0.89799,1.89976,1.38429,-0.837521
1.54121,-0.948756,-1.28352,-0.906598,1.90604,1.38923,-0.83703
1.52844,-0.937672,-1.27384,-0.915388,1.91167,1.39419,-0.836464
1.51589,-0.927413,-1.2652,-0.924375,1.91618,1.39917,-0.835815
1.50356,-0.918251,-1.25838,-0.933482,1.91884,1.40415,-0.835065
1.49131,-0.910141,-1.25433,-0.943078,1.91913,1.40912,-0.834161
1.47903,-0.90289,-1.25397,-0.953598,1.91709,1.41403,-0.833149
