lin_vel_X,lin_vel_Y,lin_vel_Z
1.282119050922445054e-05,1.940039213279400661e-05,1.560305585544247329e-05
-2.963742808490001825e-05,-3.779214318425406518e-05,-3.110509325206666680e-05
7.440118035009975103e-06,8.960680471106327642e-06,1.500091906132548281e-05
-4.084587626374057423e-03,-1.013925073980256539e-02,-6.021706400021563550e-03
-2.814524124206372463e-02,-7.101929901664147393e-02,-5.436243311545872064e-02
-2.350923719323710220e-02,-9.525023240413277303e-02,-1.289241858140526276e-01
3.760087891965639695e-02,2.730288601211888072e-02,-1.270004228270872060e-01
1.142851410317835548e-01,2.317211601460407167e-01,-5.689320060705990723e-02
1.535851313787444938e-01,4.094584938824326059e-01,4.015259370504346836e-02
1.895487309671119724e-01,5.780271480275048779e-01,1.429294069032323033e-01
2.425307817596629167e-01,7.561394036560122878e-01,2.584861535136528943e-01
2.632136532057341993e-01,8.863279681388440689e-01,3.593148023147032522e-01
2.508929720527192653e-01,9.677020436069427856e-01,4.209751297408806381e-01
2.275624382723280825e-01,1.030301415511765795e+00,5.609430948766507274e-01
2.313024517839274985e-01,1.129834813096452395e+00,7.200489925162085747e-01
2.286788159274912580e-01,1.188971000087095664e+00,7.878746502669042862e-01
1.878891227740368264e-01,1.171110232042432919e+00,7.923802273008155872e-01
1.625828082619063530e-01,1.184354406135536886e+00,8.214577830783671430e-01
1.721735563780180667e-01,1.223226412942198804e+00,8.313249836733298537e-01
2.000167307376908843e-01,1.262509606019148301e+00,7.937731014213161851e-01
2.242060627520877369e-01,1.244667495207347763e+00,7.407212971674381752e-01
2.372692309017944423e-01,1.151788284375182547e+00,6.824764532658171845e-01
2.844490709049712351e-01,1.045305985312483976e+00,5.885850234159735184e-01
3.506463469775405462e-01,9.965918215168375616e-01,5.829327486252712243e-01
4.319253014073087260e-01,9.625706327703439369e-01,5.903696176083057523e-01
5.097077613428451226e-01,9.170905711370038738e-01,5.684302753673298181e-01
5.453489209613547883e-01,8.966515401129522278e-01,5.909039239279784139e-01
5.250177117211135558e-01,9.382457665508749933e-01,5.989420838425139060e-01
4.667777886422880274e-01,1.005443736883792516e+00,5.850506538247211008e-01
4.119425767901069291e-01,1.088254798344111762e+00,5.677949573176769293e-01
3.812725799453864362e-01,1.182104539260384612e+00,5.139116868116518910e-01
3.498097702631057793e-01,1.256755219886421138e+00,4.464908695836906083e-01
3.247078443922332691e-01,1.282234127526079126e+00,4.023199856477382985e-01
3.294211370790104398e-01,1.254647214825226786e+00,3.950479933911301700e-01
3.639441025116280093e-01,1.241647977334560782e+00,3.934253021861771615e-01
4.278042368342518387e-01,1.236056366410002605e+00,3.828830865332161770e-01
4.564727843871802526e-01,1.214727849441434415e+00,3.654511964880088892e-01
4.466218708360203959e-01,1.154607474201368333e+00,3.292698470927967747e-01
4.176739794385816995e-01,1.122832677107856059e+00,2.968973276283056184e-01
4.139771837589575898e-01,1.180908298247773436e+00,2.595526158331442068e-01
4.102206215317329430e-01,1.261997465439843369e+00,2.254255795845642452e-01
3.654976349683104475e-01,1.263959231783960524e+00,1.907710957857684242e-01
3.126333896048401617e-01,1.188352270097599028e+00,1.466020942618841416e-01
3.086713797098973866e-01,1.149352843451615591e+00,8.289474513425325319e-02
3.477920093799277135e-01,1.144600875335443302e+00,-5.217903549323977229e-03
3.698219633342566537e-01,1.062216239843015275e+00,-1.039115713927097062e-01
3.684741761593078313e-01,9.341627822403818504e-01,-2.112080079454864145e-01
3.882991467687747500e-01,8.500840118417776203e-01,-3.346226789208302521e-01
4.109081343770979444e-01,8.208508570569278406e-01,-4.342457350237455826e-01
4.146098107731707727e-01,8.015937620304598443e-01,-5.172526239927613956e-01
4.049529016359288969e-01,7.788751799921171948e-01,-5.992256917110110326e-01
3.907836673282835127e-01,7.403394072141606941e-01,-6.769320845795705477e-01
3.744740873215944288e-01,6.874197630140995718e-01,-7.494430413615742470e-01
3.534707946152245706e-01,6.148274773417914396e-01,-8.134107258135611085e-01
3.373361736335874772e-01,5.361083426265327301e-01,-8.627871897360601672e-01
