or_w,or_x,or_y,or_z
7.664199955643358209e-01,-4.610864517586547862e-02,6.378957099893665106e-01,-5.969460960900663249e-02
7.664199853802332596e-01,-4.610849302788855297e-02,6.378957389289440227e-01,-5.969454863516999998e-02
7.664199963598923304e-01,-4.610851690015369680e-02,6.378957179543979228e-01,-5.969461336179452543e-02
7.664023788467085874e-01,-4.607420607964067549e-02,6.379105850189062954e-01,-5.978834964333616664e-02
7.662529913863845854e-01,-4.585330417143346216e-02,6.380492267021592445e-01,-6.039049588102301386e-02
7.659626179297234216e-01,-4.546237421709405091e-02,6.383748202824259810e-01,-6.092642525349593885e-02
7.658611455527896128e-01,-4.524500756617075292e-02,6.386283587574000942e-01,-5.969434155542268500e-02
7.663462364076061295e-01,-4.531467332085150485e-02,6.384111004914232446e-01,-5.559939833354102939e-02
7.675672343144885890e-01,-4.548892335676750498e-02,6.374954079075451086e-01,-4.869192495108286278e-02
7.694092756326934568e-01,-4.588088541465543818e-02,6.358934481322787713e-01,-3.929164728516870708e-02
7.716950235209955045e-01,-4.676666779337829150e-02,6.336598686894151511e-01,-2.783595281191768994e-02
7.742866588956062168e-01,-4.806816733927180701e-02,6.308362274057345287e-01,-1.467226422279168871e-02
7.770452416733119039e-01,-4.962529962182309767e-02,6.274854705917768394e-01,7.890833189302368144e-05
7.800345798805141673e-01,-5.155539613783056974e-02,6.234199636836303959e-01,1.535070683721366860e-02
7.831745352873803467e-01,-5.411309883315303104e-02,6.186719152092636786e-01,3.089467823705058930e-02
7.860612846123659070e-01,-5.728057569371072105e-02,6.137411005837769551e-01,4.635141784205016463e-02
7.883104040185413552e-01,-6.140935086109863827e-02,6.092155836905879251e-01,6.043154086632848698e-02
7.899249706059109366e-01,-6.708896761393522146e-02,6.052060288102656394e-01,7.241045455909768391e-02
7.908596979071024213e-01,-7.449808971984313299e-02,6.018891836877757751e-01,8.197794468052847783e-02
7.910129280441452471e-01,-8.361942184392254229e-02,5.994741662466810395e-01,8.909020125896302544e-02
7.904919672463192049e-01,-9.384529722516285477e-02,5.979903320404441613e-01,9.339739125866657055e-02
7.895066099454007835e-01,-1.044021098186046353e-01,5.973472242196136150e-01,9.463512051594530350e-02
7.882120179012492844e-01,-1.147888434848593486e-01,5.973931362201408968e-01,9.309552644737176252e-02
7.871233506556710724e-01,-1.247707509030165779e-01,5.973821561256423829e-01,8.946312153264923683e-02
7.864514497436603246e-01,-1.331014014424680980e-01,5.970592251328522559e-01,8.543076620225112383e-02
7.862412381051725463e-01,-1.387897157798115566e-01,5.964483393673708500e-01,8.253186513408089509e-02
7.865474700640613381e-01,-1.422893281870329374e-01,5.954151611045451764e-01,8.110246819151586961e-02
7.870470254247646791e-01,-1.448765813335020636e-01,5.940289420073003868e-01,8.183747313324281347e-02
7.874796880627747964e-01,-1.473463656754449569e-01,5.923850938335561978e-01,8.511574481023821692e-02
7.876836024123362590e-01,-1.499513522697069612e-01,5.906023504831789950e-01,9.087352775674026328e-02
7.874691008608065701e-01,-1.530741700368954961e-01,5.888347910593636492e-01,9.866256886511710900e-02
7.868704147257324921e-01,-1.575906839845207241e-01,5.869844981912583082e-01,1.070015216424574783e-01
7.860805775418886476e-01,-1.635712279623552645e-01,5.850209394074059599e-01,1.143340695032508403e-01
7.854209860466211390e-01,-1.701897141506022171e-01,5.829101781999965759e-01,1.198543283562922696e-01
7.849917490637432493e-01,-1.772020406497830103e-01,5.805995548215550084e-01,1.236589973775052004e-01
7.847850173446637712e-01,-1.839934181628546106e-01,5.781922950288153062e-01,1.263034781524092209e-01
