pos_X,pos_Y,pos_Z
3.200601875219839521e-01,-3.457435081261004406e-01,8.584793498054524852e-01
3.200600689722853387e-01,-3.457436592947126242e-01,8.584792253850962451e-01
3.200600987327597569e-01,-3.457436234519974394e-01,8.584792853887722730e-01
3.200437628902219056e-01,-3.457841814092505461e-01,8.584551995193093754e-01
3.199313030348961973e-01,-3.460683231165558871e-01,8.582378040351761328e-01
3.198375438438336715e-01,-3.464495947913561746e-01,8.577222744203948368e-01
3.199882013774150713e-01,-3.463406520652033693e-01,8.572142050750684028e-01
3.204475516408017421e-01,-3.454139805289199172e-01,8.569859837745774644e-01
3.210683935317626414e-01,-3.437761245318871617e-01,8.571449714929523234e-01
3.218393875585104924e-01,-3.414638579957555709e-01,8.577140764056911948e-01
3.228306901522113859e-01,-3.384396234742666487e-01,8.587449964854829698e-01
3.239138947505246224e-01,-3.348950182210813642e-01,8.601783929150259578e-01
3.249570202010572118e-01,-3.310244455954935994e-01,8.618565341682635772e-01
3.259144727044657186e-01,-3.269032856993021041e-01,8.640948761326479044e-01
3.268956015937501403e-01,-3.223845732184073554e-01,8.669719391415982024e-01
3.278705106605822595e-01,-3.176295586559736983e-01,8.701227099650091779e-01
3.286795032440154030e-01,-3.129461512329028139e-01,8.732945823912041661e-01
3.293844596440054229e-01,-3.082109329805494125e-01,8.765879401843561514e-01
3.301246121274125089e-01,-3.033218652487942868e-01,8.799263388024236576e-01
3.309726497435118708e-01,-2.982763602264035807e-01,8.831193591468295967e-01
3.319104177295820746e-01,-2.933025823776155283e-01,8.861029817131343966e-01
3.328910073823238003e-01,-2.887003082470246951e-01,8.888528966166654444e-01
3.340524184985952383e-01,-2.845235487525116791e-01,8.912233065479246985e-01
3.354742493464729081e-01,-2.805445030706446574e-01,8.935673705754999530e-01
3.372177941408591173e-01,-2.767057787908485667e-01,8.959375932141091514e-01
3.392700939887861034e-01,-2.730516933701467308e-01,8.982173448841502816e-01
3.414643887096089347e-01,-2.694811897482185525e-01,9.005865233994141406e-01
3.435776691299037844e-01,-2.657441419035279084e-01,9.029893158089081773e-01
3.454595757713642690e-01,-2.617363939452335142e-01,9.053380742930311476e-01
3.471256191998948748e-01,-2.573951369329310901e-01,9.076191656379333228e-01
3.486738918233126538e-01,-2.526755685516419714e-01,9.096858071773437082e-01
3.501015147836575303e-01,-2.476540325030728296e-01,9.114834273884295790e-01
3.514304350403459343e-01,-2.425287273206200300e-01,9.131049339474934801e-01
3.527758263038794362e-01,-2.375144871250363943e-01,9.146968903363349446e-01
3.542579220035491083e-01,-2.325537462300472091e-01,9.162814477962837323e-01
3.559947457368508594e-01,-2.276175491730598743e-01,9.178224648708740441e-01
3.578457145113124183e-01,-2.227676289587208758e-01,9.192923659717261442e-01
3.596554046861193399e-01,-2.181576559122608283e-01,9.206159460793790217e-01
3.613485723545353245e-01,-2.136735900174995817e-01,9.218092210096467953e-01
3.630296531607947186e-01,-2.089563942808414232e-01,9.228534618604760098e-01
3.646999984600065581e-01,-2.039137908984264558e-01,9.237616880133162622e-01
3.661927034235172296e-01,-1.988611158065184958e-01,9.245309425952153992e-01
3.674713720701404118e-01,-1.941089092120271142e-01,9.251223182158029301e-01
3.687333143518911616e-01,-1.895122076947790279e-01,9.254573708045169544e-01
3.701520931505227208e-01,-1.849355107340541760e-01,9.254385951449399794e-01
3.716560215074577456e-01,-1.806896391949321667e-01,9.250235427180418801e-01
3.731505417059380880e-01,-1.769569494928873998e-01,9.241779979272654044e-01
3.747226284117466943e-01,-1.735622941237204009e-01,9.228382359419334824e-01
3.763854960500076507e-01,-1.702860723690592937e-01,9.210998764610628387e-01
3.780641819018656924e-01,-1.670878048799114002e-01,9.190291276149624711e-01
3.797055166339701193e-01,-1.639811552305910081e-01,9.166298934559204969e-01
3.812909710787950601e-01,-1.610295183840531885e-01,9.139193220262837869e-01
3.828114176090260945e-01,-1.582910073214090774e-01,9.109183527927708912e-01
3.842472507462985076e-01,-1.558447586299455956e-01,9.076613999223331897e-01
3.856172610906977161e-01,-1.537154334262172961e-01,9.042073602957590994e-01
3.869589573400621374e-01,-1.517852016678139793e-01,9.005842149503544558e-01
3.882053344659795457e-01,-1.498995598479836155e-01,8.970606126770103161e-01
3.893007846825371487e-01,-1.480887454043152973e-01,8.937001951026600777e-01
3.902432328967138098e-01,-1.465047827243688983e-01,8.903498594892432783e-01
3.910469973664307264e-01,-1.450524109133083384e-01,8.869504865284523198e-01
3.917187890738116351e-01,-1.435786699308375935e-01,8.837053013783269240e-01
3.921640367679274930e-01,-1.421739707998464497e-01,8.807436167216714518e-01
3.923622083761920676e-01,-1.409864216699818762e-01,8.781611332714305274e-01
3.923992392500193493e-01,-1.399966738242798270e-01,8.757224942981719495e-01
3.923607796371459955e-01,-1.390053439866342777e-01,8.734976234987905652e-01
3.922922877271995956e-01,-1.379482960270883851e-01,8.713479063664533175e-01
3.921507534991718891e-01,-1.370577318237278797e-01,8.691913404672733101e-01
3.918515520663877205e-01,-1.364701410558601946e-01,8.671695300780468685e-01
3.914225617156691928e-01,-1.360826815635664544e-01,8.651422001011160878e-01
3.909370227463171976e-01,-1.357008069732837385e-01,8.631406457569672508e-01
3.903497736390186823e-01,-1.355067256418264754e-01,8.611769551900244624e-01
3.894735709242210797e-01,-1.361596747316532741e-01,8.591791701467759168e-01
3.882391702259903044e-01,-1.378390218215917173e-01,8.572166332995518889e-01
