joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
0.440084,-3.20465,-0.0406975,23.4059,-1.24502,-0.344793,0.00293034
0.440565,-3.20793,-0.0398743,23.4072,-1.2442,-0.344934,0.00316806
0.43975,-3.20929,-0.0402068,23.4072,-1.24279,-0.345045,0.00327937
0.440602,-3.20828,-0.0414395,23.4088,-1.24305,-0.345057,0.00299693
0.416289,-3.21075,-0.0797892,23.8453,-1.27461,-0.339898,0.00211253
0.534133,-3.14756,0.0192607,25.7764,-1.40103,-0.38815,0.00304793
0.794506,-2.85483,0.239923,27.5379,-1.54662,-0.431929,0.00938716
0.887861,-2.69464,0.329985,26.9095,-1.52504,-0.419293,0.0147671
0.8446,-2.87288,0.280361,25.1323,-1.33318,-0.352606,0.0117959
0.596819,-3.07859,-0.0905095,24.8888,-1.37634,-0.235335,-0.0279476
-0.798624,-4.00269,-1.73901,27.402,-1.76828,0.147681,-0.0988395
-4.13274,-6.72977,-5.28065,32.8158,-2.54849,0.817022,-0.219017
-8.35317,-11.2984,-9.5263,39.8905,-3.32398,1.34259,-0.346128
-10.5854,-16.8178,-11.8426,46.6073,-3.90573,1.64404,-0.369672
-10.2221,-21.9027,-11.7164,51.7506,-4.3551,1.59613,-0.324592
-7.96457,-25.4868,-9.50723,55.1777,-4.69164,1.07024,-0.248806
-4.72768,-27.0262,-6.28936,58.1038,-4.94613,0.679505,-0.189931
-0.979332,-25.7681,-2.47815,58.6446,-4.79303,0.24785,-0.118389
3.67371,-22.4562,2.4415,57.1365,-4.55441,-0.286767,-0.10106
8.45181,-17.5362,7.462,54.9729,-4.14541,-0.689765,-0.0668198
12.5051,-12.5421,11.7457,51.6062,-3.69115,-1.05079,-0.0456165
14.8852,-8.30637,14.2894,47.9536,-3.49413,-1.28833,-0.0621772
15.8866,-5.18239,15.5383,44.567,-3.13992,-1.38193,-0.0744103
16.3947,-2.70453,16.2836,40.6855,-2.69133,-1.38351,-0.102246
16.4158,-0.610038,16.5476,37.8112,-2.46893,-1.47725,-0.133448
15.246,0.533206,15.7961,34.4409,-2.08619,-1.37727,-0.136856
13.9586,0.582667,14.3748,32.6007,-1.86834,-1.20455,-0.119355
13.9586,0.582667,14.3748,32.6007,-1.86834,-1.20455,-0.119355
13.9586,0.582667,14.3748,32.6007,-1.86834,-1.20455,-0.119355
13.9586,0.582667,14.3748,32.6007,-1.86834,-1.20455,-0.119355
