joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
8.352528975871419403e-01,-7.999320307643864592e-02,1.350985746692336509e+00,1.308037700180876950e+00,1.541996410902702674e+00,-9.479025742513910169e-01,1.591976165538451449e+00
8.352527777048390778e-01,-7.999338284535140176e-02,1.350985626810033757e+00,1.308037939836399710e+00,1.541996410902702674e+00,-9.479026941336938794e-01,1.591976165538451449e+00
8.352528377005320470e-01,-7.999332295874150844e-02,1.350985626810033757e+00,1.308037819954096737e+00,1.541996410902702674e+00,-9.479025742513910169e-01,1.591976165538451449e+00
8.352427109729743115e-01,-8.000554691755927539e-02,1.350944281269098157e+00,1.308082640990984480e+00,1.541956910960182503e+00,-9.477865070201060282e-01,1.591860397849299114e+00
8.351690080094914537e-01,-8.009728611351163430e-02,1.350640061654176938e+00,1.308489385609373779e+00,1.541653278648553727e+00,-9.470962156663461640e-01,1.591046609070387863e+00
8.350948256258802216e-01,-8.022791419039709826e-02,1.350250574415079230e+00,1.309501872814831325e+00,1.541184455810334475e+00,-9.463488794259640180e-01,1.590139103637483897e+00
8.351488745457619212e-01,-8.025745530603337063e-02,1.350368319453188803e+00,1.310616285939492087e+00,1.541418100244505318e+00,-9.474456756335074559e-01,1.591227750684592879e+00
8.352429506284969607e-01,-8.006888349796174864e-02,1.351326458196632219e+00,1.311517619451835648e+00,1.543709196394441152e+00,-9.515931762521909754e-01,1.595382261963624426e+00
8.351162773586089383e-01,-7.967388341826178721e-02,1.353052186526489953e+00,1.312117489878642074e+00,1.548721670299369135e+00,-9.587061732171988648e-01,1.602503947504887893e+00
8.347085141224360738e-01,-7.921129240902938240e-02,1.355792379628928845e+00,1.312310615577976236e+00,1.556051222372646148e+00,-9.683825959018731444e-01,1.612176175727042082e+00
8.341246426925319479e-01,-7.884337667588015020e-02,1.359934786831445530e+00,1.311874509721946414e+00,1.564974676137666387e+00,-9.800349177205278650e-01,1.623810461313227371e+00
8.334586793741047828e-01,-7.880952121542095234e-02,1.365280470161054138e+00,1.310837334943330657e+00,1.575081021042287643e+00,-9.932314068304000099e-01,1.637051471808771641e+00
8.327671296379558497e-01,-7.927133337147555803e-02,1.371508731803968928e+00,1.309488510465010247e+00,1.586209380490226417e+00,-1.007844970646249116e+00,1.651729331045280080e+00
8.321724724005359342e-01,-8.008554157482222768e-02,1.378436812225769970e+00,1.307185082516725494e+00,1.598359946293167244e+00,-1.022651959921731191e+00,1.666705357749369121e+00
8.319106770491098146e-01,-8.097513054847639558e-02,1.385976267848461285e+00,1.303744171790836681e+00,1.611462443292458024e+00,-1.037494362473110998e+00,1.681643154761566228e+00
8.320542480513809513e-01,-8.188275586368314041e-02,1.393673435894589030e+00,1.299672950896107571e+00,1.624408282330795483e+00,-1.052403517214235418e+00,1.696316819535554465e+00
8.325559675970691798e-01,-8.287684729884568779e-02,1.400911008898224841e+00,1.295048358309201175e+00,1.635384777713631888e+00,-1.067234594760444244e+00,1.709283271523199588e+00
8.335242929546801127e-01,-8.366235334450995709e-02,1.407485974087999692e+00,1.289522851634386402e+00,1.644059918424799926e+00,-1.082139495152439013e+00,1.719335459559325097e+00
8.350654043925468395e-01,-8.403416388896364775e-02,1.413411214611772770e+00,1.283158509178759843e+00,1.650073123106440498e+00,-1.096999095087417553e+00,1.725979214174411691e+00
8.371996750299216528e-01,-8.397106696408379589e-02,1.418699793168149093e+00,1.276242592829166744e+00,1.652963909848820467e+00,-1.111868042787692801e+00,1.729140892400669927e+00
8.397543521776393849e-01,-8.342698315059347836e-02,1.423199030645083463e+00,1.268931017210832346e+00,1.652719911074341130e+00,-1.125726061097949371e+00,1.728909596896053724e+00
8.425382277077962945e-01,-8.252810640733543313e-02,1.426853500185251589e+00,1.261381494747193077e+00,1.649521177740959521e+00,-1.137286823489564558e+00,1.725472940628377971e+00
8.455619075499124504e-01,-8.134670143740743709e-02,1.429934764329811481e+00,1.254161478664981511e+00,1.643956662302908933e+00,-1.145836069893105158e+00,1.718949267938183700e+00
8.488429487344951729e-01,-7.967172630039186243e-02,1.432739312630436190e+00,1.247054413855928301e+00,1.638192729559010630e+00,-1.151151612913729583e+00,1.709772108030112037e+00
8.523244858165853755e-01,-7.737159397006342088e-02,1.435379916700454617e+00,1.240397716206372847e+00,1.633861247173650000e+00,-1.153017137316856955e+00,1.701083784628952822e+00
8.559515714680702159e-01,-7.461917712697306582e-02,1.437978695918492145e+00,1.234681061181181150e+00,1.631711277299671581e+00,-1.151623851230391349e+00,1.695630243224186318e+00
8.596545770875175796e-01,-7.156589617352765442e-02,1.440541402562507622e+00,1.229470320164197883e+00,1.631951920504134623e+00,-1.148121221844314865e+00,1.693585494778284239e+00
8.633142598170723270e-01,-6.837018271789749302e-02,1.442990558630933284e+00,1.224597234798159517e+00,1.634308594433579787e+00,-1.145672904624759791e+00,1.694799317057369414e+00
8.668946068602390032e-01,-6.523852502740387638e-02,1.445287994427570499e+00,1.220022316790618788e+00,1.638376711347504289e+00,-1.146193199818738684e+00,1.699100635070018406e+00
8.704675237095391704e-01,-6.221897976119787621e-02,1.447537972758404790e+00,1.215636569893580932e+00,1.643662905064176893e+00,-1.149893089480059416e+00,1.706402503494313549e+00
8.741276258635292118e-01,-5.929824434698522523e-02,1.449877353398408841e+00,1.211642647122423533e+00,1.649581482357205475e+00,-1.156724217516521547e+00,1.715659777941950903e+00
8.778903729032903058e-01,-5.652557404877939229e-02,1.452284504845940960e+00,1.208063618348256041e+00,1.655645691842716483e+00,-1.166412085197752635e+00,1.723653195993311904e+00
