joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
-4.793e-05,0,-2.39759e-05,2.39759e-05,0,0,0
0,0,-2.39552e-05,-2.39771e-05,0,0,0
2.39541e-05,0,2.39541e-05,0,-1.91633e-05,3.5953e-05,0
-3.59329e-05,-1.19994e-05,2.39771e-05,-2.39771e-05,1.91642e-05,-5.99099e-05,0
-0.000946732,-0.00059918,0.00394272,-0.0224939,0.00139972,-0.000551271,9.58818e-05
-0.0087487,-0.00964755,-0.00246881,-0.105787,-0.000862877,-0.000311593,-9.58864e-05
-0.0119959,-0.0226017,-0.00324766,-0.111678,-0.00935705,-0.00411051,7.19059e-05
-0.00258867,-0.0228545,0.00860488,-0.056495,-0.0149759,-0.000527321,4.79323e-05
0.00369107,-0.0161783,0.00987478,-0.0708132,-0.0121565,0.00474566,-4.793e-05
0.00499755,-0.00393093,0.0285112,-0.141489,0.00621276,-0.0127036,0.0130392
0.00721433,0.0402661,0.144047,-0.21474,0.0863612,-0.11628,0.123399
-0.0169821,0.0982851,0.340948,-0.348857,0.300495,-0.36385,0.420573
-0.105471,0.113284,0.484379,-0.503721,0.599658,-0.664654,0.764624
-0.228641,0.0672451,0.559533,-0.696061,0.882022,-0.978189,1.05019
-0.311139,-0.0146204,0.619211,-0.913429,1.1393,-1.24161,1.17056
-0.348498,-0.0794094,0.613044,-1.12269,1.38002,-1.39187,1.0848
-0.360429,-0.115525,0.506657,-1.27979,1.61174,-1.43296,0.895465
-0.369885,-0.100054,0.30045,-1.33113,1.77629,-1.3587,0.72262
-0.373474,-0.00685515,0.0272408,-1.44599,1.86155,-1.28947,0.637373
-0.353634,0.136186,-0.252969,-1.53512,1.87193,-1.29479,0.556247
-0.338719,0.31415,-0.554008,-1.59032,1.84312,-1.27829,0.48034
-0.339062,0.490287,-0.823969,-1.6555,1.81788,-1.24712,0.422482
-0.377644,0.644707,-1.08769,-1.68128,1.78126,-1.20936,0.375511
-0.439715,0.774307,-1.32897,-1.70316,1.75098,-1.13892,0.327965
-0.48904,0.894273,-1.50417,-1.72069,1.71942,-1.08527,0.310519
-0.536905,1.00626,-1.65079,-1.68323,1.68147,-1.0311,0.261418
-0.601419,1.08843,-1.79328,-1.68936,1.65315,-0.962345,0.15949
-0.601419,1.08843,-1.79328,-1.68936,1.65315,-0.962345,0.15949
-0.601419,1.08843,-1.79328,-1.68936,1.65315,-0.962345,0.15949
-0.601419,1.08843,-1.79328,-1.68936,1.65315,-0.962345,0.15949
