lin_vel_X,lin_vel_Y,lin_vel_Z
-9.507325742514227779e-06,-1.140786550429143512e-05,-5.374387301178649567e-06
3.161689977957930001e-06,-6.242848492379884863e-06,-1.367527815858234101e-05
-1.939828966526390384e-03,-3.625604165720121806e-03,-2.678472998805423236e-03
-1.386310150983947886e-02,-2.604277402939410291e-02,-2.378353629209834647e-02
-1.558558744724870479e-02,-3.639116658831246381e-02,-4.938201492404040160e-02
7.078707087025642823e-03,-1.025784424434053078e-03,-4.338360302785294192e-02
4.717778481593462581e-02,7.511394796842259247e-02,-1.517408990524227869e-02
8.298060302419997536e-02,1.662613534359563272e-01,2.488934100638072813e-02
1.143815285064769816e-01,2.624342109037355320e-01,7.213699894787224676e-02
1.479252065962948504e-01,3.621926606178199615e-01,1.302589884557792954e-01
1.655142887990833644e-01,4.543809425525414669e-01,2.091330324692247944e-01
1.635600629826366448e-01,5.290814641823557984e-01,2.946418996654848743e-01
1.525480195761485247e-01,5.928951240820632407e-01,3.751707249389799603e-01
1.492699362690306508e-01,6.559469727398703487e-01,4.432039064210639978e-01
1.430728951702732732e-01,7.147124207640700444e-01,5.027550453191095281e-01
1.442967024472203152e-01,7.695223271610199811e-01,5.646295692981608827e-01
1.441576599911181811e-01,8.201829633119600560e-01,6.091027171625165160e-01
1.494224023587182593e-01,8.412690039491250715e-01,6.197672482047321685e-01
1.723606521117518331e-01,8.880035795981724434e-01,6.189124574344214702e-01
2.025056484158714309e-01,9.178602957481205582e-01,6.182989258575527503e-01
2.114672603247667593e-01,9.385289407144553619e-01,6.280025945178507873e-01
2.262458265626411946e-01,9.468982198855955268e-01,6.161919678428536828e-01
2.390849571936976004e-01,9.540571834950943853e-01,5.902874057246743078e-01
2.492885273645042976e-01,9.549115251785323943e-01,5.756535837372985798e-01
2.519207214967226216e-01,9.640045030476466215e-01,5.784615193216208207e-01
2.601747322113460159e-01,9.734456458814102486e-01,5.674882369396474502e-01
2.836364710357884844e-01,1.004207619579519317e+00,5.510733053354558431e-01
2.980123783245762770e-01,1.032200952403454997e+00,5.420516887185470312e-01
2.932659637076693859e-01,1.033266787471898596e+00,5.384571305138119435e-01
2.821189116508744377e-01,1.034907278434944455e+00,5.447333817412488566e-01
2.831161778551671837e-01,1.031157349086277542e+00,5.239907394428288123e-01
2.854978672738040513e-01,1.036919456387473959e+00,5.078752628268448088e-01
2.941162530912831974e-01,1.060337385827220702e+00,5.012582501143205693e-01
3.062653082555740758e-01,1.101929683885263689e+00,5.093814232847690970e-01
3.239060491436086542e-01,1.143011043500184787e+00,4.849899493103654868e-01
3.371330584031463351e-01,1.153262320407856700e+00,4.468534827789591990e-01
3.268797433467250380e-01,1.146535440292589358e+00,4.354436617371217899e-01
3.078909292166850387e-01,1.150337815366617278e+00,4.428744358872567788e-01
3.010535344553418868e-01,1.162782463939148192e+00,4.433164096395887932e-01
3.122670616378085962e-01,1.191227606490301572e+00,4.176183533082343247e-01
3.186247628301245305e-01,1.201838938093853226e+00,3.853106022277508202e-01
3.050604188513985626e-01,1.181470549592622099e+00,3.629309661112326002e-01
2.985553836847941178e-01,1.159356767886421391e+00,3.168455208785607158e-01
3.153067266348466013e-01,1.163905522176300611e+00,2.647123790403448917e-01
3.219609770241473878e-01,1.141541395722169394e+00,2.106136403260485124e-01
3.256642482782274861e-01,1.082474067914779736e+00,1.320291771869779585e-01
3.604438942740605389e-01,1.073652422933369266e+00,3.639265728906870834e-02
4.156178030052470884e-01,1.100904088084117438e+00,-7.034576086466548528e-02
4.484362206625682190e-01,1.084173222348414400e+00,-1.825853075587734187e-01
4.468192498847625704e-01,1.010103273945327729e+00,-2.787183169676779038e-01
4.518094617172520033e-01,9.688214678352873310e-01,-3.630688821164594904e-01
4.685845057705882444e-01,9.754532290776493086e-01,-4.302155304203435504e-01
4.750130115053556867e-01,9.542550398758902208e-01,-4.999207922846270469e-01
4.653282867262444888e-01,9.064442028360476522e-01,-5.699920827826856495e-01
4.445232257018042477e-01,8.840488774551567008e-01,-5.900718934642417146e-01
4.234439613698352534e-01,8.702810164080322375e-01,-6.014106102761410666e-01
3.953973325051696186e-01,8.200686601900448736e-01,-6.294364988067941979e-01
3.576763522038227117e-01,7.680065632944095277e-01,-6.302068732550430985e-01
3.417542108220129049e-01,7.589402975620864744e-01,-6.448389638239165889e-01
3.310155080550172269e-01,7.562032758993172399e-01,-6.646576164201540848e-01
2.962689661094395355e-01,7.095672578384206730e-01,-6.659717803191296248e-01
2.633118436438105503e-01,6.387496301765470674e-01,-6.902470964379509022e-01
2.332924035890346914e-01,6.034621987556412215e-01,-6.851020251062790445e-01
2.151386163171698229e-01,5.817128306734453691e-01,-6.968702674926090523e-01
1.944152270607887589e-01,5.390208510236320638e-01,-7.103165950889269720e-01
1.716696486526963217e-01,5.109485409515973631e-01,-7.079103202623509006e-01
1.634989166050661025e-01,4.967145273677795458e-01,-7.359005912167037033e-01
1.382651959188930801e-01,4.607063415125797201e-01,-7.222647836498393703e-01
1.157521748481642188e-01,4.049320686213127019e-01,-7.460756411256310727e-01
9.214534513650735059e-02,3.573506529654549291e-01,-7.424657773556191387e-01
6.854610244371985017e-02,2.981558097665526486e-01,-7.515666918733063806e-01
3.287184684916898136e-02,2.101788143537169362e-01,-7.579120359240238969e-01
-1.109344602149336945e-02,9.236270128396883994e-02,-7.574783849884338949e-01
-4.325009464194803921e-02,-1.583090971290599530e-02,-7.635861182547732939e-01
-6.374430685093951388e-02,-8.374710696415560429e-02,-7.660380886154473101e-01
-7.720949751422107044e-02,-1.404470465193906892e-01,-7.876191923514500592e-01
-1.013473861867975612e-01,-2.163436428545171819e-01,-7.865595079732913275e-01
-1.405455978460764532e-01,-3.296499884844905082e-01,-7.967238696664584729e-01
-1.797938027017052520e-01,-4.308245750980309596e-01,-7.835544976417039287e-01
-1.916962385498354737e-01,-4.647304613044423993e-01,-7.909570946685240411e-01
-1.981540861683371291e-01,-4.584138868996754934e-01,-7.787472105246551202e-01
-2.097582763293724395e-01,-4.773609864410751635e-01,-7.978376422522868161e-01
-2.355970704730085685e-01,-5.183922993738651064e-01,-7.640165071140542219e-01
-2.713624867717194800e-01,-5.696942456746207917e-01,-7.390695255714366807e-01
-2.971533726534786868e-01,-6.142652126593084461e-01,-7.166122285533049752e-01
-3.237911778626003656e-01,-6.449196096262174160e-01,-6.994551089251938025e-01
-3.569093175047920452e-01,-6.832908086974853745e-01,-7.085321689133672329e-01
