or_w,or_x,or_y,or_z
7.663996625383523442e-01,-4.707328941002019568e-02,6.378206500331032869e-01,-6.000400883749344022e-02
7.663996420057135328e-01,-4.707324838667913819e-02,6.378206733475907386e-01,-6.000405544849641420e-02
7.663941282589857851e-01,-4.705869280550410705e-02,6.378266676496736620e-01,-6.002217620596005804e-02
7.663494292974925015e-01,-4.695626151530854497e-02,6.378784115104351171e-01,-6.012315567930141824e-02
7.662679615582086434e-01,-4.679088029364441431e-02,6.379828627949212239e-01,-6.018215176254664012e-02
7.662278597776936984e-01,-4.671769207841526550e-02,6.380618087167383434e-01,-5.991203889441287789e-02
7.662985683578668050e-01,-4.685449656187799794e-02,6.380576898439357381e-01,-5.893678575929039293e-02
7.665390346339645555e-01,-4.719704006063309837e-02,6.379263310199563275e-01,-5.692401938866941541e-02
7.669766981790455684e-01,-4.775189045252158093e-02,6.376348244611851346e-01,-5.374320462098652884e-02
7.676389597279541510e-01,-4.855245205899676869e-02,6.371275218444706345e-01,-4.941262809411163526e-02
7.685602424572449687e-01,-4.965178453272046238e-02,6.363284197915652918e-01,-4.399995650391747698e-02
7.697325194169845064e-01,-5.107856240919182722e-02,6.352042111806943669e-01,-3.766217084162262752e-02
7.710944557245663633e-01,-5.294615600382038267e-02,6.337760978049606919e-01,-3.062519822582127765e-02
7.725588818971517169e-01,-5.539677363122907233e-02,6.320967755440494162e-01,-2.318701834839502485e-02
7.740452932401838959e-01,-5.857239987966780109e-02,6.302223245148005359e-01,-1.558780511217866711e-02
7.755463040147375642e-01,-6.237231997639470366e-02,6.281505249146831504e-01,-8.033808514672795623e-03
7.770076276958834960e-01,-6.670136132897011572e-02,6.259471587296628892e-01,-4.789337530780818451e-04
7.783852979933154614e-01,-7.118257817135653642e-02,6.236996404284098627e-01,6.937359887473712287e-03
7.796162140764671955e-01,-7.598555649888841246e-02,6.214658311776306565e-01,1.431693512337282523e-02
7.807320687879246712e-01,-8.090046741839027056e-02,6.192366924657775051e-01,2.141190887467753212e-02
7.817430160396121597e-01,-8.600196817648143865e-02,6.169986382511041256e-01,2.818153188428657030e-02
7.826548868195919439e-01,-9.109183519930008632e-02,6.147770140756436685e-01,3.468182033387354202e-02
7.834278379770033274e-01,-9.620889782457596462e-02,6.126234449967391527e-01,4.095345287501094000e-02
7.840862304307836261e-01,-1.012709131833803011e-01,6.105360460065137884e-01,4.689053122518613281e-02
7.846654169125604206e-01,-1.063745658934354549e-01,6.084598296589094346e-01,5.254779656533524468e-02
7.851533177751531811e-01,-1.114921089901699525e-01,6.064144557809600933e-01,5.801107686877771119e-02
7.855245381293183282e-01,-1.166882395244098619e-01,6.044114880345489160e-01,6.341772532405595686e-02
7.857930130386839851e-01,-1.219959999278218965e-01,6.024263716309784522e-01,6.876615028291027665e-02
7.860171336821953902e-01,-1.273203026222526346e-01,6.004155079937815165e-01,7.394473516602063923e-02
7.862107332395047443e-01,-1.326885164755975399e-01,5.983577293021066223e-01,7.895864942444381918e-02
7.863447107173888728e-01,-1.379822099977189021e-01,5.963085907566466615e-01,8.389857114846169250e-02
7.864166531263810933e-01,-1.432662554297601532e-01,5.942523387881696317e-01,8.881320614315327266e-02
7.864179021839600159e-01,-1.486060915599178300e-01,5.921781910282643002e-01,9.374488117415961941e-02
7.863716124569263277e-01,-1.540729747878719358e-01,5.900221908015597094e-01,9.876750439105519419e-02
7.862015357008634853e-01,-1.596924035034333333e-01,5.878476084234766086e-01,1.040224533247487843e-01
7.859304142181348096e-01,-1.652839969352735694e-01,5.856957160839542098e-01,1.093394371894950701e-01
7.856270781810381632e-01,-1.708461589047141072e-01,5.835029657342379883e-01,1.145686387960460628e-01
7.853022362566782766e-01,-1.764445038064224869e-01,5.812161066088675776e-01,1.198147412683221308e-01
7.849537623133167052e-01,-1.820360982528433369e-01,5.788320837968379262e-01,1.251553783521131002e-01
7.844892471638541531e-01,-1.876852013533415742e-01,5.764289785645643205e-01,1.306924594162116038e-01
7.839246345697870044e-01,-1.932930854429369683e-01,5.740230349700005119e-01,1.363726723299241439e-01
7.833241065118733415e-01,-1.987423612650336679e-01,5.715953258601282894e-01,1.420690024284950448e-01
7.826297586140127382e-01,-2.040255870280683892e-01,5.692046584106683627e-01,1.478860291346629774e-01
7.818268501395806425e-01,-2.091603151096239899e-01,5.668329270286805999e-01,1.539453533568420351e-01
7.809391825197392611e-01,-2.140474615537270586e-01,5.645210239923246220e-01,1.601052493782270103e-01
7.799538250911264292e-01,-2.184895591601722642e-01,5.623908834890060104e-01,1.662854095588945369e-01
7.787815599850742565e-01,-2.225828528022272546e-01,5.604205900350169856e-01,1.728725476483748413e-01
