pos_X,pos_Y,pos_Z
3.204517262240601516e-01,-3.453809519363003067e-01,8.584744926812819532e-01
3.204517388708226777e-01,-3.453809769076968683e-01,8.584744379801718672e-01
3.204439798186730637e-01,-3.453954795192750171e-01,8.584637242233502663e-01
3.203885415414112203e-01,-3.454996639000345038e-01,8.583685977272460521e-01
3.203262341061283713e-01,-3.456452735366375983e-01,8.581710897325206533e-01
3.203545683330262239e-01,-3.456494080991470708e-01,8.579975528107527394e-01
3.205434451019712472e-01,-3.453489957907745489e-01,8.579368480942156650e-01
3.208760819021721500e-01,-3.446840821303533420e-01,8.580364817506919151e-01
3.213354002786365515e-01,-3.436346584521056680e-01,8.583253033109069507e-01
3.219306568574005212e-01,-3.421865602934545114e-01,8.588468643944189296e-01
3.225988775546019816e-01,-3.403702307288066775e-01,8.596841633970467855e-01
3.232625319582292378e-01,-3.382556388056785490e-01,8.608636877575155388e-01
3.238859059080470004e-01,-3.358862809733741961e-01,8.623655426061366258e-01
3.245001176915232599e-01,-3.332651791906951488e-01,8.641398687213557306e-01
3.250935419155481232e-01,-3.304093471855564790e-01,8.661530027398247622e-01
3.256953638024952524e-01,-3.273347126916658079e-01,8.684144512468344734e-01
3.262994224746966210e-01,-3.240576899448910364e-01,8.708548610296580339e-01
3.269248849191229711e-01,-3.206963399459356046e-01,8.733384615220046721e-01
3.276429833093640887e-01,-3.171481703242335914e-01,8.758194986363433410e-01
3.284813649747096442e-01,-3.134809409383263468e-01,8.782985762526718254e-01
3.293553068188506128e-01,-3.097312866710925094e-01,8.808172881390730069e-01
3.302873695738492987e-01,-3.059482499494767249e-01,8.832889108403887413e-01
3.312695821777906779e-01,-3.021364911909436568e-01,8.856570820550020429e-01
3.322909676318831496e-01,-2.983215166916334260e-01,8.879670069781412378e-01
3.333220168723579069e-01,-2.944705053455662913e-01,8.902887262364583831e-01
3.343853799990705311e-01,-2.905819049240560559e-01,8.925667898480641460e-01
3.355425973440585574e-01,-2.865705874096791117e-01,8.947795868523114038e-01
3.367575695296208815e-01,-2.824475669880728290e-01,8.969567313534989594e-01
3.379532593778105110e-01,-2.783202899136537067e-01,8.991194933622344010e-01
3.391042583904497754e-01,-2.741865134751786393e-01,9.013074955336519700e-01
3.402588389843511640e-01,-2.700675154282061174e-01,9.034121343748993116e-01
3.414229926064539788e-01,-2.659253206652228418e-01,9.054520989936917230e-01
3.426221953899842854e-01,-2.616896117614207484e-01,9.074657736548357168e-01
3.438715423325351406e-01,-2.572879115520037008e-01,9.095123903079306293e-01
3.451930835296731503e-01,-2.527216821703369143e-01,9.114615361243469938e-01
3.465677849622714746e-01,-2.481141173495438890e-01,9.132576273240649023e-01
