joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
8.363495740214655916e-01,-7.996504022549448532e-02,1.350990180810379249e+00,1.308063466258428509e+00,1.542052784862944614e+00,-9.479010163268691835e-01,1.590028609133411042e+00
8.363496339080754849e-01,-7.996504022549448532e-02,1.350990120923769355e+00,1.308063586140731482e+00,1.542052784862944614e+00,-9.479008964445663210e-01,1.590028489251108068e+00
8.363449600254270200e-01,-7.997073272592644666e-02,1.350970526657695014e+00,1.308083839377680802e+00,1.542044060311089648e+00,-9.478813621741849493e-01,1.590007037518379462e+00
8.363049926401004974e-01,-8.001537399390139249e-02,1.350830131500160292e+00,1.308267737412186937e+00,1.541987590532271746e+00,-9.477890236758014231e-01,1.589858732746850078e+00
8.362503446359538239e-01,-8.008542169251936516e-02,1.350647252192520797e+00,1.308664774727454017e+00,1.541916835757141557e+00,-9.477213727505759966e-01,1.589680407439555854e+00
8.362422552530461850e-01,-8.011598153502223763e-02,1.350666966340897890e+00,1.309043835805944633e+00,1.541975414591824967e+00,-9.479554246754933189e-01,1.589824937173000663e+00
8.362739534865524238e-01,-8.004245834045213559e-02,1.351098038885536923e+00,1.309253020388790878e+00,1.542342131829194996e+00,-9.489272254199733192e-01,1.590762103603843736e+00
8.362522620983010579e-01,-7.985089045655674456e-02,1.352005064898312403e+00,1.309215689541462613e+00,1.543202886850991717e+00,-9.510655707466484365e-01,1.592982960243477075e+00
8.361096498272035937e-01,-7.956674452783821239e-02,1.353461447800574868e+00,1.308880790419901796e+00,1.544634570311857136e+00,-9.545365018992186812e-01,1.596662476785545737e+00
8.358557040940792771e-01,-7.928391675903573299e-02,1.355631371478453140e+00,1.308161197606028558e+00,1.546628361841360322e+00,-9.592054959894944499e-01,1.601716823648092092e+00
8.354967765884013797e-01,-7.913705013880827088e-02,1.358535149273672804e+00,1.306859351282465775e+00,1.549157512697948658e+00,-9.650514608225723157e-01,1.608053362681516774e+00
8.350430538152544546e-01,-7.921878248950575685e-02,1.362066540813124726e+00,1.304893578876042959e+00,1.552181084613267537e+00,-9.720157335916153052e-01,1.615437083338812307e+00
8.345444501186097819e-01,-7.957531322179108024e-02,1.366131350131770894e+00,1.302266576811368370e+00,1.555556034067177684e+00,-9.800350374937476516e-01,1.623436613424123598e+00
8.340920456144619299e-01,-8.016769345903818067e-02,1.370687632604410844e+00,1.299059238699351582e+00,1.559118896314651392e+00,-9.889019258577236293e-01,1.631466942898377459e+00
8.337526523791655153e-01,-8.096662174113340715e-02,1.375608415309941046e+00,1.295294993730761623e+00,1.562689332418405463e+00,-9.986002198086451065e-01,1.639098197712714144e+00
8.336004526872484721e-01,-8.188587171272670995e-02,1.380840248521827407e+00,1.290971145262824304e+00,1.566266000394779700e+00,-1.008675537384323695e+00,1.646203584714942769e+00
8.336429967239633587e-01,-8.280703925575036428e-02,1.386199054545734555e+00,1.286231144633674051e+00,1.569882743574194883e+00,-1.019198046383846812e+00,1.652953399716059701e+00
8.338722549930125405e-01,-8.363832496039289022e-02,1.391535869639257905e+00,1.281395090463748332e+00,1.573537644537936764e+00,-1.029560865610976261e+00,1.659430034473969640e+00
8.343700796183131096e-01,-8.427049281405377124e-02,1.396854768273531500e+00,1.276544894872657654e+00,1.577207214121360446e+00,-1.040066956189161340e+00,1.665581057661756459e+00
8.352194016645082542e-01,-8.469077955117697287e-02,1.402110629869534941e+00,1.271699792588650624e+00,1.580857129726632726e+00,-1.050043523799456757e+00,1.671271347416048325e+00
8.363870846377066126e-01,-8.491302705079502300e-02,1.407116919963847135e+00,1.266728855992709679e+00,1.584484035609204700e+00,-1.059772677025930365e+00,1.676476455819209566e+00
8.378508378472255824e-01,-8.495557108750993736e-02,1.411901322096366762e+00,1.261852714555154575e+00,1.588138457131001768e+00,-1.069023480010875105e+00,1.681298847988098588e+00
8.395595486714806377e-01,-8.477880370473762917e-02,1.416396664761996771e+00,1.257175930624103710e+00,1.591803904246736900e+00,-1.078032081801384878e+00,1.685721566303722385e+00
