joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
-1.497165247332787885e-05,-1.499892324230422957e-05,0.000000000000000000e+00,0.000000000000000000e+00,-4.790928792575144257e-05,0.000000000000000000e+00,2.997057574338768404e-05
1.497165247332787885e-05,0.000000000000000000e+00,-1.497165247332787885e-05,2.997057574338768404e-05,0.000000000000000000e+00,2.997057571563210843e-05,-2.997057574338768404e-05
-1.168470662116227743e-03,-1.423125107990336202e-03,-4.898566518585223406e-03,5.063309237329782775e-03,-2.181137963741530683e-03,4.883567595342919176e-03,-5.362933182151419231e-03
-9.991846331630638289e-03,-1.116031699373645769e-02,-3.509878938368071744e-02,4.597450862653396086e-02,-1.411744470447562350e-02,2.308462459588156435e-02,-3.707619288234598187e-02
-1.366200103666836974e-02,-1.751192465449316615e-02,-4.571982690987352882e-02,9.925932881676979846e-02,-1.768869378254711577e-02,1.691273130635662092e-02,-4.458132682355619991e-02
-2.022345726909735575e-03,-7.639960625718117404e-03,4.928537094273099939e-03,9.476526962265419129e-02,1.464470867085232442e-02,-5.851298122933057400e-02,3.613243336120230964e-02
7.924558376559698303e-03,1.838079864252550877e-02,1.077681361597582210e-01,5.229614571156115943e-02,9.167930934250723141e-02,-2.429501861200000778e-01,2.342916077107681794e-01
-5.422847062841462673e-03,4.789197097384775836e-02,2.267565031938700848e-01,-9.332711832066298285e-03,2.151887554491804799e-01,-5.345863316687793354e-01,5.552141599083348922e-01
-3.565306777436605401e-02,7.103648217963304257e-02,3.640957255656163127e-01,-8.372478039020414542e-02,3.579208652163545779e-01,-8.677327881425611622e-01,9.198791355171653805e-01
-6.348643328107916872e-02,7.070694220061984892e-02,5.424809194695678904e-01,-1.798982034683094255e-01,4.984478823757965138e-01,-1.167248522568942182e+00,1.263586715636588753e+00
-8.973187641947433235e-02,3.671665505686552700e-02,7.259444488049160427e-01,-3.254615808906957675e-01,6.322877141470839568e-01,-1.461491208269466435e+00,1.584134758356170458e+00
-1.134306932867312767e-01,-2.043308767437149176e-02,8.828478848629806031e-01,-4.914431016057041468e-01,7.558929788297197305e-01,-1.741068192260747383e+00,1.845930164323883460e+00
-1.246509241611681862e-01,-8.913268307133084822e-02,1.016202329661541892e+00,-6.567505161686471027e-01,8.437373634775369169e-01,-2.004825975533086613e+00,1.999882521327822626e+00
-1.131011260369629845e-01,-1.480950593117751068e-01,1.139070618159987447e+00,-8.018345280041971890e-01,8.907155618684270415e-01,-2.216722090993994421e+00,2.007582368563465280e+00
-8.484830882410365760e-02,-1.997320705238066207e-01,1.230195676382550563e+00,-9.410612421474895406e-01,8.926090259385177639e-01,-2.424573487730369070e+00,1.907813703584171350e+00
-3.804992297926079736e-02,-2.298124928983256987e-01,1.307958302971590214e+00,-1.080962116984329757e+00,8.941669940935592642e-01,-2.518829393919646886e+00,1.776346750557156184e+00
1.063600917872165041e-02,-2.302918857559135835e-01,1.339701505976786944e+00,-1.185000157287563471e+00,9.041857948537956879e-01,-2.630627249880779228e+00,1.687453750279233056e+00
5.731456726229544607e-02,-2.078214261606314839e-01,1.334203773380837621e+00,-1.209013542481429671e+00,9.137252409354701399e-01,-2.590704806782362368e+00,1.619158689477484536e+00
1.244561563251422864e-01,-1.580419634152202546e-01,1.329724658568398610e+00,-1.212548897772669498e+00,9.173923958559204728e-01,-2.626522644546269714e+00,1.537755796946704834e+00
2.123305115487861272e-01,-1.050716842808004092e-01,1.313965399000860401e+00,-1.211275571001757534e+00,9.124789013180700792e-01,-2.494141902573854264e+00,1.422572438572966558e+00
2.919207432995896134e-01,-5.556187490451253153e-02,1.251572523578048379e+00,-1.242734148985236153e+00,9.067264706429933874e-01,-2.432288306618402007e+00,1.301277100790310115e+00
3.659383023797424528e-01,-1.063600917872858931e-02,1.196100533129906829e+00,-1.219035359388775941e+00,9.136053804492672015e-01,-2.312700746236184823e+00,1.205598042222255639e+00
4.271777060637638179e-01,4.419184569307704757e-02,1.123835666407502210e+00,-1.169195982762716302e+00,9.163617789337830111e-01,-2.252150447627443430e+00,1.105679578905949256e+00
4.754441592447755660e-01,1.103297613541213973e-01,1.043571328504688811e+00,-1.144088985169100514e+00,9.152832090905116402e-01,-2.143108984696717734e+00,1.021790001255407088e+00
5.175836886352758182e-01,1.713444538971736764e-01,9.691193187950641885e-01,-1.158559973583994651e+00,9.306469497791791667e-01,-2.085824388010193431e+00,9.496749055993292110e-01
